,Open,High,Low,Close,Volume
2012-07-03 09:15:00,43.25,43.85,43.12,43.53,187730.0
2012-07-04 09:15:00,43.92,44.2,43.3,43.85,184784.0
2012-07-05 09:15:00,43.9,44.75,43.78,43.97,186550.0
2012-07-06 09:15:00,44.5,44.5,42.95,43.2,168016.0
2012-07-09 09:15:00,43.5,43.72,42.55,43.4,245584.0
2012-07-10 09:15:00,44.0,46.9,41.67,42.22,1082242.0
2012-07-11 09:15:00,43.33,49.1,42.53,47.25,1624530.0
2012-07-12 09:15:00,47.3,48.4,46.0,46.17,451792.0
2012-07-13 09:15:00,47.0,47.5,45.67,45.9,247614.0
2012-07-16 09:15:00,46.5,48.45,45.5,45.58,185596.0
2012-07-17 09:15:00,46.45,46.95,45.75,45.97,221112.0
2012-07-18 09:15:00,46.75,50.2,46.5,47.45,992700.0
2012-07-19 09:15:00,48.0,49.22,47.8,48.17,436504.0
2012-07-20 09:15:00,48.95,48.95,47.47,47.75,271600.0
2012-07-23 09:15:00,47.95,48.95,47.95,48.35,245146.0
2012-07-24 09:15:00,48.9,49.5,48.08,48.28,235776.0
2012-07-25 09:15:00,48.72,48.78,48.0,48.47,251650.0
2012-07-26 09:15:00,48.25,48.83,47.47,48.08,294672.0
2012-07-27 09:15:00,48.58,49.0,48.0,48.1,223700.0
2012-07-30 09:15:00,48.6,49.45,48.25,48.85,185516.0
2012-07-31 09:15:00,49.0,49.22,48.4,48.53,233248.0
2012-08-01 09:15:00,48.72,49.0,47.78,48.47,239204.0
2012-08-02 09:15:00,48.5,48.92,48.3,48.42,258010.0
2012-08-03 09:15:00,49.0,54.5,48.72,49.75,519444.0
2012-08-06 09:15:00,51.85,59.0,50.0,57.55,1824364.0
2012-08-07 09:15:00,57.6,59.78,55.75,56.7,882240.0
2012-08-08 09:15:00,56.7,58.38,56.7,56.95,468262.0
2012-08-09 09:15:00,57.5,59.65,56.75,58.2,494688.0
2012-08-10 09:15:00,58.2,58.95,56.53,56.78,446294.0
2012-08-13 09:15:00,58.55,60.62,57.35,59.45,709304.0
2012-08-14 09:15:00,60.0,61.5,58.75,59.05,777646.0
2012-08-16 09:15:00,59.4,59.9,58.0,58.3,417390.0
2012-08-17 09:15:00,58.62,58.78,57.75,58.1,187810.0
2012-08-21 09:15:00,58.5,59.38,57.72,58.92,260160.0
2012-08-22 09:15:00,59.0,59.15,58.0,58.17,138564.0
2012-08-23 09:15:00,58.5,59.9,57.5,58.05,299580.0
2012-08-24 09:15:00,58.0,59.7,57.78,58.12,429918.0
2012-08-27 09:15:00,58.4,62.38,58.3,59.2,833622.0
2012-08-28 09:15:00,59.5,60.8,58.6,60.03,364430.0
2012-08-29 09:15:00,60.25,62.35,59.88,60.42,408744.0
2012-08-30 09:15:00,60.38,61.65,59.97,60.28,193092.0
2012-08-31 09:15:00,60.5,60.62,59.0,59.22,218862.0
2012-09-03 09:15:00,59.62,60.42,57.4,58.08,281502.0
2012-09-04 09:15:00,58.75,59.8,58.03,59.35,207012.0
2012-09-05 09:15:00,59.62,61.55,59.0,59.38,373602.0
2012-09-06 09:15:00,59.88,60.65,59.12,59.38,153904.0
2012-09-07 09:15:00,59.17,60.25,59.17,59.58,153896.0
2012-09-10 09:15:00,59.6,60.5,59.3,59.78,223852.0
2012-09-11 09:15:00,60.25,60.5,59.62,59.95,214930.0
2012-09-12 09:15:00,60.0,61.5,59.8,60.42,291538.0
2012-09-13 09:15:00,61.0,61.62,59.15,60.22,302346.0
2012-09-14 09:15:00,60.95,64.62,60.15,62.75,404300.0
2012-09-17 09:15:00,63.25,70.72,63.25,69.88,1623948.0
2012-09-18 09:15:00,70.32,72.75,69.05,71.3,878102.0
2012-09-20 09:15:00,69.1,72.0,67.0,69.1,731694.0
2012-09-21 09:15:00,69.5,74.0,67.5,68.25,3042194.0
2012-09-24 09:15:00,65.8,69.2,62.12,65.9,940988.0
2012-09-25 09:15:00,66.95,66.95,61.0,61.53,922408.0
2012-09-26 09:15:00,61.95,61.95,50.0,54.42,1928888.0
2012-09-27 09:15:00,54.5,56.95,52.85,53.62,427986.0
2012-09-28 09:15:00,52.62,56.67,52.62,55.7,744032.0
2012-10-01 09:15:00,55.5,60.45,55.5,59.88,981068.0
2012-10-03 09:15:00,59.9,62.75,59.9,61.53,583486.0
2012-10-04 09:15:00,60.0,62.97,60.0,61.05,319316.0
2012-10-05 09:15:00,66.0,66.0,58.25,59.4,494402.0
2012-10-08 09:15:00,60.1,62.0,59.53,61.17,428496.0
2012-10-09 09:15:00,61.5,62.45,55.5,58.83,289898.0
2012-10-10 09:15:00,59.25,61.75,59.17,60.15,332514.0
2012-10-11 09:15:00,60.5,61.4,58.05,58.88,250582.0
2012-10-12 09:15:00,59.08,59.9,58.35,58.6,388298.0
2012-10-15 09:15:00,58.67,59.8,57.05,57.58,196184.0
2012-10-16 09:15:00,58.95,58.95,57.0,57.25,433634.0
2012-10-17 09:15:00,57.0,58.12,55.83,56.33,344096.0
2012-10-18 09:15:00,56.55,56.72,55.45,55.92,306706.0
2012-10-19 09:15:00,56.53,56.53,55.0,55.65,212446.0
2012-10-22 09:15:00,55.58,59.72,54.4,55.12,481978.0
2012-10-23 09:15:00,55.3,58.83,54.72,55.35,314832.0
2012-10-25 09:15:00,55.72,56.83,54.7,54.95,200574.0
2012-10-29 09:15:00,53.53,56.15,53.53,55.12,217042.0
2012-10-30 09:15:00,55.5,57.15,55.0,56.65,428564.0
2012-10-31 09:15:00,57.0,57.95,56.62,57.22,285194.0
2012-11-01 09:15:00,57.5,64.3,57.5,62.8,1841120.0
2012-11-02 09:15:00,62.78,74.9,62.75,74.03,6974242.0
2012-11-05 09:15:00,75.0,85.45,75.0,81.95,8132200.0
2012-11-06 09:15:00,82.0,86.2,78.75,79.85,5357026.0
2012-11-07 09:15:00,80.95,83.5,74.07,75.53,3590310.0
2012-11-08 09:15:00,75.5,80.95,71.25,79.82,4597472.0
2012-11-09 09:15:00,80.6,82.38,79.25,81.53,3229080.0
2012-11-12 09:15:00,84.0,84.5,76.95,77.62,3223536.0
2012-11-15 09:15:00,76.12,76.12,71.75,72.12,1364202.0
2012-11-16 09:15:00,72.5,72.7,67.75,68.8,883390.0
2012-11-19 09:15:00,67.53,75.68,66.5,75.65,3088416.0
2012-11-20 09:15:00,76.03,77.95,71.38,73.45,3549368.0
2012-11-21 09:15:00,74.25,75.5,66.7,67.32,2616884.0
2012-11-22 09:15:00,67.5,69.35,64.62,65.18,1850262.0
2012-11-23 09:15:00,66.0,66.65,64.03,64.53,1651690.0
2012-11-26 09:15:00,65.0,70.97,64.5,70.78,4429048.0
2012-11-27 09:15:00,71.25,71.95,66.75,70.53,2655868.0
2012-11-29 09:15:00,71.2,72.45,68.05,68.65,1089716.0
2012-11-30 09:15:00,69.32,70.0,68.25,68.68,669672.0
2012-12-03 09:15:00,69.3,71.2,68.2,68.62,968420.0
2012-12-04 09:15:00,68.8,70.95,68.78,70.05,927338.0
2012-12-05 09:15:00,70.4,71.38,69.0,69.55,1477090.0
2012-12-06 09:15:00,70.0,70.0,67.65,68.25,644494.0
2012-12-07 09:15:00,68.32,69.22,67.5,67.85,575612.0
2012-12-10 09:15:00,68.15,71.0,65.18,68.07,694152.0
2012-12-11 09:15:00,68.5,69.2,68.0,68.35,529464.0
2012-12-12 09:15:00,68.5,70.85,68.5,69.55,709428.0
2012-12-13 09:15:00,69.88,69.9,68.5,68.97,302200.0
2012-12-14 09:15:00,69.0,70.65,69.0,70.53,1120710.0
2012-12-17 09:15:00,71.7,74.93,71.65,74.55,1637854.0
2012-12-18 09:15:00,74.5,77.18,72.53,76.8,1782100.0
2012-12-19 09:15:00,77.18,77.7,75.25,75.65,894362.0
2012-12-20 09:15:00,75.53,79.22,75.25,75.7,2685350.0
2012-12-21 09:15:00,75.5,76.45,74.25,74.4,701416.0
2012-12-24 09:15:00,74.68,76.25,74.62,75.22,796864.0
2012-12-26 09:15:00,75.43,76.0,72.75,72.8,817420.0
2012-12-27 09:15:00,73.9,73.9,71.6,72.1,577708.0
2012-12-28 09:15:00,72.1,72.55,71.25,71.35,529150.0
2012-12-31 09:15:00,71.47,78.47,71.47,78.47,2827132.0
2013-01-01 09:15:00,79.7,82.68,78.25,80.4,4107052.0
2013-01-02 09:15:00,80.35,80.55,77.5,77.8,1088880.0
2013-01-03 09:15:00,78.57,79.78,76.0,76.4,590180.0
2013-01-04 09:15:00,76.5,77.25,75.5,75.82,380850.0
2013-01-07 09:15:00,76.88,78.0,74.0,74.9,1144204.0
