,Open,High,Low,Close,Volume
2018-01-11 09:15:00,33.4,33.4,33.4,33.4,157.0
2018-01-12 09:15:00,34.05,34.05,34.05,34.05,360.0
2018-01-15 09:15:00,34.7,34.7,34.7,34.7,795.0
2018-01-16 09:15:00,35.35,35.35,35.35,35.35,2735.0
2018-01-17 09:15:00,36.05,36.05,35.4,36.05,56033.0
2018-01-18 09:15:00,36.75,36.75,36.7,36.75,7957.0
2018-01-19 09:15:00,36.9,37.45,36.75,37.45,21575.0
2018-01-22 09:15:00,38.15,38.15,37.45,38.15,9893.0
2018-01-23 09:15:00,38.9,38.9,38.2,38.4,5100.0
2018-01-24 09:15:00,38.3,39.15,38.2,38.75,13766.0
2018-01-25 09:15:00,39.0,39.5,38.15,38.35,2833.0
2018-01-29 09:15:00,38.75,39.1,38.75,39.1,13465.0
2018-01-30 09:15:00,39.85,39.85,38.35,39.5,14722.0
2018-01-31 09:15:00,39.5,40.2,38.75,39.45,57626.0
2018-02-01 09:15:00,39.4,40.2,39.4,40.2,4128.0
2018-02-02 09:15:00,40.2,40.2,39.4,40.0,2646.0
2018-02-05 09:15:00,39.6,39.6,39.6,39.6,200.0
2018-02-06 09:15:00,38.85,38.85,38.85,38.85,100.0
2018-02-07 09:15:00,38.1,38.1,38.1,38.1,1248.0
2018-02-08 09:15:00,38.1,38.85,38.1,38.85,763.0
2018-02-09 09:15:00,39.6,39.6,39.6,39.6,1989.0
2018-02-12 09:15:00,40.35,40.35,40.35,40.35,170.0
2018-02-14 09:15:00,41.15,41.15,41.15,41.15,338.0
2018-02-15 09:15:00,41.95,41.95,41.5,41.95,20241.0
2018-02-16 09:15:00,42.75,42.75,42.75,42.75,1585.0
2018-02-19 09:15:00,43.6,43.6,42.75,43.45,13429.0
2018-02-20 09:15:00,44.0,44.3,44.0,44.3,5599.0
2018-02-21 09:15:00,45.15,45.15,43.45,43.45,10217.0
2018-02-22 09:15:00,42.6,42.6,42.6,42.6,1075.0
2018-02-23 09:15:00,41.75,41.75,41.75,41.75,2250.0
2018-02-26 09:15:00,40.95,41.75,40.95,41.0,6771.0
2018-02-27 09:15:00,41.5,41.8,40.2,40.55,2749.0
2018-02-28 09:15:00,39.75,40.55,39.75,39.75,2605.0
2018-03-01 09:15:00,39.75,39.75,39.0,39.0,249.0
2018-03-05 09:15:00,39.0,39.5,38.25,39.5,1574.0
2018-03-06 09:15:00,38.75,39.0,38.75,38.75,1744.0
2018-03-07 09:15:00,38.75,38.75,38.75,38.75,0.0
2018-03-08 09:15:00,38.0,38.0,38.0,38.0,167.0
2018-03-09 09:15:00,38.0,38.0,38.0,38.0,0.0
2018-03-12 09:15:00,38.0,38.0,38.0,38.0,0.0
2018-03-13 09:15:00,38.0,38.0,38.0,38.0,0.0
2018-03-14 09:15:00,38.0,38.0,38.0,38.0,0.0
2018-03-15 09:15:00,36.55,36.55,36.55,36.55,11.0
2018-03-16 09:15:00,35.85,35.85,35.85,35.85,603.0
2018-03-19 09:15:00,35.15,35.15,35.15,35.15,11.0
2018-03-20 09:15:00,35.0,35.0,34.45,34.45,111.0
2018-03-21 09:15:00,33.9,35.0,33.9,33.9,215.0
2018-03-22 09:15:00,33.45,33.45,33.25,33.25,589.0
2018-03-23 09:15:00,33.25,33.9,32.6,33.9,3026.0
2018-03-26 09:15:00,34.35,34.35,34.35,34.35,150.0
2018-03-27 09:15:00,34.9,35.0,34.9,35.0,347379.0
2018-03-28 09:15:00,35.5,35.7,35.4,35.7,72277.0
2018-04-02 09:15:00,36.3,36.3,35.4,35.4,200.0
2018-04-03 09:15:00,35.5,35.5,35.0,35.0,218.0
2018-04-04 09:15:00,35.5,35.5,35.0,35.0,1487.0
2018-04-05 09:15:00,35.0,35.7,35.0,35.35,5296.0
2018-04-06 09:15:00,36.05,36.05,35.0,35.25,1664.0
2018-04-09 09:15:00,35.1,35.1,35.1,35.1,7686.0
2018-04-10 09:15:00,35.2,35.8,35.2,35.8,106.0
2018-04-11 09:15:00,36.5,36.5,35.5,35.5,2714.0
2018-04-12 09:15:00,35.5,35.5,35.5,35.5,0.0
2018-04-13 09:15:00,36.2,36.2,36.2,36.2,1557.0
2018-04-16 09:15:00,36.9,36.9,36.9,36.9,635.0
2018-04-17 09:15:00,37.6,37.6,37.6,37.6,256.0
2018-04-18 09:00:00,38.35,38.35,38.35,38.35,200.0
2018-04-19 09:15:00,39.1,39.1,39.1,39.1,10300.0
2018-04-20 09:15:00,39.85,39.85,39.85,39.85,7501.0
2018-04-23 09:15:00,40.6,40.6,40.6,40.6,50.0
2018-04-24 09:15:00,41.4,41.4,41.4,41.4,102.0
2018-04-25 09:15:00,42.2,42.2,42.2,42.2,26513.0
2018-04-26 09:15:00,43.0,43.0,43.0,43.0,573.0
2018-04-27 09:15:00,43.85,43.85,43.85,43.85,1101.0
2018-04-30 09:15:00,44.7,44.7,44.7,44.7,14455.0
