,Open,High,Low,Close,Volume
2012-06-27 09:15:00,10.25,10.35,9.65,9.7,2421048.0
2012-06-28 09:15:00,9.75,9.95,9.6,9.8,1705020.0
2012-06-29 09:15:00,9.9,10.15,9.75,9.85,2028660.0
2012-07-02 09:15:00,10.35,10.5,10.1,10.25,4469160.0
2012-07-03 09:15:00,10.4,11.4,10.25,11.15,8310857.0
2012-07-04 09:15:00,11.45,12.35,11.25,12.25,15299456.0
2012-07-05 09:15:00,12.25,12.95,12.2,12.75,8023998.0
2012-07-06 09:15:00,12.9,13.0,12.25,12.55,7271174.0
2012-07-09 09:15:00,12.5,12.5,11.85,12.0,3697515.0
2012-07-10 09:15:00,12.0,13.05,12.0,12.85,6834413.0
2012-07-11 09:15:00,12.9,12.95,12.45,12.5,4228561.0
2012-07-12 09:15:00,12.4,12.4,12.05,12.3,2717266.0
2012-07-13 09:15:00,12.05,13.2,11.25,12.6,4758270.0
2012-07-16 09:15:00,12.6,12.8,12.15,12.25,2429227.0
2012-07-17 09:15:00,12.35,12.55,11.6,11.65,3324971.0
2012-07-18 09:15:00,12.0,12.0,11.1,11.4,3137506.0
2012-07-19 09:15:00,11.6,11.8,11.1,11.2,2577316.0
2012-07-20 09:15:00,11.2,11.5,10.65,11.15,630410.0
2012-07-23 09:15:00,11.0,11.5,10.65,10.75,800966.0
2012-07-24 09:15:00,11.0,11.0,10.3,10.4,734520.0
2012-07-25 09:15:00,10.4,10.5,10.05,10.2,603236.0
2012-07-26 09:15:00,10.4,10.4,9.75,9.9,811202.0
2012-07-27 09:15:00,10.2,10.2,9.45,9.65,1028650.0
2012-07-30 09:15:00,10.1,10.1,9.65,10.1,457766.0
2012-07-31 09:15:00,10.2,10.5,10.0,10.3,469219.0
2012-08-01 09:15:00,10.8,10.8,10.5,10.8,554379.0
2012-08-02 09:15:00,11.3,11.3,10.35,10.55,729087.0
2012-08-03 09:15:00,10.2,10.35,10.05,10.05,388390.0
2012-08-06 09:15:00,10.0,10.35,9.85,9.9,1445958.0
2012-08-07 09:15:00,10.2,10.25,9.75,9.85,1168198.0
2012-08-08 09:15:00,10.0,10.0,9.4,9.4,1137692.0
2012-08-09 09:15:00,9.4,9.6,8.95,9.5,938288.0
2012-08-10 09:15:00,9.5,9.5,9.25,9.35,376616.0
2012-08-13 09:15:00,9.35,9.35,8.9,9.2,796563.0
2012-08-14 09:15:00,9.0,9.3,9.0,9.25,394138.0
2012-08-16 09:15:00,9.45,9.45,8.85,8.9,917114.0
2012-08-17 09:15:00,8.9,8.95,8.5,8.5,2095389.0
2012-08-21 09:15:00,8.65,8.75,8.1,8.1,1775183.0
2012-08-22 09:15:00,8.2,8.2,7.7,7.75,1712131.0
2012-08-23 09:15:00,7.75,8.1,7.7,7.8,1892583.0
2012-08-24 09:15:00,8.1,8.15,7.75,8.15,1047122.0
2012-08-27 09:15:00,8.15,8.55,8.0,8.15,1165620.0
2012-08-28 09:15:00,8.15,8.35,7.75,7.8,742595.0
2012-08-29 09:15:00,8.0,8.05,7.7,7.8,509049.0
2012-08-30 09:15:00,7.75,7.8,7.5,7.65,553284.0
2012-08-31 09:15:00,7.65,8.0,7.5,7.85,421875.0
2012-09-03 09:15:00,8.0,8.2,7.75,7.8,386805.0
2012-09-04 09:15:00,7.85,7.9,7.65,7.75,480278.0
2012-09-05 09:15:00,7.75,7.75,7.6,7.7,366830.0
2012-09-06 09:15:00,7.7,7.8,7.6,7.65,353806.0
2012-09-07 09:15:00,7.7,7.75,7.45,7.65,710881.0
2012-09-10 09:15:00,7.7,7.7,7.55,7.65,554026.0
2012-09-11 09:15:00,7.8,7.8,7.5,7.55,522607.0
2012-09-12 09:15:00,7.85,7.9,7.55,7.6,532270.0
2012-09-13 09:15:00,7.5,7.6,7.45,7.55,452149.0
2012-09-14 09:15:00,7.6,7.7,7.4,7.5,793384.0
2012-09-17 09:15:00,7.5,7.8,7.35,7.5,920802.0
2012-09-18 09:15:00,7.5,7.85,7.4,7.85,2012090.0
2012-09-20 09:15:00,8.2,8.2,7.55,8.2,1242786.0
2012-09-21 09:15:00,8.55,8.6,8.2,8.6,1191771.0
2012-09-24 09:15:00,8.9,9.0,8.6,8.7,1882446.0
2012-09-25 09:15:00,8.9,8.9,8.3,8.35,971649.0
2012-09-26 09:15:00,8.35,8.7,8.2,8.35,869499.0
2012-09-27 09:15:00,7.95,8.4,7.95,8.05,930684.0
2012-09-28 09:15:00,8.1,8.3,8.0,8.0,916198.0
2012-10-01 09:15:00,8.1,8.4,7.95,8.4,2072579.0
2012-10-03 09:15:00,8.6,8.6,8.05,8.2,1214323.0
2012-10-04 09:15:00,8.3,8.5,8.0,8.1,1496642.0
2012-10-05 09:15:00,8.1,8.3,7.8,7.9,1142959.0
2012-10-08 09:15:00,8.15,8.25,7.9,8.1,911659.0
2012-10-09 09:15:00,8.2,8.3,8.0,8.05,645466.0
2012-10-10 09:15:00,8.05,8.15,7.85,7.9,618512.0
2012-10-11 09:15:00,7.9,8.05,7.8,7.95,423077.0
2012-10-12 09:15:00,8.05,8.1,7.85,7.9,439900.0
2012-10-15 09:15:00,8.2,8.2,7.85,7.9,273233.0
2012-10-16 09:15:00,8.0,8.2,7.85,7.9,461392.0
2012-10-17 09:15:00,7.9,8.05,7.8,7.9,257173.0
2012-10-18 09:15:00,8.05,8.05,7.55,7.65,1849740.0
2012-10-19 09:15:00,7.8,7.95,7.75,7.85,605691.0
2012-10-22 09:15:00,7.7,7.95,7.7,7.75,340837.0
2012-10-23 09:15:00,7.8,7.95,7.75,7.8,262400.0
2012-10-25 09:15:00,7.8,8.0,7.7,7.8,270842.0
2012-10-29 09:15:00,7.95,7.95,7.6,7.65,345739.0
2012-10-30 09:15:00,7.5,7.75,7.45,7.5,608406.0
2012-10-31 09:15:00,7.55,7.6,7.45,7.55,369845.0
2012-11-01 09:15:00,7.75,7.9,7.65,7.9,1075884.0
2012-11-02 09:15:00,8.2,8.25,8.0,8.1,1451667.0
2012-11-05 09:15:00,8.25,8.25,7.7,7.7,673577.0
2012-11-06 09:15:00,7.65,7.75,7.5,7.6,416788.0
2012-11-07 09:15:00,7.7,7.7,7.4,7.45,933870.0
2012-11-08 09:15:00,7.5,7.5,7.4,7.45,579315.0
2012-11-09 09:15:00,7.5,7.65,7.35,7.4,582895.0
2012-11-12 09:15:00,7.5,7.5,7.35,7.45,320943.0
2012-11-15 09:15:00,7.65,7.7,7.3,7.4,788243.0
2012-11-16 09:15:00,7.35,7.5,7.2,7.2,905491.0
2012-11-19 09:15:00,7.35,7.45,7.05,7.1,827187.0
2012-11-20 09:15:00,7.25,7.45,7.15,7.25,1267276.0
2012-11-21 09:15:00,7.3,7.4,7.1,7.15,1479616.0
2012-11-22 09:15:00,7.15,7.3,7.1,7.15,501396.0
2012-11-23 09:15:00,7.2,7.5,7.15,7.2,806021.0
2012-11-26 09:15:00,7.3,7.35,7.1,7.15,739601.0
2012-11-27 09:15:00,7.2,7.25,7.1,7.15,1158749.0
2012-11-29 09:15:00,7.15,7.25,7.1,7.15,1224047.0
2012-11-30 09:15:00,7.15,7.5,7.15,7.5,869398.0
2012-12-03 09:15:00,7.85,7.85,7.6,7.85,1358407.0
2012-12-04 09:15:00,8.2,8.2,8.05,8.2,1566947.0
2012-12-05 09:15:00,8.6,8.6,8.45,8.6,885764.0
2012-12-06 09:15:00,9.0,9.0,8.75,9.0,4758166.0
2012-12-07 09:15:00,9.45,9.45,9.25,9.45,647625.0
2012-12-10 09:15:00,9.9,9.9,9.9,9.9,425153.0
2012-12-11 09:15:00,10.35,10.35,9.45,9.45,7526629.0
2012-12-12 09:15:00,9.0,9.5,9.0,9.0,585585.0
2012-12-13 09:15:00,8.55,9.45,8.55,9.2,5427430.0
2012-12-14 09:15:00,9.2,9.45,8.9,9.1,1696381.0
2012-12-17 09:15:00,9.35,9.35,8.85,8.9,1030791.0
2012-12-18 09:15:00,9.0,9.3,8.6,9.15,1784108.0
2012-12-19 09:15:00,9.2,9.25,8.9,8.95,807071.0
2012-12-20 09:15:00,9.0,9.1,8.75,8.8,803888.0
2012-12-21 09:15:00,8.95,8.95,8.4,8.5,559471.0
2012-12-24 09:15:00,8.7,8.8,8.45,8.65,355912.0
2012-12-26 09:15:00,8.25,8.8,8.25,8.7,332124.0
2012-12-27 09:15:00,8.65,8.85,8.6,8.65,470104.0
2012-12-28 09:15:00,9.0,9.0,8.6,8.8,427496.0
2012-12-31 09:15:00,8.8,8.95,8.75,8.8,469875.0
2013-01-01 09:15:00,9.0,9.0,8.8,8.8,494098.0
2013-01-02 09:15:00,9.0,9.2,8.8,9.2,739345.0
2013-01-03 09:15:00,9.6,9.6,8.95,9.05,1100000.0
2013-01-04 09:15:00,9.05,9.3,8.8,8.85,827057.0
2013-01-07 09:15:00,9.0,9.0,8.7,8.75,989197.0
2013-01-08 09:15:00,8.8,8.9,8.6,8.7,928305.0
2013-01-09 09:15:00,8.7,8.8,8.55,8.6,1145421.0
2013-01-10 09:15:00,8.7,8.7,8.25,8.35,1332145.0
2013-01-11 09:15:00,8.25,8.7,8.25,8.4,745396.0
2013-01-14 09:15:00,8.4,8.6,8.25,8.4,546152.0
2013-01-15 09:15:00,8.45,8.6,8.15,8.2,1128615.0
2013-01-16 09:15:00,8.2,8.3,8.1,8.15,494234.0
2013-01-17 09:15:00,8.25,8.35,7.8,7.9,821634.0
2013-01-18 09:15:00,8.05,8.25,7.95,8.25,806102.0
2013-01-21 09:15:00,8.5,8.5,8.1,8.15,701886.0
2013-01-22 09:15:00,8.25,8.25,8.0,8.05,369033.0
2013-01-23 09:15:00,7.95,8.2,7.85,7.9,762614.0
2013-01-24 09:15:00,8.0,8.0,7.6,7.65,672568.0
2013-01-25 09:15:00,7.65,7.8,7.55,7.7,538367.0
2013-01-28 09:15:00,7.8,8.05,7.75,8.0,747118.0
2013-01-29 09:15:00,8.0,8.1,7.7,7.75,546159.0
2013-01-30 09:15:00,7.75,7.9,7.6,7.65,528092.0
2013-01-31 09:15:00,7.8,8.0,7.65,7.85,575699.0
2013-02-01 09:15:00,8.0,8.2,7.65,8.0,751619.0
2013-02-04 09:15:00,8.0,8.4,8.0,8.05,894403.0
2013-02-05 09:15:00,8.05,8.1,7.75,7.75,465327.0
2013-02-06 09:15:00,7.95,7.95,7.6,7.65,634630.0
2013-02-07 09:15:00,7.8,7.8,7.35,7.4,793023.0
2013-02-08 09:15:00,7.7,7.7,7.2,7.3,965323.0
2013-02-11 09:15:00,7.45,7.45,7.2,7.3,732488.0
2013-02-12 09:15:00,7.6,7.6,6.95,6.95,1329329.0
2013-02-13 09:15:00,7.0,7.15,6.9,6.95,777867.0
2013-02-14 09:15:00,7.1,7.1,6.75,6.8,671430.0
2013-02-15 09:15:00,7.0,7.0,6.5,6.6,1105259.0
2013-02-18 09:15:00,6.8,6.9,6.6,6.9,307937.0
2013-02-19 09:15:00,7.0,7.2,7.0,7.2,191373.0
2013-02-20 09:15:00,7.4,7.55,7.25,7.3,704499.0
2013-02-21 09:15:00,7.3,7.35,6.95,7.0,513565.0
2013-02-22 09:15:00,7.1,7.1,6.85,6.9,485549.0
2013-02-25 09:15:00,7.0,7.0,6.75,6.85,506803.0
2013-02-26 09:15:00,6.9,6.9,6.55,6.55,976691.0
2013-02-27 09:15:00,6.7,6.85,6.3,6.75,838581.0
2013-02-28 09:15:00,6.9,6.95,6.45,6.45,558381.0
2013-03-01 09:15:00,6.5,6.75,6.25,6.6,1106263.0
2013-03-04 09:15:00,6.65,6.75,6.3,6.3,1460464.0
2013-03-05 09:15:00,6.3,6.3,6.0,6.1,1551136.0
2013-03-06 09:15:00,6.2,6.4,6.05,6.4,769008.0
2013-03-07 09:15:00,6.95,6.95,6.4,6.85,938887.0
2013-03-08 09:15:00,7.0,7.15,6.8,6.9,936394.0
2013-03-11 09:15:00,6.95,7.15,6.9,6.95,1070125.0
2013-03-12 09:15:00,6.9,7.0,6.7,6.75,414748.0
2013-03-13 09:15:00,6.7,6.7,6.45,6.5,545376.0
2013-03-14 09:15:00,6.55,6.7,6.35,6.5,510921.0
2013-03-15 09:15:00,6.5,6.6,6.35,6.4,481916.0
2013-03-18 09:15:00,6.4,7.0,6.1,6.45,1921652.0
2013-03-19 09:15:00,6.3,6.6,6.25,6.3,665709.0
