,Open,High,Low,Close,Volume
2012-06-26 09:15:00,13.05,14.95,12.15,12.75,1313.0
2012-06-27 09:15:00,12.15,13.0,11.05,12.5,825.0
2012-06-28 09:15:00,15.0,15.0,13.5,13.5,72.0
2012-06-29 09:15:00,12.5,12.7,12.5,12.7,28.0
2012-07-02 09:15:00,13.5,14.9,12.35,12.9,2713.0
2012-07-03 09:15:00,12.9,12.9,12.9,12.9,0.0
2012-07-04 09:15:00,12.85,13.5,12.85,12.85,1201.0
2012-07-05 09:15:00,13.65,13.9,13.5,13.9,615.0
2012-07-06 09:15:00,13.65,14.5,12.65,13.6,974.0
2012-07-09 09:15:00,13.55,13.55,13.5,13.55,56.0
2012-07-10 09:15:00,13.6,13.6,13.4,13.55,197.0
2012-07-11 09:15:00,13.6,13.6,13.4,13.6,4.0
2012-07-12 09:15:00,13.6,13.6,13.6,13.6,0.0
2012-07-13 09:15:00,13.0,14.1,13.0,14.0,5.0
2012-07-16 09:15:00,15.3,15.3,15.3,15.3,50.0
2012-07-17 09:15:00,15.3,15.3,15.3,15.3,0.0
2012-07-18 09:15:00,15.3,15.3,15.3,15.3,0.0
2012-07-19 09:15:00,16.8,16.8,16.8,16.8,1.0
2012-07-20 09:15:00,15.15,15.15,15.15,15.15,11.0
2012-07-23 09:15:00,13.65,13.75,13.65,13.7,554.0
2012-07-24 09:15:00,12.45,12.95,12.45,12.95,2.0
2012-07-25 09:15:00,12.45,14.0,12.05,12.8,652.0
2012-07-26 09:15:00,12.2,12.5,12.2,12.5,100.0
2012-07-27 09:15:00,13.1,13.1,12.15,12.5,511.0
2012-07-30 09:15:00,12.5,12.5,12.5,12.5,0.0
2012-07-31 09:15:00,12.5,12.5,12.5,12.5,0.0
2012-08-01 09:15:00,12.5,12.5,12.5,12.5,0.0
2012-08-02 09:15:00,12.5,12.5,12.5,12.5,0.0
2012-08-03 09:15:00,12.5,12.5,12.5,12.5,0.0
2012-08-06 09:15:00,12.25,12.25,12.25,12.25,1.0
2012-08-07 09:15:00,12.25,12.25,12.25,12.25,0.0
2012-08-08 09:15:00,12.25,12.25,12.25,12.25,0.0
2012-08-09 09:15:00,12.3,12.3,12.2,12.2,2.0
2012-08-10 09:15:00,12.2,12.75,12.2,12.75,323.0
2012-08-13 09:15:00,12.75,12.75,12.75,12.75,0.0
2012-08-14 09:15:00,12.75,12.75,12.75,12.75,0.0
2012-08-16 09:15:00,12.75,12.75,12.75,12.75,0.0
2012-08-17 09:15:00,12.3,13.3,12.3,12.3,556.0
2012-08-21 09:15:00,12.05,12.9,12.05,12.9,151.0
2012-08-22 09:15:00,12.3,13.35,12.3,13.35,51.0
2012-08-23 09:15:00,12.75,12.8,12.7,12.8,111.0
2012-08-24 09:15:00,12.2,13.15,12.2,13.15,26.0
2012-08-27 09:15:00,13.1,13.1,13.1,13.1,170.0
2012-08-28 09:15:00,13.1,13.1,13.1,13.1,0.0
2012-08-29 09:15:00,13.1,13.1,13.1,13.1,0.0
2012-08-30 09:15:00,12.45,12.5,12.45,12.45,1897.0
2012-08-31 09:15:00,12.45,12.45,12.45,12.45,0.0
2012-09-03 09:15:00,12.45,12.45,12.45,12.45,0.0
2012-09-04 09:15:00,13.05,13.05,12.9,12.9,6.0
2012-09-05 09:15:00,12.9,12.9,12.9,12.9,0.0
2012-09-06 09:15:00,12.3,12.5,12.3,12.5,2.0
2012-09-07 09:15:00,12.5,12.5,12.5,12.5,0.0
2012-09-10 09:15:00,12.5,12.5,12.5,12.5,0.0
2012-09-11 09:15:00,12.05,13.05,12.05,13.05,102.0
2012-09-12 09:15:00,13.7,13.7,12.4,13.0,985.0
2012-09-13 09:15:00,13.65,13.65,13.0,13.15,778.0
2012-09-14 09:15:00,13.0,13.0,13.0,13.0,312.0
2012-09-17 09:15:00,12.75,13.65,12.75,13.3,704.0
2012-09-18 09:15:00,13.3,13.3,13.3,13.3,0.0
2012-09-20 09:15:00,12.65,12.65,12.65,12.65,2.0
2012-09-21 09:15:00,12.3,12.3,12.3,12.3,30.0
2012-09-24 09:15:00,12.9,12.9,12.9,12.9,11.0
2012-09-25 09:15:00,13.5,13.5,13.5,13.5,130.0
2012-09-26 09:15:00,14.15,14.15,14.15,14.15,769.0
2012-09-27 09:15:00,14.85,14.85,14.85,14.85,775.0
2012-09-28 09:15:00,14.35,14.35,14.2,14.3,1500.0
2012-10-01 09:15:00,14.3,14.3,14.3,14.3,0.0
2012-10-03 09:15:00,13.6,13.6,13.6,13.6,1.0
2012-10-04 09:15:00,13.6,13.6,13.6,13.6,0.0
2012-10-05 09:15:00,13.6,13.6,13.6,13.6,0.0
2012-10-08 09:15:00,13.6,13.6,13.6,13.6,0.0
2012-10-09 09:15:00,13.1,13.1,12.95,12.95,4.0
2012-10-10 09:15:00,12.95,12.95,12.95,12.95,0.0
2012-10-11 09:15:00,12.95,12.95,12.95,12.95,0.0
2012-10-12 09:15:00,12.95,12.95,12.95,12.95,0.0
2012-10-15 09:15:00,12.75,12.75,12.75,12.75,1.0
2012-10-16 09:15:00,12.75,12.75,12.75,12.75,0.0
2012-10-17 09:15:00,12.75,12.75,12.75,12.75,0.0
2012-10-18 09:15:00,13.0,13.25,12.75,13.25,503.0
2012-10-19 09:15:00,13.25,13.25,13.25,13.25,0.0
2012-10-22 09:15:00,13.25,13.25,13.25,13.25,0.0
