,Open,High,Low,Close,Volume
2017-11-16 09:15:00,243.29,243.29,231.13,231.13,44615.0
2017-11-17 09:15:00,219.57,219.57,219.57,219.57,3799.0
2017-11-20 09:15:00,208.62,208.62,208.59,208.59,1506.0
2017-11-21 09:15:00,198.19,198.19,198.19,198.19,1366.0
2017-11-22 09:15:00,188.31,188.31,188.31,188.31,1556.0
2017-11-23 09:15:00,178.91,178.91,178.91,178.91,2431.0
2017-11-24 09:15:00,169.97,169.97,169.97,169.97,1999.0
2017-11-27 09:15:00,161.48,161.48,161.48,161.48,2518.0
2017-11-28 09:15:00,153.43,153.43,153.43,153.43,2002.0
2017-11-29 09:15:00,145.76,145.76,145.76,145.76,8445.0
2017-11-30 09:15:00,131.19,131.19,131.19,131.19,7827.0
2017-12-01 09:15:00,118.09,143.97,118.09,125.57,987188.0
2017-12-04 09:15:00,119.21,129.49,113.16,113.92,437456.0
2017-12-05 09:15:00,113.37,119.61,110.09,119.61,525479.0
2017-12-06 09:15:00,125.57,125.57,125.57,125.57,16817.0
2017-12-07 09:15:00,131.83,131.83,131.83,131.83,21261.0
2017-12-08 09:15:00,138.4,138.4,138.4,138.4,11032.0
2017-12-11 09:15:00,145.3,145.3,145.3,145.3,2834.0
2017-12-12 09:15:00,152.54,152.54,152.54,152.54,126778.0
2017-12-13 09:15:00,160.15,160.15,160.15,160.15,4215.0
2017-12-14 09:15:00,168.14,168.14,168.14,168.14,7439.0
2017-12-15 09:15:00,176.54,176.54,176.54,176.54,2183.0
2017-12-18 09:15:00,185.36,185.36,185.36,185.36,34247.0
2017-12-19 09:15:00,194.6,194.6,194.6,194.6,5182.0
2017-12-20 09:15:00,204.3,204.3,204.3,204.3,999.0
2017-12-21 09:15:00,214.49,214.49,214.49,214.49,6433.0
2017-12-22 09:15:00,225.2,225.2,225.2,225.2,3035.0
2017-12-26 09:15:00,236.45,236.45,236.45,236.45,1483.0
2017-12-27 09:15:00,248.25,248.25,224.65,228.12,208041.0
2017-12-28 09:15:00,223.13,235.99,217.5,217.96,137043.0
2017-12-29 09:15:00,218.26,228.85,218.26,228.72,83429.0
2018-01-01 09:15:00,232.95,232.95,217.29,217.41,53455.0
2018-01-02 09:15:00,217.14,221.88,206.55,206.55,41425.0
2018-01-03 09:15:00,198.04,211.54,198.04,202.24,56115.0
2018-01-04 09:15:00,201.99,212.06,201.63,205.4,24954.0
2018-01-05 09:15:00,210.41,214.1,198.89,201.14,33980.0
2018-01-08 09:15:00,206.77,211.18,202.17,211.18,23090.0
2018-01-09 09:15:00,221.73,221.73,214.1,221.73,74855.0
2018-01-10 09:15:00,226.5,226.5,214.1,216.59,69834.0
2018-01-11 09:15:00,218.96,227.41,212.88,227.41,74092.0
2018-01-12 09:15:00,223.83,224.5,216.07,218.32,73834.0
2018-01-15 09:15:00,219.26,221.39,212.88,215.37,24816.0
2018-01-16 09:15:00,217.17,217.74,204.97,206.16,27134.0
2018-01-17 09:15:00,199.13,206.77,196.15,199.83,17983.0
2018-01-18 09:15:00,203.15,209.81,195.33,201.63,96946.0
2018-01-19 09:15:00,205.55,205.55,192.26,200.5,25314.0
2018-01-22 09:15:00,202.33,206.19,195.85,196.85,11282.0
2018-01-23 09:15:00,196.85,199.26,191.59,192.9,25926.0
2018-01-24 09:15:00,192.02,198.25,186.48,189.55,27876.0
2018-01-25 09:15:00,191.59,193.38,183.81,187.18,13300.0
2018-01-29 09:15:00,188.55,192.81,188.4,188.67,8148.0
2018-01-30 09:15:00,182.59,190.98,179.43,182.44,5917.0
2018-01-31 09:15:00,179.61,185.51,174.56,176.51,15153.0
2018-02-01 09:15:00,174.56,185.33,174.56,185.33,13914.0
2018-02-02 09:15:00,192.81,192.81,176.08,176.08,13891.0
2018-02-05 09:15:00,167.29,177.6,167.29,174.99,14655.0
2018-02-06 09:15:00,166.26,166.32,166.26,166.26,5060.0
2018-02-07 09:15:00,164.83,174.56,164.83,172.31,8335.0
2018-02-08 09:15:00,171.52,176.38,171.52,173.19,8062.0
2018-02-09 09:15:00,165.47,181.25,165.47,176.84,12681.0
2018-02-12 09:15:00,179.43,183.68,173.95,179.37,26156.0
2018-02-14 09:15:00,187.33,188.31,170.91,188.31,13758.0
2018-02-15 09:15:00,197.67,197.7,197.67,197.7,5968.0
2018-02-16 09:15:00,206.07,207.59,201.32,207.59,41354.0
2018-02-19 09:15:00,207.59,215.92,197.67,202.05,40986.0
2018-02-20 09:15:00,200.14,204.67,197.67,203.12,29990.0
2018-02-21 09:15:00,202.63,213.24,202.63,213.24,14032.0
2018-02-22 09:15:00,220.97,223.89,212.0,223.89,42563.0
2018-02-23 09:15:00,231.07,231.07,216.71,225.41,56982.0
2018-02-26 09:15:00,233.53,235.99,220.18,225.35,62797.0
2018-02-27 09:15:00,223.95,226.26,215.98,217.47,12728.0
2018-02-28 09:15:00,211.75,217.44,211.75,212.79,8449.0
2018-03-01 09:15:00,215.92,215.92,206.86,210.63,2998.0
2018-03-05 09:15:00,200.11,212.27,200.11,209.53,1700.0
2018-03-06 09:15:00,211.66,212.88,201.02,205.06,7051.0
2018-03-07 09:15:00,195.85,208.01,194.82,195.67,10025.0
2018-03-08 09:15:00,185.9,203.7,185.9,191.71,15334.0
2018-03-09 09:15:00,199.47,199.5,186.12,193.54,4411.0
2018-03-12 09:15:00,197.55,203.15,193.54,201.11,50940.0
2018-03-13 09:15:00,192.2,205.88,192.2,205.49,10037.0
2018-03-14 09:15:00,206.8,215.62,196.46,204.52,106646.0
2018-03-15 09:15:00,200.71,214.73,200.71,214.22,9453.0
2018-03-16 09:15:00,208.01,215.92,208.01,212.97,49767.0
2018-03-19 09:15:00,212.88,221.39,212.88,220.82,8434.0
2018-03-20 09:15:00,209.84,223.22,209.84,216.65,12475.0
2018-03-21 09:15:00,216.53,224.43,212.88,214.03,10803.0
2018-03-22 09:15:00,206.86,217.14,206.86,210.45,9121.0
2018-03-23 09:15:00,210.45,212.88,203.76,204.55,6176.0
2018-03-26 09:15:00,204.55,208.01,200.77,203.36,2329.0
2018-03-27 09:15:00,203.15,208.01,203.15,203.15,2148.0
2018-03-28 09:15:00,197.67,213.24,197.67,203.15,2005.0
2018-04-02 09:15:00,205.28,209.84,203.18,205.34,2543.0
2018-04-03 09:15:00,206.8,210.45,199.5,209.32,5733.0
2018-04-04 09:15:00,212.76,217.62,207.4,211.05,8401.0
2018-04-05 09:15:00,211.36,221.27,201.32,209.29,6078.0
2018-04-06 09:15:00,209.26,212.88,204.21,209.08,1131.0
2018-04-09 09:15:00,208.01,210.63,203.79,203.94,2959.0
