,Open,High,Low,Close,Volume
2012-06-26 09:15:00,725.0,738.45,712.0,733.4,320400.0
2012-06-27 09:15:00,723.0,745.0,723.0,739.95,227016.0
2012-06-28 09:15:00,740.75,740.8,715.0,724.35,352701.0
2012-06-29 09:15:00,731.95,742.0,728.3,738.4,162884.0
2012-07-02 09:15:00,740.0,759.05,734.15,754.5,203931.0
2012-07-03 09:15:00,760.0,769.8,758.0,767.6,220831.0
2012-07-04 09:15:00,773.7,773.7,751.1,757.75,223188.0
2012-07-05 09:15:00,762.0,764.4,742.45,747.0,265067.0
2012-07-06 09:15:00,753.0,755.5,736.1,744.8,681191.0
2012-07-09 09:15:00,748.0,760.0,730.1,746.35,726560.0
2012-07-10 09:15:00,750.05,761.8,748.35,753.3,309917.0
2012-07-11 09:15:00,780.0,824.0,771.25,776.4,3092994.0
2012-07-12 09:15:00,775.0,781.4,763.25,770.8,542209.0
2012-07-13 09:15:00,773.8,775.15,738.95,744.55,607303.0
2012-07-16 09:15:00,744.5,746.85,715.5,720.1,586660.0
2012-07-17 09:15:00,723.0,724.7,702.0,707.0,632403.0
2012-07-18 09:15:00,708.0,754.6,694.5,749.45,1746105.0
2012-07-19 09:15:00,758.0,763.9,735.5,743.95,1103394.0
2012-07-20 09:15:00,729.0,739.0,719.05,728.2,579322.0
2012-07-23 09:15:00,722.1,725.8,694.75,699.5,477235.0
2012-07-24 09:15:00,701.15,714.9,697.9,703.05,463362.0
2012-07-25 09:15:00,698.15,707.25,681.3,698.5,516478.0
2012-07-26 09:15:00,700.1,713.0,691.0,700.35,639607.0
2012-07-27 09:15:00,705.2,714.9,686.4,691.25,606514.0
2012-07-30 09:15:00,694.1,711.5,687.45,707.75,307401.0
2012-07-31 09:15:00,705.1,728.75,699.95,720.65,625555.0
2012-08-01 09:15:00,724.3,741.0,714.55,737.35,849488.0
2012-08-02 09:15:00,740.0,756.8,733.25,754.3,810478.0
2012-08-03 09:15:00,754.0,768.9,749.0,764.2,669396.0
2012-08-06 09:15:00,774.6,794.9,770.0,791.65,857774.0
2012-08-07 09:15:00,792.0,808.9,785.05,792.15,816724.0
2012-08-08 09:15:00,795.0,803.0,781.3,799.75,652952.0
2012-08-09 09:15:00,801.1,812.95,798.0,800.85,330802.0
2012-08-10 09:15:00,805.0,809.35,796.2,805.8,318587.0
2012-08-13 09:15:00,797.9,844.0,797.9,837.75,728820.0
2012-08-14 09:15:00,838.05,858.5,826.55,837.65,828173.0
2012-08-16 09:15:00,841.05,854.45,831.95,847.2,348825.0
2012-08-17 09:15:00,854.05,856.0,828.0,831.7,334664.0
2012-08-21 09:15:00,833.9,851.0,831.6,845.65,174136.0
2012-08-22 09:15:00,840.0,862.85,838.35,842.75,269006.0
2012-08-23 09:15:00,852.55,852.55,827.1,829.8,211824.0
2012-08-24 09:15:00,827.05,842.9,816.5,838.5,243455.0
2012-08-27 09:15:00,835.25,842.4,824.3,829.7,120757.0
2012-08-28 09:15:00,821.1,831.75,806.25,816.25,195552.0
2012-08-29 09:15:00,817.1,825.0,801.0,813.45,208150.0
2012-08-30 09:15:00,817.0,826.95,810.0,821.75,187071.0
2012-08-31 09:15:00,816.95,848.0,816.75,840.55,320500.0
2012-09-03 09:15:00,841.0,858.0,822.0,842.15,313975.0
2012-09-04 09:15:00,846.3,850.95,835.3,843.45,152051.0
2012-09-05 09:15:00,838.9,851.0,823.55,827.2,145139.0
2012-09-06 09:15:00,831.4,843.0,825.0,837.0,215813.0
2012-09-07 09:15:00,845.5,870.0,845.5,867.2,568426.0
2012-09-10 09:15:00,876.1,878.4,865.05,873.9,238510.0
2012-09-11 09:15:00,876.0,887.0,870.1,874.4,306564.0
2012-09-12 09:15:00,810.0,881.35,810.0,876.55,175468.0
2012-09-13 09:15:00,879.0,919.0,871.25,907.85,1019996.0
2012-09-14 09:15:00,921.5,927.7,903.1,909.55,699969.0
2012-09-17 09:15:00,917.7,924.4,900.0,906.2,355447.0
2012-09-18 09:15:00,908.7,914.2,901.1,903.8,161179.0
2012-09-20 09:15:00,900.1,915.9,891.55,902.35,261620.0
2012-09-21 09:15:00,832.65,921.95,832.65,912.9,300417.0
2012-09-24 09:15:00,919.35,939.8,906.95,931.15,359153.0
