,Open,High,Low,Close,Volume
2012-06-26 09:15:00,102.55,106.45,102.55,105.1,135622.0
2012-06-27 09:15:00,106.0,107.2,104.6,105.25,98001.0
2012-06-28 09:15:00,105.85,106.6,104.1,104.8,93151.0
2012-06-29 09:15:00,105.2,111.1,105.2,108.65,346591.0
2012-07-02 09:15:00,109.25,114.9,108.0,113.8,488355.0
2012-07-03 09:15:00,115.0,115.95,112.05,112.85,283297.0
2012-07-04 09:15:00,113.9,115.9,113.0,114.35,385278.0
2012-07-05 09:15:00,114.85,115.9,112.35,113.15,395444.0
2012-07-06 09:15:00,114.25,114.25,108.1,108.6,376134.0
2012-07-09 09:15:00,108.0,108.6,102.5,102.9,295105.0
2012-07-10 09:15:00,103.1,106.5,103.1,105.5,235665.0
2012-07-11 09:15:00,105.4,106.2,103.5,103.8,170344.0
2012-07-12 09:15:00,103.25,103.85,101.2,102.5,156334.0
2012-07-13 09:15:00,103.0,104.65,98.6,99.1,271018.0
2012-07-16 09:15:00,99.35,100.5,96.1,96.6,257962.0
2012-07-17 09:15:00,96.6,98.8,94.3,94.75,190070.0
2012-07-18 09:15:00,95.0,95.85,93.05,94.3,314486.0
2012-07-19 09:15:00,94.75,96.3,93.15,93.5,264731.0
2012-07-20 09:15:00,93.1,94.4,91.5,91.7,256693.0
2012-07-23 09:15:00,90.55,91.65,88.15,88.35,302714.0
2012-07-24 09:15:00,88.5,90.85,87.0,87.35,302961.0
2012-07-25 09:15:00,87.15,87.75,83.4,83.9,269637.0
2012-07-26 09:15:00,84.05,84.95,76.1,77.65,527888.0
2012-07-27 09:15:00,79.0,85.0,73.0,73.65,348799.0
2012-07-30 09:15:00,75.0,78.8,73.8,77.95,361343.0
2012-07-31 09:15:00,78.0,78.7,74.7,76.05,291332.0
2012-08-01 09:15:00,75.15,81.95,75.15,78.9,390771.0
2012-08-02 09:15:00,78.3,91.85,78.3,88.25,3814083.0
2012-08-03 09:15:00,87.3,90.75,85.75,87.0,1564471.0
2012-08-06 09:15:00,88.2,89.75,86.15,86.45,474465.0
2012-08-07 09:15:00,86.25,89.1,84.25,84.75,450875.0
2012-08-08 09:15:00,85.75,85.75,80.5,81.1,300461.0
2012-08-09 09:15:00,81.5,84.5,80.1,80.65,408673.0
2012-08-10 09:15:00,81.0,81.65,76.5,77.55,404740.0
2012-08-13 09:15:00,77.1,82.0,77.1,79.35,681892.0
2012-08-14 09:15:00,79.5,81.25,78.1,78.85,386536.0
2012-08-16 09:15:00,79.0,80.7,77.6,78.1,314154.0
2012-08-17 09:15:00,78.55,85.9,78.5,80.55,1436912.0
2012-08-21 09:15:00,81.0,83.15,78.75,79.4,655600.0
2012-08-22 09:15:00,78.35,81.5,78.35,79.0,685138.0
2012-08-23 09:15:00,79.6,80.7,76.25,76.8,600337.0
2012-08-24 09:15:00,76.2,76.95,72.9,73.25,579195.0
2012-08-27 09:15:00,73.55,74.0,68.0,68.7,575140.0
