,Open,High,Low,Close,Volume
2012-06-26 09:15:00,60.5,61.92,59.1,60.1,9352.0
2012-06-27 09:15:00,60.05,61.5,59.62,60.53,6968.0
2012-06-28 09:15:00,60.0,61.75,59.05,59.6,5364.0
2012-06-29 09:15:00,60.5,60.95,59.25,59.92,4418.0
2012-07-02 09:15:00,60.17,61.35,60.12,60.75,3068.0
2012-07-03 09:15:00,61.5,62.0,60.22,61.35,5834.0
2012-07-04 09:15:00,60.9,63.55,60.78,62.33,15796.0
2012-07-05 09:15:00,62.65,63.25,61.03,61.58,11466.0
2012-07-06 09:15:00,61.53,62.92,60.05,60.6,15308.0
2012-07-09 09:15:00,62.2,62.25,60.0,60.95,10524.0
2012-07-10 09:15:00,63.0,64.0,60.25,61.22,33758.0
2012-07-11 09:15:00,61.97,61.97,60.62,60.78,7242.0
2012-07-12 09:15:00,60.17,61.15,60.15,60.53,4076.0
2012-07-13 09:15:00,61.22,61.47,60.5,60.97,4854.0
2012-07-16 09:15:00,60.55,61.0,60.55,61.0,2622.0
2012-07-17 09:15:00,61.05,61.05,59.5,59.7,9248.0
2012-07-18 09:15:00,61.25,61.25,58.38,59.38,16758.0
2012-07-19 09:15:00,59.5,60.5,59.0,60.42,18610.0
2012-07-20 09:15:00,60.33,60.33,59.05,59.5,2724.0
2012-07-23 09:15:00,59.0,60.2,57.55,58.4,7596.0
2012-07-24 09:15:00,59.0,60.45,56.83,60.2,6574.0
2012-07-25 09:15:00,60.25,60.25,59.5,60.0,2932.0
2012-07-26 09:15:00,59.75,60.2,59.75,60.08,5112.0
2012-07-27 09:15:00,60.75,61.0,59.65,59.92,10854.0
2012-07-30 09:15:00,59.53,60.28,58.72,59.08,1310.0
2012-07-31 09:15:00,59.7,60.05,59.5,60.05,1306.0
2012-08-01 09:15:00,59.55,61.4,59.4,61.08,7408.0
2012-08-02 09:15:00,60.97,62.83,60.53,62.47,2592.0
2012-08-03 09:15:00,61.53,63.15,61.0,62.97,6500.0
2012-08-06 09:15:00,63.42,64.5,63.0,63.2,9436.0
2012-08-07 09:15:00,63.17,63.5,62.3,62.58,4848.0
2012-08-08 09:15:00,62.42,64.45,60.5,63.67,14614.0
2012-08-09 09:15:00,66.4,69.2,64.5,65.5,91536.0
2012-08-10 09:15:00,65.25,67.25,64.05,66.93,27950.0
2012-08-13 09:15:00,68.0,74.35,68.0,72.8,168192.0
2012-08-14 09:15:00,72.5,72.7,70.72,71.6,23228.0
2012-08-16 09:15:00,71.78,71.78,69.4,70.53,17038.0
2012-08-17 09:15:00,70.5,71.1,69.55,70.18,9856.0
2012-08-21 09:15:00,73.95,73.95,70.0,70.7,27646.0
2012-08-22 09:15:00,70.25,70.38,67.5,69.53,12176.0
2012-08-23 09:15:00,69.5,70.0,67.28,67.78,13458.0
2012-08-24 09:15:00,67.12,67.5,66.3,66.75,10680.0
2012-08-27 09:15:00,66.62,68.5,66.03,66.72,6050.0
2012-08-28 09:15:00,66.25,68.15,66.0,67.47,7630.0
2012-08-29 09:15:00,66.75,67.85,66.1,67.2,3762.0
2012-08-30 09:15:00,69.75,69.75,67.0,67.25,2008.0
2012-08-31 09:15:00,67.4,69.93,67.4,67.93,6930.0
2012-09-03 09:15:00,68.12,80.0,68.12,78.47,440716.0
2012-09-04 09:15:00,79.0,84.47,75.25,76.3,903964.0
2012-09-05 09:15:00,76.53,78.47,74.1,74.57,114734.0
2012-09-06 09:15:00,74.97,77.78,74.5,75.93,215192.0
2012-09-07 09:15:00,76.5,79.0,74.25,74.95,165338.0
2012-09-10 09:15:00,76.72,80.93,75.5,79.5,380418.0
2012-09-11 09:15:00,80.05,83.72,78.55,81.9,273898.0
2012-09-12 09:15:00,82.97,85.2,81.0,81.5,219648.0
2012-09-13 09:15:00,82.0,83.62,79.5,80.38,65452.0
2012-09-14 09:15:00,81.05,82.0,78.68,79.03,46376.0
2012-09-17 09:15:00,79.43,79.95,75.45,75.78,49782.0
2012-09-18 09:15:00,75.0,78.0,71.97,76.47,40772.0
2012-09-20 09:15:00,75.5,77.4,74.0,75.72,48596.0
2012-09-21 09:15:00,76.5,77.0,75.93,76.07,27072.0
2012-09-24 09:15:00,76.25,77.0,74.57,75.32,24522.0
2012-09-25 09:15:00,75.53,79.18,75.5,78.75,42952.0
2012-09-26 09:15:00,78.5,81.5,77.0,78.05,28922.0
2012-09-27 09:15:00,77.5,79.5,77.5,78.78,21272.0
2012-09-28 09:15:00,77.05,79.47,77.05,78.25,10666.0
2012-10-01 09:15:00,77.53,78.4,77.0,77.57,10884.0
2012-10-03 09:15:00,77.97,79.82,76.85,77.28,27924.0
2012-10-04 09:15:00,77.0,78.97,76.85,77.07,10682.0
2012-10-05 09:15:00,77.0,77.1,74.5,76.05,30648.0
2012-10-08 09:15:00,76.28,76.88,74.9,76.28,20806.0
2012-10-09 09:15:00,75.78,80.5,75.0,78.45,74334.0
2012-10-10 09:15:00,78.68,80.5,77.78,78.82,22044.0
2012-10-11 09:15:00,77.28,78.95,77.28,78.15,13446.0
2012-10-12 09:15:00,78.05,78.05,76.25,76.93,12988.0
2012-10-15 09:15:00,76.85,79.4,76.85,78.38,10456.0
2012-10-16 09:15:00,80.9,85.72,78.5,83.45,304464.0
2012-10-17 09:15:00,83.55,87.45,83.45,84.43,83666.0
2012-10-18 09:15:00,84.5,85.25,80.82,84.5,40088.0
2012-10-19 09:15:00,84.35,84.97,81.88,83.93,38142.0
2012-10-22 09:15:00,83.9,89.25,81.38,88.07,126632.0
2012-10-23 09:15:00,87.0,90.0,87.0,88.45,55124.0
2012-10-25 09:15:00,88.72,88.93,85.15,86.68,24954.0
2012-10-29 09:15:00,85.75,86.38,83.78,84.57,19112.0
2012-10-30 09:15:00,86.0,87.35,84.5,85.57,46446.0
2012-10-31 09:15:00,86.35,88.0,84.0,86.62,47390.0
2012-11-01 09:15:00,89.0,100.5,87.5,96.53,899968.0
2012-11-02 09:15:00,98.0,101.47,96.57,98.07,508272.0
2012-11-05 09:15:00,99.18,99.5,94.0,95.25,62796.0
2012-11-06 09:15:00,96.0,96.47,93.47,95.78,47926.0
2012-11-07 09:15:00,95.95,111.0,95.6,108.7,777620.0
2012-11-08 09:15:00,108.25,111.68,105.68,109.28,292648.0
2012-11-09 09:15:00,110.12,113.38,107.68,111.07,171934.0
2012-11-12 09:15:00,111.0,114.4,109.5,111.93,127326.0
2012-11-15 09:15:00,111.5,115.5,109.0,111.07,67958.0
2012-11-16 09:15:00,111.0,114.25,106.32,107.6,105486.0
2012-11-19 09:15:00,109.93,109.93,105.5,106.12,45184.0
2012-11-20 09:15:00,106.65,110.57,105.12,106.2,51766.0
2012-11-21 09:15:00,108.0,109.95,105.75,107.78,54546.0
2012-11-22 09:15:00,107.5,112.15,107.5,110.12,78926.0
2012-11-23 09:15:00,110.55,113.32,108.43,109.62,52488.0
2012-11-26 09:15:00,110.03,112.5,110.03,111.25,40172.0
2012-11-27 09:15:00,110.8,114.15,109.3,110.82,107538.0
2012-11-29 09:15:00,111.88,112.85,109.22,110.38,41588.0
2012-11-30 09:15:00,111.35,111.72,108.0,108.25,31750.0
2012-12-03 09:15:00,108.0,108.75,105.15,107.5,15476.0
2012-12-04 09:15:00,108.25,108.25,106.0,106.65,9014.0
2012-12-05 09:15:00,106.93,109.0,104.28,105.03,19860.0
2012-12-06 09:15:00,107.0,107.0,102.12,104.07,19672.0
2012-12-07 09:15:00,103.0,106.65,98.88,104.5,14578.0
2012-12-10 09:15:00,105.0,107.0,104.38,105.72,11624.0
2012-12-11 09:15:00,105.5,107.93,104.6,105.38,12108.0
2012-12-12 09:15:00,104.5,106.5,104.5,104.97,6792.0
2012-12-13 09:15:00,105.95,106.25,103.55,103.72,10186.0
2012-12-14 09:15:00,103.6,104.9,103.0,103.4,15654.0
2012-12-17 09:15:00,103.65,104.35,100.53,101.25,36312.0
2012-12-18 09:15:00,102.0,102.5,99.5,99.97,28548.0
2012-12-19 09:15:00,100.0,102.95,99.0,99.8,42598.0
2012-12-20 09:15:00,99.5,101.5,99.5,101.05,7368.0
2012-12-21 09:15:00,96.0,101.45,96.0,101.05,20504.0
2012-12-24 09:15:00,101.45,105.47,99.6,103.03,9388.0
2012-12-26 09:15:00,101.5,107.8,101.2,106.2,12572.0
2012-12-27 09:15:00,106.0,106.0,104.5,104.5,5096.0
2012-12-28 09:15:00,104.0,105.88,103.32,105.05,6206.0
2012-12-31 09:15:00,105.0,105.97,104.0,104.22,7918.0
2013-01-01 09:15:00,105.0,106.45,105.0,106.18,2834.0
2013-01-02 09:15:00,105.97,106.72,104.53,106.45,5192.0
2013-01-03 09:15:00,106.07,111.75,106.07,109.85,26998.0
2013-01-04 09:15:00,108.9,112.38,108.07,110.35,11850.0
2013-01-07 09:15:00,110.4,113.0,108.55,111.28,7280.0
2013-01-08 09:15:00,111.28,113.75,110.0,112.6,14654.0
2013-01-09 09:15:00,113.5,116.0,112.5,113.18,25396.0
2013-01-10 09:15:00,112.32,117.0,112.0,116.35,18694.0
2013-01-11 09:15:00,115.0,117.5,113.32,114.8,11652.0
2013-01-14 09:15:00,112.03,117.5,112.03,117.3,9826.0
2013-01-15 09:15:00,117.5,120.85,115.5,120.15,16472.0
2013-01-16 09:15:00,116.0,118.85,116.0,118.0,4098.0
2013-01-17 09:15:00,117.5,118.88,115.03,115.55,4884.0
2013-01-18 09:15:00,115.5,117.5,115.5,116.7,6602.0
2013-01-21 09:15:00,118.95,118.95,114.8,116.0,1510.0
2013-01-22 09:15:00,115.0,117.5,115.0,116.75,5246.0
2013-01-23 09:15:00,117.0,117.0,113.38,115.38,4056.0
