,Open,High,Low,Close,Volume
2012-06-26 09:15:00,35.97,36.3,35.78,36.15,14414.0
2012-06-27 09:15:00,36.0,36.88,36.0,36.65,21742.0
2012-06-28 09:15:00,36.88,37.0,36.03,36.47,38802.0
2012-06-29 09:15:00,37.0,37.25,36.03,37.0,69766.0
2012-07-02 09:15:00,37.45,38.25,36.62,37.8,93240.0
2012-07-03 09:15:00,38.45,39.1,37.5,38.75,179798.0
2012-07-04 09:15:00,38.85,39.2,38.25,39.0,121478.0
2012-07-05 09:15:00,39.0,39.25,38.3,38.97,55242.0
2012-07-06 09:15:00,39.0,39.0,37.78,38.1,33188.0
2012-07-09 09:15:00,38.1,38.25,37.55,37.72,13496.0
2012-07-10 09:15:00,37.58,37.65,36.55,37.05,32820.0
2012-07-11 09:15:00,37.0,37.42,36.28,36.5,52554.0
2012-07-12 09:15:00,36.75,36.85,35.5,36.2,11818.0
2012-07-13 09:15:00,36.0,36.42,35.65,35.85,11320.0
2012-07-16 09:15:00,36.7,37.95,36.3,36.83,83544.0
2012-07-17 09:15:00,38.5,38.5,35.78,36.25,41642.0
2012-07-18 09:15:00,36.05,36.95,35.9,36.72,32172.0
2012-07-19 09:15:00,36.95,37.78,36.88,37.05,161800.0
2012-07-20 09:15:00,37.45,37.45,36.55,36.75,11604.0
2012-07-23 09:15:00,36.28,37.17,36.28,37.03,23428.0
2012-07-24 09:15:00,37.12,37.12,37.0,37.03,25288.0
2012-07-25 09:15:00,37.03,37.12,36.33,36.72,46596.0
2012-07-26 09:15:00,37.12,37.28,36.0,37.05,47382.0
2012-07-27 09:15:00,37.35,37.5,36.5,36.95,47846.0
2012-07-30 09:15:00,36.55,37.4,36.38,37.08,37034.0
2012-07-31 09:15:00,37.3,37.3,36.75,36.97,17680.0
2012-08-01 09:15:00,36.05,37.92,36.0,37.55,33374.0
2012-08-02 09:15:00,37.25,37.5,36.88,37.05,14910.0
2012-08-03 09:15:00,36.5,37.22,35.85,36.85,17188.0
2012-08-06 09:15:00,37.85,37.85,36.1,36.35,66680.0
2012-08-07 09:15:00,36.35,36.65,36.03,36.22,12710.0
2012-08-08 09:15:00,36.47,36.5,36.22,36.25,14986.0
2012-08-09 09:15:00,36.5,36.5,36.0,36.1,41856.0
2012-08-10 09:15:00,36.65,36.65,35.95,36.03,35672.0
2012-08-13 09:15:00,36.25,36.97,35.55,35.83,28982.0
2012-08-14 09:15:00,35.83,36.12,35.12,35.47,15344.0
2012-08-16 09:15:00,35.5,36.78,34.28,36.25,44404.0
2012-08-17 09:15:00,36.28,37.0,35.62,36.08,13694.0
2012-08-21 09:15:00,36.08,36.62,35.97,36.2,33100.0
2012-08-22 09:15:00,36.62,36.75,35.97,36.58,66962.0
2012-08-23 09:15:00,36.33,37.15,35.5,35.78,57694.0
2012-08-24 09:15:00,36.1,36.5,35.25,35.55,168456.0
2012-08-27 09:15:00,35.75,36.0,35.33,35.62,21364.0
2012-08-28 09:15:00,35.4,36.67,35.35,35.8,49872.0
2012-08-29 09:15:00,36.62,36.62,35.12,35.25,21384.0
2012-08-30 09:15:00,35.58,36.03,34.88,35.8,28750.0
2012-08-31 09:15:00,36.25,36.6,35.4,35.75,32484.0
2012-09-03 09:15:00,35.75,38.4,35.4,37.85,255452.0
2012-09-04 09:15:00,38.4,39.0,37.78,38.03,182508.0
2012-09-05 09:15:00,38.2,38.25,35.38,36.2,56288.0
2012-09-06 09:15:00,36.5,37.25,36.0,37.08,43472.0
2012-09-07 09:15:00,37.45,37.5,36.33,37.22,34248.0
2012-09-10 09:15:00,38.0,41.1,37.53,39.8,353268.0
2012-09-11 09:15:00,39.03,42.15,39.03,41.05,302988.0
2012-09-12 09:15:00,40.6,41.6,39.5,39.97,131156.0
2012-09-13 09:15:00,39.6,40.95,39.35,39.72,95326.0
2012-09-14 09:15:00,39.95,40.83,39.33,39.47,54738.0
2012-09-17 09:15:00,39.15,39.62,39.0,39.28,40792.0
2012-09-18 09:15:00,39.03,39.5,38.5,38.78,35950.0
2012-09-20 09:15:00,38.5,38.9,38.33,38.55,6176.0
2012-09-21 09:15:00,38.75,39.5,38.25,38.95,22570.0
2012-09-24 09:15:00,40.4,40.4,38.25,38.3,24346.0
2012-09-25 09:15:00,39.33,39.35,38.17,38.6,19006.0
2012-09-26 09:15:00,38.3,41.22,38.25,39.58,121198.0
2012-09-27 09:15:00,39.25,39.95,38.2,39.33,23542.0
2012-09-28 09:15:00,39.95,40.0,39.0,39.3,43368.0
2012-10-01 09:15:00,39.0,39.5,38.5,38.72,43730.0
2012-10-03 09:15:00,37.88,39.75,37.88,38.7,67984.0
2012-10-04 09:15:00,39.4,40.25,38.55,39.92,62448.0
2012-10-05 09:15:00,40.25,40.42,39.03,39.85,75338.0
2012-10-08 09:15:00,39.5,41.0,39.4,39.78,62288.0
2012-10-09 09:15:00,40.35,44.33,39.95,43.7,918420.0
2012-10-10 09:15:00,43.75,44.28,41.85,42.03,137232.0
2012-10-11 09:15:00,42.05,43.3,41.7,43.08,143256.0
