,Open,High,Low,Close,Volume
2012-06-26 09:15:00,35.3,35.3,34.0,34.0,106.0
2012-06-27 09:15:00,35.2,35.2,35.2,35.2,11.0
2012-06-28 09:15:00,34.25,35.6,34.25,34.9,28.0
2012-06-29 09:15:00,36.65,36.65,34.1,34.5,827.0
2012-07-02 09:15:00,34.05,34.8,34.05,34.8,246.0
2012-07-03 09:15:00,34.1,35.5,34.1,34.8,3392.0
2012-07-04 09:15:00,35.5,35.5,34.5,34.6,3423.0
2012-07-05 09:15:00,35.0,37.8,34.55,36.5,2403.0
2012-07-06 09:15:00,36.75,37.5,36.75,37.05,320.0
2012-07-09 09:15:00,37.5,37.5,35.55,36.9,6681.0
2012-07-10 09:15:00,36.0,36.9,35.2,35.95,1586.0
2012-07-11 09:15:00,36.6,36.6,35.6,35.6,795.0
2012-07-12 09:15:00,35.0,35.7,34.35,35.7,179.0
2012-07-13 09:15:00,35.9,35.9,35.05,35.3,776.0
2012-07-16 09:15:00,35.8,35.8,34.1,34.15,802.0
2012-07-17 09:15:00,35.0,35.0,34.5,34.5,331.0
2012-07-18 09:15:00,34.25,35.0,34.25,35.0,13.0
2012-07-19 09:15:00,34.55,35.35,34.45,34.9,700.0
2012-07-20 09:15:00,34.9,34.9,34.9,34.9,0.0
2012-07-23 09:15:00,34.95,34.95,33.0,33.15,1869.0
2012-07-24 09:15:00,34.5,34.9,34.0,34.6,2287.0
2012-07-25 09:15:00,35.35,36.5,34.25,35.1,2125.0
2012-07-26 09:15:00,34.4,34.5,34.25,34.3,1155.0
2012-07-27 09:15:00,33.1,35.0,33.1,34.45,1859.0
2012-07-30 09:15:00,34.9,36.25,33.9,34.95,591.0
2012-07-31 09:15:00,33.55,34.05,33.5,34.05,1400.0
2012-08-01 09:15:00,34.3,35.0,34.3,34.4,560.0
2012-08-02 09:15:00,34.5,35.45,34.4,35.45,46.0
2012-08-03 09:15:00,35.0,36.55,34.25,35.35,523.0
2012-08-06 09:15:00,35.05,36.9,35.05,35.85,2155.0
2012-08-07 09:15:00,35.3,35.5,35.3,35.5,695.0
2012-08-08 09:15:00,35.25,35.25,34.0,34.5,224.0
2012-08-09 09:15:00,34.1,34.8,34.1,34.2,133.0
2012-08-10 09:15:00,33.4,34.7,33.4,34.15,185.0
2012-08-13 09:15:00,35.0,35.0,34.1,35.0,146.0
2012-08-14 09:15:00,35.0,40.5,35.0,39.95,17122.0
2012-08-16 09:15:00,39.95,43.2,39.95,42.6,14664.0
2012-08-17 09:15:00,42.0,42.8,40.0,40.9,2977.0
2012-08-21 09:15:00,42.5,42.5,41.1,42.1,4050.0
2012-08-22 09:15:00,41.0,43.85,38.75,41.1,3762.0
2012-08-23 09:15:00,41.0,41.5,40.3,41.15,1682.0
2012-08-24 09:15:00,42.5,42.5,39.8,41.25,1134.0
2012-08-27 09:15:00,40.5,40.9,39.75,40.0,612.0
2012-08-28 09:15:00,40.5,40.5,38.1,38.5,364.0
2012-08-29 09:15:00,38.0,39.75,36.7,37.9,725.0
2012-08-30 09:15:00,37.25,37.5,36.15,37.25,597.0
2012-08-31 09:15:00,38.8,38.8,36.75,36.75,788.0
2012-09-03 09:15:00,38.5,38.5,36.85,37.05,389.0
2012-09-04 09:15:00,37.95,37.95,37.0,37.7,402.0
2012-09-05 09:15:00,37.8,37.8,37.0,37.0,512.0
2012-09-06 09:15:00,37.8,37.8,37.0,37.2,44.0
2012-09-07 09:15:00,36.85,37.25,36.75,37.25,2606.0
2012-09-10 09:15:00,37.5,38.1,36.7,38.1,1052.0
2012-09-11 09:15:00,39.9,39.9,37.9,38.15,1811.0
2012-09-12 09:15:00,38.0,39.65,36.5,38.9,1736.0
2012-09-13 09:15:00,39.9,39.9,39.3,39.3,204.0
2012-09-14 09:15:00,38.7,38.85,37.45,38.65,2677.0
2012-09-17 09:15:00,38.9,38.9,37.25,37.6,54.0
2012-09-18 09:15:00,38.0,38.0,38.0,38.0,271.0
2012-09-20 09:15:00,38.0,38.0,38.0,38.0,0.0
2012-09-21 09:15:00,38.35,38.35,37.55,38.0,1394.0
2012-09-24 09:15:00,38.7,38.7,37.7,38.05,408.0
2012-09-25 09:15:00,38.05,41.65,38.0,41.2,3422.0
2012-09-26 09:15:00,41.5,43.3,41.1,42.4,5971.0
2012-09-27 09:15:00,42.55,42.55,41.75,42.0,7579.0
2012-09-28 09:15:00,42.0,42.0,40.8,41.4,212.0
2012-10-01 09:15:00,40.5,40.5,40.1,40.1,101.0
2012-10-03 09:15:00,42.5,43.5,41.75,42.0,1700.0
2012-10-04 09:15:00,42.0,42.0,39.4,41.0,2530.0
2012-10-05 09:15:00,41.0,42.2,40.0,41.0,1849.0
2012-10-08 09:15:00,40.65,42.5,40.65,42.0,1505.0
2012-10-09 09:15:00,41.2,42.35,41.2,42.0,1855.0
2012-10-10 09:15:00,41.0,41.25,39.55,41.25,199.0
2012-10-11 09:15:00,40.7,41.0,39.35,40.35,422.0
2012-10-12 09:15:00,40.2,42.0,39.5,41.15,11263.0
2012-10-15 09:15:00,41.25,41.5,40.85,41.1,1441.0
2012-10-16 09:15:00,42.35,43.55,39.7,43.0,8129.0
2012-10-17 09:15:00,43.1,51.6,43.1,51.4,42630.0
2012-10-18 09:15:00,52.9,58.8,52.9,54.35,86075.0
2012-10-19 09:15:00,53.0,58.5,50.7,55.85,48769.0
2012-10-22 09:15:00,55.7,57.9,52.6,54.45,14083.0
2012-10-23 09:15:00,56.15,56.15,49.8,50.8,9174.0
2012-10-25 09:15:00,50.4,52.0,47.55,48.0,6278.0
2012-10-29 09:15:00,49.65,54.05,49.05,52.85,7955.0
2012-10-30 09:15:00,53.6,57.8,53.45,56.4,17110.0
2012-10-31 09:15:00,57.5,58.2,54.0,54.75,6134.0
2012-11-01 09:15:00,54.0,61.0,52.3,59.2,36615.0
2012-11-02 09:15:00,61.0,66.8,59.8,60.7,68892.0
2012-11-05 09:15:00,63.4,64.75,61.15,63.0,22065.0
2012-11-06 09:15:00,61.9,68.4,61.9,65.75,63373.0
2012-11-07 09:15:00,68.5,72.3,68.4,72.3,69768.0
2012-11-08 09:15:00,68.95,78.8,68.95,70.8,61052.0
2012-11-09 09:15:00,71.9,72.9,67.7,68.15,17953.0
2012-11-12 09:15:00,69.5,74.0,68.0,71.3,19890.0
2012-11-15 09:15:00,71.5,71.85,70.0,70.8,5694.0
2012-11-16 09:15:00,75.0,75.0,70.2,71.05,25414.0
2012-11-19 09:15:00,71.5,73.15,67.45,68.65,13130.0
2012-11-20 09:15:00,69.7,70.95,67.0,68.25,12445.0
2012-11-21 09:15:00,68.4,68.45,67.0,67.8,7442.0
2012-11-22 09:15:00,68.3,68.55,66.85,67.15,5408.0
2012-11-23 09:15:00,68.0,68.5,66.0,66.3,4312.0
2012-11-26 09:15:00,67.0,69.4,63.65,68.75,12383.0
2012-11-27 09:15:00,64.1,72.0,63.8,68.8,9876.0
2012-11-29 09:15:00,69.9,70.5,67.3,68.1,3859.0
2012-11-30 09:15:00,69.75,69.75,67.0,67.65,4232.0
2012-12-03 09:15:00,67.65,68.65,66.8,67.05,2100.0
2012-12-04 09:15:00,67.05,72.0,66.3,68.2,11386.0
2012-12-05 09:15:00,69.7,69.7,67.0,67.2,2908.0
2012-12-06 09:15:00,68.65,68.7,64.9,66.85,4875.0
2012-12-07 09:15:00,66.55,67.6,66.0,66.25,2469.0
2012-12-10 09:15:00,66.6,68.65,65.0,65.4,2496.0
2012-12-11 09:15:00,65.75,66.8,65.45,65.5,2317.0
2012-12-12 09:15:00,65.55,66.65,64.6,64.8,2060.0
2012-12-13 09:15:00,66.6,66.6,64.0,64.4,3275.0
2012-12-14 09:15:00,65.9,65.9,63.25,64.35,689.0
2012-12-17 09:15:00,64.15,65.0,63.5,64.9,1956.0
2012-12-18 09:15:00,64.1,65.4,63.4,64.2,1310.0
2012-12-19 09:15:00,64.7,66.3,64.3,65.35,2693.0
2012-12-20 09:15:00,65.2,66.45,64.5,66.0,5264.0
2012-12-21 09:15:00,66.1,66.7,64.85,65.2,1677.0
2012-12-24 09:15:00,64.5,65.0,63.55,63.8,1005.0
2012-12-26 09:15:00,64.05,65.75,64.0,64.65,1887.0
2012-12-27 09:15:00,64.0,68.95,64.0,68.55,9893.0
2012-12-28 09:15:00,69.55,69.55,66.5,67.1,2067.0
2012-12-31 09:15:00,67.95,67.95,64.5,65.3,618.0
2013-01-01 09:15:00,65.0,67.9,65.0,66.95,741.0
2013-01-02 09:15:00,68.2,68.7,65.6,66.15,2605.0
2013-01-03 09:15:00,67.95,68.2,65.25,68.0,2005.0
2013-01-04 09:15:00,67.2,67.5,65.7,66.55,1798.0
2013-01-07 09:15:00,66.55,68.0,66.55,67.5,1369.0
2013-01-08 09:15:00,68.7,69.35,66.4,68.45,5331.0
2013-01-09 09:15:00,68.0,77.95,68.0,72.8,44935.0
2013-01-10 09:15:00,73.15,76.5,71.0,75.9,16451.0
2013-01-11 09:15:00,78.0,78.0,75.2,76.25,23513.0
2013-01-14 09:15:00,80.85,80.85,78.3,78.85,32640.0
2013-01-15 09:15:00,78.5,79.0,77.3,77.85,11053.0
2013-01-16 09:15:00,77.95,80.0,76.05,76.75,9191.0
2013-01-17 09:15:00,76.5,77.8,75.4,76.25,2002.0
2013-01-18 09:15:00,75.2,77.25,74.5,75.1,7589.0
2013-01-21 09:15:00,77.0,77.7,75.5,75.6,1526.0
2013-01-22 09:15:00,76.95,76.95,74.2,74.25,1639.0
2013-01-23 09:15:00,74.0,78.9,74.0,78.0,22800.0
2013-01-24 09:15:00,78.5,78.55,76.0,76.1,8422.0
