,Open,High,Low,Close,Volume
2017-10-06 09:15:00,55.2,56.5,54.65,56.1,200000.0
2017-10-09 09:15:00,56.85,56.85,55.6,56.35,160000.0
2017-10-10 09:15:00,56.75,61.8,56.5,60.65,188000.0
2017-10-11 09:15:00,61.75,67.0,61.75,64.4,122000.0
2017-10-12 09:15:00,66.0,69.6,65.6,69.05,90000.0
2017-10-13 09:15:00,69.85,73.5,68.6,73.05,112000.0
2017-10-16 09:15:00,75.5,87.65,75.5,87.0,158000.0
2017-10-17 09:00:00,86.0,86.0,78.3,78.9,126000.0
2017-10-18 09:15:00,81.0,84.0,79.6,79.6,22000.0
2017-10-19 09:00:00,81.0,81.0,75.1,75.1,6000.0
2017-10-23 09:15:00,75.25,77.0,75.25,76.95,12000.0
2017-10-24 09:15:00,78.0,79.05,78.0,78.0,8000.0
2017-10-25 09:15:00,79.0,79.0,77.0,77.0,4000.0
2017-10-26 09:15:00,75.0,75.0,71.5,71.5,34000.0
2017-10-27 09:15:00,72.0,72.0,72.0,72.0,2000.0
2017-10-30 09:15:00,72.75,75.0,72.75,74.45,36000.0
2017-10-31 09:15:00,75.0,75.0,74.0,74.0,6000.0
2017-11-01 09:15:00,74.0,74.0,74.0,74.0,0.0
2017-11-02 09:15:00,72.1,73.0,71.5,72.5,26000.0
2017-11-03 09:15:00,75.0,79.0,74.0,74.0,20000.0
2017-11-06 09:15:00,72.5,72.5,72.0,72.35,20000.0
2017-11-07 09:15:00,73.0,74.5,69.7,71.7,34000.0
2017-11-08 09:15:00,73.0,78.85,70.0,78.85,332000.0
2017-11-09 09:15:00,79.8,86.6,77.1,85.95,100000.0
2017-11-10 09:15:00,83.35,88.25,83.35,88.25,6000.0
2017-11-13 09:15:00,85.0,97.05,85.0,97.05,90000.0
2017-11-14 09:15:00,101.9,101.9,101.9,101.9,28000.0
2017-11-15 09:15:00,106.85,106.85,96.85,96.85,26000.0
2017-11-16 09:15:00,93.0,95.0,92.05,94.35,24000.0
2017-11-17 09:15:00,93.2,98.0,93.2,98.0,22000.0
2017-11-20 09:15:00,99.0,102.9,99.0,102.9,82000.0
2017-11-21 09:15:00,107.8,108.0,106.2,108.0,30000.0
2017-11-22 09:15:00,108.0,108.0,108.0,108.0,0.0
2017-11-23 09:15:00,118.9,119.0,107.75,107.75,150000.0
2017-11-24 09:15:00,103.0,105.8,102.5,102.95,32000.0
2017-11-27 09:15:00,105.0,108.05,105.0,106.0,36000.0
2017-11-28 09:15:00,108.75,111.3,108.75,111.3,22000.0
2017-11-29 09:15:00,116.7,116.85,116.7,116.7,30000.0
2017-11-30 09:15:00,116.5,119.95,113.5,113.5,12000.0
2017-12-01 09:15:00,113.3,113.3,108.15,108.15,52000.0
2017-12-04 09:15:00,108.15,108.15,103.2,103.6,22000.0
2017-12-05 09:15:00,103.0,103.0,99.55,99.55,6000.0
2017-12-06 09:15:00,104.0,104.5,102.5,102.5,20000.0
2017-12-07 09:15:00,101.1,104.0,101.0,104.0,14000.0
2017-12-08 09:15:00,109.5,110.0,109.5,110.0,6000.0
2017-12-11 09:15:00,113.0,115.0,113.0,114.0,14000.0
2017-12-12 09:15:00,114.0,114.0,111.0,111.0,4000.0
2017-12-13 09:15:00,110.0,110.0,110.0,110.0,2000.0
2017-12-14 09:15:00,110.0,110.0,110.0,110.0,0.0
2017-12-15 09:15:00,110.0,110.0,110.0,110.0,0.0
2017-12-18 09:15:00,113.0,113.0,110.0,110.0,4000.0
2017-12-19 09:15:00,110.0,110.0,110.0,110.0,0.0
2017-12-20 09:15:00,113.35,113.4,113.35,113.4,4000.0
2017-12-21 09:15:00,109.0,111.0,109.0,111.0,4000.0
2017-12-22 09:15:00,111.0,111.0,111.0,111.0,0.0
2017-12-26 09:15:00,111.0,111.0,111.0,111.0,0.0
2017-12-27 09:15:00,109.0,109.0,108.0,109.0,6000.0
2017-12-28 09:15:00,109.0,109.0,109.0,109.0,0.0
2017-12-29 09:15:00,108.0,108.0,104.05,104.05,4000.0
2018-01-01 09:15:00,102.6,110.0,102.6,107.0,22000.0
2018-01-02 09:15:00,111.5,111.5,105.0,105.0,6000.0
2018-01-03 09:15:00,106.0,106.0,106.0,106.0,4000.0
2018-01-04 09:15:00,105.0,105.0,102.0,102.0,6000.0
2018-01-05 09:15:00,100.2,100.2,97.0,100.0,8000.0
2018-01-08 09:15:00,100.0,100.5,97.0,100.5,12000.0
2018-01-09 09:15:00,104.45,104.45,101.5,101.5,4000.0
2018-01-10 09:15:00,104.95,110.0,104.95,107.5,16000.0
2018-01-11 09:15:00,107.5,107.5,107.5,107.5,0.0
2018-01-12 09:15:00,108.5,108.5,108.0,108.0,12000.0
2018-01-15 09:15:00,108.0,108.0,107.0,107.0,8000.0
2018-01-16 09:15:00,109.0,109.0,109.0,109.0,2000.0
2018-01-17 09:15:00,105.0,105.0,105.0,105.0,2000.0
2018-01-18 09:15:00,106.0,106.0,95.0,98.55,22000.0
2018-01-19 09:15:00,99.0,102.0,99.0,101.5,10000.0
2018-01-22 09:15:00,99.05,99.05,99.0,99.0,4000.0
2018-01-23 09:15:00,99.25,99.25,99.05,99.05,4000.0
2018-01-24 09:15:00,99.0,99.0,99.0,99.0,2000.0
2018-01-25 09:15:00,103.0,103.0,103.0,103.0,2000.0
2018-01-29 09:15:00,100.1,100.1,98.6,98.6,6000.0
2018-01-30 09:15:00,98.0,98.0,97.0,97.0,6000.0
2018-01-31 09:15:00,95.0,95.0,95.0,95.0,2000.0
2018-02-01 09:15:00,93.0,93.0,90.5,92.75,12000.0
2018-02-02 09:15:00,88.0,92.0,83.6,92.0,8000.0
2018-02-05 09:15:00,88.0,93.0,87.0,93.0,8000.0
2018-02-06 09:15:00,92.5,92.8,88.0,92.8,8000.0
2018-02-07 09:15:00,94.0,94.0,88.2,88.2,12000.0
2018-02-08 09:15:00,88.5,88.5,88.5,88.5,2000.0
2018-02-09 09:15:00,88.5,88.5,88.5,88.5,0.0
2018-02-12 09:15:00,91.0,92.9,91.0,92.9,6000.0
2018-02-14 09:15:00,96.0,96.95,96.0,96.7,6000.0
2018-02-15 09:15:00,97.0,97.0,97.0,97.0,2000.0
