,Open,High,Low,Close,Volume
2018-10-08 09:15:00,750.0,787.0,710.05,774.35,3534258.0
2018-10-09 09:15:00,762.0,785.0,731.0,767.7,293295.0
2018-10-10 09:15:00,766.0,798.0,766.0,791.3,254753.0
2018-10-11 09:15:00,760.0,774.7,745.0,758.3,64953.0
2018-10-12 09:15:00,760.0,785.2,760.0,781.4,49674.0
2018-10-15 09:15:00,758.1,794.5,758.1,783.4,40739.0
2018-10-16 09:15:00,780.05,797.0,774.9,779.4,72475.0
2018-10-17 09:15:00,780.15,792.0,768.95,775.5,77718.0
2018-10-19 09:15:00,770.0,770.95,732.0,736.65,154689.0
2018-10-22 09:15:00,750.0,750.0,651.0,678.4,66813.0
2018-10-23 09:15:00,680.0,680.0,623.1,635.1,127341.0
2018-10-24 09:15:00,645.95,650.6,612.25,643.3,38009.0
2018-10-25 09:15:00,639.9,660.8,617.05,643.55,68841.0
2018-10-26 09:15:00,657.7,670.0,622.3,662.8,66917.0
2018-10-29 09:15:00,655.05,664.85,625.25,635.4,26365.0
2018-10-30 09:15:00,630.0,648.0,627.95,645.5,30058.0
2018-10-31 09:15:00,640.05,671.0,622.0,662.75,64324.0
2018-11-01 09:15:00,659.05,665.0,643.0,660.15,18275.0
2018-11-02 09:15:00,667.0,679.95,662.0,670.3,16821.0
2018-11-05 09:00:00,656.0,666.0,648.9,650.2,103024.0
2018-11-06 09:15:00,650.2,665.65,649.95,662.35,36501.0
2018-11-07 09:00:00,665.0,665.0,638.7,657.95,1916.0
2018-11-09 09:15:00,658.05,670.0,651.1,668.8,7177.0
2018-11-12 09:15:00,665.0,675.0,654.0,660.0,74733.0
2018-11-13 09:15:00,659.8,673.0,652.75,665.15,56424.0
2018-11-14 09:15:00,666.35,680.0,666.3,674.75,100282.0
2018-11-15 09:15:00,674.75,683.95,666.6,680.2,6829.0
2018-11-16 09:15:00,683.75,683.75,670.0,675.1,7699.0
2018-11-19 09:15:00,671.05,689.0,668.0,685.2,16158.0
2018-11-20 09:15:00,680.45,695.0,676.55,690.25,7517.0
2018-11-21 09:15:00,687.95,706.6,687.25,690.65,7138.0
2018-11-22 09:15:00,690.0,740.0,686.85,732.05,25064.0
2018-11-26 09:15:00,733.0,742.5,726.0,732.6,16043.0
2018-11-27 09:15:00,728.0,735.0,716.0,725.55,16482.0
2018-11-28 09:15:00,732.5,784.85,720.05,774.7,114237.0
2018-11-29 09:15:00,762.2,782.05,757.0,762.4,9773.0
2018-11-30 09:15:00,757.05,779.95,751.0,769.35,188248.0
2018-12-03 09:15:00,770.5,785.0,760.1,779.15,111929.0
2018-12-04 09:15:00,770.05,780.0,765.1,771.2,11560.0
2018-12-05 09:15:00,764.05,799.8,761.0,776.05,14960.0
2018-12-06 09:15:00,777.0,786.0,765.0,775.1,6641.0
2018-12-07 09:15:00,771.05,784.0,765.0,778.55,8816.0
2018-12-10 09:15:00,732.75,784.0,732.75,774.6,13727.0
2018-12-11 09:15:00,761.75,790.0,759.25,785.9,17432.0
2018-12-12 09:15:00,778.05,815.3,777.0,805.55,57679.0
2018-12-13 09:15:00,814.4,865.0,797.1,835.0,490161.0
2018-12-14 09:15:00,822.5,848.95,822.5,839.45,317736.0
2018-12-17 09:15:00,840.0,847.9,835.6,839.95,83533.0
2018-12-18 09:15:00,836.8,844.8,821.0,835.7,108114.0
2018-12-19 09:15:00,833.1,855.0,833.05,849.3,44806.0
2018-12-20 09:15:00,847.8,851.0,838.0,843.35,9331.0
2018-12-21 09:15:00,843.35,854.0,805.15,823.0,22012.0
2018-12-24 09:15:00,812.2,826.95,780.05,788.4,19024.0
2018-12-26 09:15:00,788.45,868.0,735.0,800.35,41382.0
2018-12-27 09:15:00,819.75,836.0,792.1,807.3,18326.0
2018-12-28 09:15:00,810.0,825.0,810.0,816.75,13414.0
2018-12-31 09:15:00,835.0,863.2,820.0,857.5,137147.0
2019-01-01 09:15:00,851.0,865.0,840.0,845.25,15420.0
2019-01-02 09:15:00,840.25,856.75,829.95,840.65,10812.0
2019-01-03 09:15:00,830.2,845.95,830.2,837.65,5728.0
2019-01-04 09:15:00,831.05,843.95,830.9,840.85,10472.0
