,Open,High,Low,Close,Volume
2012-06-26 09:15:00,710.85,720.7,704.72,708.22,14229.0
2012-06-27 09:15:00,713.58,720.61,708.13,713.26,17987.0
2012-06-28 09:15:00,713.58,724.24,708.49,719.07,25056.0
2012-06-29 09:15:00,719.8,745.35,719.48,728.24,89450.0
2012-07-02 09:15:00,727.2,735.05,718.34,730.51,68114.0
2012-07-03 09:15:00,731.78,737.18,726.29,728.51,27020.0
2012-07-04 09:15:00,728.47,733.1,720.07,724.83,21900.0
2012-07-05 09:15:00,726.42,736.36,726.1,728.1,49577.0
2012-07-06 09:15:00,732.64,736.27,718.3,721.75,23121.0
2012-07-09 09:15:00,720.48,720.48,705.41,710.81,33499.0
2012-07-10 09:15:00,710.49,735.09,704.5,730.01,82649.0
2012-07-11 09:15:00,730.01,730.83,713.67,719.16,32392.0
2012-07-12 09:15:00,710.9,725.2,708.81,710.94,21441.0
2012-07-13 09:15:00,717.21,719.93,709.22,710.67,17157.0
2012-07-16 09:15:00,713.4,715.12,702.68,706.54,13313.0
2012-07-17 09:15:00,709.04,710.85,683.62,689.38,26798.0
2012-07-18 09:15:00,694.51,696.33,680.85,693.92,28753.0
2012-07-19 09:15:00,694.06,712.76,694.06,698.42,17876.0
2012-07-20 09:15:00,699.01,702.68,685.71,691.29,15502.0
2012-07-23 09:15:00,683.66,689.7,664.78,667.5,56391.0
2012-07-24 09:15:00,667.55,677.17,662.83,673.86,39990.0
2012-07-25 09:15:00,671.82,685.75,665.46,683.12,61294.0
2012-07-26 09:15:00,685.39,696.33,667.46,677.85,125748.0
2012-07-27 09:15:00,686.3,711.76,683.62,704.09,117743.0
2012-07-30 09:15:00,712.67,726.1,708.13,720.16,86746.0
2012-07-31 09:15:00,711.9,725.38,710.35,722.61,31485.0
2012-08-01 09:15:00,726.2,726.2,717.62,723.16,33292.0
2012-08-02 09:15:00,711.76,722.66,711.76,716.62,39129.0
2012-08-03 09:15:00,708.13,711.76,702.68,708.17,73254.0
2012-08-06 09:15:00,710.4,732.64,710.4,724.29,87602.0
2012-08-07 09:15:00,721.79,726.29,713.94,718.16,29523.0
2012-08-08 09:15:00,723.47,739.0,710.72,731.14,233398.0
2012-08-09 09:15:00,730.83,739.41,715.21,716.84,127117.0
2012-08-10 09:15:00,725.92,725.92,694.51,700.19,74757.0
2012-08-13 09:15:00,703.54,722.66,688.16,715.26,61027.0
2012-08-14 09:15:00,718.12,720.61,703.59,705.5,34461.0
2012-08-16 09:15:00,706.36,711.17,693.6,697.19,50346.0
2012-08-17 09:15:00,698.91,705.41,688.29,694.19,45089.0
2012-08-21 09:15:00,694.19,703.82,694.19,699.73,32069.0
2012-08-22 09:15:00,702.64,702.64,690.74,693.97,40186.0
2012-08-23 09:15:00,696.33,702.5,682.71,684.93,27565.0
2012-08-24 09:15:00,685.48,686.89,673.04,674.45,35064.0
2012-08-27 09:15:00,674.45,676.35,667.32,672.72,48664.0
2012-08-28 09:15:00,672.72,673.63,663.65,667.14,25704.0
2012-08-29 09:15:00,667.14,674.49,660.01,662.24,21153.0
2012-08-30 09:15:00,662.28,667.28,639.99,644.44,134631.0
2012-08-31 09:15:00,645.4,652.8,640.31,648.17,54760.0
2012-09-03 09:15:00,646.4,662.69,644.58,652.93,26635.0
2012-09-04 09:15:00,647.3,658.06,647.3,656.43,26748.0
2012-09-05 09:15:00,649.3,656.43,647.3,649.84,22494.0
2012-09-06 09:15:00,651.3,658.56,645.22,651.75,26126.0
2012-09-07 09:15:00,662.65,666.37,657.29,664.42,46365.0
2012-09-10 09:15:00,664.14,673.63,660.92,668.86,39005.0
2012-09-11 09:15:00,662.74,682.71,660.92,677.76,29505.0
2012-09-12 09:15:00,684.34,684.34,665.46,669.27,28825.0
2012-09-13 09:15:00,671.82,674.36,663.65,665.82,84509.0
2012-09-14 09:15:00,665.46,680.62,657.29,678.67,41957.0
2012-09-17 09:15:00,688.16,702.68,673.22,699.96,76731.0
2012-09-18 09:15:00,699.91,706.31,690.43,699.01,44944.0
2012-09-20 09:15:00,694.28,697.78,664.55,675.77,39957.0
2012-09-21 09:15:00,677.04,706.31,669.95,698.55,102036.0
2012-09-24 09:15:00,679.99,718.03,679.99,712.99,76071.0
2012-09-25 09:15:00,717.07,717.12,697.33,700.68,50220.0
2012-09-26 09:15:00,695.42,712.67,690.02,710.04,47414.0
2012-09-27 09:15:00,711.26,720.43,710.4,713.17,36237.0
2012-09-28 09:15:00,714.58,730.73,708.45,726.88,94869.0
2012-10-01 09:15:00,726.29,734.28,714.94,720.43,77653.0
2012-10-03 09:15:00,726.29,736.0,714.48,718.57,95114.0
2012-10-04 09:15:00,723.84,729.15,717.21,721.88,52070.0
2012-10-05 09:15:00,723.61,729.01,709.49,717.89,47570.0
2012-10-08 09:15:00,724.38,724.38,693.6,698.01,45484.0
2012-10-09 09:15:00,703.32,707.63,698.14,699.69,41559.0
2012-10-10 09:15:00,702.68,706.31,699.91,705.04,52048.0
2012-10-11 09:15:00,706.45,713.58,706.31,711.03,178365.0
2012-10-12 09:15:00,714.48,719.02,701.82,713.94,46697.0
2012-10-15 09:15:00,714.48,725.29,705.59,713.08,48194.0
2012-10-16 09:15:00,714.35,722.61,704.86,710.04,30890.0
2012-10-17 09:15:00,716.89,716.94,705.41,709.85,11638.0
2012-10-18 09:15:00,711.22,715.21,705.72,708.67,13146.0
2012-10-19 09:15:00,701.59,714.48,699.01,707.77,16496.0
2012-10-22 09:15:00,700.87,705.41,697.19,700.96,11863.0
2012-10-23 09:15:00,687.25,705.45,680.89,686.52,20156.0
2012-10-25 09:15:00,685.39,689.97,680.03,683.44,34307.0
2012-10-29 09:15:00,677.72,682.44,670.73,673.27,30214.0
2012-10-30 09:15:00,676.35,678.58,664.55,669.09,23370.0
2012-10-31 09:15:00,669.14,673.63,667.05,669.86,14130.0
2012-11-01 09:15:00,670.04,673.81,664.64,668.18,36987.0
2012-11-02 09:15:00,669.09,677.94,646.4,651.16,240163.0
2012-11-05 09:15:00,651.93,661.83,649.12,655.43,48742.0
2012-11-06 09:15:00,658.2,666.46,656.38,662.15,128436.0
2012-11-07 09:15:00,652.48,668.18,644.58,658.61,211095.0
2012-11-08 09:15:00,649.48,665.46,649.48,659.02,40483.0
2012-11-09 09:15:00,663.6,670.82,658.2,661.92,92499.0
2012-11-12 09:15:00,664.6,668.18,660.69,662.15,29490.0
2012-11-15 09:15:00,655.38,666.37,653.75,663.69,50424.0
2012-11-16 09:15:00,662.74,668.82,650.93,654.97,20773.0
2012-11-19 09:15:00,655.84,660.56,648.21,651.07,20706.0
2012-11-20 09:15:00,652.52,653.66,641.31,644.9,61542.0
2012-11-21 09:15:00,652.61,652.61,638.22,643.81,24234.0
2012-11-22 09:15:00,649.12,649.12,639.59,641.86,24177.0
2012-11-23 09:15:00,642.13,648.85,641.77,644.76,20280.0
2012-11-26 09:15:00,645.49,647.94,635.05,636.59,42537.0
2012-11-27 09:15:00,638.27,644.58,635.77,640.27,18410.0
2012-11-29 09:15:00,649.12,674.09,564.28,639.86,106169.0
2012-11-30 09:15:00,641.86,654.52,640.99,647.67,84988.0
2012-12-03 09:15:00,657.29,657.29,649.21,652.48,33457.0
2012-12-04 09:15:00,655.38,660.47,652.39,656.79,52137.0
2012-12-05 09:15:00,656.84,663.6,655.97,657.43,21737.0
2012-12-06 09:15:00,661.19,661.78,650.93,655.47,33247.0
2012-12-07 09:15:00,660.88,663.65,647.3,651.16,38666.0
2012-12-10 09:15:00,650.98,656.93,644.58,646.3,26913.0
2012-12-11 09:15:00,650.93,651.39,643.35,646.53,21869.0
2012-12-12 09:15:00,649.12,650.93,643.67,646.4,16332.0
2012-12-13 09:15:00,649.89,651.8,637.32,639.99,27163.0
2012-12-14 09:15:00,637.32,640.09,626.38,634.87,76211.0
2012-12-17 09:15:00,637.27,642.67,631.55,639.13,25071.0
2012-12-18 09:15:00,640.9,648.12,637.77,643.22,25555.0
2012-12-19 09:15:00,643.13,650.03,643.13,646.9,26006.0
2012-12-20 09:15:00,653.57,653.57,631.87,634.55,59358.0
2012-12-21 09:15:00,635.36,642.31,622.79,624.92,90738.0
2012-12-24 09:15:00,625.83,629.15,621.88,626.88,37746.0
2012-12-26 09:15:00,626.42,634.59,626.42,630.73,25581.0
2012-12-27 09:15:00,633.73,641.49,623.93,627.51,95910.0
2012-12-28 09:15:00,634.59,640.04,630.96,636.09,54657.0
2012-12-31 09:15:00,638.18,641.58,634.59,636.18,20374.0
2013-01-01 09:15:00,642.13,644.62,638.77,640.49,25850.0
2013-01-02 09:15:00,644.58,644.58,636.54,638.5,48523.0
2013-01-03 09:15:00,640.18,645.49,637.36,640.22,39224.0
2013-01-04 09:15:00,641.58,665.19,638.32,658.83,184262.0
2013-01-07 09:15:00,659.15,669.0,655.47,658.79,112851.0
2013-01-08 09:15:00,660.88,662.65,655.75,658.7,40954.0
2013-01-09 09:15:00,659.1,669.09,645.53,650.53,88240.0
2013-01-10 09:15:00,651.89,659.1,639.13,641.36,85062.0
2013-01-11 09:15:00,645.44,646.4,625.52,628.1,87840.0
2013-01-14 09:15:00,630.96,635.5,623.38,634.32,31986.0
2013-01-15 09:15:00,635.55,639.95,630.96,633.19,31688.0
2013-01-16 09:15:00,634.73,639.13,626.92,628.15,36421.0
2013-01-17 09:15:00,631.82,632.78,620.97,622.7,46928.0
2013-01-18 09:15:00,622.7,631.37,621.16,624.2,29540.0
2013-01-21 09:15:00,619.16,628.97,619.16,621.25,35976.0
2013-01-22 09:15:00,623.61,628.24,617.34,619.39,46007.0
2013-01-23 09:15:00,621.47,628.28,616.98,623.29,37486.0
2013-01-24 09:15:00,623.11,628.24,604.63,608.45,62023.0
2013-01-25 09:15:00,608.4,616.44,604.68,611.76,86783.0
2013-01-28 09:15:00,613.67,617.03,606.45,607.72,29111.0
2013-01-29 09:15:00,609.31,613.71,596.46,599.37,59843.0
2013-01-30 09:15:00,599.28,603.27,591.02,593.47,67688.0
2013-01-31 09:15:00,594.6,599.19,579.76,589.29,149965.0
2013-02-01 09:15:00,592.92,596.92,580.17,587.25,34530.0
2013-02-04 09:15:00,586.48,592.65,585.8,587.93,37810.0
2013-02-05 09:15:00,586.89,612.8,585.66,599.28,61238.0
2013-02-06 09:15:00,605.13,610.99,601.0,605.45,26046.0
2013-02-07 09:15:00,606.9,610.08,591.02,595.42,26838.0
2013-02-08 09:15:00,594.6,603.23,582.98,586.52,17723.0
2013-02-11 09:15:00,587.75,593.74,585.57,590.2,9720.0
2013-02-12 09:15:00,594.69,597.33,584.03,586.29,18096.0
2013-02-13 09:15:00,589.02,590.92,575.58,577.58,22439.0
2013-02-14 09:15:00,578.53,581.98,561.06,566.09,38779.0
2013-02-15 09:15:00,567.73,570.5,548.44,551.34,32817.0
2013-02-18 09:15:00,551.52,559.6,549.26,553.25,24112.0
