,Open,High,Low,Close,Volume
2016-06-29 09:15:00,15.5,15.5,15.5,15.5,600.0
2016-06-30 09:15:00,16.27,16.27,16.27,16.27,600.0
2016-07-01 09:15:00,16.27,16.27,16.27,16.27,0.0
2016-07-04 09:15:00,17.08,17.08,17.08,17.08,288.0
2016-07-05 09:15:00,17.08,17.08,17.08,17.08,0.0
2016-07-07 09:15:00,17.08,17.08,17.08,17.08,0.0
2016-07-08 09:15:00,17.08,17.08,17.08,17.08,0.0
2016-07-11 09:15:00,17.08,17.08,17.08,17.08,0.0
2016-07-12 09:15:00,17.08,17.08,17.08,17.08,0.0
2016-07-13 09:15:00,16.23,16.23,16.23,16.23,330.0
2016-07-14 09:15:00,17.04,17.04,17.04,17.04,30.0
2016-07-15 09:15:00,17.83,17.83,17.83,17.83,30.0
2016-07-18 09:15:00,17.83,17.83,17.83,17.83,0.0
2016-07-19 09:15:00,18.5,18.5,18.5,18.5,30.0
2016-07-20 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-07-21 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-07-22 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-07-25 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-07-26 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-07-27 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-07-28 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-07-29 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-01 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-02 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-03 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-04 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-05 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-08 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-09 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-10 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-11 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-12 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-16 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-17 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-18 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-19 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-22 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-23 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-24 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-25 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-26 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-29 09:15:00,18.5,18.5,18.5,18.5,0.0
2016-08-30 09:15:00,17.58,17.58,17.58,17.58,150.0
2016-08-31 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-01 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-02 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-06 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-07 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-08 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-09 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-12 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-14 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-15 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-16 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-19 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-20 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-21 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-22 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-23 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-26 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-27 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-28 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-29 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-09-30 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-10-03 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-10-04 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-10-05 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-10-06 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-10-07 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-10-10 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-10-13 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-10-14 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-10-17 09:15:00,17.58,17.58,17.58,17.58,0.0
2016-10-18 09:15:00,16.67,16.67,16.67,16.67,6.0
2016-10-19 09:15:00,16.67,16.67,16.67,16.67,0.0
2016-10-20 09:15:00,16.67,16.67,16.67,16.67,0.0
2016-10-21 09:15:00,16.67,16.67,16.67,16.67,0.0
2016-10-24 09:15:00,16.67,16.67,16.67,16.67,0.0
2016-10-25 09:15:00,15.83,15.83,15.83,15.83,540.0
2016-10-26 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-10-27 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-10-28 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-01 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-02 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-03 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-04 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-07 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-08 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-09 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-10 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-11 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-15 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-16 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-17 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-18 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-21 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-22 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-23 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-24 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-25 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-28 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-29 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-11-30 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-01 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-02 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-05 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-06 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-07 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-08 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-09 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-12 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-13 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-14 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-15 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-16 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-19 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-20 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-21 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-22 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-23 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-26 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-27 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-28 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-29 09:15:00,15.83,15.83,15.83,15.83,0.0
2016-12-30 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-02 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-03 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-04 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-05 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-06 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-09 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-10 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-11 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-12 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-13 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-16 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-17 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-18 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-19 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-20 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-23 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-24 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-25 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-27 09:15:00,15.83,15.83,15.83,15.83,0.0
2017-01-30 09:15:00,16.54,16.54,16.54,16.54,30.0
2017-01-31 09:15:00,17.0,17.0,17.0,17.0,600.0
2017-02-01 09:15:00,17.57,17.57,17.0,17.0,150.0
2017-02-02 09:15:00,17.0,17.0,17.0,17.0,0.0
2017-02-03 09:15:00,17.0,17.0,17.0,17.0,0.0
2017-02-06 09:15:00,17.0,17.0,17.0,17.0,0.0
2017-02-07 09:15:00,17.53,17.53,17.53,17.53,480.0
2017-02-08 09:15:00,18.37,18.37,18.37,18.37,60.0
2017-02-09 09:15:00,18.37,18.37,18.37,18.37,0.0
2017-02-10 09:15:00,18.37,18.37,18.37,18.37,0.0
