,Open,High,Low,Close,Volume
2012-06-26 09:15:00,117.3,120.5,117.3,119.6,1096.0
2012-06-27 09:15:00,118.0,121.35,118.0,121.0,3070.0
2012-06-28 09:15:00,118.5,124.35,118.5,121.1,6338.0
2012-06-29 09:15:00,116.6,125.0,116.6,122.1,2208.0
2012-07-02 09:15:00,116.8,125.0,116.8,124.6,6650.0
2012-07-03 09:15:00,129.7,132.7,126.1,128.9,70058.0
2012-07-04 09:15:00,126.0,130.45,126.0,127.5,14549.0
2012-07-05 09:15:00,126.05,130.0,126.05,129.3,5843.0
2012-07-06 09:15:00,128.45,129.5,128.05,128.6,3837.0
2012-07-09 09:15:00,132.0,133.0,129.1,129.9,22672.0
2012-07-10 09:15:00,128.1,134.5,128.1,130.55,35751.0
2012-07-11 09:15:00,128.55,133.0,128.55,129.7,4208.0
2012-07-12 09:15:00,129.0,130.9,129.0,129.8,2828.0
2012-07-13 09:15:00,130.0,130.5,128.3,128.7,2146.0
2012-07-16 09:15:00,128.1,132.0,127.5,128.15,2684.0
2012-07-17 09:15:00,128.2,130.55,126.0,126.55,2329.0
2012-07-18 09:15:00,125.1,127.5,125.1,125.8,3354.0
2012-07-19 09:15:00,126.0,127.2,125.9,127.0,12559.0
2012-07-20 09:15:00,129.75,129.75,125.4,127.05,28865.0
2012-07-23 09:15:00,113.0,129.7,113.0,124.7,1473.0
2012-07-24 09:15:00,123.0,133.5,123.0,131.95,28039.0
2012-07-25 09:15:00,130.0,134.5,130.0,132.25,22875.0
2012-07-26 09:15:00,122.0,131.45,122.0,128.15,5168.0
2012-07-27 09:15:00,111.0,131.0,111.0,129.55,4791.0
2012-07-30 09:15:00,127.35,130.95,127.35,130.25,3031.0
2012-07-31 09:15:00,129.0,132.5,129.0,131.85,5797.0
2012-08-01 09:15:00,132.5,134.45,131.15,133.15,19286.0
2012-08-02 09:15:00,150.0,159.75,150.0,159.75,177379.0
2012-08-03 09:15:00,175.55,175.55,161.75,168.15,1278070.0
2012-08-06 09:15:00,169.0,175.9,163.0,174.6,518191.0
2012-08-07 09:15:00,175.0,177.2,167.25,169.1,98547.0
2012-08-08 09:15:00,164.0,170.0,164.0,166.05,46161.0
2012-08-09 09:15:00,164.5,167.95,163.1,164.3,39130.0
2012-08-10 09:15:00,164.4,165.6,162.4,163.7,33957.0
2012-08-13 09:15:00,162.1,169.0,162.1,164.65,69929.0
2012-08-14 09:15:00,166.05,166.75,163.95,165.05,29997.0
2012-08-16 09:15:00,164.1,172.0,164.1,168.1,134064.0
2012-08-17 09:15:00,168.0,174.0,165.05,167.7,93382.0
2012-08-21 09:15:00,161.2,170.0,161.2,165.15,36568.0
2012-08-22 09:15:00,160.2,166.9,160.2,165.1,22528.0
2012-08-23 09:15:00,164.35,167.5,162.5,163.2,15328.0
2012-08-24 09:15:00,160.8,164.4,160.8,162.65,27207.0
2012-08-27 09:15:00,160.55,164.95,160.55,161.2,21631.0
2012-08-28 09:15:00,155.3,162.0,154.55,155.8,36712.0
2012-08-29 09:15:00,152.35,166.0,152.15,163.15,125890.0
2012-08-30 09:15:00,160.3,163.0,157.0,158.85,20459.0
2012-08-31 09:15:00,151.0,161.9,151.0,157.15,2579.0
2012-09-03 09:15:00,149.3,159.0,149.3,156.9,6184.0
2012-09-04 09:15:00,155.0,159.0,155.0,158.45,1407.0
2012-09-05 09:15:00,154.0,161.0,154.0,160.05,3429.0
2012-09-06 09:15:00,164.95,168.05,157.65,168.05,12237.0
2012-09-07 09:15:00,176.45,176.45,174.2,176.45,33773.0
2012-09-10 09:15:00,184.0,194.5,180.05,194.5,62303.0
2012-09-11 09:15:00,192.0,204.2,190.0,204.2,36400.0
2012-09-12 09:15:00,202.0,214.4,202.0,212.95,61475.0
2012-09-13 09:15:00,210.0,212.0,202.35,205.35,27991.0
2012-09-14 09:15:00,205.3,215.45,197.35,199.85,21126.0
2012-09-17 09:15:00,196.0,197.0,190.05,195.8,11130.0
2012-09-18 09:15:00,187.05,195.0,187.05,193.05,2484.0
2012-09-20 09:15:00,187.0,192.45,184.0,190.0,10471.0
2012-09-21 09:15:00,185.3,199.5,185.3,199.5,12472.0
2012-09-24 09:15:00,198.0,209.45,198.0,209.4,21876.0
2012-09-25 09:15:00,208.0,218.0,202.4,215.2,19855.0
2012-09-26 09:15:00,210.05,221.0,207.5,213.2,16899.0
2012-09-27 09:15:00,208.0,220.0,202.55,203.55,15932.0
2012-09-28 09:15:00,195.05,207.9,195.05,202.0,10465.0
2012-10-01 09:15:00,195.2,206.7,195.2,205.1,3099.0
2012-10-03 09:15:00,197.0,215.35,197.0,215.05,13373.0
2012-10-04 09:15:00,206.0,214.4,206.0,212.65,11183.0
2012-10-05 09:15:00,209.9,213.0,204.8,207.65,10649.0
2012-10-08 09:15:00,198.0,209.9,198.0,208.0,3532.0
2012-10-09 09:15:00,202.0,214.5,202.0,208.75,5460.0
2012-10-10 09:15:00,200.6,215.0,200.6,210.05,8222.0
2012-10-11 09:15:00,204.0,215.0,204.0,212.45,7848.0
2012-10-12 09:15:00,207.1,217.7,207.1,213.15,8083.0
2012-10-15 09:15:00,205.0,223.8,205.0,223.8,9782.0
2012-10-16 09:15:00,222.0,234.95,222.0,234.95,15981.0
2012-10-17 09:15:00,233.0,243.7,224.15,235.35,16497.0
2012-10-18 09:15:00,223.6,240.6,223.6,235.15,16397.0
2012-10-19 09:15:00,231.05,246.9,231.05,246.9,12665.0
2012-10-22 09:15:00,244.0,259.2,241.0,252.25,32665.0
2012-10-23 09:15:00,232.5,247.0,232.5,234.9,15234.0
2012-10-25 09:15:00,225.5,243.5,225.5,234.45,8731.0
2012-10-29 09:15:00,226.0,235.0,225.9,226.25,5665.0
2012-10-30 09:15:00,224.1,228.25,219.0,221.0,3531.0
2012-10-31 09:15:00,210.5,229.65,210.5,219.75,1896.0
2012-11-01 09:15:00,210.6,228.0,210.6,219.5,6130.0
2012-11-02 09:15:00,218.0,224.4,218.0,222.0,6185.0
2012-11-05 09:15:00,214.0,232.9,214.0,221.55,8138.0
2012-11-06 09:15:00,210.5,232.6,210.5,232.6,5299.0
2012-11-07 09:15:00,244.2,244.2,244.2,244.2,2121.0
2012-11-08 09:15:00,256.4,256.4,256.4,256.4,2448.0
2012-11-09 09:15:00,269.2,269.2,269.2,269.2,3567.0
2012-11-12 09:15:00,282.65,282.65,282.65,282.65,4438.0
2012-11-15 09:15:00,311.55,311.55,300.0,311.55,45992.0
2012-11-16 09:15:00,327.1,327.1,317.5,327.1,36109.0
2012-11-19 09:15:00,330.0,334.9,310.75,312.8,38398.0
2012-11-20 09:15:00,300.0,326.95,300.0,305.6,6200.0
2012-11-21 09:15:00,301.4,320.85,301.4,320.85,24716.0
2012-11-22 09:15:00,322.0,336.85,322.0,336.85,15238.0
2012-11-23 09:15:00,334.0,353.65,334.0,353.65,41082.0
2012-11-26 09:15:00,364.0,371.3,353.65,371.3,17807.0
2012-11-27 09:15:00,379.4,389.85,359.0,389.85,39560.0
2012-11-29 09:15:00,394.4,406.0,375.1,388.85,20477.0
2012-11-30 09:15:00,403.9,403.9,369.45,374.85,13138.0
2012-12-03 09:15:00,375.0,393.55,361.65,372.55,9088.0
2012-12-04 09:15:00,357.05,378.0,354.0,358.2,11627.0
2012-12-05 09:15:00,362.1,376.1,351.05,375.05,21972.0
2012-12-06 09:15:00,379.3,379.3,361.05,371.55,9780.0
2012-12-07 09:15:00,362.95,379.7,358.0,362.35,9076.0
2012-12-10 09:15:00,365.4,365.4,349.1,356.0,9156.0
2012-12-11 09:15:00,345.1,360.0,341.0,344.7,8964.0
2012-12-12 09:15:00,342.0,361.9,330.55,359.8,17513.0
2012-12-13 09:15:00,359.8,361.4,345.25,346.85,7092.0
2012-12-14 09:15:00,346.0,354.75,340.0,350.95,5728.0
2012-12-17 09:15:00,365.4,365.4,335.4,350.5,2126.0
2012-12-18 09:15:00,365.0,365.0,346.45,354.15,2143.0
2012-12-19 09:15:00,354.5,359.95,346.05,349.95,4225.0
2012-12-20 09:15:00,345.1,351.0,344.1,348.95,2898.0
2012-12-21 09:15:00,335.45,349.95,335.45,342.2,2377.0
2012-12-24 09:15:00,342.0,359.3,335.4,359.3,12945.0
2012-12-26 09:15:00,365.0,377.25,358.0,376.3,56543.0
2012-12-27 09:15:00,376.0,378.9,357.55,361.3,7232.0
2012-12-28 09:15:00,345.05,365.5,345.05,357.65,2698.0
2012-12-31 09:15:00,345.35,373.9,345.35,352.65,7133.0
2013-01-01 09:15:00,345.0,363.85,345.0,354.75,3867.0
2013-01-02 09:15:00,347.1,362.1,347.1,358.45,3257.0
2013-01-03 09:15:00,362.1,362.1,347.1,355.65,5269.0
2013-01-04 09:15:00,345.0,361.0,345.0,359.75,6885.0
2013-01-07 09:15:00,360.0,377.25,356.0,367.1,15689.0
2013-01-08 09:15:00,351.0,369.35,351.0,358.05,2961.0
2013-01-09 09:15:00,358.0,375.95,358.0,367.85,15056.0
2013-01-10 09:15:00,362.0,366.9,358.4,361.85,4467.0
2013-01-11 09:15:00,356.15,365.6,354.0,356.2,6418.0
2013-01-14 09:15:00,350.0,358.0,350.0,357.05,2929.0
2013-01-15 09:15:00,348.0,365.1,348.0,361.7,8189.0
2013-01-16 09:15:00,352.05,372.0,352.05,360.05,5544.0
2013-01-17 09:15:00,352.15,365.0,352.15,361.0,5275.0
2013-01-18 09:15:00,352.15,363.1,352.15,359.8,2259.0
2013-01-21 09:15:00,350.0,363.6,350.0,352.65,15363.0
2013-01-22 09:15:00,348.0,354.0,348.0,351.65,1689.0
2013-01-23 09:15:00,348.0,352.0,342.0,346.7,2321.0
2013-01-24 09:15:00,341.0,346.0,333.1,335.1,5444.0
2013-01-25 09:15:00,341.0,341.0,322.05,336.25,4950.0
2013-01-28 09:15:00,320.65,349.95,320.65,343.85,1725.0
2013-01-29 09:15:00,349.0,361.0,330.65,361.0,22678.0
2013-01-30 09:15:00,367.0,379.05,350.3,377.55,26755.0
2013-01-31 09:15:00,378.0,385.0,360.05,369.45,10640.0
2013-02-01 09:15:00,369.45,375.95,362.05,366.45,2139.0
2013-02-04 09:15:00,355.2,373.0,355.2,372.35,2921.0
2013-02-05 09:15:00,373.0,373.0,355.15,360.35,2282.0
2013-02-06 09:15:00,358.0,378.35,358.0,378.35,6152.0
2013-02-07 09:15:00,397.25,397.25,380.0,395.6,26973.0
2013-02-08 09:15:00,377.4,395.0,375.85,375.85,13845.0
2013-02-11 09:15:00,357.55,375.25,357.15,369.2,13569.0
2013-02-12 09:15:00,358.0,372.85,358.0,361.05,8055.0
2013-02-13 09:15:00,358.5,367.95,350.2,351.55,6056.0
2013-02-14 09:15:00,351.5,358.75,351.5,353.3,6668.0
2013-02-15 09:15:00,348.0,369.9,348.0,356.75,3629.0
2013-02-18 09:15:00,356.0,360.0,345.05,349.05,5422.0
2013-02-19 09:15:00,350.05,357.8,345.0,348.95,3783.0
2013-02-20 09:15:00,348.5,356.85,345.0,351.0,1210.0
2013-02-21 09:15:00,345.4,349.95,335.0,340.3,6408.0
2013-02-22 09:15:00,330.4,343.85,330.4,335.35,4998.0
2013-02-25 09:15:00,330.45,347.85,330.45,336.95,3409.0
2013-02-26 09:15:00,336.05,336.05,320.15,320.15,11632.0
2013-02-27 09:15:00,304.2,324.0,304.2,319.35,5498.0
2013-02-28 09:15:00,312.1,329.85,309.7,312.0,8972.0
2013-03-01 09:15:00,300.2,319.0,300.2,310.05,8106.0
2013-03-04 09:15:00,312.0,318.0,300.0,310.35,18495.0
2013-03-05 09:15:00,302.15,318.8,302.15,314.8,11642.0
2013-03-06 09:15:00,310.15,325.0,310.1,319.85,12392.0
2013-03-07 09:15:00,316.0,334.8,316.0,333.6,11223.0
2013-03-08 09:15:00,327.4,345.0,327.4,344.15,37478.0
2013-03-11 09:15:00,345.0,366.4,336.5,360.45,20709.0
2013-03-12 09:15:00,353.0,370.0,353.0,367.2,33402.0
2013-03-13 09:15:00,367.0,385.0,363.1,365.25,27382.0
2013-03-14 09:15:00,355.2,382.4,355.2,380.0,12490.0
2013-03-15 09:15:00,374.0,385.0,373.0,378.6,13556.0
2013-03-18 09:15:00,365.15,375.0,363.35,372.0,10605.0
2013-03-19 09:15:00,380.1,380.1,363.0,366.15,18839.0
2013-03-20 09:15:00,368.0,368.0,342.0,347.0,5994.0
2013-03-21 09:15:00,347.0,356.0,321.5,324.65,11030.0
2013-03-22 09:15:00,320.0,332.5,320.0,327.45,8642.0
2013-03-25 09:15:00,330.0,338.8,325.0,331.75,9542.0
2013-03-26 09:15:00,347.0,348.0,327.15,332.85,6884.0
2013-03-28 09:15:00,334.0,340.0,330.0,335.9,4992.0
2013-04-01 09:15:00,353.0,369.35,343.0,362.8,8309.0
2013-04-02 09:15:00,362.0,376.0,356.05,374.25,12886.0
2013-04-03 09:15:00,361.0,374.25,361.0,366.0,10425.0
2013-04-04 09:15:00,365.05,375.0,353.0,353.9,5477.0
2013-04-05 09:15:00,345.4,363.95,342.15,344.95,11768.0
2013-04-08 09:15:00,344.05,360.0,337.05,358.55,4200.0
2013-04-09 09:15:00,345.0,363.85,341.25,347.2,5942.0
2013-04-10 09:15:00,340.0,353.5,334.0,347.25,10909.0
2013-04-11 09:15:00,348.0,365.0,345.15,350.9,5463.0
2013-04-12 09:15:00,348.0,348.0,341.15,342.85,2666.0
2013-04-15 09:15:00,342.0,354.95,341.0,349.7,3105.0
2013-04-16 09:15:00,349.0,360.0,342.6,352.9,5013.0
2013-04-17 09:15:00,349.0,358.0,349.0,355.1,1148.0
2013-04-18 09:15:00,342.2,360.0,342.15,355.65,9879.0
2013-04-22 09:15:00,344.0,358.95,344.0,354.9,10531.0
2013-04-23 09:15:00,350.5,354.9,347.0,352.4,4989.0
2013-04-25 09:15:00,358.65,379.9,358.65,369.5,14864.0
2013-04-26 09:15:00,361.15,373.55,360.7,362.55,4993.0
2013-04-29 09:15:00,363.05,386.0,363.05,383.6,30575.0
2013-04-30 09:15:00,390.0,396.9,382.8,387.25,27915.0
2013-05-02 09:15:00,389.95,395.0,363.0,376.85,28016.0
2013-05-03 09:15:00,414.5,414.5,414.5,414.5,7846.0
2013-05-06 09:15:00,453.0,455.95,442.0,455.95,66166.0
2013-05-07 09:15:00,468.0,478.7,464.0,478.7,36348.0
2013-05-08 09:15:00,498.9,498.9,471.8,475.7,45203.0
2013-05-09 09:15:00,475.0,498.95,460.1,487.35,39748.0
2013-05-10 09:15:00,484.75,511.7,481.05,510.25,48421.0
2013-05-13 09:15:00,525.0,525.0,497.05,502.95,33913.0
2013-05-14 09:15:00,475.05,480.0,457.0,462.95,10379.0
2013-05-15 09:15:00,453.0,478.0,442.0,454.65,10914.0
2013-05-16 09:15:00,446.0,477.3,441.0,446.9,10654.0
2013-05-17 09:15:00,442.5,450.0,435.0,443.65,13166.0
2013-05-20 09:15:00,443.65,465.8,443.65,465.8,5200.0
2013-05-21 09:15:00,489.05,489.05,458.0,463.7,33339.0
2013-05-22 09:15:00,465.0,478.0,461.0,464.4,11158.0
2013-05-23 09:15:00,452.1,464.9,451.0,451.85,6470.0
2013-05-24 09:15:00,438.0,469.7,438.0,445.5,12062.0
2013-05-27 09:15:00,444.85,467.75,444.85,456.95,39990.0
2013-05-28 09:15:00,460.0,464.8,447.0,451.4,10149.0
2013-05-29 09:15:00,446.1,459.55,444.95,446.95,5995.0
