,Open,High,Low,Close,Volume
2012-06-26 09:15:00,29.5,29.6,29.05,29.2,12562.0
2012-06-27 09:15:00,29.25,29.8,29.05,29.15,24692.0
2012-06-28 09:15:00,29.2,30.0,29.0,29.25,27565.0
2012-06-29 09:15:00,29.4,29.8,29.3,29.55,38136.0
2012-07-02 09:15:00,29.7,30.2,29.65,29.8,31371.0
2012-07-03 09:15:00,30.1,30.4,29.65,29.9,28905.0
2012-07-04 09:15:00,29.9,31.25,29.65,30.75,81131.0
2012-07-05 09:15:00,31.0,31.2,30.7,30.95,79879.0
2012-07-06 09:15:00,31.0,32.0,30.6,30.85,191090.0
2012-07-09 09:15:00,31.15,31.15,30.3,30.45,27708.0
2012-07-10 09:15:00,30.5,30.8,29.8,30.2,30735.0
2012-07-11 09:15:00,30.05,30.5,29.9,30.15,19492.0
2012-07-12 09:15:00,30.05,30.05,29.5,29.6,25310.0
2012-07-13 09:15:00,30.1,30.1,28.95,29.15,28790.0
2012-07-16 09:15:00,29.6,29.6,28.9,28.95,13882.0
2012-07-17 09:15:00,29.2,29.65,28.45,28.55,37390.0
2012-07-18 09:15:00,28.3,28.9,28.1,28.6,17173.0
2012-07-19 09:15:00,28.8,28.9,28.55,28.65,7136.0
2012-07-20 09:15:00,28.6,29.4,28.5,28.7,10438.0
2012-07-23 09:15:00,28.7,28.85,28.2,28.25,13468.0
2012-07-24 09:15:00,28.5,28.7,27.85,28.05,17800.0
2012-07-25 09:15:00,28.4,28.4,27.7,27.9,200140.0
2012-07-26 09:15:00,28.3,28.3,25.55,27.05,26959.0
2012-07-27 09:15:00,27.05,28.7,26.3,27.1,15351.0
2012-07-30 09:15:00,27.5,27.65,26.7,26.95,16881.0
2012-07-31 09:15:00,27.0,27.8,26.95,27.15,21279.0
2012-08-01 09:15:00,27.1,27.5,26.85,27.1,15802.0
2012-08-02 09:15:00,27.75,28.85,27.0,27.85,25015.0
2012-08-03 09:15:00,27.5,28.0,27.3,27.4,9920.0
2012-08-06 09:15:00,27.7,28.5,25.55,25.85,140405.0
2012-08-07 09:15:00,26.15,26.65,24.05,24.35,200263.0
2012-08-08 09:15:00,24.65,25.5,24.3,25.05,83663.0
2012-08-09 09:15:00,25.65,25.65,24.6,24.8,19506.0
2012-08-10 09:15:00,24.8,25.45,24.3,24.9,25608.0
2012-08-13 09:15:00,24.5,24.95,24.2,24.3,30824.0
2012-08-14 09:15:00,25.45,25.6,23.85,24.05,42301.0
2012-08-16 09:15:00,24.2,24.5,24.0,24.05,24926.0
2012-08-17 09:15:00,24.5,24.5,24.0,24.05,11192.0
2012-08-21 09:15:00,24.45,24.45,24.0,24.25,11606.0
2012-08-22 09:15:00,24.25,24.55,23.75,23.9,31242.0
2012-08-23 09:15:00,24.1,24.1,22.4,23.05,40407.0
2012-08-24 09:15:00,22.8,23.0,21.7,22.1,63106.0
2012-08-27 09:15:00,22.5,22.7,21.0,21.15,44391.0
2012-08-28 09:15:00,21.55,21.55,19.0,19.35,136442.0
2012-08-29 09:15:00,19.4,21.2,19.0,19.95,167991.0
2012-08-30 09:15:00,20.0,20.0,16.0,17.65,420140.0
2012-08-31 09:15:00,17.65,19.35,17.5,18.0,72983.0
2012-09-03 09:15:00,18.35,18.9,18.2,18.35,50318.0
2012-09-04 09:15:00,18.5,19.3,18.45,18.8,36862.0
2012-09-05 09:15:00,19.0,19.15,18.25,18.35,29588.0
2012-09-06 09:15:00,18.6,18.9,17.5,17.75,48524.0
2012-09-07 09:15:00,18.8,18.8,17.6,18.0,52133.0
2012-09-10 09:15:00,21.45,23.55,20.9,23.55,752609.0
2012-09-11 09:15:00,24.3,28.25,22.55,28.0,2549846.0
2012-09-12 09:15:00,30.0,30.0,25.45,27.25,1079676.0
2012-09-13 09:15:00,27.25,27.3,26.1,26.5,335880.0
