,Open,High,Low,Close,Volume
2020-07-07 09:15:00,33.55,33.55,32.3,32.85,6511.0
2020-07-07 09:30:00,32.85,32.9,32.8,32.9,642.0
2020-07-07 09:45:00,32.8,32.95,32.25,32.25,25404.0
2020-07-07 10:00:00,32.6,32.6,32.15,32.35,14156.0
2020-07-07 10:15:00,32.35,32.35,32.15,32.35,2894.0
2020-07-07 10:30:00,32.35,32.35,32.0,32.15,8102.0
2020-07-07 10:45:00,32.2,32.25,32.15,32.25,2656.0
2020-07-07 11:00:00,32.4,32.4,32.2,32.3,2986.0
2020-07-07 11:15:00,32.25,32.25,32.0,32.25,11710.0
2020-07-07 11:30:00,32.15,32.3,32.15,32.15,2222.0
2020-07-07 11:45:00,32.2,32.3,32.2,32.3,2944.0
2020-07-07 12:00:00,32.35,32.35,32.2,32.35,2112.0
2020-07-07 12:15:00,32.3,32.35,32.2,32.25,3898.0
2020-07-07 12:30:00,32.25,32.25,32.25,32.25,2812.0
2020-07-07 12:45:00,32.25,32.25,32.25,32.25,1022.0
2020-07-07 13:00:00,32.15,32.25,32.15,32.2,1810.0
2020-07-07 13:15:00,32.2,32.3,32.2,32.3,8580.0
2020-07-07 13:30:00,32.35,32.35,32.25,32.35,2322.0
2020-07-07 13:45:00,32.35,32.45,32.35,32.45,1894.0
2020-07-07 14:00:00,32.35,32.6,32.35,32.6,1598.0
2020-07-07 14:15:00,32.5,32.5,32.25,32.25,4316.0
2020-07-07 14:30:00,32.25,32.35,32.25,32.3,2968.0
2020-07-07 14:45:00,32.25,32.25,32.2,32.2,2956.0
2020-07-07 15:00:00,32.2,32.45,32.0,32.0,19018.0
2020-07-07 15:15:00,32.25,32.35,32.05,32.2,9134.0
2020-07-08 09:15:00,32.2,32.35,32.05,32.2,3459.0
2020-07-08 09:30:00,32.35,32.65,32.2,32.65,10766.0
2020-07-08 09:45:00,32.65,32.65,32.5,32.6,4582.0
2020-07-08 10:00:00,32.6,32.6,32.45,32.45,442.0
2020-07-08 10:15:00,32.45,32.55,32.4,32.55,1226.0
2020-07-08 10:30:00,32.55,32.6,32.4,32.6,2010.0
2020-07-08 10:45:00,32.6,32.65,32.45,32.65,1484.0
2020-07-08 11:00:00,32.5,32.65,32.5,32.5,960.0
2020-07-08 11:15:00,32.5,32.6,32.45,32.45,4348.0
2020-07-08 11:30:00,32.5,32.5,32.35,32.35,3386.0
2020-07-08 11:45:00,32.35,32.4,32.35,32.4,2546.0
2020-07-08 12:00:00,32.4,32.8,32.4,32.65,7460.0
2020-07-08 12:15:00,32.65,32.65,32.65,32.65,296.0
2020-07-08 12:30:00,32.4,32.6,32.35,32.35,5182.0
2020-07-08 12:45:00,32.55,32.6,32.35,32.5,4616.0
