,Open,High,Low,Close,Volume
2019-07-15 09:15:00,37.75,37.75,35.65,36.1,23376.0
2019-07-16 09:15:00,37.5,37.9,35.1,35.95,24582.0
2019-07-17 09:15:00,36.9,37.0,35.75,35.95,12862.0
2019-07-18 09:15:00,35.4,36.3,35.4,36.0,4979.0
2019-07-19 09:15:00,36.4,36.4,35.25,35.4,8844.0
2019-07-22 09:15:00,36.45,36.45,33.55,34.85,16890.0
2019-07-23 09:15:00,34.3,36.45,34.25,35.95,12831.0
2019-07-24 09:15:00,36.4,36.95,35.2,35.95,19014.0
2019-07-25 09:15:00,35.35,36.5,34.75,35.1,5732.0
2019-07-26 09:15:00,35.9,35.9,34.7,35.15,7698.0
2019-07-29 09:15:00,34.4,35.7,34.15,35.2,14326.0
2019-07-30 09:15:00,35.95,35.95,34.0,34.1,20819.0
2019-07-31 09:15:00,34.0,34.6,33.55,33.8,13555.0
2019-08-01 09:15:00,33.8,33.85,33.1,33.35,6105.0
2019-08-02 09:15:00,33.35,34.4,32.55,33.55,36902.0
2019-08-05 09:15:00,34.0,35.35,32.0,32.25,15455.0
2019-08-06 09:15:00,33.3,33.35,32.7,33.0,15145.0
2019-08-07 09:15:00,33.8,34.15,32.25,33.2,14878.0
2019-08-08 09:15:00,33.0,37.95,32.45,34.75,66098.0
2019-08-09 09:15:00,35.7,36.6,34.8,36.15,23635.0
2019-08-13 09:15:00,36.95,38.0,34.0,34.55,104852.0
2019-08-14 09:15:00,35.8,35.8,33.75,34.3,44006.0
2019-08-16 09:15:00,34.3,34.3,33.1,33.35,25010.0
2019-08-19 09:15:00,34.55,35.65,34.1,34.85,38618.0
2019-08-20 09:15:00,35.1,35.4,33.1,34.15,17177.0
2019-08-21 09:15:00,34.0,34.55,32.5,32.95,20773.0
2019-08-22 09:15:00,32.95,33.6,30.85,31.75,57976.0
2019-08-23 09:15:00,31.0,32.7,30.7,31.45,29218.0
2019-08-26 09:15:00,32.0,32.95,30.9,32.05,32914.0
2019-08-27 09:15:00,32.05,34.8,31.35,33.0,69890.0
2019-08-28 09:15:00,32.55,33.9,32.5,32.7,34199.0
2019-08-29 09:15:00,33.7,35.85,32.15,34.05,101970.0
2019-08-30 09:15:00,34.05,34.6,33.55,33.75,10045.0
2019-09-03 09:15:00,33.0,33.4,32.5,33.15,16196.0
2019-09-04 09:15:00,33.0,34.2,33.0,33.05,8787.0
2019-09-05 09:15:00,33.0,34.35,33.0,33.4,37109.0
2019-09-06 09:15:00,34.0,34.95,33.2,33.65,33307.0
2019-09-09 09:15:00,34.1,35.0,33.4,34.3,27719.0
2019-09-11 09:15:00,34.9,36.8,34.55,35.8,94929.0
2019-09-12 09:15:00,36.75,36.75,34.6,35.65,24181.0
2019-09-13 09:15:00,35.65,37.8,35.65,36.95,73823.0
2019-09-16 09:15:00,37.0,37.0,36.05,36.65,22362.0
2019-09-17 09:15:00,37.65,37.65,35.4,35.6,39544.0
2019-09-18 09:15:00,36.4,36.4,35.0,35.8,17255.0
2019-09-19 09:15:00,35.8,36.0,34.85,35.1,12532.0
2019-09-20 09:15:00,36.5,38.55,35.0,37.45,94851.0
2019-09-23 09:15:00,38.0,38.8,37.35,37.55,29098.0
2019-09-24 09:15:00,38.45,38.45,37.5,37.55,20502.0
2019-09-25 09:15:00,37.5,38.05,37.5,37.7,29528.0
2019-09-26 09:15:00,37.8,40.5,37.6,40.0,108719.0
2019-09-27 09:15:00,40.65,42.0,39.0,40.75,92366.0
2019-09-30 09:15:00,41.0,41.6,39.85,40.05,67628.0
2019-10-01 09:15:00,39.9,40.95,37.1,37.9,29683.0
2019-10-03 09:15:00,38.95,38.95,37.0,37.65,24437.0
2019-10-04 09:15:00,38.5,41.8,37.6,38.55,45772.0
2019-10-07 09:15:00,38.85,40.0,38.05,38.2,32552.0
2019-10-09 09:15:00,39.0,39.75,38.0,38.9,33681.0
2019-10-10 09:15:00,38.25,39.35,37.65,38.1,17434.0
2019-10-11 09:15:00,39.0,39.3,37.55,38.25,19035.0
2019-10-14 09:15:00,38.0,39.5,37.85,38.05,35859.0
2019-10-15 09:15:00,38.8,38.8,37.7,38.05,14693.0
2019-10-16 09:15:00,38.05,38.9,37.55,37.85,16738.0
2019-10-17 09:15:00,38.0,39.0,37.6,37.95,15825.0
2019-10-18 09:15:00,38.55,38.65,37.95,38.15,13667.0
2019-10-22 09:15:00,37.85,38.95,37.1,37.45,22434.0
2019-10-23 09:15:00,37.1,37.9,37.0,37.05,13018.0
2019-10-24 09:15:00,37.1,37.55,36.5,36.9,7191.0
2019-10-25 09:00:00,37.55,38.05,36.1,36.15,59862.0
2019-10-29 09:15:00,36.25,37.7,36.25,36.75,45009.0
2019-10-30 09:15:00,37.0,38.45,36.4,37.6,79468.0
2019-10-31 09:15:00,38.5,39.4,37.9,38.35,59741.0
2019-11-01 09:15:00,38.8,38.9,37.3,37.7,39480.0
2019-11-04 09:15:00,38.3,38.6,37.3,37.35,30798.0
2019-11-05 09:15:00,37.05,39.25,37.05,39.0,169093.0
2019-11-06 09:15:00,41.0,41.0,38.2,38.45,329396.0
2019-11-07 09:15:00,39.1,39.75,38.6,39.05,66392.0
2019-11-08 09:15:00,38.45,38.45,36.65,37.1,101367.0
2019-11-11 09:15:00,37.45,37.6,36.3,36.65,25870.0
2019-11-13 09:15:00,36.65,37.85,36.1,36.4,31886.0
2019-11-14 09:15:00,36.6,36.85,35.8,35.9,24275.0
2019-11-15 09:15:00,35.6,36.25,35.55,35.65,18102.0
2019-11-18 09:15:00,35.1,35.5,34.2,34.55,43425.0
2019-11-19 09:15:00,34.9,35.3,33.5,34.05,45243.0
2019-11-20 09:15:00,34.05,35.0,34.05,34.9,15616.0
2019-11-21 09:15:00,35.2,35.2,33.05,34.0,37922.0
2019-11-22 09:15:00,34.75,34.75,32.85,33.1,48791.0
2019-11-25 09:15:00,33.95,34.2,33.25,33.75,18473.0
2019-11-26 09:15:00,34.95,35.0,33.6,33.8,20516.0
2019-11-27 09:15:00,33.6,35.0,33.6,34.35,61280.0
2019-11-28 09:15:00,34.65,34.65,33.95,34.1,25836.0
2019-11-29 09:15:00,33.85,34.4,33.4,33.55,37909.0
2019-12-02 09:15:00,33.9,34.25,33.15,33.5,23479.0
2019-12-03 09:15:00,33.9,33.9,33.05,33.35,10724.0
2019-12-04 09:15:00,33.4,34.15,32.05,32.9,39382.0
2019-12-05 09:15:00,33.2,33.75,32.55,32.7,15464.0
2019-12-06 09:15:00,33.5,33.5,32.3,32.55,14291.0
2019-12-09 09:15:00,33.4,33.4,32.1,32.35,9555.0
2019-12-10 09:15:00,32.95,33.0,31.8,32.1,31818.0
2019-12-11 09:15:00,32.05,32.4,31.65,32.25,20018.0
2019-12-12 09:15:00,31.8,32.6,31.7,32.1,11755.0
2019-12-13 09:15:00,32.4,32.4,31.5,31.75,19111.0
2019-12-16 09:15:00,31.75,32.25,31.75,32.0,9268.0
2019-12-17 09:15:00,32.25,32.3,31.6,31.9,15159.0
2019-12-18 09:15:00,32.0,32.2,31.75,31.9,13814.0
2019-12-19 09:15:00,32.0,32.65,31.75,32.3,13320.0
2019-12-20 09:15:00,33.5,33.5,32.4,32.8,16550.0
2019-12-23 09:15:00,32.95,33.15,32.1,32.25,13077.0
2019-12-24 09:15:00,32.0,33.0,31.35,32.25,29280.0
2019-12-26 09:15:00,32.45,32.45,31.85,32.3,5362.0
2019-12-27 09:15:00,32.5,32.65,32.0,32.45,12999.0
2019-12-30 09:15:00,32.8,33.3,32.1,33.1,23347.0
2019-12-31 09:15:00,33.6,37.4,33.1,35.2,242285.0
2020-01-01 09:15:00,36.0,36.8,35.25,35.8,49077.0
2020-01-02 09:15:00,36.0,36.2,35.1,35.55,25846.0
2020-01-03 09:15:00,35.85,35.85,34.95,35.05,12358.0
2020-01-06 09:15:00,35.5,35.5,32.2,32.8,42082.0
2020-01-07 09:15:00,32.35,34.8,32.35,33.2,24770.0
2020-01-08 09:15:00,33.0,33.4,32.3,32.7,25706.0
2020-01-09 09:15:00,33.2,34.0,33.1,33.4,19395.0
2020-01-10 09:15:00,33.45,34.9,33.45,34.3,30558.0
2020-01-13 09:15:00,34.9,36.9,33.3,35.9,55975.0
2020-01-14 09:15:00,35.85,36.9,35.2,36.05,42338.0
2020-01-15 09:15:00,36.8,36.8,35.5,36.05,17254.0
2020-01-16 09:15:00,35.3,36.5,34.5,35.55,28097.0
2020-01-17 09:15:00,36.25,36.25,34.8,35.05,33478.0
2020-01-20 09:15:00,34.75,36.0,34.2,34.35,22341.0
2020-01-21 09:15:00,34.35,35.5,33.3,34.25,18479.0
2020-01-22 09:15:00,35.15,35.35,33.35,33.5,34294.0
2020-01-23 09:15:00,33.85,34.2,33.4,33.7,10578.0
2020-01-24 09:15:00,33.45,38.0,33.45,36.5,201248.0
2020-01-27 09:15:00,37.65,37.65,36.0,36.15,40850.0
2020-01-28 09:15:00,36.55,36.95,35.15,36.0,41787.0
2020-01-29 09:15:00,36.0,36.3,35.0,35.15,12632.0
2020-01-30 09:15:00,35.6,36.0,34.1,34.7,22212.0
2020-01-31 09:15:00,35.0,35.85,34.7,34.9,23186.0
2020-02-03 09:15:00,34.5,34.85,33.5,34.45,13398.0
2020-02-04 09:15:00,34.7,35.5,34.0,34.8,19419.0
2020-02-05 09:15:00,35.2,35.2,34.2,34.9,37037.0
2020-02-06 09:15:00,34.35,35.75,33.5,34.3,26322.0
2020-02-07 09:15:00,34.95,35.0,33.55,34.15,34810.0
2020-02-10 09:15:00,34.45,35.75,33.75,33.85,21994.0
2020-02-11 09:15:00,34.3,35.25,33.15,34.05,29870.0
2020-02-12 09:15:00,33.3,35.7,33.3,34.5,70278.0
2020-02-13 09:15:00,35.2,35.75,34.55,35.35,90381.0
2020-02-14 09:15:00,35.95,35.95,34.7,34.8,16456.0
2020-02-17 09:15:00,35.1,35.5,33.4,33.5,22503.0
2020-02-18 09:15:00,33.5,33.5,32.75,32.95,18324.0
2020-02-19 09:15:00,33.3,34.1,32.65,32.9,20318.0
2020-02-20 09:15:00,33.0,35.15,32.3,34.45,29579.0
2020-02-24 09:15:00,34.55,34.8,33.8,33.85,11210.0
2020-02-25 09:15:00,33.2,34.0,33.2,33.5,6770.0
2020-02-26 09:15:00,33.9,33.9,33.0,33.5,11548.0
2020-02-27 09:15:00,33.3,34.45,32.5,32.8,23551.0
2020-02-28 09:15:00,33.0,33.0,31.0,31.2,30794.0
2020-03-02 09:15:00,31.6,32.6,30.15,31.15,30895.0
2020-03-03 09:15:00,31.2,32.25,30.85,31.1,13324.0
2020-03-04 09:15:00,31.15,31.4,30.0,30.25,18843.0
2020-03-05 09:15:00,31.0,31.2,30.4,30.8,9134.0
2020-03-06 09:15:00,31.2,31.55,27.45,29.65,24678.0
2020-03-09 09:15:00,30.0,30.0,26.85,27.7,35489.0
2020-03-11 09:15:00,28.25,28.25,24.65,26.85,63808.0
2020-03-12 09:15:00,26.0,28.7,21.5,22.65,99199.0
2020-03-13 09:15:00,19.45,24.7,19.45,24.15,63347.0
2020-03-16 09:15:00,25.0,25.4,22.5,22.95,44496.0
2020-03-17 09:15:00,24.75,27.45,22.85,24.55,87834.0
2020-03-18 09:15:00,26.45,26.8,21.4,23.05,40179.0
2020-03-19 09:15:00,22.95,24.8,21.05,22.25,411131.0
2020-03-20 09:15:00,22.6,24.0,21.5,22.6,31160.0
2020-03-23 09:15:00,21.8,22.85,19.0,19.9,29446.0
2020-03-24 09:15:00,21.0,21.0,19.0,20.15,13014.0
2020-03-25 09:15:00,20.95,22.4,19.1,20.0,59284.0
2020-03-26 09:15:00,19.85,22.75,19.15,21.75,51356.0
2020-03-27 09:15:00,22.5,23.95,21.6,23.15,69051.0
2020-03-30 09:15:00,23.15,24.5,20.25,24.3,82872.0
2020-03-31 09:15:00,26.25,26.3,24.5,25.55,278064.0
2020-04-01 09:15:00,26.2,26.2,24.15,24.55,27658.0
2020-04-03 09:15:00,25.0,25.55,23.2,24.45,18990.0
2020-04-07 09:15:00,25.0,27.95,24.6,27.5,138494.0
2020-04-08 09:15:00,27.9,29.0,25.9,26.2,80527.0
2020-04-09 09:15:00,27.8,27.8,26.05,26.6,36003.0
2020-04-13 09:15:00,26.5,28.0,25.0,26.2,40392.0
2020-04-15 09:15:00,26.6,31.4,25.6,27.85,75893.0
2020-04-16 09:15:00,28.0,28.65,24.65,26.8,87254.0
2020-04-17 09:15:00,28.8,29.0,26.8,28.75,81116.0
2020-04-20 09:15:00,32.7,33.5,30.9,33.15,396939.0
2020-04-21 09:15:00,33.0,33.0,30.0,30.2,130105.0
2020-04-22 09:15:00,31.5,31.5,28.35,29.65,54137.0
2020-04-23 09:15:00,31.0,31.35,29.15,29.75,61027.0
2020-04-24 09:15:00,29.7,30.5,27.75,28.2,49512.0
2020-04-27 09:15:00,29.15,29.4,28.3,28.75,22616.0
2020-04-28 09:15:00,28.2,30.0,27.9,29.05,77278.0
2020-04-29 09:15:00,29.7,29.8,29.1,29.3,36343.0
2020-04-30 09:15:00,29.95,30.0,28.65,29.05,38288.0
2020-05-04 09:15:00,28.85,28.85,27.15,27.95,16867.0
2020-05-05 09:15:00,29.0,29.0,27.2,27.45,24465.0
2020-05-06 09:15:00,27.5,27.9,27.0,27.05,14464.0
