,Open,High,Low,Close,Volume
2020-08-10 09:15:00,30.95,30.95,30.05,30.9,3.0
2020-08-10 09:17:00,30.8,30.8,30.5,30.5,1281.0
2020-08-10 09:19:00,30.35,30.6,30.35,30.6,47.0
2020-08-10 09:21:00,30.7,30.7,30.6,30.6,158.0
2020-08-10 09:25:00,30.65,30.65,30.55,30.55,83.0
2020-08-10 09:27:00,30.55,30.55,30.55,30.55,99.0
2020-08-10 09:29:00,30.65,30.65,30.55,30.55,159.0
2020-08-10 09:31:00,30.55,30.6,30.55,30.55,379.0
2020-08-10 09:33:00,30.6,30.9,30.6,30.9,736.0
2020-08-10 09:35:00,30.7,31.0,30.6,31.0,2405.0
2020-08-10 09:37:00,30.75,30.75,30.6,30.6,859.0
2020-08-10 09:39:00,30.55,30.65,30.55,30.65,1806.0
2020-08-10 09:45:00,30.65,30.8,30.65,30.8,176.0
2020-08-10 09:47:00,30.85,30.85,30.85,30.85,475.0
2020-08-10 09:49:00,30.85,30.9,30.85,30.9,36.0
2020-08-10 09:51:00,30.9,30.9,30.9,30.9,107.0
2020-08-10 09:53:00,30.9,30.95,30.9,30.95,256.0
2020-08-10 09:55:00,30.8,30.8,30.8,30.8,154.0
2020-08-10 09:57:00,30.65,30.65,30.6,30.6,1001.0
2020-08-10 09:59:00,30.85,30.85,30.85,30.85,106.0
2020-08-10 10:01:00,30.75,30.75,30.75,30.75,248.0
2020-08-10 10:03:00,30.65,30.65,30.65,30.65,404.0
2020-08-10 10:05:00,30.9,30.9,30.9,30.9,193.0
2020-08-10 10:07:00,30.7,30.7,30.7,30.7,103.0
2020-08-10 10:09:00,30.9,30.9,30.9,30.9,196.0
2020-08-10 10:13:00,30.8,30.8,30.8,30.8,0.0
2020-08-10 10:17:00,30.9,30.95,30.9,30.95,976.0
2020-08-10 10:25:00,30.85,30.85,30.8,30.8,427.0
2020-08-10 10:27:00,30.95,31.1,30.95,31.05,2187.0
2020-08-10 10:29:00,30.85,30.85,30.8,30.8,619.0
2020-08-10 10:31:00,30.85,30.85,30.85,30.85,862.0
2020-08-10 10:33:00,30.95,30.95,30.95,30.95,0.0
2020-08-10 10:35:00,30.9,30.9,30.85,30.85,35.0
2020-08-10 10:37:00,30.85,31.1,30.85,31.1,2041.0
2020-08-10 10:39:00,30.9,30.9,30.9,30.9,0.0
2020-08-10 10:43:00,30.85,30.85,30.85,30.85,178.0
2020-08-10 10:45:00,30.95,30.95,30.8,30.8,111.0
2020-08-10 10:49:00,30.85,30.85,30.85,30.85,0.0
2020-08-10 10:53:00,31.0,31.0,31.0,31.0,2902.0
2020-08-10 10:55:00,31.0,31.05,31.0,31.05,46.0
2020-08-10 10:59:00,30.9,31.0,30.8,31.0,4518.0
