,Open,High,Low,Close,Volume
2020-05-18 09:15:00,10.45,10.65,10.25,10.55,945
2020-05-19 09:15:00,10.55,10.55,10.5,10.5,108
2020-05-20 09:15:00,10.5,10.7,10.3,10.7,997
2020-05-21 09:15:00,10.7,10.7,10.7,10.7,13
2020-05-22 09:15:00,10.7,10.7,10.7,10.7,27
2020-05-26 09:15:00,10.7,10.7,10.7,10.7,6
2020-05-27 09:15:00,10.7,10.9,10.7,10.9,270
2020-05-28 09:15:00,10.9,11.1,10.7,10.7,121
2020-05-29 09:15:00,10.5,10.7,10.5,10.7,572
2020-06-01 09:15:00,10.7,10.9,10.5,10.8,899
2020-06-02 09:15:00,10.9,11.0,10.6,11.0,733
2020-06-03 09:15:00,11.05,11.2,10.8,10.8,1049
2020-06-04 09:15:00,10.8,11.0,10.6,10.6,967
2020-06-05 09:15:00,10.6,10.7,10.6,10.7,105
2020-06-08 09:15:00,10.75,10.9,10.75,10.9,144
2020-06-09 09:15:00,10.95,11.1,10.95,11.1,128
2020-06-10 09:15:00,11.3,11.3,11.0,11.0,4160
2020-06-11 09:15:00,10.8,10.85,10.8,10.85,37
2020-06-12 09:15:00,10.65,10.65,10.65,10.65,1557
2020-06-15 09:15:00,10.85,10.85,10.45,10.5,4420
2020-06-16 09:15:00,10.7,10.7,10.3,10.3,2850
2020-06-17 09:15:00,10.3,10.5,10.3,10.4,100
2020-06-18 09:15:00,10.2,10.6,10.2,10.6,115
2020-06-19 09:15:00,10.8,10.8,10.65,10.8,4683
2020-06-22 09:15:00,11.0,11.0,10.6,10.75,7336
2020-06-23 09:15:00,10.95,10.95,10.75,10.95,1028
2020-06-24 09:15:00,11.15,11.15,10.8,11.05,7700
2020-06-25 09:15:00,11.05,11.25,11.05,11.25,2801
2020-06-26 09:15:00,11.25,11.3,11.25,11.3,631
2020-06-29 09:15:00,11.3,11.35,11.1,11.1,3095
2020-06-30 09:15:00,11.1,11.1,10.9,10.9,4693
2020-07-01 09:15:00,10.9,11.1,10.7,11.1,2980
2020-07-02 09:15:00,11.1,11.1,10.9,11.05,2755
2020-07-03 09:15:00,10.85,11.25,10.85,11.25,3211
2020-07-06 09:15:00,11.25,11.4,11.15,11.15,1013
2020-07-07 09:15:00,11.35,11.35,10.95,11.3,1175
2020-07-08 09:15:00,11.3,11.3,11.3,11.3,166
2020-07-09 09:15:00,11.1,11.3,11.1,11.1,764
2020-07-10 09:15:00,11.1,11.1,10.9,10.9,136
2020-07-13 09:15:00,11.1,11.1,10.75,10.75,1829
2020-07-14 09:15:00,10.75,10.75,10.55,10.75,1662
2020-07-15 09:15:00,10.75,10.75,10.55,10.55,250
2020-07-16 09:15:00,10.75,10.75,10.35,10.75,1842
2020-07-17 09:15:00,10.75,10.75,10.75,10.75,1183
2020-07-20 09:15:00,10.75,10.95,10.55,10.85,1697
2020-07-21 09:15:00,11.05,11.05,10.65,10.75,319
2020-07-22 09:15:00,10.75,10.95,10.55,10.7,1392
2020-07-23 09:15:00,10.7,10.9,10.5,10.85,702
2020-07-24 09:15:00,10.65,10.65,10.65,10.65,1601
2020-07-27 09:15:00,10.65,10.65,10.45,10.65,460
2020-07-28 09:15:00,10.6,10.6,10.45,10.55,596
2020-07-29 09:15:00,10.7,10.7,10.35,10.45,726
2020-07-30 09:15:00,10.45,10.55,10.25,10.25,628
2020-07-31 09:15:00,10.05,10.45,10.05,10.4,8380
2020-08-03 09:15:00,10.4,10.6,10.2,10.25,5139
2020-08-04 09:15:00,10.1,10.25,10.1,10.25,57
2020-08-05 09:15:00,10.3,10.3,10.25,10.25,207
2020-08-06 09:15:00,10.25,10.3,10.25,10.25,102
2020-08-07 09:15:00,10.25,10.4,10.05,10.25,8986
2020-08-10 15:29:50,10.25,10.25,10.05,10.1,24645
