,Open,High,Low,Close,Volume
2019-07-01 09:15:00,23210.0,23500.0,22765.0,23014.3,1492.0
2019-07-02 09:15:00,22702.3,23489.9,22702.3,23392.9,727.0
2019-07-03 09:15:00,23304.3,23450.0,23085.0,23206.8,1379.0
2019-07-04 09:15:00,23245.0,23400.0,22680.0,22794.7,1071.0
2019-07-05 09:15:00,22964.4,23042.7,22600.0,22753.8,1021.0
2019-07-08 09:15:00,22500.0,22898.9,22050.0,22108.3,1329.0
2019-07-09 09:15:00,22021.1,22199.8,21800.0,21848.6,2673.0
2019-07-10 09:15:00,22106.4,22113.9,21851.6,21985.3,701.0
2019-07-11 09:15:00,22000.0,22185.9,21662.0,21719.1,726.0
2019-07-12 09:15:00,21819.8,22053.0,21750.0,21930.2,1059.0
2019-07-15 09:15:00,21817.2,21996.0,21702.2,21753.4,427.0
2019-07-16 09:15:00,22130.0,22130.0,21940.3,22053.8,426.0
2019-07-17 09:15:00,22053.8,22450.0,22025.0,22258.7,619.0
2019-07-18 09:15:00,22258.0,22336.2,21905.6,21915.8,651.0
2019-07-19 09:15:00,22054.1,22054.1,21730.0,21884.8,458.0
2019-07-22 09:15:00,21884.8,21884.8,21650.1,21677.2,6166.0
2019-07-23 09:15:00,21848.0,21900.0,21600.0,21828.4,612.0
2019-07-24 09:15:00,21853.8,21900.0,21400.0,21454.2,912.0
2019-07-25 09:15:00,21620.5,21688.0,21102.0,21162.2,1060.0
2019-07-26 09:15:00,20900.0,21157.7,20743.1,20903.4,2335.0
2019-07-29 09:15:00,21274.0,21350.0,20701.6,21268.8,658.0
2019-07-30 09:15:00,21259.9,21378.5,20867.7,20989.8,904.0
2019-07-31 09:15:00,20990.0,21222.0,20669.2,21107.9,846.0
2019-08-01 09:15:00,21211.9,21293.3,20630.0,20704.1,663.0
2019-08-02 09:15:00,20733.2,20964.3,20506.1,20842.7,727.0
2019-08-05 09:15:00,20820.0,20820.0,20200.0,20557.3,1163.0
2019-08-06 09:15:00,20730.0,20900.0,20493.3,20836.8,683.0
2019-08-07 09:15:00,20793.1,21199.9,20750.0,20858.1,900.0
2019-08-08 09:15:00,21000.0,21400.0,20723.1,21099.8,1099.0
2019-08-09 09:15:00,21287.9,21388.7,21200.0,21225.9,358.0
2019-08-13 09:15:00,21260.0,21699.9,20598.9,21212.7,3471.0
2019-08-14 09:15:00,21013.0,21850.1,20916.0,21000.5,2810.0
2019-08-16 09:15:00,21148.0,21150.0,20850.0,20913.4,661.0
2019-08-19 09:15:00,21199.0,21249.9,20650.0,20719.7,783.0
2019-08-20 09:15:00,20863.7,20913.7,20600.0,20614.4,963.0
2019-08-21 09:15:00,20848.0,20848.0,20300.0,20315.8,732.0
2019-08-22 09:15:00,20126.0,20490.0,20100.0,20236.1,495.0
2019-08-23 09:15:00,20151.0,20625.0,20125.2,20538.9,1186.0
2019-08-26 09:15:00,21011.0,21099.0,20501.1,20563.6,720.0
2019-08-27 09:15:00,20525.0,21117.9,20525.0,20928.3,1155.0
2019-08-28 09:15:00,20935.1,21169.1,20322.0,20425.6,738.0
2019-08-29 09:15:00,20550.0,20779.9,20350.0,20424.4,3865.0
2019-08-30 09:15:00,20405.0,21000.0,20175.0,20233.4,1743.0
2019-09-03 09:15:00,20349.0,21000.0,20000.0,20098.9,7637.0
2019-09-04 09:15:00,20147.9,20450.0,19994.0,20350.2,1927.0
2019-09-05 09:15:00,20498.0,20548.9,20210.1,20407.8,1339.0
2019-09-06 09:15:00,20463.4,20719.9,20450.1,20515.3,1794.0
2019-09-09 09:15:00,20778.0,20778.0,20503.7,20604.3,1165.0
2019-09-11 09:15:00,20800.0,20800.0,20150.0,20260.6,4281.0
2019-09-12 09:15:00,20444.0,20444.0,20105.6,20142.1,28526.0
2019-09-13 09:15:00,20142.1,20499.9,20142.1,20352.6,763.0
2019-09-16 09:15:00,20440.0,20440.0,16749.9,18165.9,270756.0
2019-09-17 09:15:00,18999.9,19444.0,18720.1,19207.1,23564.0
2019-09-18 09:15:00,19400.0,19499.7,18905.1,19170.3,5019.0
2019-09-19 09:15:00,19170.3,19170.3,18501.0,18526.5,5238.0
2019-09-20 09:15:00,18748.8,20588.9,18580.0,20224.4,10486.0
2019-09-23 09:15:00,20600.0,20900.0,19910.7,20379.2,5626.0
2019-09-24 09:15:00,20450.0,20699.9,19600.0,19722.3,2556.0
2019-09-25 09:15:00,19723.0,20300.0,19527.2,20058.9,4949.0
2019-09-26 09:15:00,20184.0,20495.0,19950.0,20061.9,1613.0
2019-09-27 09:15:00,20095.0,20550.0,19840.2,20517.4,3436.0
2019-09-30 09:15:00,20450.0,20790.7,19910.8,20671.1,2831.0
