,Open,High,Low,Close,Volume
2020-05-05 09:15:00,6.5,6.8,6.5,6.5,1108
2020-05-06 09:15:00,6.5,6.5,6.5,6.5,0
2020-05-07 09:15:00,6.2,6.2,6.2,6.2,37
2020-05-08 09:15:00,5.9,5.9,5.9,5.9,633
2020-05-11 09:15:00,5.65,5.65,5.65,5.65,3008
2020-05-12 09:15:00,5.65,5.65,5.65,5.65,0
2020-05-13 09:15:00,5.4,5.4,5.4,5.4,200
2020-05-14 09:15:00,5.15,5.15,5.15,5.15,500
2020-05-15 09:15:00,5.15,5.15,5.15,5.15,410
2020-05-18 09:15:00,5.15,5.15,5.15,5.15,108
2020-05-19 09:15:00,5.15,5.15,5.15,5.15,0
2020-05-20 09:15:00,5.15,5.15,5.15,5.15,1
2020-05-21 09:15:00,4.9,5.0,4.9,4.9,5309
2020-05-22 09:15:00,4.7,4.7,4.7,4.7,500
2020-05-26 09:15:00,4.7,4.7,4.7,4.7,0
2020-05-27 09:15:00,4.7,4.7,4.7,4.7,0
2020-05-28 09:15:00,4.5,4.5,4.5,4.5,780
2020-05-29 09:15:00,4.5,4.5,4.5,4.5,0
2020-06-01 09:15:00,4.5,4.5,4.5,4.5,4593
2020-06-02 09:15:00,4.7,4.7,4.3,4.7,500
2020-06-03 09:15:00,4.7,4.7,4.7,4.7,0
2020-06-04 09:15:00,4.7,4.7,4.7,4.7,0
2020-06-05 09:15:00,4.9,4.9,4.9,4.9,20
2020-06-08 09:15:00,5.1,5.1,5.1,5.1,1106
2020-06-09 09:15:00,5.35,5.35,5.35,5.35,1000
2020-06-10 09:15:00,5.35,5.35,5.35,5.35,0
2020-06-11 09:15:00,5.6,5.6,5.6,5.6,15
2020-06-12 09:15:00,5.6,5.6,5.6,5.6,0
2020-06-15 09:15:00,5.6,5.6,5.6,5.6,10
2020-06-16 09:15:00,5.6,5.6,5.6,5.6,0
2020-06-17 09:15:00,5.6,5.6,5.6,5.6,10
2020-06-18 09:15:00,5.6,5.6,5.6,5.6,340
2020-06-19 09:15:00,5.85,5.85,5.85,5.85,375
2020-06-22 09:15:00,6.1,6.1,6.1,6.1,900
2020-06-23 09:15:00,6.4,6.4,6.4,6.4,320
2020-06-24 09:15:00,6.4,6.4,6.4,6.4,1080
2020-06-25 09:15:00,6.4,6.4,6.4,6.4,500
2020-06-26 09:15:00,6.4,6.4,6.4,6.4,3420
2020-06-29 09:15:00,6.4,6.7,6.4,6.4,1167
2020-06-30 09:15:00,6.45,6.45,6.4,6.45,100
2020-07-01 09:15:00,6.45,6.45,6.45,6.45,1004
2020-07-02 09:15:00,6.75,6.75,6.4,6.75,550
2020-07-03 09:15:00,6.75,6.75,6.75,6.75,0
2020-07-06 09:15:00,6.45,6.45,6.45,6.45,10
2020-07-07 09:15:00,6.45,6.45,6.45,6.45,60
2020-07-08 09:15:00,6.45,6.45,6.45,6.45,200
2020-07-09 09:15:00,6.45,6.45,6.45,6.45,0
2020-07-10 09:15:00,6.45,6.45,6.45,6.45,440
2020-07-13 09:15:00,6.45,6.45,6.45,6.45,0
2020-07-14 09:15:00,6.75,6.75,6.45,6.75,5
2020-07-15 09:15:00,7.05,7.05,6.75,7.05,501
2020-07-16 09:15:00,7.05,7.05,7.05,7.05,5
2020-07-17 09:15:00,7.4,7.4,7.4,7.4,1
2020-07-20 09:15:00,7.75,7.75,7.75,7.75,1513
2020-07-21 09:15:00,7.75,7.75,7.75,7.75,12
2020-07-22 09:15:00,8.1,8.1,8.1,8.1,1
2020-07-23 09:15:00,8.1,8.1,8.1,8.1,60
2020-07-24 09:15:00,8.1,8.1,8.1,8.1,25
2020-07-27 09:15:00,7.7,8.1,8.05,8.05,80
