,Open,High,Low,Close,Volume
2020-05-07 09:15:00,1.45,1.45,1.35,1.45,6111887
2020-05-08 09:15:00,1.45,1.45,1.4,1.4,1032194
2020-05-11 09:15:00,1.4,1.45,1.4,1.45,1718336
2020-05-12 09:15:00,1.5,1.5,1.5,1.5,939845
2020-05-13 09:15:00,1.55,1.55,1.55,1.55,288167
2020-05-14 09:15:00,1.6,1.6,1.6,1.6,250762
2020-05-15 09:15:00,1.65,1.65,1.65,1.65,664586
2020-05-18 09:15:00,1.7,1.7,1.6,1.6,5603413
2020-05-19 09:15:00,1.6,1.6,1.55,1.55,1823002
2020-05-20 09:15:00,1.5,1.6,1.5,1.6,2489967
2020-05-21 09:15:00,1.65,1.65,1.6,1.65,2593331
2020-05-22 09:15:00,1.7,1.7,1.65,1.7,1883857
2020-05-26 09:15:00,1.7,1.7,1.65,1.65,1439863
2020-05-27 09:15:00,1.6,1.65,1.6,1.6,1722549
2020-05-28 09:15:00,1.6,1.65,1.55,1.55,3314325
2020-05-29 09:15:00,1.6,1.6,1.55,1.6,1121624
2020-06-01 09:15:00,1.65,1.65,1.6,1.65,2000865
2020-06-02 09:15:00,1.7,1.7,1.65,1.7,5358362
2020-06-03 09:15:00,1.75,1.75,1.65,1.75,6215851
2020-06-04 09:15:00,1.75,1.8,1.7,1.8,4622105
2020-06-05 09:15:00,1.85,1.95,1.85,1.95,2019819
2020-06-08 09:15:00,2.1,2.1,2.1,2.1,1551570
2020-06-09 09:15:00,2.3,2.3,2.25,2.3,5411275
2020-06-10 09:15:00,2.4,2.4,2.4,2.4,694585
2020-06-11 09:15:00,2.5,2.5,2.3,2.35,9977298
2020-06-12 09:15:00,2.25,2.35,2.25,2.25,6483769
2020-06-15 09:15:00,2.25,2.35,2.15,2.35,7829425
2020-06-16 09:15:00,2.45,2.45,2.35,2.45,3990740
2020-06-17 09:15:00,2.55,2.55,2.5,2.55,1520588
2020-06-18 09:15:00,2.65,2.65,2.65,2.65,367790
2020-06-19 09:15:00,2.75,2.75,2.55,2.6,15923954
2020-06-22 09:15:00,2.65,2.7,2.5,2.6,12657764
2020-06-23 09:15:00,2.6,2.7,2.6,2.6,10937732
2020-06-24 09:15:00,2.65,2.65,2.5,2.5,6077274
2020-06-25 09:15:00,2.45,2.5,2.4,2.4,4522995
2020-06-26 09:15:00,2.4,2.5,2.4,2.5,9960406
2020-06-29 09:15:00,2.6,2.6,2.5,2.6,6164239
2020-06-30 09:15:00,2.7,2.7,2.65,2.7,9677859
2020-07-01 09:15:00,2.8,2.8,2.75,2.8,4010604
2020-07-02 09:15:00,2.9,2.9,2.7,2.7,21099048
2020-07-03 09:15:00,2.75,2.8,2.6,2.6,9016486
2020-07-06 09:15:00,2.55,2.55,2.5,2.5,3175086
2020-07-07 09:15:00,2.4,2.6,2.4,2.6,6413751
2020-07-08 09:15:00,2.7,2.7,2.6,2.7,3236486
2020-07-09 09:15:00,2.8,2.8,2.7,2.75,4490935
2020-07-10 09:15:00,2.7,2.75,2.65,2.65,3163425
2020-07-13 09:15:00,2.6,2.65,2.55,2.55,4260840
2020-07-14 09:15:00,2.55,2.6,2.45,2.55,3272577
2020-07-15 09:15:00,2.55,2.65,2.55,2.6,3494290
2020-07-16 09:15:00,2.65,2.7,2.5,2.7,6865908
2020-07-17 09:15:00,2.8,2.8,2.6,2.6,7139138
2020-07-20 09:15:00,2.55,2.65,2.5,2.55,5346755
2020-07-21 09:15:00,2.55,2.6,2.5,2.6,2881987
2020-07-22 09:15:00,2.6,2.65,2.55,2.6,2665396
2020-07-23 09:15:00,2.65,2.65,2.5,2.5,6836794
2020-07-24 09:15:00,2.5,2.5,2.45,2.45,2317899
2020-07-27 09:15:00,2.5,2.55,2.35,2.45,3995361
2020-07-28 09:15:00,2.45,2.5,2.35,2.45,4171752
2020-07-29 09:15:00,2.45,2.5,2.4,2.5,4159267
2020-07-30 13:56:58,2.55,2.55,2.45,2.5,1547771
