,Open,High,Low,Close,Volume
2005-04-01 00:00:00,59.0,59.0,46.18,46.7,80618872
2005-05-01 00:00:00,51.0,51.15,46.35,47.63,56262536
2005-06-01 00:00:00,47.75,49.35,44.2,44.53,14261628
2005-07-01 00:00:00,44.5,53.98,44.03,52.03,46833136
2005-08-01 00:00:00,51.5,68.38,50.13,66.18,160269732
2005-09-01 00:00:00,66.5,72.2,57.63,65.98,80212856
2005-10-01 00:00:00,66.15,69.95,55.0,56.93,29686340
2005-11-01 00:00:00,57.5,73.0,57.5,69.85,38313180
2005-12-01 00:00:00,70.0,99.2,69.5,95.63,132642308
2006-01-01 00:00:00,95.98,100.48,87.75,90.73,56129676
2006-02-01 00:00:00,91.05,92.88,83.1,85.1,21898764
2006-03-01 00:00:00,85.2,95.9,83.5,91.18,32092612
2006-04-01 00:00:00,92.15,98.25,85.0,94.12,28111312
2006-05-01 00:00:00,95.0,108.7,72.5,85.8,41817084
2006-06-01 00:00:00,87.5,88.1,62.5,73.73,14214720
2006-07-01 00:00:00,74.0,78.35,65.7,70.43,15464312
2006-08-01 00:00:00,70.0,87.5,69.75,82.3,27566308
2006-09-01 00:00:00,82.8,88.88,79.75,83.23,16403692
2006-10-01 00:00:00,83.75,95.73,83.25,90.75,32097412
2006-11-01 00:00:00,91.85,96.75,87.5,92.3,31112772
2006-12-01 00:00:00,92.5,96.85,82.5,93.98,21703544
2007-01-01 00:00:00,94.5,152.75,94.38,144.73,161916420
2007-02-01 00:00:00,146.18,161.9,117.0,122.63,56997180
2007-03-01 00:00:00,122.9,129.5,106.75,121.33,29298332
2007-04-01 00:00:00,111.7,153.75,111.7,151.28,60254384
2007-05-01 00:00:00,155.0,164.2,142.5,155.05,81036368
2007-06-01 00:00:00,155.55,158.45,145.3,151.8,38897936
2007-07-01 00:00:00,152.85,162.2,140.55,147.63,26189868
2007-08-01 00:00:00,147.25,155.05,130.0,147.25,14653242
2007-09-01 00:00:00,148.0,156.5,133.55,147.85,18375689
2007-10-01 00:00:00,152.15,157.0,124.3,135.65,17266420
2007-11-01 00:00:00,138.0,154.0,121.1,134.8,8175164
2007-12-01 00:00:00,135.0,148.65,111.0,145.65,10093844
2008-01-01 00:00:00,147.1,159.8,70.3,117.6,16922145
2008-02-01 00:00:00,118.0,135.0,111.15,127.65,6332570
2008-03-01 00:00:00,125.0,126.5,84.1,98.9,4639504
2008-04-01 00:00:00,101.0,138.85,97.3,133.05,12010788
2008-05-01 00:00:00,136.0,136.45,105.9,119.2,10500372
2008-06-01 00:00:00,120.0,121.0,95.6,101.3,4985490
2008-07-01 00:00:00,103.4,114.0,91.65,107.75,6426449
2008-08-01 00:00:00,104.0,119.9,104.0,112.5,4266650
2008-09-01 00:00:00,112.4,115.45,61.5,68.7,5610525
2008-10-01 00:00:00,70.4,72.45,36.0,42.0,6830288
2008-11-01 00:00:00,43.7,49.95,31.3,31.95,4860612
2008-12-01 00:00:00,33.0,44.2,28.1,38.65,11732302
2009-01-01 00:00:00,39.0,43.25,28.2,35.5,18226567
2009-02-01 00:00:00,35.3,39.15,28.6,28.95,21566316
2009-03-01 00:00:00,28.55,33.2,25.0,32.5,10284052
2009-04-01 00:00:00,32.95,49.65,32.6,45.55,43820701
2009-05-01 00:00:00,45.55,75.75,39.95,73.55,111837687
2009-06-01 00:00:00,74.9,94.5,68.1,71.25,46174410
2009-07-01 00:00:00,72.0,82.9,60.6,77.25,22577551
2009-08-01 00:00:00,77.9,91.45,63.9,84.95,57444777
2009-09-01 00:00:00,85.0,92.0,79.0,88.2,42658947
2009-10-01 00:00:00,88.5,105.85,80.3,82.8,124755309
2009-11-01 00:00:00,82.15,88.2,75.0,79.35,57109481
2009-12-01 00:00:00,80.5,95.9,78.4,85.15,69894553
2010-01-01 00:00:00,85.35,97.65,77.0,82.25,114728576
2010-02-01 00:00:00,83.0,85.9,71.55,73.65,16151576
2010-03-01 00:00:00,73.9,83.2,73.9,78.45,23139789
2010-04-01 00:00:00,78.55,82.7,73.2,77.8,37219377
2010-05-01 00:00:00,73.5,75.2,63.75,66.05,16346251
2010-06-01 00:00:00,65.95,66.9,59.8,60.3,17265738
2010-07-01 00:00:00,60.35,68.0,60.1,62.9,25541871
2010-08-01 00:00:00,63.0,69.9,57.25,58.0,19843843
2010-09-01 00:00:00,58.6,65.7,58.1,60.1,21715383
2010-10-01 00:00:00,60.4,70.25,60.15,67.2,39500408
2010-11-01 00:00:00,67.5,72.15,52.5,55.9,35510935
2010-12-01 00:00:00,55.9,60.7,51.0,59.8,22050498
2011-01-01 00:00:00,60.8,63.9,49.15,49.45,16467061
2011-02-01 00:00:00,49.45,52.65,38.1,40.25,16702811
2011-03-01 00:00:00,40.55,44.95,39.4,43.85,17707875
2011-04-01 00:00:00,43.75,51.65,40.5,49.4,44975143
2011-05-01 00:00:00,50.0,52.95,43.55,46.85,50028969
2011-06-01 00:00:00,46.85,51.15,40.0,46.3,31941050
2011-07-01 00:00:00,46.0,49.0,40.5,40.95,20177972
2011-08-01 00:00:00,41.6,42.45,25.25,27.1,25081200
2011-09-01 00:00:00,27.4,31.15,25.85,26.25,17485226
2011-10-01 00:00:00,26.0,27.4,24.2,25.55,14853060
2011-11-01 00:00:00,25.1,25.75,17.5,18.55,21591394
2011-12-01 00:00:00,20.0,20.8,11.6,11.65,56286060
2012-01-01 00:00:00,11.85,17.95,11.7,15.8,71184448
2012-02-01 00:00:00,16.0,22.05,15.5,17.15,101799457
2012-03-01 00:00:00,17.1,18.4,14.7,15.45,34692220
2012-04-01 00:00:00,15.5,16.45,13.9,14.25,19486721
2012-05-01 00:00:00,14.2,14.65,10.8,11.25,20639429
2012-06-01 00:00:00,11.5,12.0,8.55,9.85,50066966
2012-07-01 00:00:00,10.35,13.2,9.45,10.3,82615659
2012-08-01 00:00:00,10.8,11.3,7.5,7.85,20761254
2012-09-01 00:00:00,8.0,9.0,7.35,8.0,16090961
2012-10-01 00:00:00,8.1,8.6,7.45,7.55,14610415
2012-11-01 00:00:00,7.75,8.25,7.05,7.5,16601964
2012-12-01 00:00:00,7.85,10.35,7.6,8.8,31918927
2013-01-01 00:00:00,9.0,9.6,7.55,7.85,17539237
2013-02-01 00:00:00,8.0,8.4,6.3,6.45,14204077
2013-03-01 00:00:00,6.5,7.15,4.95,5.55,18785689
2013-04-01 00:00:00,5.65,6.4,5.3,5.6,10469605
2013-05-01 00:00:00,5.6,6.6,4.95,6.0,19531807
2013-06-01 00:00:00,5.0,6.35,4.5,4.85,14058475
2013-07-01 00:00:00,4.9,5.5,3.55,3.9,15947291
2013-08-01 00:00:00,3.95,4.9,3.55,4.0,12533245
2013-09-01 00:00:00,4.15,6.5,3.95,6.3,21433132
2013-10-01 00:00:00,6.5,6.85,4.9,5.95,18500220
2013-11-01 00:00:00,6.1,6.3,5.4,5.55,7522968
2013-12-01 00:00:00,5.5,7.9,5.5,7.9,20354734
2014-01-01 00:00:00,8.25,9.45,6.9,7.35,17217529
2014-02-01 00:00:00,7.35,8.3,6.45,8.3,6415112
2014-03-01 00:00:00,8.3,8.45,6.8,7.75,18599353
2014-04-01 00:00:00,7.85,8.4,6.9,7.05,16464304
2014-05-01 00:00:00,7.05,10.7,6.0,9.0,61757961
2014-06-01 00:00:00,9.15,13.55,8.95,10.25,97853993
2014-07-01 00:00:00,11.05,11.5,8.05,9.85,16973160
2014-08-01 00:00:00,8.75,9.8,7.95,8.25,15163138
2014-09-01 00:00:00,8.25,9.55,7.9,8.05,26282539
2014-10-01 00:00:00,8.1,8.5,7.15,7.3,11218524
2014-11-01 00:00:00,7.3,10.3,7.3,7.85,38722382
2014-12-01 00:00:00,7.55,10.25,7.05,9.45,49008121
2015-01-01 00:00:00,9.5,10.2,8.3,8.8,33230574
2015-02-01 00:00:00,8.7,9.1,7.65,8.2,24973192
2015-03-01 00:00:00,8.15,8.35,5.5,5.8,25369554
2015-04-01 00:00:00,5.9,8.2,5.8,6.05,38797174
2015-05-01 00:00:00,6.05,7.25,2.3,2.9,279876284
2015-06-01 00:00:00,3.0,6.65,3.0,5.25,73091094
2015-07-01 00:00:00,5.0,5.0,3.5,4.55,48496506
2015-08-01 00:00:00,3.95,4.15,2.8,3.2,74713440
2015-09-01 00:00:00,3.2,3.35,2.85,3.0,29556496
2015-10-01 00:00:00,3.35,4.4,3.25,4.25,67772409
2015-11-01 00:00:00,3.8,4.35,3.55,4.0,32564064
2015-12-01 00:00:00,3.95,6.1,3.9,4.85,138567406
2016-01-01 00:00:00,4.9,6.0,4.3,4.65,117529286
2016-02-01 00:00:00,4.75,5.4,3.85,3.95,35345085
2016-03-01 00:00:00,4.05,4.8,3.95,4.15,25935547
2016-04-01 00:00:00,4.2,4.6,4.1,4.25,19770922
2016-05-01 00:00:00,4.2,4.35,3.8,3.8,22507363
2016-06-01 00:00:00,3.8,5.65,3.75,5.1,68086410
2016-07-01 00:00:00,5.2,5.9,4.95,5.1,48889833
2016-08-01 00:00:00,5.2,6.3,4.75,5.25,106526862
2016-09-01 00:00:00,5.25,6.5,5.0,5.75,79800142
2016-10-01 00:00:00,5.85,7.15,5.65,6.5,75619241
2016-11-01 00:00:00,6.8,6.8,4.9,5.45,49567516
2016-12-01 00:00:00,5.75,6.1,5.3,5.65,27046641
2017-01-01 00:00:00,5.8,6.8,5.55,5.6,55074015
2017-02-01 00:00:00,5.65,5.8,5.1,5.1,46122590
2017-03-01 00:00:00,5.2,5.4,4.7,5.05,44334910
2017-04-01 00:00:00,5.05,6.05,5.0,5.5,40291598
2017-05-01 00:00:00,5.5,5.8,4.45,4.55,56810132
2017-06-01 00:00:00,4.65,4.9,4.0,4.25,57819579
2017-07-01 00:00:00,4.4,4.9,4.1,4.15,84914530
2017-08-01 00:00:00,4.15,4.25,3.6,4.1,49481817
2017-09-01 00:00:00,4.1,4.3,3.75,3.85,32320638
2017-10-01 00:00:00,3.85,4.2,3.7,3.8,32503525
