,Open,High,Low,Close,Volume
2020-04-17 09:15:00,163.4,163.4,155.0,156.85,8566
2020-04-20 09:15:00,158.05,159.6,150.85,155.3,6586
2020-04-21 09:15:00,149.0,152.95,142.55,147.85,5658
2020-04-22 09:15:00,142.3,150.25,135.65,147.85,7090
2020-04-23 09:15:00,157.0,157.0,147.0,151.35,7877
2020-04-24 09:15:00,153.95,154.0,140.0,145.5,8046
2020-04-27 09:15:00,145.55,154.0,145.5,148.95,5198
2020-04-28 09:15:00,148.95,155.0,148.95,153.1,9856
2020-04-29 09:15:00,159.0,159.1,154.7,155.95,3919
2020-04-30 09:15:00,156.0,174.5,155.8,157.8,12063
2020-05-04 09:15:00,160.0,160.0,151.1,158.95,5960
2020-05-05 09:15:00,160.0,174.0,158.5,163.6,10322
2020-05-06 09:15:00,168.0,172.05,159.0,170.1,15410
2020-05-07 09:15:00,177.0,177.0,142.65,170.95,20717
2020-05-08 09:15:00,173.0,177.0,160.0,165.8,23656
2020-05-11 09:15:00,165.5,173.0,160.0,163.05,46376
2020-05-12 09:15:00,163.0,169.95,150.0,151.15,46726
2020-05-13 09:15:00,158.0,160.0,150.5,152.0,24774
2020-05-14 09:15:00,151.5,155.0,149.0,150.95,11587
2020-05-15 09:15:00,150.5,154.95,149.2,152.4,11783
2020-05-18 09:15:00,154.95,154.95,141.0,144.85,15240
2020-05-19 09:15:00,144.85,151.9,141.75,146.95,16111
2020-05-20 09:15:00,146.8,149.9,141.05,143.25,17135
2020-05-21 09:15:00,143.3,145.75,141.1,144.95,18956
2020-05-22 09:15:00,145.0,145.0,131.95,141.9,20000
2020-05-26 09:15:00,141.9,150.0,141.9,147.9,12136
2020-05-27 09:15:00,149.95,156.0,149.95,154.35,10463
2020-05-28 09:15:00,156.45,157.0,150.7,154.85,5704
2020-05-29 09:15:00,149.5,158.0,149.5,156.7,7938
2020-06-01 09:15:00,159.0,167.7,158.05,164.8,17621
2020-06-02 09:15:00,168.0,172.0,160.85,163.75,18412
2020-06-03 09:15:00,162.0,167.65,162.0,163.25,10362
2020-06-04 09:15:00,163.25,166.75,163.0,166.1,32824
2020-06-05 09:15:00,165.0,170.0,163.0,168.35,14583
2020-06-08 09:15:00,173.4,173.4,165.0,166.65,7355
2020-06-09 09:15:00,166.65,179.8,166.0,173.65,29631
2020-06-10 09:15:00,178.0,178.0,165.0,167.1,28418
2020-06-11 09:15:00,169.0,169.0,165.1,166.8,10003
2020-06-12 09:15:00,166.8,166.8,152.8,163.9,5351
2020-06-15 09:15:00,164.0,169.0,160.0,165.15,25682
2020-06-16 09:15:00,167.75,169.7,160.05,161.05,6317
2020-06-17 09:15:00,161.1,170.0,161.1,168.6,27801
2020-06-18 09:15:00,165.05,190.0,165.05,171.95,35835
2020-06-19 09:15:00,171.85,179.0,171.85,177.3,24592
2020-06-22 09:15:00,174.05,194.0,174.0,188.65,21123
2020-06-23 09:15:00,192.0,200.9,192.0,199.85,30472
2020-06-24 09:15:00,205.0,235.55,202.95,219.4,117441
2020-06-25 09:15:00,219.0,263.25,205.5,251.15,316541
2020-06-26 09:15:00,249.8,249.8,228.05,234.0,104841
2020-06-29 09:15:00,233.0,233.0,213.3,216.2,52100
2020-06-30 09:15:00,221.9,230.2,216.3,222.9,30721
2020-07-01 09:15:00,224.0,228.0,202.0,225.9,21102
2020-07-02 09:15:00,227.0,235.55,217.1,230.8,24784
2020-07-03 09:15:00,231.85,237.0,226.95,233.0,10333
2020-07-06 09:15:00,231.5,247.9,229.0,235.25,19648
2020-07-07 09:15:00,235.25,247.4,230.3,244.85,28138
2020-07-08 09:15:00,254.4,255.0,240.5,243.05,33128
2020-07-09 09:15:00,248.35,260.75,244.0,256.0,128413
2020-07-10 09:15:00,253.95,281.6,251.05,281.6,101233
2020-07-13 15:24:35,301.9,309.75,290.0,309.75,146958
