,Open,High,Low,Close,Volume
2020-06-15 09:15:00,164.0,166.85,160.0,161.15,219
2020-06-15 09:45:00,166.8,166.8,161.15,161.4,141
2020-06-15 10:15:00,163.7,163.7,161.55,161.55,10
2020-06-15 10:45:00,164.35,165.0,164.0,164.0,300
2020-06-15 11:15:00,163.95,164.0,163.95,164.0,659
2020-06-15 11:45:00,164.0,164.0,164.0,164.0,5
2020-06-15 12:15:00,163.95,164.0,162.0,164.0,63
2020-06-15 12:45:00,162.55,165.0,162.55,165.0,1591
2020-06-15 13:15:00,167.55,169.0,167.0,169.0,10358
2020-06-15 13:45:00,168.0,169.0,168.0,168.6,6581
2020-06-15 14:15:00,169.0,169.0,165.5,165.5,4392
2020-06-15 14:45:00,165.5,167.65,165.1,165.1,2072
2020-06-15 15:15:00,165.05,167.6,165.0,165.15,1093
2020-06-16 09:15:00,166.5,169.7,165.95,168.75,288
2020-06-16 09:45:00,165.85,167.95,165.85,167.15,178
2020-06-16 10:15:00,167.0,167.0,166.2,166.2,14
2020-06-16 10:45:00,166.8,166.8,166.8,166.8,4
2020-06-16 11:15:00,166.15,166.15,165.2,165.2,30
2020-06-16 11:45:00,166.7,166.7,166.7,166.7,92
2020-06-16 12:15:00,162.05,166.7,162.05,166.7,2478
2020-06-16 12:45:00,166.6,166.6,163.2,163.35,90
2020-06-16 13:15:00,163.35,165.7,162.0,162.0,1148
2020-06-16 13:45:00,161.95,162.0,161.95,162.0,823
2020-06-16 14:15:00,164.5,165.9,164.35,165.0,533
2020-06-16 14:45:00,164.9,164.9,161.55,161.55,18
2020-06-16 15:15:00,162.4,162.4,160.05,161.05,532
2020-06-17 09:15:00,161.1,165.5,161.1,163.95,238
2020-06-17 09:45:00,163.95,163.95,162.0,162.0,107
2020-06-17 10:15:00,162.0,163.7,162.0,163.55,36
2020-06-17 10:45:00,162.5,162.5,162.45,162.45,216
2020-06-17 11:15:00,162.5,170.0,162.5,165.0,7687
2020-06-17 11:45:00,164.2,166.0,164.2,166.0,3202
2020-06-17 12:15:00,166.0,170.0,166.0,169.9,6092
2020-06-17 12:45:00,169.0,169.9,166.75,166.75,5082
2020-06-17 13:15:00,168.5,168.5,166.85,166.9,506
2020-06-17 13:45:00,166.95,168.8,166.95,167.95,3312
2020-06-17 14:15:00,168.1,168.1,167.3,167.4,264
2020-06-17 14:45:00,167.4,167.4,167.4,167.4,0
2020-06-17 15:15:00,167.4,169.85,167.4,168.6,1087
2020-06-18 09:15:00,165.05,183.95,165.05,175.95,3820
2020-06-18 09:45:00,175.05,182.0,172.05,177.4,16700
2020-06-18 10:15:00,180.0,181.0,177.4,177.4,1235
2020-06-18 10:45:00,178.4,178.4,177.4,178.25,636
2020-06-18 11:15:00,177.45,178.25,175.05,176.0,2189
2020-06-18 11:45:00,176.0,176.95,176.0,176.05,4642
2020-06-18 12:15:00,177.0,177.85,176.1,177.85,495
2020-06-18 12:45:00,177.85,177.85,176.1,176.15,255
2020-06-18 13:15:00,176.15,176.15,174.3,174.3,552
2020-06-18 13:45:00,175.55,175.8,174.4,175.0,2380
2020-06-18 14:15:00,175.0,175.0,173.05,173.95,1425
2020-06-18 14:45:00,173.0,173.8,171.9,171.95,2323
2020-06-18 15:15:00,172.0,172.45,171.6,171.95,1227
2020-06-19 09:15:00,171.85,175.5,171.85,174.05,321
2020-06-19 09:45:00,174.05,175.5,174.05,175.5,8201
2020-06-19 10:15:00,175.5,176.35,175.5,176.3,1935
2020-06-19 10:45:00,176.2,176.35,176.15,176.35,475
2020-06-19 11:15:00,176.3,176.35,176.15,176.15,308
2020-06-19 11:45:00,176.15,176.35,176.15,176.35,2
2020-06-19 12:15:00,175.75,177.0,175.75,177.0,2624
2020-06-19 12:45:00,176.55,176.95,176.5,176.5,156
2020-06-19 13:15:00,176.5,177.1,176.5,177.1,456
2020-06-19 13:45:00,177.1,177.2,177.1,177.2,231
2020-06-19 14:15:00,177.1,179.0,177.0,177.9,4140
2020-06-19 14:45:00,177.0,178.5,177.0,178.5,21229
2020-06-19 15:15:00,177.5,177.5,174.5,177.3,3778
2020-06-22 09:15:00,174.0,176.7,174.0,176.7,888
2020-06-22 09:45:00,176.0,182.0,176.0,180.8,1873
2020-06-22 10:15:00,180.45,180.45,176.05,176.1,1374
2020-06-22 10:45:00,176.25,177.95,176.0,176.0,716
2020-06-22 11:15:00,177.4,177.65,177.05,177.05,256
2020-06-22 11:45:00,177.95,177.95,177.95,177.95,277
2020-06-22 12:15:00,178.05,178.05,178.0,178.0,643
2020-06-22 12:45:00,179.3,179.3,178.0,178.1,611
2020-06-22 13:15:00,178.95,179.35,178.05,179.0,125
2020-06-22 13:45:00,179.35,181.0,179.35,180.0,678
2020-06-22 14:15:00,180.0,188.85,180.0,188.8,5422
2020-06-22 14:45:00,187.45,189.0,180.55,186.8,4504
2020-06-22 15:15:00,188.5,194.0,186.8,188.65,3931
2020-06-23 09:15:00,192.0,196.9,192.0,196.0,2536
2020-06-23 09:45:00,196.0,196.9,196.0,196.9,2284
2020-06-23 10:15:00,196.9,196.9,196.0,196.9,1602
2020-06-23 10:45:00,196.9,196.9,195.1,196.8,895
2020-06-23 11:15:00,196.8,196.85,195.95,195.95,951
2020-06-23 11:45:00,195.95,195.95,195.35,195.5,141
2020-06-23 12:15:00,195.95,197.95,195.95,197.95,770
2020-06-23 12:45:00,197.05,198.25,197.0,198.0,4190
2020-06-23 13:15:00,198.0,198.9,198.0,198.9,496
2020-06-23 13:45:00,198.9,200.0,198.0,198.05,5216
2020-06-23 14:15:00,198.9,198.9,198.0,198.7,3124
