,Open,High,Low,Close,Volume
2020-05-18 09:15:00,3.85,3.85,3.65,3.7,197917
2020-05-19 09:15:00,3.75,3.75,3.6,3.6,116939
2020-05-20 09:15:00,3.6,3.7,3.55,3.65,72459
2020-05-21 09:15:00,3.7,3.8,3.65,3.7,82400
2020-05-22 09:15:00,3.65,3.8,3.65,3.7,69393
2020-05-26 09:15:00,3.8,3.8,3.65,3.75,117965
2020-05-27 09:15:00,3.85,3.85,3.6,3.7,211022
2020-05-28 09:15:00,3.7,3.85,3.7,3.85,194139
2020-05-29 09:15:00,4.0,4.0,3.95,4.0,268524
2020-06-01 09:15:00,4.2,4.2,4.1,4.2,313927
2020-06-02 09:15:00,4.4,4.4,4.25,4.4,141387
2020-06-03 09:15:00,4.6,4.6,4.5,4.6,134304
2020-06-04 09:15:00,4.8,4.8,4.4,4.45,418813
2020-06-05 09:15:00,4.35,4.65,4.35,4.5,436680
2020-06-08 09:15:00,4.6,4.7,4.35,4.7,513464
2020-06-09 09:15:00,4.9,4.9,4.5,4.6,447971
2020-06-10 09:15:00,4.6,4.65,4.45,4.55,307104
2020-06-11 09:15:00,4.55,4.65,4.4,4.45,567478
2020-06-12 09:15:00,4.4,4.4,4.25,4.4,158755
2020-06-15 09:15:00,4.55,4.55,4.4,4.5,187662
2020-06-16 09:15:00,4.65,4.65,4.35,4.4,311663
2020-06-17 09:15:00,4.4,4.45,4.35,4.4,118259
2020-06-18 09:15:00,4.5,4.6,4.35,4.6,232878
2020-06-19 09:15:00,4.8,4.8,4.8,4.8,108016
2020-06-22 09:15:00,5.0,5.0,5.0,5.0,66714
2020-06-23 09:15:00,5.25,5.25,5.25,5.25,50843
2020-06-24 09:15:00,5.5,5.5,5.5,5.5,100423
2020-06-25 09:15:00,5.75,5.75,5.75,5.75,59687
2020-06-26 09:15:00,6.0,6.0,6.0,6.0,23650
2020-06-29 09:15:00,6.3,6.3,5.7,5.7,1001685
2020-06-30 09:15:00,5.7,5.95,5.45,5.5,821208
2020-07-01 09:15:00,5.7,5.75,5.4,5.5,640318
2020-07-02 09:15:00,5.7,5.7,5.3,5.6,336708
2020-07-03 09:15:00,5.6,5.8,5.35,5.4,331405
2020-07-06 09:15:00,5.3,5.4,5.15,5.15,297034
2020-07-07 09:15:00,5.0,5.1,4.9,4.9,204269
2020-07-08 09:15:00,4.9,5.0,4.75,4.85,361365
2020-07-09 09:15:00,4.95,5.05,4.8,5.05,552255
2020-07-10 09:15:00,5.05,5.15,4.8,5.0,488129
2020-07-13 09:15:00,5.1,5.1,4.9,4.95,125556
2020-07-14 09:15:00,4.95,4.95,4.75,4.75,178282
2020-07-15 09:15:00,4.7,4.9,4.7,4.75,138524
2020-07-16 09:15:00,4.75,4.75,4.55,4.55,153164
2020-07-17 09:15:00,4.5,4.65,4.35,4.45,365600
2020-07-20 09:15:00,4.5,4.65,4.35,4.5,554671
2020-07-21 09:15:00,4.4,4.5,4.3,4.3,515361
2020-07-22 09:15:00,4.3,4.5,4.2,4.5,372637
2020-07-23 09:15:00,4.7,4.7,4.7,4.7,41259
2020-07-24 09:15:00,4.8,4.85,4.5,4.5,491077
2020-07-27 09:15:00,4.4,4.55,4.3,4.3,546393
2020-07-28 09:15:00,4.3,4.3,4.1,4.1,378600
2020-07-29 09:15:00,4.15,4.3,4.0,4.25,348201
2020-07-30 09:15:00,4.3,4.3,4.05,4.1,288760
2020-07-31 09:15:00,4.2,4.2,3.95,4.0,430152
2020-08-03 09:15:00,4.05,4.15,3.9,4.0,239000
2020-08-04 09:15:00,4.0,4.05,3.95,4.0,146954
2020-08-05 09:15:00,4.1,4.15,4.0,4.05,191234
2020-08-06 09:15:00,4.05,4.2,4.0,4.15,361058
2020-08-07 09:15:00,4.25,4.25,4.05,4.15,298054
2020-08-10 13:36:46,4.15,4.35,4.05,4.25,363878
