,Open,High,Low,Close,Volume
2020-07-30 09:15:00,4.3,4.3,4.25,4.25,0.0
2020-07-30 09:17:00,4.25,4.25,4.25,4.25,0.0
2020-07-30 09:19:00,4.2,4.25,4.2,4.25,2537.0
2020-07-30 09:20:00,4.25,4.25,4.25,4.25,0.0
2020-07-30 09:21:00,4.25,4.25,4.2,4.2,5424.0
2020-07-30 09:22:00,4.25,4.25,4.25,4.25,1000.0
2020-07-30 09:23:00,4.25,4.25,4.2,4.2,434.0
2020-07-30 09:27:00,4.2,4.2,4.15,4.15,250.0
2020-07-30 09:28:00,4.2,4.2,4.2,4.2,443.0
2020-07-30 09:30:00,4.2,4.2,4.2,4.2,4042.0
2020-07-30 09:32:00,4.25,4.25,4.25,4.25,0.0
2020-07-30 09:35:00,4.2,4.2,4.2,4.2,7950.0
2020-07-30 09:37:00,4.25,4.25,4.25,4.25,39252.0
2020-07-30 09:38:00,4.2,4.3,4.2,4.3,0.0
2020-07-30 09:39:00,4.25,4.25,4.25,4.25,1000.0
2020-07-30 09:40:00,4.25,4.25,4.25,4.25,2144.0
2020-07-30 09:41:00,4.25,4.25,4.25,4.25,8.0
2020-07-30 09:42:00,4.25,4.3,4.25,4.3,1548.0
2020-07-30 09:43:00,4.2,4.2,4.2,4.2,0.0
2020-07-30 09:44:00,4.3,4.3,4.3,4.3,1001.0
2020-07-30 09:45:00,4.25,4.25,4.25,4.25,0.0
2020-07-30 09:46:00,4.3,4.3,4.3,4.3,160.0
2020-07-30 09:47:00,4.3,4.3,4.25,4.25,908.0
2020-07-30 09:48:00,4.3,4.3,4.3,4.3,0.0
2020-07-30 09:49:00,4.3,4.3,4.3,4.3,51.0
2020-07-30 09:51:00,4.3,4.3,4.3,4.3,200.0
2020-07-30 09:52:00,4.3,4.3,4.3,4.3,1900.0
2020-07-30 09:54:00,4.3,4.3,4.25,4.25,7049.0
2020-07-30 09:56:00,4.25,4.25,4.25,4.25,0.0
2020-07-30 09:57:00,4.3,4.3,4.3,4.3,0.0
2020-07-30 09:58:00,4.25,4.3,4.25,4.3,10102.0
2020-07-30 09:59:00,4.3,4.3,4.3,4.3,503.0
2020-07-30 10:01:00,4.3,4.3,4.3,4.3,398.0
2020-07-30 10:03:00,4.3,4.3,4.3,4.3,500.0
2020-07-30 10:04:00,4.3,4.3,4.3,4.3,0.0
2020-07-30 10:05:00,4.3,4.3,4.3,4.3,65.0
2020-07-30 10:08:00,4.2,4.2,4.2,4.2,842.0
2020-07-30 10:09:00,4.25,4.25,4.25,4.25,342.0
2020-07-30 10:10:00,4.25,4.25,4.25,4.25,358.0
2020-07-30 10:12:00,4.3,4.3,4.3,4.3,688.0
2020-07-30 10:17:00,4.3,4.3,4.3,4.3,19.0
2020-07-30 10:18:00,4.3,4.3,4.3,4.3,0.0
2020-07-30 10:21:00,4.3,4.3,4.3,4.3,1.0
2020-07-30 10:30:00,4.3,4.3,4.3,4.3,100.0
2020-07-30 10:31:00,4.25,4.25,4.25,4.25,150.0
2020-07-30 10:32:00,4.3,4.3,4.3,4.3,1900.0
2020-07-30 10:35:00,4.3,4.3,4.3,4.3,0.0
2020-07-30 10:38:00,4.3,4.3,4.3,4.3,100.0
2020-07-30 10:39:00,4.3,4.3,4.3,4.3,150.0
2020-07-30 10:42:00,4.25,4.25,4.25,4.25,1692.0
2020-07-30 10:45:00,4.25,4.25,4.25,4.25,2046.0
2020-07-30 10:46:00,4.25,4.25,4.2,4.2,120.0
2020-07-30 10:47:00,4.25,4.25,4.25,4.25,1852.0
2020-07-30 10:51:00,4.25,4.25,4.25,4.25,0.0
2020-07-30 10:54:00,4.25,4.25,4.25,4.25,1270.0
2020-07-30 10:55:00,4.3,4.3,4.3,4.3,0.0
2020-07-30 10:58:00,4.3,4.3,4.3,4.3,101.0
2020-07-30 10:59:00,4.3,4.3,4.3,4.3,2999.0
2020-07-30 11:00:00,4.3,4.3,4.3,4.3,1602.0
2020-07-30 11:05:00,4.3,4.3,4.3,4.3,0.0
2020-07-30 11:08:00,4.3,4.3,4.3,4.3,20.0
2020-07-30 11:12:00,4.3,4.3,4.3,4.3,90.0
2020-07-30 11:13:00,4.25,4.25,4.25,4.25,4216.0
2020-07-30 11:14:00,4.25,4.25,4.25,4.25,552.0
2020-07-30 11:19:00,4.25,4.25,4.25,4.25,0.0
2020-07-30 11:22:00,4.2,4.2,4.2,4.2,60.0
2020-07-30 11:25:00,4.25,4.25,4.2,4.2,6020.0
2020-07-30 11:27:00,4.2,4.2,4.2,4.2,4767.0
2020-07-30 11:28:00,4.25,4.25,4.25,4.25,0.0
2020-07-30 11:29:00,4.25,4.25,4.25,4.25,999.0
2020-07-30 11:33:00,4.25,4.25,4.25,4.25,8006.0
2020-07-30 11:43:00,4.3,4.3,4.3,4.3,1000.0
2020-07-30 11:44:00,4.25,4.25,4.25,4.25,0.0
2020-07-30 11:45:00,4.25,4.25,4.2,4.2,1970.0
2020-07-30 11:46:00,4.25,4.25,4.25,4.25,0.0
2020-07-30 11:54:00,4.2,4.2,4.2,4.2,2000.0
2020-07-30 11:56:00,4.25,4.25,4.25,4.25,855.0
2020-07-30 12:00:00,4.2,4.2,4.2,4.2,0.0
2020-07-30 12:02:00,4.25,4.25,4.25,4.25,0.0
2020-07-30 12:03:00,4.2,4.2,4.2,4.2,886.0
2020-07-30 12:06:00,4.2,4.2,4.2,4.2,3.0
2020-07-30 12:09:00,4.2,4.2,4.2,4.2,32592.0
2020-07-30 12:11:00,4.2,4.2,4.2,4.2,0.0
2020-07-30 12:16:00,4.15,4.15,4.15,4.15,0.0
2020-07-30 12:17:00,4.2,4.2,4.2,4.2,73.0
2020-07-30 12:18:00,4.2,4.2,4.2,4.2,851.0
2020-07-30 12:26:00,4.2,4.2,4.2,4.2,30.0
2020-07-30 12:31:00,4.2,4.2,4.2,4.2,15072.0
2020-07-30 12:32:00,4.15,4.15,4.15,4.15,62.0
2020-07-30 12:33:00,4.2,4.2,4.2,4.2,0.0
2020-07-30 12:41:00,4.15,4.2,4.15,4.2,472.0
2020-07-30 12:42:00,4.2,4.2,4.2,4.2,999.0
2020-07-30 12:45:00,4.2,4.2,4.15,4.15,1710.0
2020-07-30 12:46:00,4.2,4.2,4.2,4.2,0.0
2020-07-30 12:47:00,4.15,4.15,4.15,4.15,20651.0
2020-07-30 12:48:00,4.2,4.2,4.2,4.2,0.0
2020-07-30 12:49:00,4.15,4.15,4.15,4.15,1749.0
2020-07-30 12:50:00,4.2,4.2,4.2,4.2,0.0
2020-07-30 12:56:00,4.15,4.15,4.1,4.15,50002.0
2020-07-30 12:57:00,4.1,4.1,4.1,4.1,8259.0
2020-07-30 13:00:00,4.1,4.1,4.1,4.1,0.0
