,Open,High,Low,Close,Volume
2020-05-04 09:15:00,3.75,3.75,3.65,3.65,0.0
2020-05-04 10:15:00,3.65,3.7,3.65,3.7,26361.0
2020-05-04 11:15:00,3.7,3.7,3.65,3.7,9412.0
2020-05-04 12:15:00,3.65,3.7,3.65,3.7,6516.0
2020-05-04 13:15:00,3.7,3.75,3.65,3.75,28445.0
2020-05-04 14:15:00,3.75,3.75,3.65,3.7,18844.0
2020-05-04 15:15:00,3.7,3.7,3.65,3.7,6705.0
2020-05-05 09:15:00,3.75,3.75,3.7,3.75,21902.0
2020-05-05 10:15:00,3.75,3.75,3.65,3.65,86543.0
2020-05-05 11:15:00,3.65,3.7,3.65,3.7,4751.0
2020-05-05 12:15:00,3.65,3.65,3.55,3.6,99877.0
2020-05-05 13:15:00,3.6,3.6,3.55,3.6,99792.0
2020-05-05 14:15:00,3.55,3.6,3.55,3.6,23715.0
2020-05-05 15:15:00,3.6,3.6,3.55,3.6,15477.0
2020-05-06 09:15:00,3.6,3.65,3.55,3.6,11990.0
2020-05-06 10:15:00,3.6,3.6,3.55,3.55,19682.0
2020-05-06 11:15:00,3.6,3.6,3.5,3.55,18934.0
2020-05-06 12:15:00,3.55,3.55,3.5,3.55,6261.0
2020-05-06 13:15:00,3.5,3.55,3.5,3.55,16281.0
2020-05-06 14:15:00,3.55,3.6,3.5,3.6,576044.0
2020-05-06 15:15:00,3.6,3.6,3.55,3.6,1245.0
2020-05-07 10:15:00,3.65,3.7,3.65,3.65,4126.0
2020-05-07 11:15:00,3.7,3.7,3.65,3.7,8870.0
2020-05-07 12:15:00,3.7,3.7,3.65,3.7,39766.0
2020-05-07 13:15:00,3.75,3.75,3.7,3.75,3822.0
2020-05-07 14:15:00,3.7,3.75,3.7,3.75,37163.0
2020-05-07 15:15:00,3.7,3.75,3.65,3.7,46075.0
2020-05-08 09:15:00,3.85,3.85,3.65,3.85,0.0
2020-05-08 10:15:00,3.85,3.85,3.8,3.8,31653.0
2020-05-08 11:15:00,3.8,3.85,3.8,3.8,24185.0
2020-05-08 12:15:00,3.85,3.85,3.8,3.85,47876.0
2020-05-08 13:15:00,3.8,3.85,3.8,3.85,150581.0
2020-05-08 14:15:00,3.85,3.85,3.85,3.85,3722.0
2020-05-08 15:15:00,3.85,3.85,3.85,3.85,2420.0
2020-05-11 09:15:00,3.9,4.0,3.85,4.0,0.0
2020-05-11 10:15:00,4.0,4.0,4.0,4.0,35724.0
2020-05-11 11:15:00,4.0,4.0,4.0,4.0,37238.0
2020-05-11 12:15:00,4.0,4.0,4.0,4.0,2898.0
2020-05-11 13:15:00,4.0,4.0,4.0,4.0,13800.0
2020-05-11 14:15:00,4.0,4.0,4.0,4.0,2339.0
2020-05-11 15:15:00,4.0,4.0,4.0,4.0,1503.0
2020-05-12 09:15:00,4.05,4.1,3.9,3.9,0.0
2020-05-12 10:15:00,3.95,4.0,3.8,3.85,69044.0
2020-05-12 11:15:00,3.9,3.9,3.8,3.85,79515.0
2020-05-12 12:15:00,3.85,3.85,3.8,3.85,39794.0
2020-05-12 13:15:00,3.85,3.85,3.8,3.85,5410.0
2020-05-12 14:15:00,3.85,3.85,3.8,3.8,20835.0
2020-05-12 15:15:00,3.8,3.8,3.8,3.8,6813.0
2020-05-13 09:15:00,3.8,3.95,3.65,3.75,0.0
2020-05-13 10:15:00,3.8,3.9,3.75,3.85,24963.0
2020-05-13 11:15:00,3.85,3.9,3.85,3.9,34250.0
