,Open,High,Low,Close,Volume
2002-07-01 00:00:00,160.0,166.0,129.3,132.75,12375663
2002-08-01 00:00:00,133.2,142.4,129.2,138.1,14826536
2002-09-01 00:00:00,139.2,147.45,135.1,137.75,9574211
2002-10-01 00:00:00,136.55,154.1,129.45,132.9,8700710
2002-11-01 00:00:00,130.0,166.0,130.0,163.8,16714529
2002-12-01 00:00:00,164.15,167.65,154.5,165.1,12026669
2003-01-01 00:00:00,166.0,167.0,139.05,142.75,16050391
2003-02-01 00:00:00,143.45,159.5,141.65,154.15,21522704
2003-03-01 00:00:00,155.0,155.45,132.1,138.5,11406609
2003-04-01 00:00:00,138.5,149.35,126.7,130.8,9121104
2003-05-01 00:00:00,131.8,149.0,128.8,145.55,14356877
2003-06-01 00:00:00,146.0,171.65,145.35,167.2,21421425
2003-07-01 00:00:00,166.1,200.4,162.5,194.25,36249260
2003-08-01 00:00:00,196.2,222.2,185.15,212.45,73887093
2003-09-01 00:00:00,214.9,225.35,178.55,203.4,71953780
2003-10-01 00:00:00,203.5,220.5,192.4,213.15,82218275
2003-11-01 00:00:00,216.0,245.2,215.8,226.45,81080121
2003-12-01 00:00:00,229.15,258.4,216.8,244.9,66770172
2004-01-01 00:00:00,255.0,298.0,222.5,255.35,101026895
2004-02-01 00:00:00,257.9,278.0,238.75,259.1,71594734
2004-03-01 00:00:00,261.2,280.2,230.0,254.65,57612289
2004-04-01 00:00:00,244.6,291.4,244.6,280.1,43453844
2004-05-01 00:00:00,278.6,308.4,220.9,237.05,58608506
2004-06-01 00:00:00,239.9,281.0,223.0,242.1,41637472
2004-07-01 00:00:00,242.0,254.85,227.4,239.65,40131342
2004-08-01 00:00:00,240.8,271.9,225.0,269.4,59822170
2004-09-01 00:00:00,269.95,279.0,263.05,267.25,34270325
2004-10-01 00:00:00,267.8,280.0,246.6,256.35,24839110
2004-11-01 00:00:00,258.0,293.0,253.2,286.95,21617686
2004-12-01 00:00:00,287.0,340.9,282.85,338.65,40511248
2005-01-01 00:00:00,341.5,370.5,329.75,357.3,66111551
2005-02-01 00:00:00,358.6,386.85,300.0,367.5,29897221
2005-03-01 00:00:00,368.0,377.0,354.0,360.55,19785750
2005-04-01 00:00:00,360.6,411.0,351.05,360.6,8124622
2005-05-01 00:00:00,363.0,400.0,359.0,376.7,12025051
2005-06-01 00:00:00,377.9,393.9,353.55,379.6,9340232
2005-07-01 00:00:00,380.0,452.25,376.8,430.4,34455254
2005-08-01 00:00:00,432.4,481.5,425.55,478.4,16857380
2005-09-01 00:00:00,480.55,496.6,455.05,487.15,16461362
2005-10-01 00:00:00,492.0,501.5,431.15,445.3,17390825
2005-11-01 00:00:00,449.9,529.0,447.5,510.8,30711917
2005-12-01 00:00:00,510.0,568.5,507.25,534.1,16914584
2006-01-01 00:00:00,537.0,581.55,452.5,574.2,16089426
2006-02-01 00:00:00,574.15,633.25,570.1,626.3,14494005
2006-03-01 00:00:00,625.0,798.75,624.05,782.2,39649932
2006-04-01 00:00:00,786.0,1023.0,786.0,1013.75,47872196
2006-05-01 00:00:00,1020.0,1063.0,601.0,762.9,54511703
2006-06-01 00:00:00,775.0,847.0,676.3,783.95,40063277
2006-07-01 00:00:00,786.25,864.2,760.0,843.8,31284758
2006-08-01 00:00:00,852.5,929.7,830.0,909.75,19686220
2006-09-01 00:00:00,905.0,999.0,891.45,993.45,13609769
2006-10-01 00:00:00,994.0,1016.0,963.0,966.8,10942660
2006-11-01 00:00:00,971.0,1153.5,919.8,1129.0,18740609
2006-12-01 00:00:00,1138.0,1194.8,910.0,1086.55,15410181
2007-01-01 00:00:00,1096.0,1128.0,1006.0,1020.4,10155775
2007-02-01 00:00:00,1034.0,1074.7,855.0,902.0,17579345
2007-03-01 00:00:00,902.05,915.0,701.65,735.25,35656380
2007-04-01 00:00:00,720.0,849.5,678.1,839.2,21497124
2007-05-01 00:00:00,848.0,906.9,769.8,850.85,12081390
2007-06-01 00:00:00,870.0,940.0,751.7,934.95,27598086
2007-07-01 00:00:00,935.0,1159.0,919.1,1063.85,28616613
2007-08-01 00:00:00,1060.85,1080.1,908.2,1067.45,19519108
