,Open,High,Low,Close,Volume
2020-05-18 09:15:00,870.05,873.85,775.1,794.2,422830
2020-05-19 09:15:00,790.0,818.0,762.1,766.65,215552
2020-05-20 09:15:00,767.0,799.9,766.3,797.15,117272
2020-05-21 09:15:00,798.0,848.95,793.9,842.65,285838
2020-05-22 09:15:00,845.45,870.0,832.25,852.15,158912
2020-05-26 09:15:00,862.5,889.75,853.05,883.95,200565
2020-05-27 09:15:00,888.0,890.0,863.0,879.7,103097
2020-05-28 09:15:00,879.95,951.0,871.0,936.85,335532
2020-05-29 09:15:00,947.0,995.0,942.1,972.25,464105
2020-06-01 09:15:00,976.0,978.8,941.0,955.6,153588
2020-06-02 09:15:00,954.75,971.95,943.2,949.2,110068
2020-06-03 09:15:00,956.0,999.0,945.3,987.65,270782
2020-06-04 09:15:00,993.0,1028.7,982.0,1005.25,213451
2020-06-05 09:15:00,1006.0,1014.9,988.1,999.05,113238
2020-06-08 09:15:00,1002.0,1014.0,965.1,985.85,90553
2020-06-09 09:15:00,985.0,1010.0,975.4,984.25,79780
2020-06-10 09:15:00,990.2,1001.05,977.0,989.4,81760
2020-06-11 09:15:00,984.9,989.4,967.0,970.4,52480
2020-06-12 09:15:00,911.1,984.0,911.1,974.95,175044
2020-06-15 09:15:00,982.0,999.9,970.0,974.55,126035
2020-06-16 09:15:00,982.5,1016.5,940.65,1003.3,591833
2020-06-17 09:15:00,1039.0,1077.3,1016.75,1053.9,564116
2020-06-18 09:15:00,1047.85,1075.8,1030.45,1042.05,153057
2020-06-19 09:15:00,1047.65,1071.0,1044.95,1064.55,173890
2020-06-22 09:15:00,1070.0,1143.0,1062.8,1132.9,191899
2020-06-23 09:15:00,1141.0,1240.0,1132.25,1206.95,245636
2020-06-24 09:15:00,1214.0,1216.0,1165.35,1175.95,109239
2020-06-25 09:15:00,1213.9,1213.9,1140.0,1183.85,89498
2020-06-26 09:15:00,1189.8,1300.0,1189.8,1282.75,224369
2020-06-29 09:15:00,1281.0,1282.0,1250.05,1269.6,61837
2020-06-30 09:15:00,1285.0,1303.4,1260.05,1270.55,89351
2020-07-01 09:15:00,1271.95,1305.35,1270.0,1276.25,61875
2020-07-02 09:15:00,1279.65,1289.0,1240.0,1259.1,41219
2020-07-03 09:15:00,1264.0,1292.0,1241.5,1277.35,51285
2020-07-06 09:15:00,1288.0,1325.0,1262.0,1320.4,87185
2020-07-07 09:15:00,1320.1,1335.0,1310.55,1326.45,48121
2020-07-08 09:15:00,1346.0,1394.0,1331.25,1357.55,138279
2020-07-09 09:15:00,1377.0,1390.0,1357.95,1382.6,81843
2020-07-10 09:15:00,1382.6,1387.25,1344.0,1359.95,54279
2020-07-13 09:15:00,1374.95,1390.0,1342.05,1354.2,40805
2020-07-14 09:15:00,1356.0,1364.25,1322.05,1350.45,28908
2020-07-15 09:15:00,1355.0,1459.9,1355.0,1419.45,141273
2020-07-16 09:15:00,1421.0,1432.0,1375.0,1424.7,52635
2020-07-17 09:15:00,1441.85,1507.0,1440.0,1488.85,133954
2020-07-20 09:15:00,1502.25,1544.0,1430.0,1453.55,153303
2020-07-21 09:15:00,1466.0,1479.2,1431.0,1439.05,70868
2020-07-22 09:15:00,1444.0,1491.35,1440.0,1471.45,48542
2020-07-23 09:15:00,1476.0,1499.9,1468.0,1481.8,44322
2020-07-24 09:15:00,1482.0,1597.9,1463.0,1586.55,202590
2020-07-27 09:15:00,1677.0,1805.0,1632.35,1745.05,779575
2020-07-28 09:15:00,1769.9,1788.0,1692.05,1727.05,212954
2020-07-29 09:15:00,1733.7,1749.9,1655.0,1668.4,129537
2020-07-30 09:15:00,1684.95,1740.0,1669.0,1707.7,163506
2020-07-31 09:15:00,1710.0,1750.0,1710.0,1740.25,109970
2020-08-03 09:15:00,1771.0,1794.0,1727.4,1747.0,135198
2020-08-04 09:15:00,1750.0,1751.5,1701.0,1732.75,105850
2020-08-05 09:15:00,1747.25,1904.0,1740.0,1881.65,394815
2020-08-06 09:15:00,1910.0,2257.95,1900.0,2218.75,674498
2020-08-07 09:15:00,2300.0,2550.0,2281.25,2356.45,1214105
2020-08-10 13:12:39,2370.0,2474.9,2250.0,2250.0,419899
