,Open,High,Low,Close,Volume
2020-08-04 09:15:00,1750.0,1750.0,1720.0,1745.0,3567
2020-08-04 09:20:00,1744.95,1744.95,1730.0,1734.55,3882
2020-08-04 09:25:00,1734.55,1734.55,1718.85,1729.8,5002
2020-08-04 09:30:00,1729.0,1737.75,1726.45,1732.0,3814
2020-08-04 09:35:00,1731.05,1735.95,1731.0,1735.95,3632
2020-08-04 09:40:00,1739.0,1739.0,1702.35,1721.25,10438
2020-08-04 09:45:00,1721.0,1733.45,1720.0,1727.45,2322
2020-08-04 09:50:00,1724.95,1728.0,1721.0,1727.95,972
2020-08-04 09:55:00,1722.25,1729.95,1702.0,1711.0,7872
2020-08-04 10:00:00,1713.7,1718.9,1710.0,1713.95,2882
2020-08-04 10:05:00,1713.5,1721.0,1713.4,1717.15,1234
2020-08-04 10:10:00,1717.15,1720.95,1713.65,1719.5,1286
2020-08-04 10:15:00,1716.0,1719.5,1711.05,1719.0,880
2020-08-04 10:20:00,1717.0,1725.0,1713.7,1724.85,1262
2020-08-04 10:25:00,1724.95,1724.95,1714.0,1718.0,1596
2020-08-04 10:30:00,1718.0,1725.0,1715.05,1724.55,1792
2020-08-04 10:35:00,1723.0,1725.0,1723.0,1723.0,2564
2020-08-04 10:40:00,1723.0,1723.0,1719.2,1721.45,1596
2020-08-04 10:45:00,1720.0,1725.0,1720.0,1720.0,1528
2020-08-04 10:50:00,1720.0,1720.9,1718.0,1720.9,576
2020-08-04 10:55:00,1722.0,1727.85,1718.3,1725.0,1282
2020-08-04 11:00:00,1722.1,1727.5,1721.95,1724.95,994
2020-08-04 11:05:00,1724.95,1724.95,1718.4,1718.4,638
2020-08-04 11:10:00,1719.9,1721.75,1718.0,1720.0,1440
2020-08-04 11:15:00,1722.9,1723.8,1718.0,1722.4,632
2020-08-04 11:20:00,1723.8,1724.4,1722.0,1722.15,912
2020-08-04 11:25:00,1722.0,1724.45,1722.0,1723.05,146
2020-08-04 11:30:00,1723.05,1724.5,1720.0,1720.0,570
2020-08-04 11:35:00,1723.1,1727.95,1720.6,1727.0,1324
2020-08-04 11:40:00,1727.0,1731.35,1726.1,1731.35,2514
2020-08-04 11:45:00,1731.35,1739.0,1731.35,1739.0,5486
2020-08-04 11:50:00,1739.0,1741.0,1739.0,1740.0,694
2020-08-04 11:55:00,1740.7,1747.6,1740.5,1745.0,6624
2020-08-04 12:00:00,1745.0,1746.95,1741.1,1742.3,496
2020-08-04 12:05:00,1742.3,1745.0,1741.2,1741.8,982
2020-08-04 12:10:00,1741.8,1748.0,1741.8,1746.85,1610
2020-08-04 12:15:00,1746.9,1746.9,1742.0,1745.95,288
2020-08-04 12:20:00,1745.0,1745.95,1741.85,1745.95,938
2020-08-04 12:25:00,1742.45,1744.95,1741.2,1741.2,318
2020-08-04 12:30:00,1742.0,1744.0,1740.5,1741.95,756
2020-08-04 12:35:00,1741.95,1742.0,1740.0,1741.0,460
2020-08-04 12:40:00,1740.9,1741.9,1739.0,1739.0,948
2020-08-04 12:45:00,1736.3,1736.95,1728.95,1730.0,1410
2020-08-04 12:50:00,1729.05,1731.55,1726.0,1726.0,1754
2020-08-04 12:55:00,1731.9,1731.9,1726.1,1729.9,8
2020-08-04 13:00:00,1729.95,1730.0,1729.0,1729.85,1124
2020-08-04 13:05:00,1729.25,1729.8,1726.0,1729.2,528
2020-08-04 13:10:00,1729.2,1734.0,1727.05,1731.35,1238
2020-08-04 13:15:00,1732.2,1734.75,1727.2,1727.55,764
2020-08-04 13:20:00,1727.9,1729.95,1727.9,1729.95,152
2020-08-04 13:25:00,1729.95,1729.95,1725.0,1728.9,1828
2020-08-04 13:30:00,1725.45,1728.9,1720.0,1725.8,2448
2020-08-04 13:35:00,1729.0,1732.0,1726.75,1731.95,564
2020-08-04 13:40:00,1731.9,1731.9,1723.0,1725.0,1702
2020-08-04 13:45:00,1725.0,1730.0,1723.9,1730.0,614
2020-08-04 13:50:00,1729.95,1731.9,1727.05,1728.2,562
2020-08-04 13:55:00,1731.4,1731.9,1729.05,1729.05,450
2020-08-04 14:00:00,1730.95,1732.9,1729.0,1731.95,2574
2020-08-04 14:05:00,1734.9,1740.0,1731.0,1740.0,2044
2020-08-04 14:10:00,1740.0,1745.05,1733.0,1745.0,6304
2020-08-04 14:15:00,1745.0,1751.5,1743.8,1751.05,14260
2020-08-04 14:20:00,1750.0,1751.05,1745.1,1750.0,12754
2020-08-04 14:25:00,1750.0,1750.05,1746.05,1748.0,8250
2020-08-04 14:30:00,1748.0,1750.05,1745.2,1748.0,13774
2020-08-04 14:35:00,1748.0,1750.0,1746.0,1746.15,1378
2020-08-04 14:40:00,1744.25,1749.0,1737.9,1745.3,2592
2020-08-04 14:45:00,1745.0,1748.25,1744.95,1744.95,682
2020-08-04 14:50:00,1744.6,1745.05,1730.1,1735.0,1446
2020-08-04 14:55:00,1735.35,1741.0,1735.35,1741.0,1700
2020-08-04 15:00:00,1740.9,1742.0,1740.9,1740.9,1202
2020-08-04 15:05:00,1740.9,1742.0,1740.0,1740.2,1590
2020-08-04 15:10:00,1740.1,1741.95,1730.1,1738.15,9162
2020-08-04 15:15:00,1738.0,1738.15,1730.0,1734.0,3444
2020-08-04 15:20:00,1734.0,1734.0,1727.55,1728.0,9954
2020-08-04 15:25:00,1727.85,1728.9,1726.25,1726.25,6696
2020-08-05 09:15:00,1747.2,1750.0,1740.0,1747.75,4540
2020-08-05 09:20:00,1749.95,1749.95,1743.0,1748.95,3778
2020-08-05 09:25:00,1746.45,1749.3,1745.55,1746.25,4118
2020-08-05 09:30:00,1746.25,1750.0,1746.25,1746.7,4964
2020-08-05 09:35:00,1746.65,1749.95,1746.6,1749.95,1444
2020-08-05 09:40:00,1749.9,1775.0,1748.5,1765.0,15786
2020-08-05 09:45:00,1761.15,1769.0,1757.0,1767.05,8956
2020-08-05 09:50:00,1767.05,1768.0,1755.0,1760.0,5328
2020-08-05 09:55:00,1760.05,1770.95,1760.05,1770.05,4920
2020-08-05 10:00:00,1770.05,1793.9,1769.55,1792.05,26374
2020-08-05 10:05:00,1793.0,1794.4,1781.85,1794.4,13854
2020-08-05 10:10:00,1790.3,1861.0,1790.3,1850.0,78768
2020-08-05 10:15:00,1850.9,1855.0,1815.25,1835.15,46532
2020-08-05 10:20:00,1835.7,1840.0,1825.2,1832.0,14790
2020-08-05 10:25:00,1833.0,1836.85,1827.0,1836.05,13122
2020-08-05 10:30:00,1834.05,1854.0,1833.3,1850.1,30636
2020-08-05 10:35:00,1847.65,1858.8,1847.1,1857.9,16286
2020-08-05 10:40:00,1857.9,1858.45,1841.0,1841.55,18666
2020-08-05 10:45:00,1841.95,1844.45,1822.0,1836.2,16162
2020-08-05 10:50:00,1838.65,1847.15,1836.1,1846.0,4556
2020-08-05 10:55:00,1845.0,1869.7,1840.15,1868.95,35170
2020-08-05 11:00:00,1869.0,1876.3,1858.0,1858.05,28764
2020-08-05 11:05:00,1858.05,1868.0,1855.25,1864.45,8006
2020-08-05 11:10:00,1865.0,1867.0,1855.0,1860.0,9706
2020-08-05 11:15:00,1857.75,1865.0,1857.55,1862.7,3172
2020-08-05 11:20:00,1863.0,1865.9,1862.6,1864.2,4638
2020-08-05 11:25:00,1864.2,1864.2,1855.55,1860.0,3580
2020-08-05 11:30:00,1861.0,1863.85,1855.6,1859.0,4422
2020-08-05 11:35:00,1858.9,1864.8,1858.0,1861.9,5460
2020-08-05 11:40:00,1859.15,1859.95,1855.0,1855.0,11858
2020-08-05 11:45:00,1856.8,1859.45,1855.0,1856.1,3720
2020-08-05 11:50:00,1858.6,1874.0,1856.15,1874.0,8300
2020-08-05 11:55:00,1874.0,1880.0,1866.05,1877.2,21200
2020-08-05 12:00:00,1878.0,1890.0,1871.2,1875.85,27300
2020-08-05 12:05:00,1876.0,1878.85,1866.2,1876.85,5366
2020-08-05 12:10:00,1877.0,1877.75,1872.05,1873.0,4232
2020-08-05 12:15:00,1874.05,1880.9,1873.0,1879.5,4694
2020-08-05 12:20:00,1879.45,1879.5,1873.0,1878.0,1956
2020-08-05 12:25:00,1878.0,1878.0,1868.0,1872.0,4586
2020-08-05 12:30:00,1872.0,1879.5,1868.1,1870.55,4074
2020-08-05 12:35:00,1872.5,1875.95,1868.0,1870.55,5414
2020-08-05 12:40:00,1870.85,1886.95,1869.2,1886.0,9514
2020-08-05 12:45:00,1889.9,1904.0,1885.0,1899.6,38076
2020-08-05 12:50:00,1896.95,1902.25,1883.55,1888.8,13862
2020-08-05 12:55:00,1888.9,1902.95,1888.9,1895.05,14670
2020-08-05 13:00:00,1895.05,1896.0,1888.0,1890.0,5494
2020-08-05 13:05:00,1890.05,1895.0,1888.0,1890.0,4344
2020-08-05 13:10:00,1890.0,1890.0,1888.0,1890.0,2174
2020-08-05 13:15:00,1888.95,1892.0,1888.9,1892.0,2660
2020-08-05 13:20:00,1892.0,1894.5,1890.0,1892.2,1366
2020-08-05 13:25:00,1894.45,1894.85,1891.5,1894.8,3344
2020-08-05 13:30:00,1893.0,1894.8,1890.0,1891.0,3082
2020-08-05 13:35:00,1890.0,1892.0,1890.0,1891.65,3824
2020-08-05 13:40:00,1890.0,1892.0,1890.0,1891.65,2058
2020-08-05 13:45:00,1891.65,1900.0,1891.65,1898.65,13026
2020-08-05 13:50:00,1897.95,1899.0,1877.7,1877.7,12638
2020-08-05 13:55:00,1876.6,1879.6,1870.0,1876.75,11260
2020-08-05 14:00:00,1876.95,1878.6,1863.15,1871.5,10288
2020-08-05 14:05:00,1875.1,1889.8,1871.25,1885.0,6574
2020-08-05 14:10:00,1885.0,1885.0,1875.3,1876.65,3180
2020-08-05 14:15:00,1875.3,1881.95,1873.7,1880.0,1624
