,Open,High,Low,Close,Volume
2020-08-10 09:15:00,2370.0,2410.0,2367.0,2410.0,0.0
2020-08-10 09:16:00,2410.25,2465.75,2409.85,2465.75,11676.0
2020-08-10 09:17:00,2458.1,2466.0,2414.85,2414.85,10442.0
2020-08-10 09:18:00,2415.0,2434.8,2397.55,2429.45,9898.0
2020-08-10 09:19:00,2433.4,2438.0,2430.0,2437.9,3444.0
2020-08-10 09:20:00,2429.1,2432.45,2422.8,2429.55,10141.0
2020-08-10 09:21:00,2426.55,2430.95,2410.0,2416.75,3831.0
2020-08-10 09:22:00,2418.6,2419.0,2404.05,2419.0,4145.0
2020-08-10 09:23:00,2418.4,2430.45,2418.4,2421.05,3978.0
2020-08-10 09:24:00,2423.05,2424.0,2415.0,2415.0,3977.0
2020-08-10 09:25:00,2417.75,2418.0,2412.0,2416.8,1933.0
2020-08-10 09:26:00,2417.95,2425.25,2408.65,2425.25,8643.0
2020-08-10 09:27:00,2426.85,2449.85,2421.9,2445.7,4513.0
2020-08-10 09:28:00,2445.75,2450.0,2435.8,2435.8,6456.0
2020-08-10 09:29:00,2435.5,2445.0,2434.05,2437.0,3212.0
2020-08-10 09:30:00,2435.05,2439.75,2423.35,2424.8,5859.0
2020-08-10 09:31:00,2424.95,2435.0,2424.0,2425.0,6603.0
2020-08-10 09:32:00,2427.85,2440.0,2427.85,2430.0,3890.0
2020-08-10 09:33:00,2432.5,2437.85,2428.65,2428.65,2475.0
2020-08-10 09:34:00,2430.0,2432.15,2428.65,2432.15,1863.0
2020-08-10 09:35:00,2432.05,2434.45,2431.0,2431.0,1326.0
2020-08-10 09:36:00,2432.35,2445.45,2428.65,2445.45,5261.0
2020-08-10 09:37:00,2445.05,2450.0,2440.65,2442.25,2943.0
2020-08-10 09:38:00,2440.0,2440.0,2423.05,2430.3,7790.0
2020-08-10 09:39:00,2430.45,2436.55,2428.65,2430.25,2670.0
2020-08-10 09:40:00,2430.25,2434.2,2420.55,2426.0,6764.0
2020-08-10 09:41:00,2425.0,2428.6,2420.55,2420.6,1629.0
2020-08-10 09:42:00,2424.2,2432.35,2421.35,2428.4,874.0
