,Open,High,Low,Close,Volume
2020-08-10 09:15:00,2370.0,2465.75,2367.0,2465.75,11676.0
2020-08-10 09:17:00,2458.1,2466.0,2397.55,2429.45,20340.0
2020-08-10 09:19:00,2433.4,2438.0,2422.8,2429.55,13585.0
2020-08-10 09:21:00,2426.55,2430.95,2404.05,2419.0,7976.0
2020-08-10 09:23:00,2418.4,2430.45,2415.0,2415.0,7955.0
2020-08-10 09:25:00,2417.75,2425.25,2408.65,2425.25,10576.0
2020-08-10 09:27:00,2426.85,2450.0,2421.9,2435.8,10969.0
2020-08-10 09:29:00,2435.5,2445.0,2423.35,2424.8,9071.0
2020-08-10 09:31:00,2424.95,2440.0,2424.0,2430.0,10493.0
2020-08-10 09:33:00,2432.5,2437.85,2428.65,2432.15,4338.0
2020-08-10 09:35:00,2432.05,2445.45,2428.65,2445.45,6587.0
2020-08-10 09:37:00,2445.05,2450.0,2423.05,2430.3,10733.0
2020-08-10 09:39:00,2430.45,2436.55,2420.55,2426.0,9434.0
2020-08-10 09:41:00,2425.0,2432.35,2420.55,2428.4,2503.0
2020-08-10 09:43:00,2430.0,2430.0,2425.0,2427.05,2158.0
2020-08-10 09:45:00,2425.0,2428.0,2423.0,2424.1,1655.0
2020-08-10 09:47:00,2424.1,2426.0,2422.0,2424.75,3112.0
2020-08-10 09:49:00,2425.0,2427.95,2423.0,2425.5,957.0
2020-08-10 09:51:00,2425.0,2425.0,2420.0,2422.0,3182.0
2020-08-10 09:53:00,2420.35,2427.0,2420.0,2424.4,3774.0
2020-08-10 09:55:00,2424.1,2424.1,2413.75,2415.0,6529.0
2020-08-10 09:57:00,2415.0,2419.15,2400.5,2400.5,6255.0
2020-08-10 09:59:00,2400.0,2415.85,2400.0,2415.85,6602.0
2020-08-10 10:01:00,2415.85,2419.75,2410.2,2417.55,1834.0
2020-08-10 10:03:00,2406.35,2417.6,2405.0,2415.75,3636.0
2020-08-10 10:05:00,2415.9,2417.3,2400.1,2402.65,5221.0
2020-08-10 10:07:00,2402.6,2406.9,2388.45,2406.7,9544.0
2020-08-10 10:09:00,2409.95,2419.95,2407.0,2412.15,3025.0
2020-08-10 10:11:00,2408.9,2416.2,2408.9,2416.1,1400.0
2020-08-10 10:13:00,2415.0,2416.15,2405.15,2410.0,2399.0
2020-08-10 10:15:00,2412.9,2413.4,2400.05,2406.65,5029.0
2020-08-10 10:17:00,2405.05,2410.0,2405.05,2406.0,1420.0
2020-08-10 10:19:00,2406.0,2408.7,2402.55,2407.0,915.0
2020-08-10 10:21:00,2404.8,2407.55,2404.4,2404.4,1669.0
2020-08-10 10:23:00,2406.65,2407.55,2403.85,2405.4,1574.0
2020-08-10 10:25:00,2405.4,2410.0,2405.0,2408.55,2361.0
2020-08-10 10:27:00,2408.6,2412.75,2404.5,2404.5,4103.0
2020-08-10 10:29:00,2404.0,2411.8,2404.0,2410.0,2343.0
2020-08-10 10:31:00,2410.0,2412.95,2407.35,2409.05,1684.0
2020-08-10 10:33:00,2409.7,2411.0,2406.45,2408.0,4415.0
2020-08-10 10:35:00,2409.2,2411.0,2408.0,2409.7,1423.0
2020-08-10 10:37:00,2409.7,2412.0,2409.15,2409.7,1305.0
2020-08-10 10:39:00,2409.7,2409.7,2393.95,2400.2,6713.0
2020-08-10 10:41:00,2400.2,2407.0,2396.05,2399.4,2241.0
2020-08-10 10:43:00,2400.0,2404.95,2395.0,2404.0,2569.0
2020-08-10 10:45:00,2402.45,2402.6,2388.2,2400.0,4490.0
2020-08-10 10:47:00,2398.25,2406.95,2393.7,2402.2,2921.0
2020-08-10 10:49:00,2402.2,2404.75,2394.1,2396.55,2070.0
2020-08-10 10:51:00,2396.25,2399.9,2393.0,2396.6,2997.0
2020-08-10 10:53:00,2396.6,2404.95,2396.6,2402.5,1997.0
2020-08-10 10:55:00,2402.55,2405.2,2399.8,2401.1,516.0
2020-08-10 10:57:00,2399.0,2404.1,2398.1,2402.35,303.0
2020-08-10 10:59:00,2402.35,2404.95,2401.6,2404.75,734.0
2020-08-10 11:01:00,2404.95,2407.85,2404.75,2407.75,927.0
2020-08-10 11:03:00,2408.95,2408.95,2403.4,2405.05,549.0
2020-08-10 11:05:00,2407.6,2410.0,2404.0,2404.45,1944.0
2020-08-10 11:07:00,2404.45,2410.5,2404.45,2410.05,891.0
2020-08-10 11:09:00,2410.05,2412.0,2410.0,2410.0,1012.0
