,Open,High,Low,Close,Volume
2020-05-15 09:15:00,1026.9,1046.25,1020.0,1026.05,271922
2020-05-18 09:15:00,1033.95,1033.95,985.0,1000.9,226658
2020-05-19 09:15:00,1007.0,1025.0,987.0,991.9,219957
2020-05-20 09:15:00,999.0,1005.5,982.45,1001.45,141246
2020-05-21 09:15:00,1006.0,1032.5,999.05,1007.4,290859
2020-05-22 09:15:00,1011.15,1048.0,1011.15,1029.65,452030
2020-05-26 09:15:00,1027.0,1027.0,991.0,1009.85,492916
2020-05-27 09:15:00,1016.95,1021.0,984.0,986.5,381788
2020-05-28 09:15:00,992.4,1007.8,978.0,983.5,286039
2020-05-29 09:15:00,987.15,987.15,963.05,976.15,424468
2020-06-01 09:15:00,986.0,1006.3,977.0,982.75,709650
2020-06-02 09:15:00,989.8,998.25,971.1,973.6,358832
2020-06-03 09:15:00,974.0,993.4,950.0,955.45,848474
2020-06-04 09:15:00,954.0,959.95,893.15,899.4,1614936
2020-06-05 09:15:00,908.0,920.0,893.2,908.75,649810
2020-06-08 09:15:00,922.0,938.0,911.05,923.2,641303
2020-06-09 09:15:00,930.0,937.0,922.0,930.2,357213
2020-06-10 09:15:00,936.0,945.0,930.7,933.25,331084
2020-06-11 09:15:00,933.0,938.0,919.1,926.1,275487
2020-06-12 09:15:00,885.0,921.55,885.0,918.0,514173
2020-06-15 09:15:00,905.0,918.0,850.3,869.45,5093872
2020-06-16 09:15:00,892.0,933.0,880.1,924.25,2498390
2020-06-17 09:15:00,927.0,949.0,916.4,935.05,1306507
2020-06-18 09:15:00,935.05,946.25,925.3,939.8,997009
2020-06-19 09:15:00,945.0,962.75,935.0,961.2,741125
2020-06-22 09:15:00,964.45,980.0,954.5,977.35,813168
2020-06-23 09:15:00,978.0,978.0,962.0,969.6,333811
2020-06-24 09:15:00,968.4,968.8,923.3,941.45,1065552
2020-06-25 09:15:00,941.0,968.4,916.0,950.65,627840
2020-06-26 09:15:00,968.4,969.95,945.0,953.7,222118
2020-06-29 09:15:00,944.5,948.4,921.65,924.55,248375
2020-06-30 09:15:00,933.0,937.0,915.0,931.4,256437
2020-07-01 09:15:00,936.0,936.0,925.0,926.3,129157
2020-07-02 09:15:00,936.0,936.0,925.05,927.45,186997
2020-07-03 09:15:00,930.0,935.0,924.05,926.4,159576
2020-07-06 09:15:00,930.2,943.9,925.55,928.05,295858
2020-07-07 09:15:00,932.0,940.0,929.0,929.95,213760
2020-07-08 09:15:00,941.8,959.9,937.0,941.05,674180
2020-07-09 09:15:00,945.0,955.0,945.0,950.75,196507
2020-07-10 09:15:00,950.75,952.3,925.0,937.7,175725
2020-07-13 09:15:00,948.0,948.0,926.05,928.45,340578
2020-07-14 09:15:00,928.45,934.25,910.0,917.4,219238
2020-07-15 09:15:00,918.0,924.0,910.0,913.8,327137
2020-07-16 09:15:00,913.9,921.0,891.4,897.7,297498
2020-07-17 09:15:00,900.0,916.95,900.0,905.2,187976
2020-07-20 09:15:00,905.2,915.0,901.0,905.15,199819
2020-07-21 09:15:00,908.0,911.0,895.15,897.85,242429
2020-07-22 09:15:00,905.0,906.85,893.5,904.15,170924
2020-07-23 09:15:00,904.15,926.0,900.1,921.75,369956
2020-07-24 09:15:00,922.1,957.95,920.0,950.2,1500104
2020-07-27 09:15:00,959.9,978.0,940.0,954.85,643758
2020-07-28 09:15:00,962.0,974.0,955.1,970.75,394081
2020-07-29 09:15:00,977.0,987.55,958.0,965.55,345285
2020-07-30 09:15:00,968.0,975.45,956.55,965.35,230420
2020-07-31 09:15:00,956.0,995.0,950.45,990.4,546992
2020-08-03 09:15:00,994.0,1030.0,993.0,1013.45,801202
2020-08-04 09:15:00,1027.0,1050.0,985.05,1044.9,727225
2020-08-05 09:15:00,1055.0,1055.0,1021.0,1024.15,369789
2020-08-06 09:15:00,1029.0,1063.15,1010.0,1057.15,554751
2020-08-07 15:29:56,1060.5,1077.0,1057.4,1067.7,413970
