,Open,High,Low,Close,Volume
2020-05-07 09:15:00,8.85,9.2,8.5,8.85,2253
2020-05-08 09:15:00,8.7,9.2,8.7,8.8,2485
2020-05-11 09:15:00,8.8,9.0,8.5,8.95,2350
2020-05-12 09:15:00,9.05,9.05,8.55,8.75,6221
2020-05-13 09:15:00,8.85,9.1,8.6,8.9,6179
2020-05-14 09:15:00,8.7,8.95,8.7,8.85,3223
2020-05-15 09:15:00,8.85,9.0,8.65,8.95,5537
2020-05-18 09:15:00,9.0,9.05,8.5,8.7,7183
2020-05-19 09:15:00,8.6,8.9,8.45,8.7,2268
2020-05-20 09:15:00,8.5,8.75,8.35,8.65,6042
2020-05-21 09:15:00,8.65,8.65,8.4,8.45,393
2020-05-22 09:15:00,8.45,8.55,8.2,8.25,4924
2020-05-26 09:15:00,8.25,8.8,8.1,8.2,4064
2020-05-27 09:15:00,8.45,8.45,8.1,8.15,1566
2020-05-28 09:15:00,8.15,8.7,7.95,8.5,10325
2020-05-29 09:15:00,8.7,8.8,8.1,8.45,3444
2020-06-01 09:15:00,8.5,10.1,8.25,10.1,58908
2020-06-02 09:15:00,11.5,12.1,11.15,12.1,104210
2020-06-03 09:15:00,13.3,13.3,12.5,13.3,80474
2020-06-04 09:15:00,13.9,13.95,12.8,12.95,106160
2020-06-05 09:15:00,12.8,13.35,12.8,13.1,34862
2020-06-08 09:15:00,12.45,13.5,12.45,12.65,43916
2020-06-09 09:15:00,12.45,12.5,12.05,12.05,15864
2020-06-10 09:15:00,11.5,12.0,11.5,11.8,14308
2020-06-11 09:15:00,12.35,12.35,11.5,11.7,16720
2020-06-12 09:15:00,11.7,11.75,11.15,11.4,7965
2020-06-15 09:15:00,12.25,12.25,10.4,11.05,10802
2020-06-16 09:15:00,11.7,12.15,10.6,12.0,38769
2020-06-17 09:15:00,12.1,12.1,11.4,11.6,24104
2020-06-18 09:15:00,11.1,12.0,11.1,11.55,9935
2020-06-19 09:15:00,11.85,12.0,11.3,11.45,8601
2020-06-22 09:15:00,12.0,12.0,10.9,11.6,27876
2020-06-23 09:15:00,12.0,12.15,11.65,12.15,28446
2020-06-24 09:15:00,12.75,12.75,11.7,12.55,14590
2020-06-25 09:15:00,12.45,12.45,11.95,12.1,1996
2020-06-26 09:15:00,12.7,12.7,11.5,12.4,5982
2020-06-29 09:15:00,11.9,12.55,11.8,12.25,14180
2020-06-30 09:15:00,12.5,12.5,11.65,11.8,9953
2020-07-01 09:15:00,11.7,12.0,11.25,11.35,7865
2020-07-02 09:15:00,11.85,11.85,10.8,11.5,4850
2020-07-03 09:15:00,11.8,11.8,11.1,11.25,6198
2020-07-06 09:15:00,11.2,11.7,11.0,11.35,3892
2020-07-07 09:15:00,11.6,11.6,10.8,11.6,2110
2020-07-08 09:15:00,11.6,11.8,11.45,11.6,4264
2020-07-09 09:15:00,12.0,12.0,11.1,11.45,8597
2020-07-10 09:15:00,11.45,11.45,11.1,11.1,4157
2020-07-13 09:15:00,11.1,11.65,11.1,11.2,9644
2020-07-14 09:15:00,11.2,11.2,10.65,10.75,6944
2020-07-15 09:15:00,10.5,10.9,10.25,10.85,2468
2020-07-16 09:15:00,10.4,10.85,10.35,10.85,8167
2020-07-17 09:15:00,10.4,11.0,10.4,10.65,3576
2020-07-20 09:15:00,10.85,11.15,10.55,10.7,1572
2020-07-21 09:15:00,10.5,11.0,10.25,10.65,2335
2020-07-22 09:15:00,10.3,10.95,10.3,10.55,3171
2020-07-23 09:15:00,10.5,10.8,10.1,10.3,4212
2020-07-24 09:15:00,10.4,10.7,10.3,10.3,2293
2020-07-27 09:15:00,10.3,10.75,10.3,10.3,814
2020-07-28 09:15:00,10.3,10.75,9.9,10.25,3228
2020-07-29 09:15:00,10.75,10.75,10.0,10.65,8598
2020-07-30 13:19:40,10.15,10.6,10.15,10.3,2663
