,Open,High,Low,Close,Volume
2020-07-30 09:17:00,10.15,10.15,10.15,10.15,0.0
2020-07-30 09:31:00,10.6,10.6,10.6,10.6,8.0
2020-07-30 09:35:00,10.6,10.6,10.6,10.6,6.0
2020-07-30 09:53:00,10.15,10.15,10.15,10.15,150.0
2020-07-30 10:09:00,10.15,10.15,10.15,10.15,832.0
2020-07-30 10:11:00,10.15,10.15,10.15,10.15,0.0
2020-07-30 10:25:00,10.15,10.15,10.15,10.15,302.0
2020-07-30 10:31:00,10.15,10.15,10.15,10.15,898.0
2020-07-30 10:49:00,10.45,10.45,10.45,10.45,1.0
2020-07-30 11:21:00,10.2,10.2,10.15,10.15,100.0
2020-07-30 11:41:00,10.2,10.2,10.2,10.2,85.0
2020-07-30 12:09:00,10.5,10.5,10.5,10.5,300.0
2020-07-30 13:19:00,10.3,10.3,10.3,10.3,300.0
2020-07-30 13:19:40,10.3,10.3,10.3,10.3,0.0
