,Open,High,Low,Close,Volume
2020-05-07 09:15:00,18.45,19.3,18.45,19.25,10301
2020-05-08 09:15:00,19.25,19.85,18.4,18.8,36556
2020-05-11 09:15:00,18.8,19.6,18.3,19.2,42238
2020-05-12 09:15:00,18.8,18.8,18.45,18.55,18106
2020-05-13 09:15:00,19.0,19.4,18.6,18.9,23863
2020-05-14 09:15:00,18.9,19.0,18.3,18.9,27143
2020-05-15 09:15:00,18.9,19.3,18.15,18.75,18664
2020-05-18 09:15:00,18.75,19.0,18.0,18.15,13391
2020-05-19 09:15:00,18.0,18.8,17.25,17.55,45637
2020-05-20 09:15:00,16.8,17.9,16.8,17.15,18939
2020-05-21 09:15:00,17.15,18.0,17.15,18.0,31438
2020-05-22 09:15:00,18.8,18.8,17.6,18.2,19992
2020-05-26 09:15:00,19.0,19.0,17.65,17.95,25375
2020-05-27 09:15:00,18.0,18.45,17.5,17.85,25517
2020-05-28 09:15:00,17.05,18.35,17.05,17.9,25066
2020-05-29 09:15:00,17.8,18.3,17.8,18.15,28008
2020-06-01 09:15:00,18.65,19.05,18.2,18.85,48948
2020-06-02 09:15:00,18.95,19.45,18.1,19.1,61215
2020-06-03 09:15:00,19.5,20.05,19.2,20.05,77209
2020-06-04 09:15:00,21.0,21.05,20.3,20.95,75045
2020-06-05 09:15:00,21.85,23.0,21.15,23.0,119680
2020-06-08 09:15:00,24.45,25.3,23.65,25.1,322105
2020-06-09 09:15:00,26.95,27.0,23.7,24.15,184604
2020-06-10 09:15:00,24.3,24.5,22.1,23.25,121309
2020-06-11 09:15:00,24.4,24.4,22.05,22.35,86054
2020-06-12 09:15:00,21.0,23.5,20.35,22.95,103437
2020-06-15 09:15:00,23.6,23.6,22.4,23.2,68759
2020-06-16 09:15:00,24.0,24.0,22.15,22.6,77425
2020-06-17 09:15:00,23.9,23.9,22.1,22.7,90226
2020-06-18 09:15:00,22.75,23.35,20.55,22.8,141273
2020-06-19 09:15:00,23.9,25.05,23.3,24.7,494863
2020-06-22 09:15:00,24.7,25.9,23.8,25.05,198257
2020-06-23 09:15:00,25.1,25.75,25.0,25.3,122642
2020-06-24 09:15:00,25.75,26.5,25.1,25.6,176426
2020-06-25 09:15:00,25.15,26.0,24.0,25.05,86322
2020-06-26 09:15:00,25.05,27.55,25.0,27.55,260435
2020-06-29 09:15:00,29.2,30.3,27.95,30.3,483192
2020-06-30 09:15:00,31.8,33.3,30.5,33.3,402553
2020-07-01 09:15:00,34.95,34.95,31.65,31.65,612368
2020-07-02 09:15:00,30.1,30.1,30.1,30.1,34978
2020-07-03 09:15:00,28.6,28.6,28.6,28.6,37480
2020-07-06 09:15:00,27.2,30.0,27.2,28.35,423543
2020-07-07 09:15:00,28.5,29.4,27.9,28.95,154573
2020-07-08 09:15:00,29.35,29.35,27.9,28.0,119837
2020-07-09 09:15:00,28.0,28.75,27.0,27.5,121729
2020-07-10 09:15:00,27.4,27.9,26.75,27.0,94319
2020-07-13 09:15:00,27.1,27.9,26.15,26.35,61075
2020-07-14 09:15:00,26.0,26.0,25.2,25.45,62853
2020-07-15 09:15:00,25.6,25.9,24.4,24.65,83560
2020-07-16 09:15:00,24.65,25.85,24.0,25.3,90713
2020-07-17 09:15:00,26.0,26.0,25.2,25.75,50489
2020-07-20 09:15:00,25.75,26.9,25.75,26.2,53431
2020-07-21 09:15:00,26.2,26.6,25.5,25.8,51487
2020-07-22 09:15:00,25.8,26.45,25.55,25.75,39419
2020-07-23 09:15:00,25.9,26.2,25.25,25.45,52816
2020-07-24 09:15:00,25.1,25.4,24.8,25.1,57847
2020-07-27 09:15:00,25.0,25.1,24.1,24.25,43226
2020-07-28 09:15:00,24.9,24.9,24.0,24.2,57664
2020-07-29 09:15:00,24.5,24.85,23.95,24.6,28364
2020-07-30 14:50:04,25.2,25.2,24.1,24.3,28653
