,Open,High,Low,Close,Volume
2020-07-30 09:15:00,25.2,25.2,25.2,25.2,0.0
2020-07-30 09:19:00,24.95,24.95,24.95,24.95,288.0
2020-07-30 09:21:00,24.95,24.95,24.65,24.65,62.0
2020-07-30 09:25:00,24.9,24.9,24.6,24.6,113.0
2020-07-30 09:31:00,24.6,25.1,24.6,25.1,351.0
2020-07-30 09:33:00,24.65,24.65,24.55,24.55,686.0
2020-07-30 09:35:00,24.55,24.6,24.5,24.6,1351.0
2020-07-30 09:39:00,24.65,24.85,24.6,24.85,95.0
2020-07-30 09:41:00,24.55,24.55,24.55,24.55,302.0
2020-07-30 09:45:00,24.55,24.55,24.55,24.55,142.0
2020-07-30 09:47:00,24.55,24.55,24.55,24.55,0.0
2020-07-30 09:51:00,24.8,24.8,24.7,24.7,393.0
2020-07-30 09:53:00,24.55,24.55,24.55,24.55,0.0
2020-07-30 09:55:00,24.7,24.7,24.7,24.7,112.0
2020-07-30 09:57:00,24.55,24.55,24.55,24.55,148.0
2020-07-30 10:01:00,24.7,24.7,24.7,24.7,0.0
2020-07-30 10:05:00,24.75,24.75,24.75,24.75,80.0
2020-07-30 10:07:00,24.6,24.6,24.6,24.6,1868.0
2020-07-30 10:09:00,24.65,24.8,24.65,24.8,254.0
2020-07-30 10:11:00,24.8,24.8,24.8,24.8,0.0
2020-07-30 10:15:00,24.65,24.65,24.65,24.65,250.0
2020-07-30 10:17:00,24.65,24.65,24.65,24.65,51.0
2020-07-30 10:23:00,24.8,24.8,24.65,24.75,405.0
2020-07-30 10:27:00,24.65,24.65,24.65,24.65,65.0
2020-07-30 10:31:00,24.65,24.65,24.65,24.65,195.0
2020-07-30 10:33:00,24.65,24.65,24.6,24.65,92.0
2020-07-30 10:39:00,24.6,24.6,24.6,24.6,1126.0
2020-07-30 10:43:00,24.75,24.75,24.65,24.65,490.0
2020-07-30 10:45:00,24.6,24.6,24.6,24.6,0.0
2020-07-30 10:47:00,24.65,24.65,24.65,24.65,0.0
2020-07-30 10:51:00,24.65,24.75,24.6,24.6,499.0
2020-07-30 10:55:00,24.75,24.75,24.65,24.65,271.0
2020-07-30 10:59:00,24.65,24.65,24.65,24.65,40.0
2020-07-30 11:05:00,24.7,24.7,24.7,24.7,0.0
2020-07-30 11:13:00,24.7,24.7,24.65,24.65,635.0
2020-07-30 11:17:00,24.7,24.7,24.7,24.7,0.0
2020-07-30 11:19:00,24.7,24.7,24.7,24.7,490.0
2020-07-30 11:21:00,24.7,24.7,24.7,24.7,0.0
2020-07-30 11:25:00,24.65,24.65,24.6,24.65,111.0
2020-07-30 11:27:00,24.6,24.6,24.6,24.6,295.0
2020-07-30 11:33:00,24.6,24.6,24.6,24.6,50.0
2020-07-30 11:41:00,24.6,24.6,24.6,24.6,300.0
2020-07-30 11:47:00,24.6,24.6,24.6,24.6,496.0
2020-07-30 11:49:00,24.5,24.5,24.5,24.5,1249.0
2020-07-30 11:51:00,24.5,24.5,24.5,24.5,400.0
2020-07-30 11:53:00,24.5,24.5,24.5,24.5,0.0
2020-07-30 11:55:00,24.5,24.5,24.4,24.45,274.0
2020-07-30 11:57:00,24.45,24.45,24.4,24.4,169.0
2020-07-30 12:01:00,24.4,24.45,24.4,24.45,35.0
2020-07-30 12:13:00,24.4,24.4,24.4,24.4,14.0
2020-07-30 12:15:00,24.4,24.4,24.25,24.25,232.0
2020-07-30 12:19:00,24.2,24.2,24.2,24.2,996.0
2020-07-30 12:23:00,24.25,24.25,24.25,24.25,200.0
2020-07-30 12:25:00,24.25,24.25,24.25,24.25,0.0
2020-07-30 12:31:00,24.25,24.25,24.25,24.25,3.0
2020-07-30 12:33:00,24.2,24.2,24.15,24.15,1985.0
2020-07-30 12:37:00,24.1,24.1,24.1,24.1,2024.0
2020-07-30 12:39:00,24.15,24.15,24.15,24.15,1400.0
2020-07-30 12:41:00,24.35,24.35,24.35,24.35,575.0
2020-07-30 12:43:00,24.15,24.35,24.15,24.3,1928.0
2020-07-30 12:47:00,24.15,24.15,24.15,24.15,1.0
2020-07-30 12:49:00,24.3,24.3,24.3,24.3,799.0
2020-07-30 12:51:00,24.1,24.1,24.1,24.1,200.0
2020-07-30 12:55:00,24.1,24.25,24.1,24.25,150.0
2020-07-30 12:57:00,24.25,24.25,24.25,24.25,0.0
2020-07-30 12:59:00,24.25,24.25,24.25,24.25,307.0
2020-07-30 13:01:00,24.25,24.25,24.25,24.25,878.0
2020-07-30 13:03:00,24.25,24.3,24.25,24.3,315.0
2020-07-30 13:05:00,24.3,24.3,24.3,24.3,0.0
2020-07-30 13:17:00,24.25,24.25,24.25,24.25,96.0
2020-07-30 13:19:00,24.25,24.25,24.25,24.25,0.0
2020-07-30 13:25:00,24.25,24.25,24.25,24.25,10.0
2020-07-30 13:27:00,24.25,24.25,24.25,24.25,0.0
2020-07-30 13:33:00,24.2,24.2,24.2,24.2,441.0
2020-07-30 13:35:00,24.3,24.3,24.2,24.2,0.0
2020-07-30 13:37:00,24.2,24.2,24.2,24.2,10.0
2020-07-30 13:47:00,24.2,24.2,24.2,24.2,46.0
2020-07-30 13:51:00,24.2,24.3,24.2,24.3,551.0
2020-07-30 13:57:00,24.3,24.3,24.3,24.3,0.0
2020-07-30 13:59:00,24.15,24.15,24.15,24.15,355.0
2020-07-30 14:05:00,24.15,24.15,24.15,24.15,0.0
2020-07-30 14:09:00,24.15,24.15,24.1,24.1,44.0
2020-07-30 14:13:00,24.2,24.2,24.2,24.2,0.0
2020-07-30 14:15:00,24.1,24.15,24.1,24.15,799.0
2020-07-30 14:17:00,24.1,24.15,24.1,24.15,1020.0
2020-07-30 14:19:00,24.15,24.15,24.15,24.15,0.0
2020-07-30 14:21:00,24.1,24.15,24.1,24.1,463.0
2020-07-30 14:23:00,24.15,24.15,24.1,24.1,344.0
2020-07-30 14:27:00,24.1,24.2,24.1,24.2,170.0
2020-07-30 14:31:00,24.1,24.1,24.1,24.1,300.0
2020-07-30 14:37:00,24.1,24.1,24.1,24.1,100.0
2020-07-30 14:39:00,24.1,24.1,24.1,24.1,440.0
2020-07-30 14:41:00,24.2,24.2,24.2,24.2,280.0
2020-07-30 14:43:00,24.2,24.3,24.2,24.3,19.0
2020-07-30 14:45:00,24.3,24.3,24.2,24.2,550.0
2020-07-30 14:52:39,24.35,24.35,24.35,24.35,0.0
