,Open,High,Low,Close,Volume
2020-05-07 09:15:00,18150.0,18288.8,17728.1,17818.9,10824
2020-05-08 09:15:00,18000.0,18044.0,17610.0,17704.8,12631
2020-05-11 09:15:00,17900.0,18025.0,17751.0,17907.8,10372
2020-05-12 09:15:00,18170.0,18679.8,17825.6,18081.9,23041
2020-05-13 09:15:00,18199.9,18298.7,17800.0,17876.4,9998
2020-05-14 09:15:00,17600.0,17991.0,17580.0,17907.1,9333
2020-05-15 09:15:00,17847.0,17847.0,17470.2,17619.6,14274
2020-05-18 09:15:00,17699.0,17700.0,16926.6,17036.2,14209
2020-05-19 09:15:00,17269.8,17299.5,16450.0,16506.2,15296
2020-05-20 09:15:00,16580.0,16777.0,16225.0,16635.2,14389
2020-05-21 09:15:00,16750.0,17100.0,16706.0,16798.3,8883
2020-05-22 09:15:00,16818.0,17000.0,16325.0,16423.9,9692
2020-05-26 09:15:00,16699.0,16895.8,16420.0,16802.0,17637
2020-05-27 09:15:00,16825.0,16900.0,16550.0,16631.2,12274
2020-05-28 09:15:00,16710.0,16775.0,16550.0,16594.2,6476
2020-05-29 09:15:00,16700.0,16900.0,16594.1,16723.4,14746
2020-06-01 09:15:00,16950.0,16960.0,16723.4,16825.6,12105
2020-06-02 09:15:00,16910.0,17000.0,16751.2,16883.7,10071
2020-06-03 09:15:00,16825.0,16978.0,16676.3,16717.3,16446
2020-06-04 09:15:00,16650.0,16808.0,16551.1,16683.2,22626
2020-06-05 09:15:00,16753.0,17399.0,16650.7,17163.6,16188
2020-06-08 09:15:00,17400.0,17799.0,16501.0,16605.1,70429
2020-06-09 09:15:00,16390.0,16495.0,16000.0,16314.5,31499
2020-06-10 09:15:00,16350.0,16480.0,16120.0,16325.3,10387
2020-06-11 09:15:00,16300.0,16500.0,15911.0,16035.5,19232
2020-06-12 09:15:00,15845.0,16200.0,15570.0,16083.6,16194
2020-06-15 09:15:00,16100.0,16270.0,15950.0,16093.1,13198
2020-06-16 09:15:00,16275.0,16275.0,15900.0,16010.5,8679
2020-06-17 09:15:00,15989.3,16230.0,15862.2,16088.7,7858
2020-06-18 09:15:00,16200.0,16200.0,15800.0,15850.8,16241
2020-06-19 09:15:00,15868.0,15995.0,15611.1,15658.5,17960
2020-06-22 09:15:00,15658.5,15800.0,15594.0,15755.2,15786
2020-06-23 09:15:00,16000.0,16000.0,15696.0,15732.7,12767
2020-06-24 09:15:00,15740.0,15898.8,15650.0,15687.0,12949
2020-06-25 09:15:00,15687.0,16500.0,15528.8,16326.5,48808
2020-06-26 09:15:00,16326.5,16394.9,15900.0,15956.3,23091
2020-06-29 09:15:00,15835.0,15974.0,15651.2,15727.0,8757
2020-06-30 09:15:00,15898.0,15898.0,15705.0,15736.5,7398
2020-07-01 09:15:00,15799.8,15890.5,15732.1,15756.0,4858
2020-07-02 09:15:00,15750.0,15929.0,15750.0,15798.7,7440
2020-07-03 09:15:00,15790.0,15884.0,15593.0,15657.5,9165
2020-07-06 09:15:00,15780.0,15850.0,15670.0,15723.4,11795
2020-07-07 09:15:00,15723.4,15900.0,15672.0,15811.7,9519
2020-07-08 09:15:00,15790.0,15790.0,15610.0,15634.5,8802
2020-07-09 09:15:00,15690.0,15732.7,15531.2,15548.7,10453
2020-07-10 09:15:00,15561.0,15650.0,15500.0,15512.6,7374
2020-07-13 09:15:00,15512.0,15650.0,15450.0,15493.0,8464
2020-07-14 09:15:00,15452.0,15560.0,15201.0,15248.3,12806
2020-07-15 09:15:00,15339.0,15420.0,15175.0,15212.2,10240
2020-07-16 09:15:00,15250.0,15599.0,15177.5,15536.5,9717
2020-07-17 09:15:00,15546.0,15743.5,15225.0,15262.8,14329
2020-07-20 09:15:00,15398.8,15398.8,15201.2,15231.8,11764
2020-07-21 09:15:00,15260.0,15366.7,15000.0,15014.8,15044
2020-07-22 09:15:00,15051.0,15199.0,14900.0,14937.5,13732
2020-07-23 09:15:00,14975.0,15622.5,14975.0,15528.8,29168
2020-07-24 09:15:00,15498.0,15524.3,15100.0,15136.7,11824
2020-07-27 09:15:00,15224.3,15224.3,14933.0,14947.8,11891
2020-07-28 09:15:00,14975.0,15172.0,14871.8,14895.2,13601
2020-07-29 09:15:00,14950.0,15032.7,14840.0,14853.6,11859
2020-07-30 14:43:38,14965.0,15025.0,14811.0,14886.5,13047
