,Open,High,Low,Close,Volume
2020-07-30 09:15:00,14964.8,14965.0,14925.0,14961.05,35.0
2020-07-30 09:17:00,14960.0,14960.0,14924.95,14924.95,59.0
2020-07-30 09:19:00,14925.0,14929.0,14900.0,14924.8,93.0
2020-07-30 09:21:00,14923.3,14925.75,14903.4,14925.75,6.0
2020-07-30 09:23:00,14906.05,14927.2,14906.05,14927.15,12.0
2020-07-30 09:25:00,14911.45,14929.0,14911.0,14912.45,30.0
2020-07-30 09:27:00,14912.55,14929.0,14906.95,14915.0,134.0
2020-07-30 09:29:00,14910.0,14924.95,14910.0,14924.95,4.0
2020-07-30 09:31:00,14912.0,14912.05,14910.0,14910.0,10.0
2020-07-30 09:33:00,14910.0,14920.0,14867.95,14867.95,73.0
2020-07-30 09:35:00,14964.8,14964.8,14888.1,14902.8,138.0
2020-07-30 09:37:00,14903.0,14929.05,14860.75,14877.55,54.0
2020-07-30 09:39:00,14880.35,14910.65,14862.0,14878.85,24.0
2020-07-30 09:41:00,14862.05,14881.9,14862.05,14863.1,16.0
2020-07-30 09:43:00,14864.1,14879.95,14863.15,14878.0,40.0
2020-07-30 09:45:00,14880.0,14906.65,14865.05,14870.0,31.0
2020-07-30 09:47:00,14889.1,14891.6,14866.0,14867.0,24.0
2020-07-30 09:49:00,14882.2,14950.0,14882.2,14950.0,67.0
2020-07-30 09:51:00,14959.0,14962.65,14890.65,14896.85,177.0
2020-07-30 09:53:00,14900.05,14919.45,14900.05,14900.45,18.0
2020-07-30 09:55:00,14918.4,14985.6,14900.95,14900.95,117.0
2020-07-30 09:57:00,14920.0,14920.0,14882.25,14890.65,43.0
2020-07-30 09:59:00,14908.8,14908.8,14890.05,14890.05,23.0
2020-07-30 10:01:00,14888.65,14899.05,14825.0,14825.3,272.0
2020-07-30 10:03:00,14830.0,14870.0,14826.0,14850.0,300.0
2020-07-30 10:05:00,14850.0,14870.0,14830.05,14834.55,317.0
2020-07-30 10:07:00,14845.6,14845.6,14832.15,14834.95,24.0
2020-07-30 10:09:00,14835.0,14858.25,14820.2,14825.95,140.0
2020-07-30 10:11:00,14836.05,14836.05,14825.05,14825.1,49.0
2020-07-30 10:13:00,14825.1,14836.05,14825.0,14830.0,25.0
2020-07-30 10:15:00,14836.0,14854.65,14824.0,14824.15,46.0
2020-07-30 10:17:00,14838.05,14849.85,14824.2,14825.0,53.0
2020-07-30 10:19:00,14828.0,14849.95,14828.0,14830.4,44.0
2020-07-30 10:21:00,14830.35,14844.4,14825.0,14825.05,48.0
2020-07-30 10:23:00,14835.0,14835.0,14825.0,14825.0,39.0
2020-07-30 10:25:00,14825.0,14835.0,14820.15,14820.15,60.0
2020-07-30 10:27:00,14820.15,14849.25,14820.15,14825.7,28.0
2020-07-30 10:29:00,14826.25,14826.25,14820.2,14825.65,17.0
2020-07-30 10:31:00,14840.8,14841.85,14825.0,14825.0,30.0
2020-07-30 10:33:00,14838.95,14843.4,14825.0,14825.0,36.0
2020-07-30 10:35:00,14826.1,14840.4,14825.0,14825.0,16.0
2020-07-30 10:37:00,14840.4,14844.5,14826.05,14844.5,29.0
