,Open,High,Low,Close,Volume
2020-04-20 09:15:00,1385.0,1465.0,1373.0,1450.95,1859711
2020-04-21 09:15:00,1416.0,1433.05,1330.1,1351.15,1669510
2020-04-22 09:15:00,1351.25,1368.35,1311.4,1348.3,1272533
2020-04-23 09:15:00,1372.0,1416.9,1361.8,1384.05,1301177
2020-04-24 09:15:00,1360.0,1377.5,1341.1,1359.5,755944
2020-04-27 09:15:00,1370.1,1423.35,1370.1,1418.9,1179779
2020-04-28 09:15:00,1429.8,1458.2,1417.05,1426.45,1214114
2020-04-29 09:15:00,1420.0,1428.8,1375.0,1417.95,1010961
2020-04-30 09:15:00,1441.9,1441.9,1387.25,1394.35,731401
2020-05-04 09:15:00,1394.65,1427.15,1355.5,1371.75,1532116
2020-05-05 09:15:00,1399.0,1401.8,1334.45,1347.6,652241
2020-05-06 09:15:00,1350.0,1359.0,1261.75,1305.75,1621448
2020-05-07 09:15:00,1293.95,1335.0,1265.5,1271.15,935845
2020-05-08 09:15:00,1280.3,1327.5,1276.2,1314.8,1250585
2020-05-11 09:15:00,1320.0,1341.75,1282.4,1304.2,717988
2020-05-12 09:15:00,1296.1,1320.0,1280.95,1301.1,663107
2020-05-13 09:15:00,1334.0,1334.0,1258.0,1284.55,1508002
2020-05-14 09:15:00,1289.3,1310.0,1265.8,1294.4,907116
2020-05-15 09:15:00,1299.0,1377.1,1290.15,1355.3,1984090
2020-05-18 09:15:00,1355.0,1364.9,1256.0,1266.05,860662
2020-05-19 09:15:00,1290.0,1302.0,1267.0,1274.25,960164
2020-05-20 09:15:00,1274.9,1298.95,1270.1,1288.45,531853
2020-05-21 09:15:00,1292.0,1310.0,1272.2,1280.3,608962
2020-05-22 09:15:00,1270.0,1296.0,1252.65,1280.0,775343
2020-05-26 09:15:00,1290.0,1338.8,1286.1,1321.75,1145344
2020-05-27 09:15:00,1322.2,1359.5,1318.0,1337.6,1386447
2020-05-28 09:15:00,1340.0,1354.0,1317.0,1337.05,523206
2020-05-29 09:15:00,1323.0,1367.6,1314.95,1356.95,870048
2020-06-01 09:15:00,1372.0,1398.0,1357.55,1373.3,868868
2020-06-02 09:15:00,1379.0,1394.85,1350.5,1360.65,608623
2020-06-03 09:15:00,1370.0,1407.0,1340.05,1349.8,738592
2020-06-04 09:15:00,1355.0,1367.75,1336.0,1364.25,762916
2020-06-05 09:15:00,1369.6,1380.8,1351.7,1359.05,548928
2020-06-08 09:15:00,1368.6,1408.0,1352.05,1364.05,746452
2020-06-09 09:15:00,1369.95,1392.0,1352.7,1364.55,517243
2020-06-10 09:15:00,1365.0,1378.4,1332.0,1355.65,710311
2020-06-11 09:15:00,1359.0,1391.0,1339.0,1347.55,677212
2020-06-12 09:15:00,1305.0,1410.0,1302.2,1403.6,1340007
2020-06-15 09:15:00,1394.8,1429.0,1371.0,1410.7,1375760
2020-06-16 09:15:00,1440.0,1440.0,1355.3,1372.75,1021337
2020-06-17 09:15:00,1375.0,1386.65,1346.65,1352.35,481888
2020-06-18 09:15:00,1354.95,1368.5,1336.2,1347.45,591592
2020-06-19 09:15:00,1357.0,1384.0,1350.15,1370.7,894818
2020-06-22 09:15:00,1380.0,1408.75,1371.65,1398.3,758430
2020-06-23 09:15:00,1408.0,1422.0,1394.4,1416.1,630401
2020-06-24 09:15:00,1424.0,1440.0,1401.0,1411.8,681132
2020-06-25 09:15:00,1411.8,1444.0,1405.5,1437.5,872300
2020-06-26 09:15:00,1453.0,1480.0,1376.3,1388.15,3862478
2020-06-29 09:15:00,1381.0,1405.55,1359.25,1365.05,911358
2020-06-30 09:15:00,1377.0,1384.45,1344.0,1349.85,759369
2020-07-01 09:15:00,1350.0,1353.55,1311.0,1319.65,1066663
2020-07-02 09:15:00,1330.0,1367.9,1326.25,1362.55,1095777
2020-07-03 09:15:00,1372.0,1401.0,1366.0,1379.8,1034372
2020-07-06 09:15:00,1384.8,1412.85,1381.6,1410.05,684284
2020-07-07 09:15:00,1408.0,1426.0,1395.0,1419.25,750569
2020-07-08 09:15:00,1427.0,1431.0,1387.2,1393.85,931697
2020-07-09 09:15:00,1405.0,1418.0,1390.35,1404.0,534658
2020-07-10 09:15:00,1400.0,1439.2,1396.75,1402.45,722285
2020-07-13 09:15:00,1414.95,1442.9,1406.55,1431.45,769099
2020-07-14 12:35:32,1425.95,1455.0,1418.6,1443.7,514963
