,Open,High,Low,Close,Volume
2018-07-06 09:15:00,1059.0,1064.75,1009.0,1016.75,777700
2018-07-11 09:15:00,1014.0,1014.45,992.75,998.9,313357
2018-07-16 09:15:00,977.0,977.75,935.0,940.7,642308
2018-07-26 09:15:00,938.0,945.7,930.0,937.35,361900
2018-07-31 09:15:00,945.0,961.9,937.55,951.9,641898
2018-08-10 09:15:00,963.5,988.85,938.25,943.9,1084312
2018-08-20 09:15:00,1186.0,1221.5,1180.0,1201.15,1701643
2018-08-30 09:15:00,1197.2,1234.4,1183.35,1192.2,1334841
2018-09-04 09:15:00,1182.85,1188.9,1150.9,1179.6,704258
2018-09-14 09:15:00,1113.6,1123.0,1108.85,1116.7,1140819
2018-09-19 09:15:00,1125.0,1133.7,1061.5,1070.9,860904
2018-09-24 09:15:00,1047.0,1054.65,1007.75,1017.0,461495
2018-10-04 09:15:00,1051.65,1069.55,1035.2,1047.2,420704
2018-10-09 09:15:00,1082.0,1110.1,1065.3,1098.7,509541
2018-10-19 09:15:00,1111.5,1135.85,1101.1,1121.45,388626
2018-10-24 09:15:00,1150.0,1150.0,1111.0,1126.4,417573
2018-10-29 09:15:00,1083.0,1150.0,1083.0,1142.85,296748
2018-11-13 09:15:00,1144.0,1154.4,1112.25,1143.6,442309
2018-11-28 09:15:00,1226.1,1249.75,1222.25,1231.45,520657
2018-12-03 09:15:00,1265.0,1329.85,1261.45,1292.2,1475095
2018-12-13 09:15:00,1215.0,1240.0,1210.0,1222.15,314906
2018-12-18 09:15:00,1219.0,1228.0,1200.0,1226.1,454828
2018-12-28 09:15:00,1243.05,1252.95,1225.1,1241.85,491844
2019-01-02 09:15:00,1268.0,1288.0,1251.8,1258.75,658775
2019-01-07 09:15:00,1299.0,1300.0,1275.0,1282.1,683914
2019-01-17 09:15:00,1344.9,1358.65,1341.25,1352.95,420061
2019-01-22 09:15:00,1316.1,1323.0,1288.5,1293.8,1100328
2019-02-01 09:15:00,1320.0,1357.9,1320.0,1341.25,530789
2019-02-06 09:15:00,1298.0,1315.0,1287.9,1304.05,410854
2019-02-11 09:15:00,1300.0,1300.0,1090.0,1121.9,5424327
2019-02-21 09:15:00,1135.0,1158.0,1127.0,1152.2,1308447
2019-02-26 09:15:00,1175.6,1177.05,1148.0,1157.35,1071336
2019-03-08 09:15:00,1186.0,1188.45,1167.0,1171.9,268170
2019-03-13 09:15:00,1160.0,1166.05,1092.0,1117.6,1797280
2019-03-18 09:15:00,1126.4,1139.9,1115.0,1119.65,353486
2019-03-28 09:15:00,1154.0,1188.0,1154.0,1182.95,693131
2019-04-02 09:15:00,1269.0,1284.0,1248.65,1255.3,638278
2019-04-12 09:15:00,1247.7,1268.2,1231.6,1264.3,365799
2019-04-22 09:15:00,1269.0,1269.0,1219.0,1232.05,534002
2019-05-02 09:15:00,1217.0,1224.9,1153.8,1194.55,1083586
2019-05-07 09:00:00,1195.5,1199.1,1152.35,1164.95,320142
2019-05-17 09:15:00,1136.45,1159.2,1132.3,1141.2,270312
2019-05-22 09:15:00,1177.7,1179.0,1154.0,1162.95,221323
2019-05-27 09:15:00,1177.5,1212.9,1175.15,1198.8,294036
2019-06-06 09:15:00,1337.0,1375.0,1327.3,1342.15,1226417
2019-06-11 09:15:00,1385.7,1401.45,1375.0,1379.95,827845
2019-06-21 09:15:00,1373.0,1385.3,1343.35,1348.25,563852
2019-06-26 09:15:00,1320.0,1325.05,1301.05,1307.95,597977
