,Open,High,Low,Close,Volume
2019-11-11 09:15:00,394.95,394.95,360.05,376.25,2459
2019-11-13 09:15:00,376.1,382.95,366.0,373.45,4783
2019-11-14 09:15:00,374.05,378.5,369.0,370.95,8624
2019-11-15 09:15:00,376.95,376.95,355.15,356.9,8011
2019-11-18 09:15:00,367.4,374.95,354.95,370.65,7449
2019-11-19 09:15:00,374.95,374.95,360.0,365.8,5825
2019-11-20 09:15:00,371.9,371.95,356.05,361.7,8948
2019-11-21 09:15:00,358.0,365.45,356.05,358.6,2041
2019-11-22 09:15:00,358.6,370.0,355.0,365.75,5841
2019-11-25 09:15:00,362.0,364.95,345.05,348.75,15902
2019-11-26 09:15:00,355.0,355.0,340.0,345.5,12153
2019-11-27 09:15:00,342.0,350.0,339.9,341.65,6248
2019-11-28 09:15:00,340.9,349.45,339.95,347.0,2334
2019-11-29 09:15:00,353.4,353.4,340.7,346.05,2948
2019-12-02 09:15:00,353.95,353.95,340.25,346.8,1501
2019-12-03 09:15:00,343.0,349.0,335.3,340.0,2711
2019-12-04 09:15:00,340.0,348.0,335.0,345.2,5342
2019-12-05 09:15:00,340.5,350.0,340.25,345.9,1519
2019-12-06 09:15:00,354.95,354.95,333.1,341.15,5538
2019-12-09 09:15:00,348.95,348.95,332.0,335.15,7201
2019-12-10 09:15:00,336.0,337.4,327.0,332.95,6459
2019-12-11 09:15:00,340.0,340.0,325.1,332.8,6570
2019-12-12 09:15:00,335.0,342.0,329.9,339.4,3872
2019-12-13 09:15:00,335.3,351.5,335.25,348.85,4486
2019-12-16 09:15:00,353.5,353.5,331.2,342.05,11610
2019-12-17 09:15:00,343.25,345.45,335.95,340.1,3492
2019-12-18 09:15:00,338.0,347.0,331.35,335.65,7782
2019-12-19 09:15:00,336.05,344.0,334.0,342.25,5228
2019-12-20 09:15:00,344.4,346.45,337.5,339.5,2853
2019-12-23 09:15:00,337.5,348.7,334.95,339.45,3215
2019-12-24 09:15:00,335.05,342.0,332.0,333.5,5807
2019-12-26 09:15:00,332.0,357.5,332.0,350.9,6838
2019-12-27 09:15:00,354.0,354.0,339.0,343.15,4965
2019-12-30 09:15:00,343.0,350.85,342.0,344.3,2589
2019-12-31 09:15:00,343.0,356.95,341.0,345.8,5716
2020-01-01 09:15:00,346.0,346.9,342.05,344.3,4512
2020-01-02 09:15:00,349.6,368.0,346.0,357.9,23437
2020-01-03 09:15:00,345.0,364.0,342.1,350.5,3953
2020-01-06 09:15:00,337.25,350.05,337.25,346.9,5179
2020-01-07 09:15:00,354.4,354.4,342.1,352.15,5537
2020-01-08 09:15:00,348.2,353.0,343.5,350.1,11036
2020-01-09 09:15:00,364.0,364.0,350.15,354.85,3290
2020-01-10 09:15:00,357.0,373.0,353.55,366.4,34049
2020-01-13 09:15:00,369.7,385.0,366.95,378.75,12639
2020-01-14 09:15:00,378.75,397.25,352.35,391.85,27659
2020-01-15 09:15:00,395.0,398.75,384.5,395.15,8810
2020-01-16 09:15:00,399.0,399.0,381.2,394.9,8843
2020-01-17 09:15:00,395.9,408.9,384.5,392.55,12275
2020-01-20 09:15:00,392.6,404.9,382.3,396.15,9416
2020-01-21 09:15:00,392.55,406.9,388.35,394.45,10072
2020-01-22 09:15:00,404.0,404.0,387.0,390.2,6587
2020-01-23 09:15:00,399.85,406.0,387.25,402.4,12880
2020-01-24 09:15:00,404.0,405.0,391.5,401.8,54373
2020-01-27 09:15:00,401.8,404.95,386.0,394.6,11450
2020-01-28 09:15:00,395.0,442.0,388.0,402.65,11209
2020-01-29 09:15:00,418.0,418.0,400.0,406.0,16744
2020-01-30 09:15:00,406.0,410.0,390.55,402.05,17906
2020-01-31 09:15:00,410.0,410.0,395.0,397.75,2728
2020-02-03 09:15:00,399.0,399.0,381.0,389.05,4944
2020-02-04 09:15:00,405.0,405.95,385.0,399.1,11404
2020-02-05 09:15:00,410.0,421.0,405.0,410.95,45878
