,Open,High,Low,Close,Volume
2015-02-16 00:00:00,66.25,80.5,66.25,80.5,502.0
2015-02-23 00:00:00,84.53,102.7,84.53,102.7,2832.0
2015-03-02 00:00:00,112.0,124.22,110.0,120.75,2422.0
2015-03-09 00:00:00,132.5,153.95,125.25,152.7,8846.0
2015-03-16 00:00:00,150.05,150.05,121.25,127.18,6874.0
2015-03-23 00:00:00,121.0,125.0,101.12,101.12,4662.0
2015-03-30 00:00:00,104.97,104.97,96.07,102.2,3310.0
2015-04-06 00:00:00,99.97,99.97,86.18,86.18,1036.0
2015-04-13 00:00:00,87.5,95.0,85.05,89.62,1446.0
2015-04-20 00:00:00,85.15,99.5,85.15,98.62,1570.0
2015-04-27 00:00:00,103.4,107.0,96.0,98.0,856.0
2015-05-04 00:00:00,99.97,103.95,99.5,99.5,94.0
2015-05-11 00:00:00,99.5,100.5,99.5,100.5,2.0
2015-05-18 00:00:00,95.55,95.55,85.5,85.5,1492.0
2015-05-25 00:00:00,85.0,85.0,82.25,83.93,868.0
2015-06-01 00:00:00,88.1,94.62,84.0,85.57,3688.0
2015-06-08 00:00:00,85.57,92.5,85.57,86.5,506.0
2015-06-15 00:00:00,86.5,88.0,81.6,88.0,1110.0
2015-06-22 00:00:00,92.4,97.0,92.4,97.0,102.0
2015-06-29 00:00:00,94.4,99.0,94.4,96.25,56.0
2015-07-06 00:00:00,101.05,106.1,98.5,99.95,788.0
2015-07-13 00:00:00,99.95,102.5,97.55,97.6,124.0
2015-07-20 00:00:00,100.0,100.0,89.5,99.0,1136.0
2015-07-27 00:00:00,99.0,99.0,94.25,97.5,106.0
2015-08-03 00:00:00,100.0,100.0,100.0,100.0,102.0
2015-08-10 00:00:00,100.0,105.0,90.25,90.9,1624.0
2015-08-17 00:00:00,95.0,104.0,95.0,103.95,266.0
2015-08-24 00:00:00,100.0,104.5,97.5,100.0,106.0
2015-08-31 00:00:00,100.4,100.4,85.5,90.0,486.0
2015-09-07 00:00:00,90.0,90.0,84.85,84.85,206.0
2015-09-14 00:00:00,88.5,88.5,78.88,78.88,418.0
2015-09-21 00:00:00,82.5,91.25,82.5,86.5,998.0
2015-09-28 00:00:00,86.5,95.35,86.5,88.32,46.0
2015-10-05 00:00:00,90.0,97.45,85.5,97.45,3772.0
2015-10-12 00:00:00,97.45,102.3,95.0,99.75,892.0
2015-10-19 00:00:00,104.0,104.0,90.5,92.05,564.0
2015-10-26 00:00:00,96.65,101.47,92.5,92.5,6.0
2015-11-02 00:00:00,92.5,97.1,85.0,85.0,112.0
2015-11-09 00:00:00,85.0,85.0,85.0,85.0,0.0
2015-11-16 00:00:00,85.0,93.5,85.0,93.5,68.0
2015-11-23 00:00:00,98.18,113.62,98.0,113.62,2406.0
2015-11-30 00:00:00,119.3,119.3,97.0,97.0,78.0
2015-12-07 00:00:00,97.5,100.0,97.5,100.0,68.0
2015-12-14 00:00:00,102.0,123.95,102.0,122.5,282.0
2015-12-21 00:00:00,128.62,131.25,107.2,107.5,4168.0
2015-12-28 00:00:00,102.85,115.4,102.5,115.4,2168.0
2016-01-04 00:00:00,115.4,121.28,109.75,119.95,1338.0
2016-01-11 00:00:00,125.5,134.8,113.97,130.0,570.0
2016-01-18 00:00:00,130.0,136.5,130.0,136.5,2.0
2016-01-25 00:00:00,136.5,142.8,135.0,135.0,24.0
2016-02-01 00:00:00,135.0,135.0,128.5,134.5,4.0
2016-02-08 00:00:00,141.0,148.0,115.9,115.9,38.0
2016-02-15 00:00:00,121.0,121.5,105.0,105.0,2998.0
2016-02-22 00:00:00,110.0,110.0,95.0,95.0,344.0
2016-02-29 00:00:00,99.75,101.0,86.25,101.0,412.0
2016-03-07 00:00:00,101.0,111.18,101.0,101.5,128.0
2016-03-14 00:00:00,101.5,109.38,97.05,100.0,16086.0
2016-03-21 00:00:00,104.5,104.5,95.0,100.38,156.0
2016-03-28 00:00:00,103.75,108.5,100.0,108.5,226.0
2016-04-04 00:00:00,103.07,107.5,103.07,107.5,414.0
2016-04-11 00:00:00,107.5,112.0,102.12,107.35,122.0
2016-04-18 00:00:00,107.5,118.15,107.5,107.5,3194.0
2016-04-25 00:00:00,107.5,107.75,102.4,107.5,1226.0
2016-05-02 00:00:00,107.5,119.5,107.5,112.07,226.0
2016-05-09 00:00:00,117.5,120.75,108.0,118.6,1018.0
2016-05-16 00:00:00,118.6,124.5,117.5,117.5,1328.0
2016-05-23 00:00:00,117.5,123.0,117.5,119.53,862.0
2016-05-30 00:00:00,125.5,125.5,125.5,125.5,2348.0
2016-06-06 00:00:00,125.5,127.5,119.5,122.5,224.0
2016-06-13 00:00:00,122.5,132.5,122.5,129.95,234.0
2016-06-20 00:00:00,130.0,132.0,120.0,120.0,2140.0
2016-06-27 00:00:00,118.05,125.95,118.05,125.0,200.0
2016-07-04 00:00:00,131.0,131.0,127.5,127.5,1130.0
2016-07-11 00:00:00,127.5,127.5,127.5,127.5,0.0
2016-07-18 00:00:00,127.5,140.52,127.5,140.52,382.0
2016-07-25 00:00:00,141.5,150.0,137.5,142.5,210.0
2016-08-01 00:00:00,140.0,140.0,127.0,127.0,322.0
2016-08-08 00:00:00,127.0,127.0,123.55,125.62,394.0
2016-08-15 00:00:00,125.62,125.62,119.5,125.0,208.0
2016-08-22 00:00:00,125.05,134.5,125.0,134.5,582.0
2016-08-29 00:00:00,139.5,151.2,130.5,151.2,372.0
2016-09-05 00:00:00,151.2,153.98,144.5,153.7,926.0
2016-09-12 00:00:00,154.5,154.5,145.0,145.0,418.0
2016-09-19 00:00:00,145.0,151.93,138.0,151.93,80.0
2016-09-26 00:00:00,151.0,154.57,145.0,152.0,4264.0
2016-10-03 00:00:00,152.5,160.12,145.0,152.5,2978.0
2016-10-10 00:00:00,153.0,159.5,153.0,159.5,98.0
