,Open,High,Low,Close,Volume
2020-07-06 09:15:00,495.0,495.0,495.0,495.0,0.0
2020-07-06 09:16:00,462.05,462.05,462.05,462.05,0.0
2020-07-06 09:24:00,462.05,489.95,462.05,489.95,3.0
2020-07-06 09:25:00,462.0,462.0,462.0,462.0,117.0
2020-07-06 09:28:00,488.5,488.5,488.5,488.5,29.0
2020-07-06 09:29:00,462.5,462.5,462.5,462.5,17.0
2020-07-06 09:31:00,487.5,487.5,464.05,464.05,110.0
2020-07-06 09:32:00,486.35,486.5,486.35,486.5,67.0
2020-07-06 09:33:00,466.9,466.9,466.9,466.9,52.0
2020-07-06 09:34:00,475.95,475.95,474.95,474.95,0.0
2020-07-06 09:35:00,474.9,474.9,474.9,474.9,16.0
2020-07-06 09:43:00,466.1,466.1,466.1,466.1,10.0
2020-07-06 09:51:00,477.75,477.75,477.75,477.75,0.0
2020-07-06 09:53:00,477.65,477.65,477.65,477.65,2.0
2020-07-06 09:56:00,467.2,467.2,467.2,467.2,5.0
2020-07-06 10:00:00,468.65,468.7,468.65,468.7,27.0
2020-07-06 10:01:00,468.0,470.5,468.0,470.5,4.0
2020-07-06 10:02:00,470.5,470.5,470.5,470.5,0.0
2020-07-06 10:09:00,470.55,470.55,470.5,470.5,49.0
2020-07-06 10:11:00,470.5,470.5,470.5,470.5,82.0
2020-07-06 10:12:00,470.5,470.5,470.5,470.5,2.0
2020-07-06 10:20:00,465.95,465.95,464.95,464.95,0.0
2020-07-06 10:21:00,472.0,473.05,471.05,473.0,11.0
2020-07-06 10:22:00,464.95,479.65,464.95,472.05,15.0
2020-07-06 10:23:00,470.0,470.0,470.0,470.0,17.0
2020-07-06 10:35:00,470.0,470.0,470.0,470.0,34.0
2020-07-06 10:43:00,478.05,478.05,472.95,472.95,0.0
2020-07-06 10:44:00,472.95,478.05,472.95,472.95,5.0
2020-07-06 10:45:00,478.05,478.05,472.95,477.05,7.0
2020-07-06 10:46:00,472.95,477.05,472.95,472.95,6.0
2020-07-06 10:47:00,477.05,477.05,472.95,477.05,6.0
2020-07-06 10:48:00,472.95,477.05,471.95,471.95,7.0
2020-07-06 10:49:00,476.55,476.55,471.95,476.55,6.0
2020-07-06 10:50:00,471.95,476.55,471.95,471.95,6.0
2020-07-06 10:51:00,476.55,476.55,471.95,471.95,5.0
2020-07-06 10:52:00,476.0,476.0,473.0,473.0,7.0
2020-07-06 11:02:00,475.0,475.0,475.0,475.0,598.0
2020-07-06 11:03:00,475.05,475.05,475.0,475.0,0.0
2020-07-06 11:14:00,479.45,479.45,479.45,479.45,2.0
2020-07-06 11:15:00,479.4,479.4,479.4,479.4,1.0
2020-07-06 11:17:00,479.6,479.6,479.6,479.6,7.0
2020-07-06 12:09:00,475.6,475.6,475.6,475.6,4.0
2020-07-06 12:22:00,479.6,479.6,479.6,479.6,81.0
2020-07-06 12:35:00,475.6,475.6,475.6,475.6,0.0
2020-07-06 12:37:00,470.1,470.1,468.45,468.45,14.0
2020-07-06 12:38:00,473.05,473.05,468.45,473.05,8.0
2020-07-06 12:39:00,468.45,475.0,468.45,475.0,3.0
2020-07-06 12:40:00,473.05,473.05,468.45,473.05,6.0
2020-07-06 12:41:00,468.45,473.05,468.45,473.05,4.0
2020-07-06 12:42:00,468.45,473.05,468.45,468.45,6.0
2020-07-06 12:43:00,473.05,473.05,468.45,473.05,6.0
2020-07-06 12:44:00,468.45,473.05,461.5,468.35,19.0
2020-07-06 12:45:00,473.05,473.05,465.0,465.95,3.0
2020-07-06 12:46:00,473.05,473.05,465.95,465.95,5.0
2020-07-06 12:47:00,473.05,473.05,465.0,467.45,5.0
2020-07-06 12:48:00,473.05,473.05,467.45,473.05,6.0
2020-07-06 12:49:00,467.45,472.05,467.45,472.05,4.0
2020-07-06 12:50:00,470.45,473.0,467.45,473.0,5.0
2020-07-06 12:51:00,473.05,473.05,468.95,468.95,3.0
2020-07-06 13:02:00,474.8,474.8,474.8,474.8,1.0
2020-07-06 13:14:00,474.8,474.8,474.8,474.8,16.0
2020-07-06 13:16:00,469.25,469.25,469.25,469.25,0.0
2020-07-06 13:29:00,474.5,474.5,474.5,474.5,7.0
2020-07-06 13:38:00,474.8,474.8,474.8,474.8,39.0
2020-07-06 13:43:00,473.05,473.05,473.05,473.05,0.0
2020-07-06 13:44:59,467.45,467.45,467.45,467.45,0.0
