,Open,High,Low,Close,Volume
2002-01-01 00:00:00,8.0,8.2,7.1,7.46,3634830
2002-02-01 00:00:00,7.37,8.49,6.9,7.45,8382860
2002-03-01 00:00:00,6.7,8.98,6.7,7.67,9481600
2002-04-01 00:00:00,7.98,8.1,6.95,7.44,8898230
2002-05-01 00:00:00,7.6,8.53,6.76,7.14,17645670
2002-06-01 00:00:00,7.33,12.84,7.18,11.22,128939060
2002-07-01 00:00:00,11.4,13.23,9.04,9.52,58370110
2002-08-01 00:00:00,9.54,12.78,9.2,10.99,64083270
2002-09-01 00:00:00,11.03,12.54,10.7,11.43,39859980
2002-10-01 00:00:00,11.47,14.14,11.09,13.11,75219270
2002-11-01 00:00:00,13.33,14.19,12.51,13.81,30141770
2002-12-01 00:00:00,13.1,14.91,13.1,13.44,26363520
2003-01-01 00:00:00,13.59,13.9,12.28,12.53,21959170
2003-02-01 00:00:00,12.73,14.0,11.45,12.12,11915740
2003-03-01 00:00:00,12.3,13.2,11.12,12.41,14487280
2003-04-01 00:00:00,12.23,13.9,11.71,11.82,4345360
2003-05-01 00:00:00,11.8,16.09,11.4,15.88,54450640
2003-06-01 00:00:00,16.1,19.55,14.81,18.71,81492540
2003-07-01 00:00:00,18.85,19.2,15.05,15.72,45618830
2003-08-01 00:00:00,15.8,19.3,15.27,18.96,37757700
2003-09-01 00:00:00,19.0,19.63,15.8,17.52,22827090
2003-10-01 00:00:00,17.39,21.83,16.7,20.19,83443060
2003-11-01 00:00:00,20.1,28.6,20.1,23.87,136132170
2003-12-01 00:00:00,24.1,27.3,21.74,25.85,40659800
2004-01-01 00:00:00,26.38,29.67,24.22,24.49,31048780
2004-02-01 00:00:00,23.5,26.1,22.0,22.74,4340610
2004-03-01 00:00:00,23.0,28.0,20.5,24.58,6801680
2004-04-01 00:00:00,24.6,26.6,23.4,24.75,5654810
2004-05-01 00:00:00,24.3,25.5,16.2,17.07,4432040
2004-06-01 00:00:00,17.5,18.68,15.8,17.32,7455650
2004-07-01 00:00:00,17.77,19.6,16.87,18.63,22635200
2004-08-01 00:00:00,18.8,21.9,18.16,21.03,53082540
2004-09-01 00:00:00,21.17,22.55,20.3,21.61,43640420
2004-10-01 00:00:00,21.69,22.45,20.5,21.13,8854790
2004-11-01 00:00:00,21.26,23.49,20.1,23.17,18007090
2004-12-01 00:00:00,23.4,25.47,22.03,23.66,14776990
2005-01-01 00:00:00,24.29,26.5,23.71,26.43,9085650
2005-02-01 00:00:00,26.08,30.8,26.08,29.82,21252290
2005-03-01 00:00:00,30.12,32.69,27.0,28.75,44008240
2005-04-01 00:00:00,27.94,29.79,25.81,26.93,9497320
2005-05-01 00:00:00,27.0,28.9,26.5,27.9,4338340
2005-06-01 00:00:00,27.0,28.8,22.9,23.65,8644390
2005-07-01 00:00:00,23.7,25.91,22.53,24.29,9982610
2005-08-01 00:00:00,24.23,30.25,23.5,28.84,22146080
2005-09-01 00:00:00,28.8,31.0,27.1,29.29,19502420
2005-10-01 00:00:00,29.3,30.5,24.2,25.66,17636140
2005-11-01 00:00:00,26.37,28.4,23.56,27.71,5768310
2005-12-01 00:00:00,27.5,31.5,27.01,27.94,15511100
2006-01-01 00:00:00,28.28,32.99,27.9,31.0,9173250
2006-02-01 00:00:00,31.1,31.7,28.4,29.94,12038720
2006-03-01 00:00:00,29.31,31.0,28.4,29.1,8450090
2006-04-01 00:00:00,30.2,34.89,28.06,30.0,12151340
2006-05-01 00:00:00,31.15,34.0,24.56,24.85,10394780
2006-06-01 00:00:00,25.95,25.95,19.37,23.82,11492440
2006-07-01 00:00:00,23.6,26.0,22.5,25.33,4418190
2006-08-01 00:00:00,25.3,32.08,23.2,30.8,8046240
2006-09-01 00:00:00,30.5,35.25,29.93,32.55,17541040
2006-10-01 00:00:00,32.7,38.49,31.77,33.48,29413680
2006-11-01 00:00:00,33.6,37.29,30.31,36.51,27975680
2006-12-01 00:00:00,36.0,36.8,32.03,34.96,11422590
2007-01-01 00:00:00,35.1,37.5,33.4,33.67,10600330
2007-02-01 00:00:00,34.2,35.2,28.93,30.56,4011800
2007-03-01 00:00:00,29.76,31.38,25.53,27.99,5797250
2007-04-01 00:00:00,27.1,33.3,26.7,31.59,8441400
2007-05-01 00:00:00,35.0,38.97,31.5,35.9,20256820
2007-06-01 00:00:00,36.3,36.85,30.8,31.93,18606020
2007-07-01 00:00:00,32.0,40.78,31.4,37.92,18465480
2007-08-01 00:00:00,37.48,45.0,34.6,40.55,17663417
2007-09-01 00:00:00,40.75,43.0,37.55,39.2,12425473
2007-10-01 00:00:00,39.1,41.35,31.1,38.95,37148937
2007-11-01 00:00:00,40.0,46.95,34.4,41.9,34949737
2007-12-01 00:00:00,42.4,55.25,41.2,53.85,77234882
2008-01-01 00:00:00,54.8,62.4,36.0,44.6,135116071
2008-02-01 00:00:00,45.8,51.2,41.1,43.9,27807842
2008-03-01 00:00:00,43.0,45.0,35.1,41.3,17042982
2008-04-01 00:00:00,42.5,47.3,39.1,45.85,12815991
2008-05-01 00:00:00,46.1,48.4,40.5,42.3,33560176
2008-06-01 00:00:00,42.45,42.8,31.15,32.45,6924262
2008-07-01 00:00:00,34.0,34.0,27.8,30.35,9025589
2008-08-01 00:00:00,30.4,41.05,29.1,39.35,29305034
2008-09-01 00:00:00,39.0,41.9,28.75,37.5,36408698
2008-10-01 00:00:00,37.75,39.0,20.95,22.8,13087233
2008-11-01 00:00:00,24.85,27.35,18.3,21.05,20541966
2008-12-01 00:00:00,21.5,21.5,18.2,19.85,28128593
2009-01-01 00:00:00,20.0,21.2,16.8,17.55,11054331
2009-02-01 00:00:00,17.6,18.1,13.6,15.05,13338036
2009-03-01 00:00:00,15.4,21.0,14.65,18.25,31245083
2009-04-01 00:00:00,18.3,23.85,17.8,21.25,16249731
2009-05-01 00:00:00,21.25,33.45,21.25,31.35,67453907
2009-06-01 00:00:00,32.0,37.4,28.25,30.9,231702973
2009-07-01 00:00:00,31.0,41.2,28.0,40.15,94001051
2009-08-01 00:00:00,40.8,44.3,37.0,42.4,62852399
2009-09-01 00:00:00,42.6,50.25,41.0,44.9,68863146
2009-10-01 00:00:00,45.25,57.2,42.8,48.05,83817973
2009-11-01 00:00:00,47.9,57.6,46.15,47.65,118582053
2009-12-01 00:00:00,48.25,50.5,45.15,49.0,60396500
2010-01-01 00:00:00,48.9,57.4,48.75,53.05,100128125
2010-02-01 00:00:00,53.4,59.95,50.9,58.15,54605946
2010-03-01 00:00:00,59.15,79.8,57.85,70.9,157935371
2010-04-01 00:00:00,71.4,82.6,61.5,69.6,114420700
2010-05-01 00:00:00,69.5,72.75,61.3,71.4,73942970
2010-06-01 00:00:00,71.5,72.45,64.25,64.9,85922552
2010-07-01 00:00:00,64.3,69.8,59.1,63.9,67627782
2010-08-01 00:00:00,64.8,78.8,61.2,71.55,98072635
2010-09-01 00:00:00,73.05,89.0,72.0,81.1,177012273
2010-10-01 00:00:00,81.3,85.8,70.45,71.55,78316800
2010-11-01 00:00:00,72.45,76.5,60.3,66.1,126879567
2010-12-01 00:00:00,66.3,72.4,62.5,66.7,68333556
2011-01-01 00:00:00,67.5,71.2,48.2,51.2,71066506
2011-02-01 00:00:00,51.0,59.85,44.0,52.45,72924157
2011-03-01 00:00:00,53.0,71.2,52.5,69.55,121144148
2011-04-01 00:00:00,69.9,74.3,64.9,69.4,45613989
2011-05-01 00:00:00,69.4,74.85,61.1,68.9,76218508
2011-06-01 00:00:00,68.9,79.65,68.15,78.25,57127421
2011-07-01 00:00:00,78.85,82.4,72.5,73.2,52261624
2011-08-01 00:00:00,73.65,74.5,50.8,59.15,96868531
2011-09-01 00:00:00,59.4,63.7,54.2,55.25,35226842
2011-10-01 00:00:00,54.2,59.5,51.7,57.6,32376842
2011-11-01 00:00:00,57.5,66.5,54.7,66.05,43364113
2011-12-01 00:00:00,67.1,68.8,54.25,59.1,47558152
2012-01-01 00:00:00,59.2,72.9,57.25,72.45,39767103
2012-02-01 00:00:00,72.5,86.45,68.8,85.4,62581876
2012-03-01 00:00:00,83.3,86.7,74.35,79.65,45124589
2012-04-01 00:00:00,79.8,94.8,78.6,90.4,69894268
2012-05-01 00:00:00,90.1,91.7,76.7,86.6,60048991
2012-06-01 00:00:00,85.35,86.6,73.75,79.0,57541826
2012-07-01 00:00:00,79.15,85.2,76.25,77.75,51414781
2012-08-01 00:00:00,77.4,100.8,76.55,93.8,78457309
2012-09-01 00:00:00,93.2,102.45,88.6,92.65,78665369
2012-10-01 00:00:00,93.0,94.7,82.75,85.8,80917080
2012-11-01 00:00:00,86.45,90.5,78.1,84.6,81282537
2012-12-01 00:00:00,84.75,89.45,83.05,89.0,48435371
2013-01-01 00:00:00,89.1,91.5,81.5,86.0,44693856
2013-02-01 00:00:00,86.75,90.45,80.0,82.7,37073201
2013-03-01 00:00:00,82.95,93.5,79.1,83.45,38008953
2013-04-01 00:00:00,84.0,97.6,81.5,83.6,26408216
2013-05-01 00:00:00,96.6,101.55,85.0,98.05,43519709
2013-06-01 00:00:00,88.5,94.2,54.6,56.5,238290189
2013-07-01 00:00:00,56.9,71.9,56.4,67.3,146844699
2013-08-01 00:00:00,67.0,68.25,59.4,62.95,77331986
2013-09-01 00:00:00,63.0,74.65,61.65,66.65,60969287
2013-10-01 00:00:00,66.5,73.0,60.7,68.1,62740053
2013-11-01 00:00:00,68.0,83.05,68.0,80.5,115067693
2013-12-01 00:00:00,80.6,116.55,77.5,107.2,263330046
2014-01-01 00:00:00,107.95,118.55,101.05,113.3,255345215
2014-02-01 00:00:00,112.5,133.3,109.15,131.65,125774602
2014-03-01 00:00:00,132.45,166.15,125.0,159.6,129826984
2014-04-01 00:00:00,160.5,178.9,154.5,159.05,71200201
2014-05-01 00:00:00,159.05,193.95,157.55,176.15,99200487
2014-06-01 00:00:00,175.0,213.4,175.0,201.8,90027644
2014-07-01 00:00:00,200.25,217.2,164.25,184.9,90705559
2014-08-01 00:00:00,173.1,190.0,160.55,165.3,84546675
2014-09-01 00:00:00,166.95,217.8,166.7,203.75,161633995
2014-10-01 00:00:00,204.7,226.75,196.0,219.1,108631978
2014-11-01 00:00:00,221.15,242.95,214.35,228.4,70245006
2014-12-01 00:00:00,229.95,242.75,205.15,223.2,57501875
2015-01-01 00:00:00,222.0,246.0,214.5,242.55,54685932
2015-02-01 00:00:00,243.5,249.8,170.45,179.9,114402384
2015-03-01 00:00:00,177.0,183.4,155.0,168.25,71442109
2015-04-01 00:00:00,169.65,194.0,165.7,173.3,54292292
2015-05-01 00:00:00,173.3,191.4,162.0,189.85,51961987
2015-06-01 00:00:00,189.4,192.55,155.9,170.25,54663235
2015-07-01 00:00:00,169.35,209.95,166.4,202.55,58281972
2015-08-01 00:00:00,202.5,223.4,165.6,180.0,83497675
2015-09-01 00:00:00,178.6,197.5,162.9,179.95,44825285
2015-10-01 00:00:00,180.8,198.5,168.2,191.55,39504171
2015-11-01 00:00:00,171.95,172.6,151.25,162.7,45919562
2015-12-01 00:00:00,162.0,166.8,145.15,156.2,35602641
2016-01-01 00:00:00,156.9,161.9,127.05,147.45,79243040
2016-02-01 00:00:00,149.0,166.4,133.45,157.85,80800685
