,Open,High,Low,Close,Volume
2020-07-06 09:15:00,114.85,115.8,114.85,115.5,0.0
2020-07-06 09:16:00,115.65,115.7,115.3,115.4,77274.0
2020-07-06 09:17:00,115.4,115.65,115.25,115.4,83439.0
2020-07-06 09:18:00,115.4,115.55,115.15,115.5,68349.0
2020-07-06 09:19:00,115.55,115.6,115.4,115.5,69032.0
2020-07-06 09:20:00,115.5,116.0,115.5,115.6,110829.0
2020-07-06 09:21:00,115.6,115.95,115.55,115.8,87437.0
2020-07-06 09:22:00,115.8,116.05,115.8,115.8,107933.0
2020-07-06 09:23:00,115.8,115.8,115.5,115.6,191569.0
2020-07-06 09:24:00,115.6,115.6,115.35,115.4,31732.0
2020-07-06 09:25:00,115.4,115.4,115.1,115.2,82272.0
2020-07-06 09:26:00,115.15,115.65,115.15,115.35,50741.0
2020-07-06 09:27:00,115.2,115.45,115.1,115.4,22380.0
2020-07-06 09:28:00,115.35,115.6,115.35,115.5,26562.0
2020-07-06 09:29:00,115.45,115.7,115.45,115.7,24568.0
2020-07-06 09:30:00,115.6,116.0,115.6,115.9,80774.0
2020-07-06 09:31:00,115.95,116.0,115.8,115.8,70404.0
2020-07-06 09:32:00,115.85,115.85,115.55,115.6,30383.0
2020-07-06 09:33:00,115.5,115.65,115.5,115.6,8827.0
2020-07-06 09:34:00,115.6,115.7,115.5,115.6,12261.0
2020-07-06 09:35:00,115.55,115.7,115.5,115.65,14807.0
2020-07-06 09:36:00,115.65,115.7,115.6,115.65,11658.0
2020-07-06 09:37:00,115.7,115.95,115.65,115.9,18478.0
2020-07-06 09:38:00,115.9,115.95,115.85,115.85,30946.0
2020-07-06 09:39:00,115.85,116.2,115.85,116.2,182918.0
2020-07-06 09:40:00,116.2,116.35,116.2,116.3,100176.0
2020-07-06 09:41:00,116.2,116.3,116.05,116.05,137185.0
2020-07-06 09:42:00,116.05,116.05,115.75,115.85,48394.0
2020-07-06 09:43:00,115.95,116.2,115.9,116.1,34075.0
2020-07-06 09:44:00,116.1,116.25,116.1,116.25,26243.0
