,Open,High,Low,Close,Volume
2002-09-01 00:00:00,35.0,39.5,33.3,36.95,964971
2002-10-01 00:00:00,36.1,37.0,26.3,26.75,1953118
2002-11-01 00:00:00,26.9,31.15,24.1,30.75,1058388
2002-12-01 00:00:00,32.4,40.25,28.0,38.5,4977582
2003-01-01 00:00:00,39.1,47.25,30.05,31.35,9957848
2003-02-01 00:00:00,32.45,38.4,28.9,33.85,4746038
2003-03-01 00:00:00,34.0,34.15,30.3,30.75,1141332
2003-04-01 00:00:00,32.0,34.0,30.2,31.65,1056760
2003-05-01 00:00:00,31.7,33.2,23.0,23.75,844468
2003-06-01 00:00:00,24.85,48.15,23.65,48.15,5164083
2003-07-01 00:00:00,50.0,65.5,45.65,61.95,15014709
2003-08-01 00:00:00,62.3,64.0,50.5,54.7,2632242
2003-09-01 00:00:00,56.0,61.8,43.1,46.9,5600521
2003-10-01 00:00:00,47.1,54.8,44.75,50.75,3628088
2003-11-01 00:00:00,51.0,65.3,48.25,58.25,4173657
2003-12-01 00:00:00,59.8,82.5,59.8,75.25,8013412
2004-01-01 00:00:00,76.0,97.7,68.5,69.7,8511298
2004-02-01 00:00:00,69.7,73.4,53.0,56.65,5162745
2004-03-01 00:00:00,57.0,65.8,47.1,47.65,3844862
2004-04-01 00:00:00,49.0,53.9,43.2,43.5,3640773
2004-05-01 00:00:00,43.5,45.4,32.6,39.1,7515304
2004-06-01 00:00:00,41.15,44.65,37.55,40.35,14013448
2004-07-01 00:00:00,40.8,47.7,35.1,44.6,10690925
2004-08-01 00:00:00,45.0,45.45,39.1,42.75,8354184
2004-09-01 00:00:00,43.1,45.4,40.8,41.25,11975163
2004-10-01 00:00:00,41.4,46.0,39.6,39.75,5698448
2004-11-01 00:00:00,40.4,49.7,38.7,45.0,14180387
2004-12-01 00:00:00,45.5,46.3,42.8,43.65,9008591
2005-01-01 00:00:00,44.0,48.3,39.15,41.95,10539536
2005-02-01 00:00:00,42.4,49.0,39.8,40.55,6534741
2005-03-01 00:00:00,40.9,43.9,32.5,35.6,6814567
2005-04-01 00:00:00,35.05,38.0,29.5,32.65,4946856
2005-05-01 00:00:00,32.65,58.5,32.55,53.2,41590168
2005-06-01 00:00:00,53.7,62.35,51.35,52.3,22784192
2005-07-01 00:00:00,52.9,101.5,52.0,79.95,73982305
2005-08-01 00:00:00,80.95,97.15,78.5,94.5,31072965
2005-09-01 00:00:00,95.4,120.0,81.9,100.25,53629630
2005-10-01 00:00:00,100.9,110.4,85.7,92.7,26756879
2005-11-01 00:00:00,92.4,140.45,92.4,131.15,82150113
2005-12-01 00:00:00,131.1,149.7,130.55,138.8,27863373
2006-01-01 00:00:00,139.15,143.4,121.2,123.75,11740607
2006-02-01 00:00:00,124.2,138.9,115.25,122.15,16603206
2006-03-01 00:00:00,123.45,137.9,120.0,130.0,14279982
2006-04-01 00:00:00,131.0,145.0,106.1,124.15,12014303
2006-05-01 00:00:00,125.25,127.4,71.0,100.55,7444055
2006-06-01 00:00:00,101.45,116.75,68.25,106.45,9775911
2006-07-01 00:00:00,106.75,115.8,88.55,104.45,11901855
2006-08-01 00:00:00,103.1,133.4,101.0,116.85,17298256
2006-09-01 00:00:00,117.75,135.9,111.75,132.2,9590213
2006-10-01 00:00:00,132.2,171.3,127.2,161.7,19639080
2006-11-01 00:00:00,162.65,163.5,130.2,141.25,6338491
2006-12-01 00:00:00,142.4,173.5,129.9,162.05,10169022
2007-01-01 00:00:00,162.05,214.5,155.0,201.7,18291541
2007-02-01 00:00:00,202.0,263.0,180.05,213.4,49010779
2007-03-01 00:00:00,217.0,232.4,182.25,218.3,29244701
2007-04-01 00:00:00,216.0,328.2,208.0,327.65,32739140
2007-05-01 00:00:00,327.65,345.15,298.0,310.7,15168696
2007-06-01 00:00:00,312.3,317.8,283.5,308.65,6692046
2007-07-01 00:00:00,312.0,379.0,301.0,329.7,13794626
2007-08-01 00:00:00,325.3,349.5,262.1,299.9,6873280
2007-09-01 00:00:00,304.45,405.0,301.2,375.5,40307773
2007-10-01 00:00:00,377.7,427.0,296.0,373.8,16180208
2007-11-01 00:00:00,382.0,439.5,321.2,379.45,13206202
2007-12-01 00:00:00,380.0,449.7,342.5,426.6,18692842
2008-01-01 00:00:00,427.0,429.9,133.0,243.85,14370313
2008-02-01 00:00:00,249.4,276.0,196.0,229.7,9375579
2008-03-01 00:00:00,225.0,239.0,155.15,222.1,12598622
2008-04-01 00:00:00,225.6,281.2,204.0,270.45,21627054
2008-05-01 00:00:00,270.0,280.0,220.0,228.55,12223269
2008-06-01 00:00:00,230.0,238.7,185.25,194.2,11584332
2008-07-01 00:00:00,194.0,229.5,169.4,186.3,14388147
2008-08-01 00:00:00,185.5,246.5,180.25,211.8,19653948
2008-09-01 00:00:00,212.95,252.35,115.0,135.85,24031205
2008-10-01 00:00:00,136.5,142.9,51.0,78.3,30828148
2008-11-01 00:00:00,82.1,101.7,60.8,63.2,16819042
2008-12-01 00:00:00,64.7,99.25,59.1,96.1,28469762
2009-01-01 00:00:00,98.0,106.7,65.0,88.85,19621056
2009-02-01 00:00:00,88.0,92.45,70.1,72.45,11346033
2009-03-01 00:00:00,70.0,86.2,64.8,83.3,11632413
2009-04-01 00:00:00,84.05,122.9,82.5,92.25,22066116
2009-05-01 00:00:00,92.25,180.7,92.25,173.75,27419331
2009-06-01 00:00:00,175.0,208.75,150.6,161.9,35699814
2009-07-01 00:00:00,163.8,185.5,127.25,178.1,32748113
2009-08-01 00:00:00,179.9,279.65,171.5,249.55,50094908
2009-09-01 00:00:00,252.0,295.45,250.05,274.85,46194632
2009-10-01 00:00:00,273.0,288.95,178.8,181.8,33082364
2009-11-01 00:00:00,179.2,200.0,161.5,168.45,26863957
2009-12-01 00:00:00,170.0,202.2,167.0,187.6,32271118
2010-01-01 00:00:00,187.0,207.95,161.3,172.05,22401477
2010-02-01 00:00:00,178.1,178.1,158.85,164.25,11782146
2010-03-01 00:00:00,164.15,182.0,164.15,167.35,10065970
2010-04-01 00:00:00,168.0,185.65,166.0,170.75,10878582
2010-05-01 00:00:00,170.0,170.55,115.1,129.75,7736305
2010-06-01 00:00:00,128.05,144.8,126.3,136.9,13658608
2010-07-01 00:00:00,136.8,157.2,134.55,141.6,17806143
2010-08-01 00:00:00,142.9,172.4,138.2,141.0,22107730
2010-09-01 00:00:00,142.4,171.8,142.0,157.0,16564308
2010-10-01 00:00:00,159.0,180.3,147.0,148.55,15270692
2010-11-01 00:00:00,150.1,169.0,118.0,127.6,9171913
2010-12-01 00:00:00,128.0,138.8,113.9,134.35,7003190
2011-01-01 00:00:00,135.35,143.8,109.8,111.5,5579096
2011-02-01 00:00:00,112.0,113.8,81.5,99.2,13154270
2011-03-01 00:00:00,100.0,106.3,91.0,98.25,7804344
2011-04-01 00:00:00,98.85,119.25,98.3,106.55,11682031
2011-05-01 00:00:00,107.7,107.7,88.7,96.8,6112006
2011-06-01 00:00:00,97.75,105.2,85.0,95.9,9582980
2011-07-01 00:00:00,96.8,147.85,93.4,138.6,53444569
2011-08-01 00:00:00,140.1,144.5,116.2,120.3,27666753
2011-09-01 00:00:00,122.0,138.0,112.4,116.15,19581940
2011-10-01 00:00:00,114.0,124.7,109.0,122.8,8429253
2011-11-01 00:00:00,122.6,130.3,86.65,91.7,8546148
2011-12-01 00:00:00,93.5,101.5,64.8,65.95,8718689
2012-01-01 00:00:00,66.3,102.8,64.3,87.65,16417685
2012-02-01 00:00:00,90.45,96.9,81.45,86.65,1025208
2012-03-01 00:00:00,87.1,98.85,76.5,77.7,6531223
2012-04-01 00:00:00,78.15,83.5,74.1,74.45,5050834
2012-05-01 00:00:00,74.15,78.6,65.55,72.75,9438717
2012-06-01 00:00:00,73.3,76.6,67.1,75.1,4211503
2012-07-01 00:00:00,75.5,81.9,67.4,68.95,8150829
2012-08-01 00:00:00,69.0,77.7,65.0,66.2,6742548
2012-09-01 00:00:00,67.2,75.35,66.05,73.55,6012556
2012-10-01 00:00:00,73.65,80.45,65.5,66.35,9170887
2012-11-01 00:00:00,66.9,71.25,65.2,67.0,6115804
2012-12-01 00:00:00,67.8,75.7,67.2,67.45,19441446
2013-01-01 00:00:00,67.9,72.25,57.0,58.3,10981762
2013-02-01 00:00:00,58.55,59.25,45.0,46.45,6376276
2013-03-01 00:00:00,46.9,52.65,40.25,42.15,5268011
2013-04-01 00:00:00,41.5,48.7,41.5,44.8,4571400
2013-05-01 00:00:00,44.8,66.0,43.7,53.15,29862901
2013-06-01 00:00:00,53.1,64.8,53.1,62.5,6570699
2013-07-01 00:00:00,61.9,68.3,58.2,62.55,6021786
2013-08-01 00:00:00,63.1,63.5,54.5,56.9,3098107
2013-09-01 00:00:00,57.7,66.9,56.05,62.0,2225859
2013-10-01 00:00:00,61.7,73.15,61.25,71.25,6348527
2013-11-01 00:00:00,73.0,77.4,71.0,72.3,5761850
2013-12-01 00:00:00,72.3,84.0,72.3,79.95,7084482
2014-01-01 00:00:00,79.25,89.45,66.75,69.55,10872229
2014-02-01 00:00:00,69.0,76.5,66.15,71.05,3534867
2014-03-01 00:00:00,70.5,77.8,69.2,74.95,4509174
2014-04-01 00:00:00,75.7,82.45,72.4,73.05,4844282
2014-05-01 00:00:00,73.05,95.7,69.7,86.8,7992431
2014-06-01 00:00:00,86.9,112.7,86.9,101.55,18399944
2014-07-01 00:00:00,104.4,106.85,84.7,91.3,10563254
2014-08-01 00:00:00,90.5,95.2,82.8,85.75,7598754
2014-09-01 00:00:00,86.2,98.5,80.5,82.8,11375692
2014-10-01 00:00:00,83.0,84.4,76.2,83.55,3950492
2014-11-01 00:00:00,85.1,87.9,78.4,78.65,6592089
2014-12-01 00:00:00,78.05,80.45,64.25,70.75,4625618
2015-01-01 00:00:00,70.0,75.1,67.0,71.55,5956086
2015-02-01 00:00:00,71.0,72.9,64.5,69.05,3368750
2015-03-01 00:00:00,68.25,68.6,52.0,57.6,3014341
2015-04-01 00:00:00,57.6,64.7,55.0,61.45,2180567
2015-05-01 00:00:00,61.45,63.8,57.05,57.7,1690464
2015-06-01 00:00:00,57.55,58.7,51.65,56.8,1449905
2015-07-01 00:00:00,62.0,75.9,57.2,72.4,13881987
2015-08-01 00:00:00,72.5,73.5,51.0,58.0,5182437
2015-09-01 00:00:00,57.65,65.7,53.5,57.85,6436362
2015-10-01 00:00:00,58.0,70.75,57.05,59.8,10233919
2015-11-01 00:00:00,60.5,63.9,54.1,63.15,3965484
2015-12-01 00:00:00,67.8,71.15,58.1,66.95,10794208
2016-01-01 00:00:00,66.95,77.35,57.1,62.75,19559447
2016-02-01 00:00:00,63.4,64.8,50.6,53.2,4341679
2016-03-01 00:00:00,53.55,61.0,53.55,57.85,3578490
2016-04-01 00:00:00,57.55,65.35,57.55,61.0,4331659
2016-05-01 00:00:00,61.0,68.05,57.0,64.15,6306253
2016-06-01 00:00:00,64.55,81.15,64.2,79.5,15708642
2016-07-01 00:00:00,79.9,80.9,69.05,72.55,6923522
2016-08-01 00:00:00,74.3,135.5,68.55,124.6,63181026
2016-09-01 00:00:00,126.0,184.2,120.3,158.2,37872139
2016-10-01 00:00:00,159.5,227.5,155.1,218.45,24953918
2016-11-01 00:00:00,215.25,221.5,142.25,163.4,20135813
2016-12-01 00:00:00,164.9,177.4,141.15,165.8,12080773
2017-01-01 00:00:00,164.05,203.6,161.9,183.8,15399620
2017-02-01 00:00:00,183.8,250.75,183.8,234.4,27662230
2017-03-01 00:00:00,235.75,243.95,220.35,230.9,12542265
2017-04-01 00:00:00,232.1,247.9,215.85,221.5,9741381
2017-05-01 00:00:00,221.5,224.6,178.25,193.0,7872269
2017-06-01 00:00:00,191.8,234.0,188.9,194.7,11895285
2017-07-01 00:00:00,195.4,221.6,194.65,214.45,9722560
2017-08-01 00:00:00,209.5,326.4,195.0,316.45,41226379
2017-09-01 00:00:00,316.85,322.45,267.05,282.65,14510477
2017-10-01 00:00:00,282.65,348.0,277.55,312.75,13915977
2017-11-01 00:00:00,314.0,404.3,302.0,362.05,29524017
2017-12-01 00:00:00,364.7,388.0,336.0,364.4,14905378
2018-01-01 00:00:00,366.6,386.0,300.9,304.95,9558913
2018-02-01 00:00:00,305.5,354.8,246.65,320.2,22189912
2018-03-01 00:00:00,317.25,325.5,256.0,258.9,9832170
2018-04-01 00:00:00,260.0,302.45,258.0,289.75,16590610
2018-05-01 00:00:00,289.75,294.6,217.2,242.35,8461720
2018-06-01 00:00:00,243.0,284.0,221.8,252.4,9366593
2018-07-01 00:00:00,252.0,264.3,232.0,255.65,6422601
2018-08-01 00:00:00,253.7,256.5,226.0,227.45,5065369
2018-09-01 00:00:00,227.65,231.75,155.05,165.35,5084714
2018-10-01 00:00:00,161.0,191.0,120.0,154.1,11106188
2018-11-01 00:00:00,156.9,182.8,153.3,174.8,4956174
2018-12-01 00:00:00,174.0,207.55,156.05,191.2,9291993
2019-01-01 00:00:00,192.35,209.9,164.45,170.15,9978299
2019-02-01 00:00:00,170.85,179.95,146.5,156.95,3674782
2019-03-01 00:00:00,157.85,190.7,157.85,177.8,6614341
2019-04-01 00:00:00,178.55,184.5,158.0,159.65,3589930
2019-05-01 00:00:00,159.65,176.9,126.8,157.9,4858090
2019-06-01 00:00:00,157.8,163.9,131.0,144.25,3703388
2019-07-01 00:00:00,144.05,153.0,111.6,126.4,4937589
2019-08-01 00:00:00,126.2,140.95,115.0,126.5,3288979
2019-09-01 00:00:00,126.5,164.45,121.35,156.7,6414102
2019-10-01 00:00:00,157.0,183.35,140.15,176.55,5780249
2019-11-01 00:00:00,176.0,193.45,157.5,163.65,4355600
2019-12-01 00:00:00,164.35,176.4,146.1,161.5,4962622
2020-01-01 00:00:00,162.25,191.55,148.0,166.05,12767411
2020-02-01 00:00:00,164.1,168.8,115.7,117.6,4281584
2020-03-01 00:00:00,120.0,124.5,65.55,83.5,3407750
2020-04-01 00:00:00,85.8,111.35,74.75,103.6,7859360
2020-05-01 00:00:00,101.0,109.9,93.35,98.15,2692205
2020-06-01 00:00:00,99.75,109.4,94.1,99.7,3760821
2020-07-01 00:00:00,100.25,101.5,98.8,99.6,131088
2020-07-06 14:22:34,100.0,101.85,99.65,100.3,66037
