,Open,High,Low,Close,Volume
2019-07-08 09:15:00,139.45,140.55,136.4,138.15,111932.0
2019-07-09 09:15:00,137.4,141.7,136.6,140.5,129559.0
2019-07-10 09:15:00,140.5,141.35,136.5,137.6,100955.0
2019-07-11 09:15:00,137.85,138.65,134.15,136.35,122308.0
2019-07-12 09:15:00,136.7,137.45,134.75,135.45,116327.0
2019-07-15 09:15:00,135.25,137.0,134.05,135.6,78380.0
2019-07-16 09:15:00,135.6,136.6,134.0,134.85,94805.0
2019-07-17 09:15:00,134.8,135.2,132.7,133.85,78578.0
2019-07-18 09:15:00,133.0,133.05,122.1,126.9,140236.0
2019-07-19 09:15:00,126.0,128.7,120.2,121.8,136977.0
2019-07-22 09:15:00,120.0,120.0,116.2,117.85,96340.0
2019-07-23 09:15:00,117.85,117.85,111.6,115.85,162844.0
2019-07-24 09:15:00,116.0,133.3,116.0,129.0,1087359.0
2019-07-25 09:15:00,128.0,131.75,125.1,129.85,749765.0
2019-07-26 09:15:00,128.2,131.6,127.1,128.5,133209.0
2019-07-29 09:15:00,128.0,133.35,123.5,129.55,207765.0
2019-07-30 09:15:00,129.0,130.75,122.0,124.4,110131.0
2019-07-31 09:15:00,124.2,127.9,123.5,126.4,103948.0
2019-08-01 09:15:00,126.2,129.15,121.1,125.5,128572.0
2019-08-02 09:15:00,124.9,125.8,121.2,122.5,111295.0
2019-08-05 09:15:00,121.6,123.95,116.05,120.4,130716.0
2019-08-06 09:15:00,120.0,131.7,120.0,129.0,223164.0
2019-08-07 09:15:00,128.0,132.7,126.2,129.8,111093.0
2019-08-08 09:15:00,128.0,131.0,125.3,129.35,80187.0
2019-08-09 09:15:00,129.35,140.95,129.35,134.3,410139.0
2019-08-13 09:15:00,134.95,135.0,125.25,127.25,127074.0
2019-08-14 09:15:00,126.3,132.9,125.05,129.85,110651.0
2019-08-16 09:15:00,128.7,128.85,125.1,126.45,93016.0
2019-08-19 09:15:00,126.7,129.55,125.3,126.25,84407.0
2019-08-20 09:15:00,126.0,130.75,125.0,127.45,201283.0
2019-08-21 09:15:00,127.45,128.35,121.4,123.0,153389.0
2019-08-22 09:15:00,122.25,125.0,115.0,123.85,190239.0
2019-08-23 09:15:00,123.8,127.35,119.05,124.85,181315.0
2019-08-26 09:15:00,128.0,129.8,122.95,128.25,156369.0
2019-08-27 09:15:00,128.9,134.7,127.4,130.8,225694.0
2019-08-28 09:15:00,133.4,137.45,131.5,133.2,295817.0
2019-08-29 09:15:00,134.0,134.1,128.55,129.3,120564.0
2019-08-30 09:15:00,129.3,130.5,124.65,126.5,153995.0
2019-09-03 09:15:00,124.8,127.75,122.1,123.3,106019.0
2019-09-04 09:15:00,125.5,125.5,121.35,123.15,78376.0
2019-09-05 09:15:00,126.1,127.5,124.0,124.85,147677.0
2019-09-06 09:15:00,125.55,126.5,123.5,124.25,79095.0
2019-09-09 09:15:00,124.3,128.9,123.3,127.55,180431.0
2019-09-11 09:15:00,128.4,137.9,126.85,135.2,381436.0
2019-09-12 09:15:00,135.55,162.2,134.25,148.5,1398403.0
2019-09-13 09:15:00,148.0,152.4,145.05,148.4,328722.0
2019-09-16 09:15:00,145.75,153.7,145.75,150.6,317593.0
2019-09-17 09:15:00,150.1,151.15,136.05,139.1,251711.0
2019-09-18 09:15:00,141.3,145.3,137.5,141.3,208367.0
2019-09-19 09:15:00,141.3,141.9,133.65,136.25,141999.0
2019-09-20 09:15:00,136.9,153.65,134.15,146.25,429999.0
2019-09-23 09:15:00,148.25,154.0,144.85,148.9,315445.0
2019-09-24 09:15:00,148.9,164.45,147.35,157.0,672080.0
2019-09-25 09:15:00,156.9,157.0,148.0,150.5,195088.0
2019-09-26 09:15:00,149.1,162.8,149.1,160.55,667176.0
2019-09-27 09:15:00,159.0,163.0,153.8,157.0,300247.0
2019-09-30 09:15:00,156.2,159.75,152.1,156.7,214238.0
2019-10-01 09:15:00,157.0,162.75,148.05,153.9,268339.0
2019-10-03 09:15:00,153.8,157.3,150.0,151.9,122016.0
2019-10-04 09:15:00,152.85,155.45,148.25,150.2,105632.0
2019-10-07 09:15:00,151.2,151.5,145.25,146.55,89715.0
2019-10-09 09:15:00,146.4,149.7,140.15,146.85,192169.0
2019-10-10 09:15:00,146.35,148.9,142.35,144.5,90867.0
2019-10-11 09:15:00,145.7,156.8,144.85,151.25,302956.0
2019-10-14 09:15:00,153.0,154.45,148.0,151.1,103768.0
2019-10-15 09:15:00,151.2,154.5,149.25,152.25,99578.0
2019-10-16 09:15:00,152.9,161.6,152.9,156.95,204293.0
2019-10-17 09:15:00,156.9,169.0,156.25,163.5,712351.0
2019-10-18 09:15:00,163.35,174.15,162.0,165.8,479156.0
2019-10-22 09:15:00,165.2,173.3,162.95,165.8,404600.0
2019-10-23 09:15:00,165.9,181.9,164.4,178.4,874974.0
2019-10-24 09:15:00,178.55,183.35,169.0,173.65,322107.0
2019-10-25 09:00:00,173.8,174.85,155.7,160.6,368762.0
2019-10-29 09:15:00,163.3,167.6,159.5,163.8,215715.0
2019-10-30 09:15:00,163.8,173.0,163.5,169.4,422758.0
2019-10-31 09:15:00,170.4,179.0,169.25,176.55,370010.0
2019-11-01 09:15:00,176.0,178.4,170.6,171.65,234690.0
2019-11-04 09:15:00,171.9,183.75,171.9,179.45,527414.0
2019-11-05 09:15:00,179.2,193.45,175.6,178.4,880502.0
2019-11-06 09:15:00,178.7,181.4,174.25,175.4,269053.0
2019-11-07 09:15:00,176.0,177.55,169.4,170.55,169045.0
2019-11-08 09:15:00,169.05,175.8,169.05,171.15,200747.0
2019-11-11 09:15:00,171.8,174.5,170.0,171.1,118578.0
2019-11-13 09:15:00,171.1,173.9,165.5,167.65,127762.0
2019-11-14 09:15:00,167.65,170.7,161.9,162.6,186083.0
2019-11-15 09:15:00,163.9,165.7,158.1,158.95,135618.0
2019-11-18 09:15:00,160.9,163.0,159.1,160.7,133112.0
2019-11-19 09:15:00,160.95,165.5,160.1,162.15,191161.0
2019-11-20 09:15:00,163.0,166.25,162.15,163.05,196966.0
2019-11-21 09:15:00,163.05,165.55,159.25,160.05,114866.0
2019-11-22 09:15:00,160.95,161.9,157.5,158.0,78559.0
2019-11-25 09:15:00,158.8,164.1,158.35,160.95,149459.0
2019-11-26 09:15:00,162.0,164.65,160.35,161.25,105848.0
2019-11-27 09:15:00,161.9,162.65,160.0,161.15,90224.0
2019-11-28 09:15:00,161.9,163.2,160.35,161.4,95667.0
2019-11-29 09:15:00,161.4,169.9,160.85,163.65,350246.0
2019-12-02 09:15:00,164.35,164.4,156.0,158.55,125719.0
2019-12-03 09:15:00,158.9,159.3,153.0,154.65,99000.0
2019-12-04 09:15:00,154.5,160.0,152.9,157.25,115966.0
2019-12-05 09:15:00,158.0,159.0,154.0,155.25,96037.0
2019-12-06 09:15:00,154.25,156.5,150.2,151.45,94550.0
2019-12-09 09:15:00,151.0,155.35,149.1,151.1,85635.0
2019-12-10 09:15:00,154.9,155.0,149.2,150.05,118722.0
2019-12-11 09:15:00,149.55,156.0,146.1,151.85,127211.0
2019-12-12 09:15:00,153.35,156.75,151.3,152.6,171976.0
2019-12-13 09:15:00,152.7,158.5,152.7,154.9,180699.0
2019-12-16 09:15:00,154.5,156.3,151.6,152.45,82669.0
2019-12-17 09:15:00,152.0,168.9,152.0,166.5,744743.0
2019-12-18 09:15:00,168.2,172.45,162.25,170.9,670482.0
2019-12-19 09:15:00,175.0,176.4,166.15,168.15,1036493.0
2019-12-20 09:15:00,165.95,167.95,163.4,164.1,157009.0
2019-12-23 09:15:00,164.1,164.7,160.1,161.4,148780.0
2019-12-24 09:15:00,160.4,164.5,160.35,161.3,151719.0
2019-12-26 09:15:00,160.3,164.0,159.0,159.35,168364.0
2019-12-27 09:15:00,160.15,165.4,160.15,163.25,276144.0
2019-12-30 09:15:00,162.9,163.9,160.2,160.9,132662.0
2019-12-31 09:15:00,161.0,164.45,160.0,161.5,178042.0
2020-01-01 09:15:00,162.25,167.75,161.15,164.7,360158.0
2020-01-02 09:15:00,164.6,174.9,164.4,169.15,867159.0
2020-01-03 09:15:00,168.65,172.5,166.0,166.65,221681.0
2020-01-06 09:15:00,164.2,165.0,155.3,155.85,163326.0
