,Open,High,Low,Close,Volume
2008-07-01 00:00:00,72.9,72.9,31.7,35.95,15251166
2008-08-01 00:00:00,35.9,44.2,35.2,38.25,2163650
2008-09-01 00:00:00,39.2,41.5,29.5,33.35,562275
2008-10-01 00:00:00,34.95,34.95,24.25,26.65,333213
2008-11-01 00:00:00,25.9,29.5,22.0,22.65,111630
2008-12-01 00:00:00,22.65,23.8,20.25,22.7,56765
2009-01-01 00:00:00,22.0,23.6,19.8,21.0,95382
2009-02-01 00:00:00,20.2,20.95,15.2,15.95,45577
2009-03-01 00:00:00,15.3,16.1,12.15,13.55,110738
2009-04-01 00:00:00,14.5,22.45,13.9,18.15,139321
2009-05-01 00:00:00,18.9,34.0,16.5,30.4,759973
2009-06-01 00:00:00,30.0,31.95,25.3,27.25,334643
2009-07-01 00:00:00,27.85,28.4,23.7,27.0,160146
2009-08-01 00:00:00,27.0,38.5,25.55,35.15,351819
2009-09-01 00:00:00,35.0,37.5,30.95,33.2,298996
2009-10-01 00:00:00,32.9,33.5,28.0,28.85,181439
2009-11-01 00:00:00,28.25,30.5,26.75,27.8,95796
2009-12-01 00:00:00,27.75,40.15,27.2,36.85,469335
2010-01-01 00:00:00,37.45,42.9,34.2,36.1,576973
2010-02-01 00:00:00,36.0,36.95,31.0,31.9,109243
2010-03-01 00:00:00,32.45,37.0,30.65,31.25,291216
2010-04-01 00:00:00,32.0,38.9,31.75,34.6,683079
2010-05-01 00:00:00,34.85,36.4,29.35,30.7,242525
2010-06-01 00:00:00,30.95,34.0,29.3,31.25,192779
2010-07-01 00:00:00,32.25,33.9,30.0,30.9,195841
2010-08-01 00:00:00,31.75,37.5,30.0,32.95,1092625
2010-09-01 00:00:00,33.5,37.2,29.2,31.65,2093800
2010-10-01 00:00:00,31.75,40.3,29.25,29.85,4594113
2010-11-01 00:00:00,29.8,36.45,28.15,29.7,2175296
2010-12-01 00:00:00,29.05,31.5,23.25,27.2,833465
2011-01-01 00:00:00,27.0,27.65,20.0,20.7,341792
2011-02-01 00:00:00,20.75,21.6,16.7,18.25,301148
2011-03-01 00:00:00,18.4,18.9,15.55,16.8,127281
2011-04-01 00:00:00,16.8,19.9,16.5,17.4,106541
2011-05-01 00:00:00,17.15,17.95,14.0,14.95,104357
2011-06-01 00:00:00,14.25,15.75,12.0,13.35,144163
2011-07-01 00:00:00,13.3,16.4,13.0,13.8,73224
2011-08-01 00:00:00,13.65,15.0,9.5,10.15,152394
2011-09-01 00:00:00,10.2,19.6,10.0,19.55,196361
2011-10-01 00:00:00,20.0,20.5,14.2,16.1,54539
2011-11-01 00:00:00,16.55,16.95,11.6,12.5,48424
2011-12-01 00:00:00,13.0,16.75,10.65,12.0,84619
2012-01-01 00:00:00,12.5,14.35,11.5,12.75,19041
2012-02-01 00:00:00,13.15,13.9,11.6,12.45,88349
2012-03-01 00:00:00,11.95,12.9,9.8,10.85,48180
2012-04-01 00:00:00,10.8,13.35,9.9,11.05,73899
2012-05-01 00:00:00,10.85,11.65,8.55,9.65,26451
2012-06-01 00:00:00,9.65,10.0,8.3,9.1,70619
2012-07-01 00:00:00,9.1,9.75,8.05,8.4,54752
