,Open,High,Low,Close,Volume
2020-04-16 09:15:00,10.75,11.35,10.15,11.35,25688
2020-04-17 09:15:00,12.25,12.45,11.05,12.35,40144
2020-04-20 09:15:00,12.9,12.95,12.45,12.95,9609
2020-04-21 09:15:00,13.55,13.55,12.35,12.35,52151
2020-04-22 09:15:00,11.85,12.3,11.75,11.8,31285
2020-04-23 09:15:00,12.0,12.35,11.25,11.9,12102
2020-04-24 09:15:00,11.45,12.45,11.35,11.4,7464
2020-04-27 09:15:00,11.3,11.95,10.85,11.25,9484
2020-04-28 09:15:00,10.9,11.65,10.9,11.05,9630
2020-04-29 09:15:00,11.3,11.6,10.95,11.6,14707
2020-04-30 09:15:00,11.6,12.15,11.2,11.55,32221
2020-05-04 09:15:00,11.6,12.0,11.0,11.55,17651
2020-05-05 09:15:00,11.9,11.9,11.05,11.1,9357
2020-05-06 09:15:00,11.25,11.55,10.75,11.1,11226
2020-05-07 09:15:00,11.45,11.45,10.65,10.95,8615
2020-05-08 09:15:00,11.45,11.45,10.9,11.0,15825
2020-05-11 09:15:00,11.5,11.55,10.85,11.4,19772
2020-05-12 09:15:00,11.4,11.8,10.9,11.15,9044
2020-05-13 09:15:00,11.3,11.55,11.0,11.1,26099
2020-05-14 09:15:00,11.45,11.5,10.9,11.5,15438
2020-05-15 09:15:00,11.15,11.4,11.0,11.15,6825
2020-05-18 09:15:00,11.3,11.3,10.9,11.0,6270
2020-05-19 09:15:00,11.0,11.25,10.5,10.7,9737
2020-05-20 09:15:00,10.5,10.95,10.2,10.45,9119
2020-05-21 09:15:00,10.5,10.5,10.0,10.25,7996
2020-05-22 09:15:00,10.75,10.75,10.05,10.5,16983
2020-05-26 09:15:00,10.95,11.0,10.2,10.7,10396
2020-05-27 09:15:00,10.6,11.2,10.4,10.55,13105
2020-05-28 09:15:00,10.35,10.85,10.35,10.75,4375
2020-05-29 09:15:00,11.0,11.15,10.5,10.75,35397
2020-06-01 09:15:00,10.6,10.95,10.5,10.85,17434
2020-06-02 09:15:00,11.2,11.2,10.75,10.95,11819
2020-06-03 09:15:00,11.1,11.4,10.6,11.2,43757
2020-06-04 09:15:00,11.1,11.4,10.65,11.0,29986
2020-06-05 09:15:00,11.25,11.25,10.55,11.05,93234
2020-06-08 09:15:00,11.45,11.85,11.05,11.6,77106
2020-06-09 09:15:00,11.8,11.9,11.25,11.5,38624
2020-06-10 09:15:00,11.6,11.6,10.6,11.3,30891
2020-06-11 09:15:00,11.0,11.4,11.0,11.2,28966
2020-06-12 09:15:00,10.85,11.1,10.75,10.95,32792
2020-06-15 09:15:00,11.2,11.2,10.5,10.95,21413
2020-06-16 09:15:00,11.1,11.2,10.75,11.05,30388
2020-06-17 09:15:00,10.8,11.05,10.55,10.9,16070
2020-06-18 09:15:00,10.85,11.0,10.7,11.0,11939
2020-06-19 09:15:00,10.7,11.2,10.7,10.95,25378
2020-06-22 09:15:00,11.2,12.0,11.0,12.0,137610
2020-06-23 09:15:00,12.8,13.2,12.1,13.2,160041
2020-06-24 09:15:00,13.85,14.5,13.45,14.25,332146
2020-06-25 09:15:00,14.8,14.8,13.55,13.55,134779
2020-06-26 09:15:00,14.0,14.0,13.15,13.45,54325
2020-06-29 09:15:00,13.6,13.6,12.8,12.9,45136
2020-06-30 09:15:00,12.9,13.5,12.35,13.15,48551
2020-07-01 09:15:00,13.0,13.8,12.75,13.8,126278
2020-07-02 09:15:00,14.45,14.45,13.6,13.9,97909
2020-07-03 09:15:00,13.35,13.8,13.25,13.25,77637
2020-07-06 09:15:00,13.25,13.4,12.8,12.9,49158
2020-07-07 09:15:00,12.95,13.1,12.4,12.7,56913
2020-07-08 09:15:00,12.9,13.0,12.55,12.65,53421
2020-07-09 09:15:00,12.65,13.0,12.6,12.95,41483
2020-07-10 15:29:56,12.8,13.1,12.6,13.05,16092
