,Open,High,Low,Close,Volume
2020-04-16 09:15:00,47.45,56.15,47.35,56.15,119476
2020-04-17 09:15:00,61.6,62.8,56.15,56.95,156231
2020-04-20 09:15:00,58.55,64.3,56.95,61.35,123671
2020-04-21 09:15:00,59.0,60.95,56.05,56.6,44466
2020-04-22 09:15:00,56.1,60.7,53.0,57.0,53087
2020-04-23 09:15:00,58.45,59.0,55.25,56.15,26386
2020-04-24 09:15:00,56.7,57.2,53.6,54.6,33097
2020-04-27 09:15:00,56.9,59.5,55.6,57.1,41005
2020-04-28 09:15:00,57.9,60.8,52.0,59.25,234262
2020-04-29 09:15:00,60.4,60.4,57.6,58.4,33213
2020-04-30 09:15:00,59.4,60.0,56.75,58.05,50271
2020-05-04 09:15:00,56.0,56.0,53.0,54.25,44137
2020-05-05 09:15:00,54.5,56.4,53.55,53.85,10522
2020-05-06 09:15:00,55.0,59.2,53.0,57.75,136408
2020-05-07 09:15:00,57.95,58.65,54.0,55.0,40448
2020-05-08 09:15:00,55.35,57.3,53.55,54.1,19179
2020-05-11 09:15:00,54.8,55.65,54.0,54.75,18248
2020-05-12 09:15:00,54.85,54.85,52.5,53.95,18228
2020-05-13 09:15:00,55.9,56.9,55.0,55.95,35313
2020-05-14 09:15:00,55.85,58.3,54.05,57.6,50770
2020-05-15 09:15:00,58.15,58.65,55.85,56.3,40744
2020-05-18 09:15:00,56.95,56.95,53.1,53.45,13063
2020-05-19 09:15:00,55.95,55.95,53.1,53.8,14711
2020-05-20 09:15:00,53.35,54.8,53.3,54.5,9131
2020-05-21 09:15:00,54.95,57.65,54.5,56.85,25202
2020-05-22 09:15:00,56.25,57.55,55.65,55.85,17563
2020-05-26 09:15:00,56.5,61.4,56.5,61.4,88842
2020-05-27 09:15:00,64.2,66.5,61.1,65.55,211023
2020-05-28 09:15:00,66.95,72.1,63.15,71.95,290668
2020-05-29 09:15:00,72.7,72.7,68.4,68.4,79229
2020-06-01 09:15:00,69.4,71.0,67.0,68.2,74331
2020-06-02 09:15:00,69.3,69.3,66.0,66.35,40413
2020-06-03 09:15:00,66.6,69.65,66.2,68.5,70317
2020-06-04 09:15:00,70.4,70.4,66.0,66.95,21891
2020-06-05 09:15:00,67.0,67.8,66.0,67.1,23040
2020-06-08 09:15:00,66.05,69.0,65.1,65.9,30305
2020-06-09 09:15:00,67.8,68.6,63.6,66.7,33330
2020-06-10 09:15:00,67.7,68.0,65.9,66.55,12978
2020-06-11 09:15:00,66.7,68.45,64.3,65.35,30553
2020-06-12 09:15:00,63.6,68.5,63.0,67.65,48531
2020-06-15 09:15:00,68.05,68.35,66.2,67.1,35243
2020-06-16 09:15:00,68.65,69.5,65.1,67.5,46758
2020-06-17 09:15:00,67.85,68.9,66.5,67.45,40987
2020-06-18 09:15:00,67.5,70.0,66.75,68.9,63081
2020-06-19 09:15:00,70.0,72.0,69.0,70.8,61651
2020-06-22 09:15:00,73.0,73.9,71.2,72.15,60684
2020-06-23 09:15:00,72.5,75.75,71.0,75.55,106828
2020-06-24 09:15:00,76.4,79.0,71.8,72.35,93371
2020-06-25 09:15:00,71.0,74.8,71.0,73.7,25704
2020-06-26 09:15:00,76.15,76.15,72.5,73.7,71862
2020-06-29 09:15:00,70.05,70.05,70.05,70.05,23588
2020-06-30 09:15:00,66.55,66.55,66.55,66.55,9206
2020-07-01 09:15:00,63.25,63.25,63.25,63.25,10820
2020-07-02 09:15:00,60.4,65.4,60.4,62.8,80841
2020-07-03 09:15:00,63.9,63.9,59.7,60.25,66970
2020-07-06 09:15:00,61.0,63.25,61.0,63.25,28000
2020-07-07 09:15:00,64.5,65.5,62.0,63.05,41750
2020-07-08 09:15:00,63.05,65.1,62.75,64.55,37169
2020-07-09 09:15:00,64.4,65.05,63.1,63.7,17527
2020-07-10 15:29:54,63.95,63.95,60.55,61.05,36106
