,Open,High,Low,Close,Volume
2020-05-07 09:15:00,1.55,1.6,1.5,1.5,166317
2020-05-08 09:15:00,1.55,1.55,1.45,1.5,93455
2020-05-11 09:15:00,1.55,1.55,1.45,1.5,100788
2020-05-12 09:15:00,1.55,1.55,1.45,1.55,88433
2020-05-13 09:15:00,1.6,1.6,1.5,1.6,46155
2020-05-14 09:15:00,1.65,1.65,1.55,1.65,35650
2020-05-15 09:15:00,1.65,1.7,1.6,1.7,51989
2020-05-18 09:15:00,1.75,1.75,1.65,1.65,17943
2020-05-19 09:15:00,1.65,1.65,1.6,1.6,18871
2020-05-20 09:15:00,1.55,1.6,1.55,1.55,31704
2020-05-21 09:15:00,1.6,1.6,1.5,1.55,73923
2020-05-22 09:15:00,1.6,1.6,1.5,1.55,59446
2020-05-26 09:15:00,1.5,1.6,1.5,1.55,41157
2020-05-27 09:15:00,1.5,1.6,1.5,1.55,48275
2020-05-28 09:15:00,1.5,1.6,1.5,1.6,147754
2020-05-29 09:15:00,1.55,1.65,1.55,1.65,71983
2020-06-01 09:15:00,1.6,1.7,1.6,1.65,107086
2020-06-02 09:15:00,1.7,1.7,1.65,1.7,54249
2020-06-03 09:15:00,1.75,1.75,1.7,1.7,102595
2020-06-04 09:15:00,1.75,1.75,1.65,1.7,144253
2020-06-05 09:15:00,1.7,1.85,1.65,1.85,377669
2020-06-08 09:15:00,2.0,2.0,1.95,2.0,120242
2020-06-09 09:15:00,2.2,2.2,2.1,2.2,325744
2020-06-10 09:15:00,2.3,2.3,2.3,2.3,209707
2020-06-11 09:15:00,2.4,2.4,2.4,2.4,66587
2020-06-12 09:15:00,2.5,2.5,2.3,2.5,511129
2020-06-15 09:15:00,2.6,2.6,2.6,2.6,20527
2020-06-16 09:15:00,2.7,2.7,2.7,2.7,31718
2020-06-17 09:15:00,2.8,2.8,2.8,2.8,21090
2020-06-18 09:15:00,2.9,2.9,2.9,2.9,65541
2020-06-19 09:15:00,3.0,3.0,3.0,3.0,123469
2020-06-22 09:15:00,3.15,3.15,3.15,3.15,113690
2020-06-23 09:15:00,3.3,3.3,3.3,3.3,205334
2020-06-24 09:15:00,3.45,3.45,3.15,3.4,608538
2020-06-25 09:15:00,3.5,3.5,3.25,3.25,230780
2020-06-26 09:15:00,3.1,3.1,3.1,3.1,72481
2020-06-29 09:15:00,2.95,2.95,2.95,2.95,170587
2020-06-30 09:15:00,2.85,2.85,2.85,2.85,49219
2020-07-01 09:15:00,2.75,2.75,2.75,2.75,38241
2020-07-02 09:15:00,2.65,2.85,2.65,2.85,338952
2020-07-03 09:15:00,2.95,2.95,2.75,2.75,250554
2020-07-06 09:15:00,2.85,2.85,2.85,2.85,208551
2020-07-07 09:15:00,2.95,2.95,2.9,2.95,147383
2020-07-08 09:15:00,2.95,3.05,2.85,2.85,175349
2020-07-09 09:15:00,2.75,2.95,2.75,2.85,152984
2020-07-10 09:15:00,2.85,2.9,2.75,2.75,123358
2020-07-13 09:15:00,2.65,2.85,2.65,2.75,68343
2020-07-14 09:15:00,2.75,2.75,2.65,2.65,39169
2020-07-15 09:15:00,2.55,2.6,2.55,2.55,73287
2020-07-16 09:15:00,2.6,2.6,2.45,2.45,42051
2020-07-17 09:15:00,2.45,2.5,2.35,2.4,64080
2020-07-20 09:15:00,2.3,2.45,2.3,2.35,64697
2020-07-21 09:15:00,2.45,2.45,2.25,2.45,24562
2020-07-22 09:15:00,2.35,2.4,2.35,2.35,82049
2020-07-23 09:15:00,2.4,2.4,2.25,2.3,55546
2020-07-24 09:15:00,2.35,2.4,2.3,2.4,53560
2020-07-27 09:15:00,2.5,2.5,2.3,2.3,36530
2020-07-28 09:15:00,2.25,2.4,2.2,2.25,46026
2020-07-29 09:15:00,2.25,2.35,2.25,2.35,44064
2020-07-30 13:15:02,2.4,2.45,2.25,2.35,37927
