,Open,High,Low,Close,Volume
2020-06-03 12:15:00,1.75,1.75,1.7,1.7,932.0
2020-06-03 13:45:00,1.75,1.75,1.7,1.75,21670.0
2020-06-03 15:15:00,1.75,1.75,1.7,1.7,14700.0
2020-06-04 09:15:00,1.75,1.75,1.7,1.75,68850.0
2020-06-04 10:45:00,1.7,1.75,1.7,1.75,7612.0
2020-06-04 12:15:00,1.7,1.75,1.65,1.7,45640.0
2020-06-04 13:45:00,1.7,1.7,1.65,1.7,12805.0
2020-06-04 15:15:00,1.7,1.7,1.65,1.7,19800.0
2020-06-05 09:15:00,1.7,1.85,1.65,1.85,139379.0
2020-06-05 10:45:00,1.85,1.85,1.8,1.85,224759.0
2020-06-05 12:15:00,1.85,1.85,1.85,1.85,9790.0
2020-06-05 13:45:00,1.85,1.85,1.85,1.85,3700.0
2020-06-05 15:15:00,1.85,1.85,1.85,1.85,9800.0
2020-06-08 09:15:00,2.0,2.0,1.95,2.0,64729.0
2020-06-08 10:45:00,2.0,2.0,2.0,2.0,24100.0
2020-06-08 12:15:00,2.0,2.0,2.0,2.0,5544.0
2020-06-08 13:45:00,2.0,2.0,2.0,2.0,5364.0
2020-06-08 15:15:00,2.0,2.0,2.0,2.0,1.0
2020-06-09 09:15:00,2.2,2.2,2.1,2.2,176839.0
2020-06-09 10:45:00,2.2,2.2,2.15,2.2,65114.0
2020-06-09 12:15:00,2.2,2.2,2.2,2.2,647.0
2020-06-09 13:45:00,2.2,2.2,2.2,2.2,7440.0
2020-06-09 15:15:00,2.2,2.2,2.2,2.2,2100.0
2020-06-10 09:15:00,2.3,2.3,2.3,2.3,18220.0
2020-06-10 10:45:00,2.3,2.3,2.3,2.3,3986.0
2020-06-10 12:15:00,2.3,2.3,2.3,2.3,1445.0
2020-06-10 13:45:00,2.3,2.3,2.3,2.3,9484.0
2020-06-10 15:15:00,2.3,2.3,2.3,2.3,275.0
2020-06-11 09:15:00,2.4,2.4,2.4,2.4,13924.0
2020-06-11 10:45:00,2.4,2.4,2.4,2.4,15.0
2020-06-11 12:15:00,2.4,2.4,2.4,2.4,400.0
2020-06-11 13:45:00,2.4,2.4,2.4,2.4,8160.0
