,Open,High,Low,Close,Volume
2020-07-03 09:15:00,2.95,2.95,2.9,2.95,0.0
2020-07-03 09:16:00,2.95,2.95,2.95,2.95,1600.0
2020-07-03 09:18:00,2.95,2.95,2.95,2.95,26670.0
2020-07-03 09:19:00,2.95,2.95,2.95,2.95,8000.0
2020-07-03 09:20:00,2.95,2.95,2.95,2.95,11539.0
2020-07-03 09:21:00,2.9,2.95,2.9,2.95,0.0
2020-07-03 09:22:00,2.95,2.95,2.9,2.9,872.0
2020-07-03 09:23:00,2.9,2.95,2.9,2.95,0.0
2020-07-03 09:24:00,2.95,2.95,2.95,2.95,186.0
2020-07-03 09:25:00,2.95,2.95,2.95,2.95,50.0
2020-07-03 09:26:00,2.95,2.95,2.95,2.95,1688.0
2020-07-03 09:28:00,2.95,2.95,2.95,2.95,0.0
2020-07-03 09:34:00,2.95,2.95,2.95,2.95,1156.0
2020-07-03 09:36:00,2.95,2.95,2.95,2.95,400.0
2020-07-03 09:37:00,2.95,2.95,2.95,2.95,350.0
2020-07-03 09:38:00,2.95,2.95,2.95,2.95,0.0
2020-07-03 09:40:00,2.95,2.95,2.95,2.95,1980.0
2020-07-03 09:41:00,2.95,2.95,2.95,2.95,2000.0
2020-07-03 09:42:00,2.95,2.95,2.95,2.95,1000.0
2020-07-03 09:44:00,2.95,2.95,2.95,2.95,4900.0
2020-07-03 09:49:00,2.95,2.95,2.95,2.95,0.0
2020-07-03 09:55:00,2.95,2.95,2.95,2.95,696.0
2020-07-03 10:22:00,2.95,2.95,2.95,2.95,531.0
2020-07-03 10:23:00,2.95,2.95,2.95,2.95,369.0
2020-07-03 10:27:00,2.95,2.95,2.95,2.95,1980.0
2020-07-03 10:35:00,2.95,2.95,2.95,2.95,420.0
2020-07-03 10:41:00,2.95,2.95,2.95,2.95,980.0
2020-07-03 10:48:00,2.95,2.95,2.95,2.95,8251.0
2020-07-03 10:50:00,2.95,2.95,2.95,2.95,0.0
2020-07-03 10:54:00,2.95,2.95,2.95,2.95,1000.0
2020-07-03 10:59:00,2.95,2.95,2.95,2.95,11221.0
2020-07-03 11:03:00,2.95,2.95,2.95,2.95,779.0
2020-07-03 11:07:00,2.95,2.95,2.95,2.95,690.0
2020-07-03 11:08:00,2.95,2.95,2.95,2.95,1200.0
2020-07-03 11:09:00,2.9,2.9,2.9,2.9,220.0
2020-07-03 11:10:00,2.9,2.9,2.9,2.9,5790.0
2020-07-03 11:11:00,2.9,2.9,2.9,2.9,1935.0
2020-07-03 11:12:00,2.85,2.85,2.85,2.85,162.0
2020-07-03 11:13:00,2.85,2.85,2.85,2.85,996.0
2020-07-03 11:15:00,2.8,2.8,2.8,2.8,0.0
2020-07-03 11:16:00,2.75,2.75,2.75,2.75,100.0
2020-07-03 11:17:00,2.75,2.75,2.75,2.75,5152.0
2020-07-03 11:18:00,2.75,2.75,2.75,2.75,0.0
2020-07-03 11:19:00,2.75,2.75,2.75,2.75,2182.0
2020-07-03 11:21:00,2.75,2.75,2.75,2.75,10.0
2020-07-03 11:24:00,2.75,2.75,2.75,2.75,66.0
2020-07-03 11:35:00,2.75,2.75,2.75,2.75,67.0
2020-07-03 11:36:00,2.75,2.75,2.75,2.75,50.0
2020-07-03 11:40:00,2.75,2.75,2.75,2.75,2000.0
2020-07-03 11:42:00,2.75,2.75,2.75,2.75,2059.0
2020-07-03 11:43:00,2.75,2.75,2.75,2.75,955.0
2020-07-03 11:45:00,2.75,2.75,2.75,2.75,564.0
2020-07-03 11:47:00,2.75,2.75,2.75,2.75,402.0
2020-07-03 11:48:00,2.75,2.75,2.75,2.75,0.0
2020-07-03 11:49:00,2.8,2.8,2.8,2.8,4199.0
2020-07-03 11:51:00,2.8,2.8,2.8,2.8,0.0
2020-07-03 11:52:00,2.85,2.85,2.75,2.75,5334.0
2020-07-03 11:53:00,2.75,2.75,2.75,2.75,3059.0
2020-07-03 11:54:00,2.75,2.95,2.75,2.95,3937.0
2020-07-03 11:58:00,2.95,2.95,2.95,2.95,0.0
2020-07-03 12:00:00,2.75,2.95,2.75,2.95,15195.0
2020-07-03 12:02:00,2.9,2.9,2.75,2.75,4039.0
2020-07-03 12:04:00,2.75,2.75,2.75,2.75,363.0
2020-07-03 12:05:00,2.75,2.75,2.75,2.75,0.0
2020-07-03 12:06:00,2.75,2.75,2.75,2.75,499.0
2020-07-03 12:07:00,2.75,2.75,2.75,2.75,800.0
2020-07-03 12:09:41,2.75,2.75,2.75,2.75,0.0
