,Open,High,Low,Close,Volume
2003-10-01 00:00:00,14.8,15.65,8.5,8.7,2564385
2003-11-01 00:00:00,9.9,11.0,7.6,10.75,1418058
2003-12-01 00:00:00,11.8,15.5,10.8,12.25,8037919
2004-01-01 00:00:00,12.25,14.5,8.65,8.8,2792308
2004-02-01 00:00:00,8.55,9.85,6.75,7.0,827851
2004-03-01 00:00:00,7.05,8.4,4.5,6.4,1071903
2004-04-01 00:00:00,6.6,10.65,6.3,8.2,1516806
2004-05-01 00:00:00,7.8,8.65,6.0,6.35,1028522
2004-06-01 00:00:00,6.4,7.2,6.1,6.55,513787
2004-07-01 00:00:00,6.75,9.25,6.05,7.8,3483806
2004-08-01 00:00:00,8.35,8.9,7.5,8.25,3413673
2004-09-01 00:00:00,8.25,12.2,8.2,11.1,9569838
2004-10-01 00:00:00,11.2,11.3,9.45,10.15,4699679
2004-11-01 00:00:00,10.6,12.0,9.5,10.6,5623662
2004-12-01 00:00:00,11.0,14.9,9.15,14.2,23084880
2005-01-01 00:00:00,14.8,15.7,11.25,12.55,14329506
2005-02-01 00:00:00,13.5,14.4,11.4,11.5,6046424
2005-03-01 00:00:00,11.8,12.5,9.0,9.95,3418670
2005-04-01 00:00:00,10.0,10.9,9.1,9.2,1161773
2005-05-01 00:00:00,9.15,12.15,8.1,10.65,4380473
2005-06-01 00:00:00,10.75,14.15,10.75,11.35,22792615
2005-07-01 00:00:00,11.65,14.6,11.35,12.9,41310319
2005-08-01 00:00:00,13.3,18.0,12.7,17.05,52539219
2005-09-01 00:00:00,17.35,17.7,11.1,13.05,17469233
2005-10-01 00:00:00,13.4,14.4,10.5,11.05,3846814
2005-11-01 00:00:00,11.05,12.95,10.05,11.25,5044927
2005-12-01 00:00:00,11.2,11.5,9.6,10.9,2515218
2006-01-01 00:00:00,11.15,14.0,11.15,11.75,10323566
2006-02-01 00:00:00,11.95,15.4,11.2,11.85,15032392
2006-03-01 00:00:00,11.6,12.65,10.0,11.1,6490516
2006-04-01 00:00:00,11.45,12.6,10.8,11.25,4118787
2006-05-01 00:00:00,11.45,12.9,8.35,10.25,4997846
2006-06-01 00:00:00,10.5,10.9,7.9,8.6,2625909
2006-07-01 00:00:00,8.65,9.0,7.7,7.95,807450
2006-08-01 00:00:00,7.95,10.5,7.9,9.35,3216145
2006-09-01 00:00:00,9.25,10.8,9.0,10.2,4585844
2006-10-01 00:00:00,10.5,11.4,8.95,9.1,3829887
2006-11-01 00:00:00,9.1,9.95,8.2,8.6,2957343
2006-12-01 00:00:00,8.6,9.95,7.5,8.85,1833499
2007-01-01 00:00:00,8.95,23.25,8.75,17.7,39548982
2007-02-01 00:00:00,17.0,28.95,16.85,27.8,15566723
2007-03-01 00:00:00,27.2,32.5,21.85,29.35,4772615
2007-04-01 00:00:00,28.5,47.05,26.1,47.05,4915888
2007-05-01 00:00:00,49.4,51.9,43.0,45.95,4267840
2007-06-01 00:00:00,47.95,49.95,38.25,43.25,10027966
2007-07-01 00:00:00,44.4,63.6,40.65,58.5,11890020
2007-08-01 00:00:00,58.95,58.95,38.25,46.15,2705090
2007-09-01 00:00:00,47.0,71.4,46.45,70.65,11271105
2007-10-01 00:00:00,73.15,98.0,71.45,89.2,15263617
2007-11-01 00:00:00,90.05,104.0,75.0,83.05,8181385
2007-12-01 00:00:00,85.95,93.95,72.7,88.05,7262250
2008-01-01 00:00:00,88.5,105.0,45.0,57.45,16224513
2008-02-01 00:00:00,59.0,61.0,43.55,51.2,5102644
2008-03-01 00:00:00,50.0,50.45,25.3,39.6,9906685
2008-04-01 00:00:00,41.0,45.65,37.3,43.0,5916104
2008-05-01 00:00:00,43.5,49.1,38.1,39.65,4490133
2008-06-01 00:00:00,40.05,44.6,29.05,30.1,5023559
2008-07-01 00:00:00,30.1,34.4,25.1,32.05,5157278
2008-08-01 00:00:00,31.2,36.6,30.25,30.85,3296485
2008-09-01 00:00:00,30.5,32.1,17.05,19.7,1894115
