,Open,High,Low,Close,Volume
2020-05-18 09:15:00,2650.0,2653.35,2461.0,2477.45,1172714
2020-05-19 09:15:00,2518.0,2555.0,2486.9,2509.3,641584
2020-05-20 09:15:00,2496.0,2580.45,2477.45,2557.75,947430
2020-05-21 09:15:00,2634.5,2724.2,2621.25,2640.35,3481384
2020-05-22 09:15:00,2623.0,2634.5,2542.8,2553.75,1328364
2020-05-26 09:15:00,2580.0,2597.95,2533.6,2564.85,686475
2020-05-27 09:15:00,2569.0,2605.0,2540.3,2580.55,563888
2020-05-28 09:15:00,2588.0,2619.5,2450.0,2600.0,1087116
2020-05-29 09:15:00,2603.0,2741.0,2591.25,2710.5,2057601
2020-06-01 09:15:00,2730.0,2790.0,2725.45,2758.3,1008549
2020-06-02 09:15:00,2759.9,2814.25,2726.2,2796.1,1283507
2020-06-03 09:15:00,2825.0,2876.5,2770.1,2783.4,750002
2020-06-04 09:15:00,2778.0,2833.2,2756.0,2817.25,709462
2020-06-05 09:15:00,2842.0,2842.9,2762.0,2776.3,723898
2020-06-08 09:15:00,2800.0,2814.0,2745.0,2801.05,727119
2020-06-09 09:15:00,2805.1,2814.6,2766.0,2791.15,619517
2020-06-10 09:15:00,2790.2,2803.95,2703.35,2717.2,687626
2020-06-11 09:15:00,2717.2,2758.0,2703.4,2718.55,661173
2020-06-12 09:15:00,2610.25,2799.05,2610.25,2782.15,895700
2020-06-15 09:15:00,2774.0,2774.0,2707.95,2728.55,517425
2020-06-16 09:15:00,2764.0,2786.95,2702.85,2718.45,611383
2020-06-17 09:15:00,2718.45,2737.8,2674.2,2689.45,600388
2020-06-18 09:15:00,2689.45,2697.15,2646.15,2678.35,579578
2020-06-19 09:15:00,2690.0,2710.0,2655.0,2674.35,929078
2020-06-22 09:15:00,2690.0,2873.95,2659.55,2855.75,1872829
2020-06-23 09:15:00,2890.0,2910.1,2844.95,2862.15,1089848
2020-06-24 09:15:00,2899.8,2979.9,2805.65,2817.25,1616696
2020-06-25 09:15:00,2789.8,2890.0,2772.7,2820.45,1341923
2020-06-26 09:15:00,2853.7,2900.0,2825.0,2867.6,1227656
2020-06-29 09:15:00,2825.0,2870.0,2815.0,2859.5,680236
2020-06-30 09:15:00,2902.4,2913.45,2815.0,2826.05,751691
2020-07-01 09:15:00,2838.05,2872.0,2828.6,2842.05,525799
2020-07-02 09:15:00,2857.9,2903.45,2837.1,2879.35,754915
2020-07-03 09:15:00,2899.0,2960.0,2887.6,2932.4,1394992
2020-07-06 09:15:00,2942.05,2946.0,2884.0,2897.1,1126381
2020-07-07 09:15:00,2901.0,2974.0,2826.55,2847.15,2168021
2020-07-08 09:15:00,2882.0,2899.0,2811.6,2852.45,1348810
2020-07-09 09:15:00,2878.0,2895.0,2840.2,2882.0,700469
2020-07-10 09:15:00,2875.0,2915.0,2856.4,2894.7,688336
2020-07-13 09:15:00,2898.9,2910.0,2876.8,2900.0,481601
2020-07-14 09:15:00,2898.0,2909.9,2847.0,2899.5,612986
2020-07-15 09:15:00,2915.0,2955.0,2900.0,2942.05,905297
2020-07-16 09:15:00,2944.0,2950.0,2898.9,2942.3,525135
2020-07-17 09:15:00,2950.0,3000.0,2925.0,2995.0,687105
2020-07-20 09:15:00,3001.0,3020.0,2974.0,3002.55,766788
2020-07-21 09:15:00,3015.0,3057.0,2990.0,3004.3,834544
2020-07-22 09:15:00,3011.0,3030.15,2906.55,2985.4,2050770
2020-07-23 09:15:00,2965.0,3050.0,2939.65,3032.1,1057181
2020-07-24 09:15:00,3030.0,3030.0,2978.0,2985.5,543609
2020-07-27 09:15:00,2990.0,3035.0,2934.05,3020.5,621957
2020-07-28 09:15:00,3021.0,3130.0,3018.0,3119.35,1263659
2020-07-29 09:15:00,3127.05,3149.0,3080.85,3099.3,582910
2020-07-30 09:15:00,3110.0,3129.95,3039.35,3048.95,570166
2020-07-31 09:15:00,3068.85,3077.9,2991.6,3004.95,561196
2020-08-03 09:15:00,2990.0,3069.9,2910.0,2917.45,1246016
2020-08-04 09:15:00,2939.0,2999.0,2922.05,2969.95,706322
2020-08-05 09:15:00,2986.2,3035.45,2972.0,3009.0,678314
2020-08-06 09:15:00,3024.8,3075.0,2976.4,2991.8,853222
2020-08-07 09:15:00,2991.8,3019.0,2975.0,3001.7,515510
2020-08-10 13:16:09,3001.7,3025.0,2973.2,2981.9,311759
