,Open,High,Low,Close,Volume
2020-07-30 09:15:00,3105.4,3121.6,3105.4,3119.0,2617
2020-07-30 09:17:00,3117.35,3129.95,3115.35,3117.0,13036
2020-07-30 09:19:00,3118.8,3125.0,3118.8,3119.8,2681
2020-07-30 09:21:00,3118.5,3125.25,3116.0,3122.0,5033
2020-07-30 09:23:00,3122.15,3122.15,3112.2,3114.8,3937
2020-07-30 09:25:00,3112.25,3114.8,3110.0,3111.7,3560
2020-07-30 09:27:00,3111.7,3114.3,3110.0,3110.0,4060
2020-07-30 09:29:00,3110.0,3110.0,3102.4,3106.0,7269
2020-07-30 09:31:00,3106.0,3106.0,3101.0,3104.85,5104
2020-07-30 09:33:00,3104.85,3105.0,3102.8,3105.0,1407
2020-07-30 09:35:00,3105.35,3114.0,3105.0,3113.2,5112
2020-07-30 09:37:00,3113.4,3114.35,3110.8,3112.0,3565
2020-07-30 09:39:00,3112.05,3112.05,3108.85,3109.45,2124
2020-07-30 09:41:00,3108.0,3109.4,3105.0,3107.0,3577
2020-07-30 09:43:00,3107.0,3108.2,3105.0,3107.2,1630
2020-07-30 09:45:00,3107.0,3107.2,3105.0,3106.1,1485
2020-07-30 09:47:00,3106.1,3108.0,3105.0,3105.0,2581
2020-07-30 09:49:00,3105.0,3105.05,3102.0,3103.45,3539
2020-07-30 09:51:00,3103.0,3105.3,3102.05,3103.75,2245
2020-07-30 09:53:00,3102.75,3107.0,3102.0,3105.95,1728
2020-07-30 09:55:00,3106.3,3106.95,3103.15,3104.35,1486
2020-07-30 09:57:00,3104.65,3106.0,3103.0,3103.0,1533
2020-07-30 09:59:00,3103.75,3116.3,3102.95,3113.15,7231
2020-07-30 10:01:00,3113.15,3113.15,3110.0,3110.0,1901
2020-07-30 10:03:00,3111.9,3111.9,3109.1,3110.0,1622
2020-07-30 10:05:00,3109.35,3109.55,3106.7,3107.45,2079
2020-07-30 10:07:00,3108.95,3111.25,3108.95,3111.25,1882
2020-07-30 10:09:00,3111.25,3113.95,3109.55,3113.5,1438
2020-07-30 10:11:00,3111.3,3114.5,3109.4,3112.1,3181
2020-07-30 10:13:00,3114.0,3120.0,3112.3,3120.0,4951
2020-07-30 10:15:00,3120.0,3124.75,3120.0,3122.05,6333
2020-07-30 10:17:00,3121.0,3127.5,3121.0,3125.7,5104
2020-07-30 10:19:00,3126.05,3126.05,3122.05,3124.05,3815
2020-07-30 10:21:00,3125.0,3126.75,3122.1,3123.95,5266
2020-07-30 10:23:00,3122.8,3125.95,3120.05,3120.05,6725
2020-07-30 10:25:00,3122.6,3123.05,3118.0,3120.0,4089
2020-07-30 10:27:00,3118.0,3121.85,3118.0,3121.7,3569
2020-07-30 10:29:00,3121.7,3121.7,3115.4,3115.4,3551
2020-07-30 10:31:00,3115.0,3115.0,3110.0,3113.1,4003
2020-07-30 10:33:00,3113.0,3118.05,3113.0,3115.0,2825
2020-07-30 10:35:00,3114.7,3119.8,3113.55,3119.5,1897
2020-07-30 10:37:00,3118.85,3122.5,3118.85,3120.05,1323
2020-07-30 10:39:00,3120.0,3120.0,3114.55,3116.95,2139
2020-07-30 10:41:00,3117.15,3123.0,3115.6,3123.0,2743
2020-07-30 10:43:00,3122.0,3122.9,3118.25,3118.25,1535
2020-07-30 10:45:00,3118.25,3119.5,3116.0,3116.25,1302
2020-07-30 10:47:00,3116.25,3116.25,3112.8,3113.75,1395
2020-07-30 10:49:00,3113.75,3114.9,3110.0,3111.15,2920
