,Open,High,Low,Close,Volume
2020-05-07 09:15:00,134.05,141.45,132.65,140.0,134877
2020-05-08 09:15:00,143.0,144.55,139.0,139.55,151433
2020-05-11 09:15:00,140.0,141.85,133.7,134.35,194270
2020-05-12 09:15:00,133.5,136.85,133.5,134.65,147232
2020-05-13 09:15:00,139.35,141.15,134.0,134.9,298560
2020-05-14 09:15:00,134.0,135.15,132.1,132.5,244761
2020-05-15 09:15:00,133.65,135.0,132.0,132.9,130425
2020-05-18 09:15:00,134.4,134.55,130.85,131.05,412359
2020-05-19 09:15:00,132.4,134.15,131.15,132.95,143346
2020-05-20 09:15:00,133.0,133.55,131.45,132.1,373039
2020-05-21 09:15:00,132.0,132.85,131.0,131.1,123963
2020-05-22 09:15:00,131.0,132.0,130.35,131.05,98241
2020-05-26 09:15:00,131.0,132.5,129.1,130.05,275860
2020-05-27 09:15:00,131.0,131.75,129.0,129.45,151876
2020-05-28 09:15:00,130.0,133.5,130.0,131.95,241227
2020-05-29 09:15:00,132.0,136.0,131.8,132.45,359411
2020-06-01 09:15:00,136.95,151.9,133.5,145.75,1012294
2020-06-02 09:15:00,150.0,150.9,143.05,146.05,467891
2020-06-03 09:15:00,147.25,155.95,146.0,150.0,792227
2020-06-04 09:15:00,150.0,154.95,144.3,145.35,469973
2020-06-05 09:15:00,146.75,149.6,145.1,147.4,732367
2020-06-08 09:15:00,152.0,158.95,150.0,153.2,1027666
2020-06-09 09:15:00,153.8,165.4,151.55,157.8,1073470
2020-06-10 09:15:00,159.9,165.05,152.4,153.9,727360
2020-06-11 09:15:00,154.0,155.6,148.0,148.8,356385
2020-06-12 09:15:00,145.0,148.2,141.3,144.2,1061489
2020-06-15 09:15:00,146.0,146.9,138.5,139.35,842740
2020-06-16 09:15:00,143.0,146.45,141.0,143.9,603283
2020-06-17 09:15:00,144.0,152.4,141.6,149.7,892611
2020-06-18 09:15:00,151.2,153.85,149.8,152.3,1211032
2020-06-19 09:15:00,146.0,150.45,140.0,148.6,3986434
2020-06-22 09:15:00,158.0,158.75,150.0,152.15,2641798
2020-06-23 09:15:00,152.75,155.55,152.4,153.85,823758
2020-06-24 09:15:00,154.0,155.95,149.1,150.45,693717
2020-06-25 09:15:00,151.8,153.95,148.25,150.7,593490
2020-06-26 09:15:00,152.0,153.2,150.0,150.25,412757
2020-06-29 09:15:00,150.0,150.0,146.5,146.75,336088
2020-06-30 09:15:00,147.0,151.0,146.0,146.15,225042
2020-07-01 09:15:00,147.0,148.5,145.5,146.9,211695
2020-07-02 09:15:00,146.15,148.4,145.75,146.6,313280
2020-07-03 09:15:00,147.0,148.25,144.5,145.2,429836
2020-07-06 09:15:00,146.9,147.0,144.85,146.3,400685
2020-07-07 09:15:00,147.0,149.65,145.5,147.5,559870
2020-07-08 09:15:00,148.5,148.95,144.9,145.2,500684
2020-07-09 09:15:00,146.9,146.9,144.6,144.9,311446
2020-07-10 09:15:00,145.0,146.1,143.05,143.9,447504
2020-07-13 09:15:00,143.9,159.9,143.25,157.3,4241305
2020-07-14 09:15:00,157.0,161.9,153.6,155.5,3903517
2020-07-15 09:15:00,157.1,158.8,148.0,150.4,1004765
2020-07-16 09:15:00,148.0,180.45,148.0,180.45,11099743
2020-07-17 09:15:00,183.8,185.8,172.0,174.55,12080107
2020-07-20 09:15:00,177.0,179.5,173.7,176.5,3036172
2020-07-21 09:15:00,176.5,178.5,165.7,169.5,1651473
2020-07-22 09:15:00,169.5,172.0,164.5,167.4,1857052
2020-07-23 09:15:00,167.9,175.4,167.6,173.75,1111971
2020-07-24 09:15:00,173.0,177.0,167.1,168.4,1161650
2020-07-27 09:15:00,168.5,169.75,160.6,161.6,598916
2020-07-28 09:15:00,163.4,169.9,162.1,166.55,939413
2020-07-29 09:15:00,168.0,172.6,166.7,167.9,867930
2020-07-30 15:23:06,168.3,176.85,167.35,170.1,2287251
