,Open,High,Low,Close,Volume
2020-07-30 09:15:00,168.4,169.0,168.3,168.6,0.0
2020-07-30 09:16:00,169.15,169.25,168.3,168.8,6286.0
2020-07-30 09:17:00,168.8,169.4,168.8,169.3,2171.0
2020-07-30 09:18:00,169.3,169.35,168.8,168.85,4676.0
2020-07-30 09:19:00,168.8,169.25,168.8,168.85,918.0
2020-07-30 09:20:00,168.85,169.2,168.8,168.9,2365.0
2020-07-30 09:21:00,169.15,169.2,168.8,169.15,1855.0
2020-07-30 09:22:00,168.85,169.2,168.85,168.85,2384.0
2020-07-30 09:23:00,168.85,169.2,168.85,169.1,2079.0
2020-07-30 09:24:00,169.1,169.15,168.75,168.75,2844.0
2020-07-30 09:25:00,168.7,168.7,168.0,168.05,2391.0
2020-07-30 09:26:00,168.05,168.85,168.05,168.55,1470.0
2020-07-30 09:27:00,168.5,168.6,168.25,168.3,6550.0
2020-07-30 09:28:00,168.55,168.65,168.3,168.55,1309.0
2020-07-30 09:29:00,168.55,168.55,168.3,168.3,1732.0
2020-07-30 09:30:00,168.5,168.65,168.35,168.65,3774.0
2020-07-30 09:31:00,168.65,169.0,168.55,169.0,6663.0
2020-07-30 09:32:00,168.95,169.2,168.95,168.95,730.0
2020-07-30 09:33:00,168.95,169.0,168.75,169.0,2041.0
2020-07-30 09:34:00,168.75,169.0,168.7,168.75,399.0
2020-07-30 09:35:00,168.6,168.85,168.5,168.5,541.0
2020-07-30 09:36:00,168.85,168.85,168.5,168.5,1215.0
2020-07-30 09:37:00,168.5,168.85,168.5,168.65,678.0
2020-07-30 09:38:00,168.65,168.9,168.55,168.9,1389.0
2020-07-30 09:39:00,168.9,168.9,168.55,168.55,1040.0
2020-07-30 09:40:00,168.6,168.85,168.55,168.65,1035.0
2020-07-30 09:41:00,168.65,168.65,168.3,168.5,2458.0
2020-07-30 09:42:00,168.35,168.5,168.3,168.3,1189.0
2020-07-30 09:43:00,168.25,168.55,168.2,168.2,1379.0
