,Open,High,Low,Close,Volume
2020-05-07 09:15:00,355.0,364.55,351.05,357.35,598483
2020-05-08 09:15:00,363.9,374.5,340.5,355.6,754358
2020-05-11 09:15:00,359.0,369.55,350.9,361.05,139505
2020-05-12 09:15:00,365.3,370.0,353.0,360.1,222327
2020-05-13 09:15:00,370.0,383.6,360.4,380.2,324475
2020-05-14 09:15:00,378.2,389.6,365.0,373.15,796583
2020-05-15 09:15:00,376.9,380.7,371.25,374.65,326720
2020-05-18 09:15:00,377.0,377.0,355.0,361.5,602797
2020-05-19 09:15:00,362.15,367.0,352.55,363.45,157177
2020-05-20 09:15:00,363.6,372.35,362.65,364.25,36457
2020-05-21 09:15:00,366.9,378.0,358.65,361.25,112022
2020-05-22 09:15:00,358.0,364.9,356.7,360.55,52133
2020-05-26 09:15:00,363.95,363.95,349.1,353.35,253466
2020-05-27 09:15:00,355.0,357.0,350.0,351.3,137949
2020-05-28 09:15:00,355.25,365.5,355.25,363.1,148813
2020-05-29 09:15:00,362.75,369.15,359.0,363.95,217461
2020-06-01 09:15:00,374.0,380.0,371.5,377.15,220596
2020-06-02 09:15:00,375.0,427.3,374.95,408.9,985438
2020-06-03 09:15:00,425.1,436.0,419.0,428.95,428228
2020-06-04 09:15:00,431.0,461.95,425.0,445.15,539369
2020-06-05 09:15:00,446.1,466.2,440.1,446.8,354834
2020-06-08 09:15:00,454.45,459.5,431.1,441.7,163882
2020-06-09 09:15:00,445.3,446.9,428.55,432.85,88357
2020-06-10 09:15:00,437.5,439.0,410.25,418.5,432235
2020-06-11 09:15:00,420.0,421.3,400.0,403.95,131102
2020-06-12 09:15:00,390.0,397.1,383.15,393.35,160447
2020-06-15 09:15:00,395.0,412.15,395.0,403.2,187249
2020-06-16 09:15:00,407.0,420.0,383.35,405.4,201776
2020-06-17 09:15:00,401.0,409.9,398.1,408.15,80555
2020-06-18 09:15:00,409.8,417.9,404.0,406.3,152406
2020-06-19 09:15:00,409.9,416.0,395.1,410.75,445685
2020-06-22 09:15:00,414.0,437.0,405.05,430.65,734591
2020-06-23 09:15:00,435.0,440.0,402.5,413.25,775277
2020-06-24 09:15:00,420.4,422.95,406.1,410.35,176492
2020-06-25 09:15:00,410.0,412.5,402.0,405.05,142167
2020-06-26 09:15:00,409.0,410.85,402.0,402.9,106076
2020-06-29 09:15:00,402.9,403.0,390.0,393.2,123708
2020-06-30 09:15:00,394.0,399.95,390.15,392.8,134962
2020-07-01 09:15:00,393.5,396.1,384.3,389.7,134634
2020-07-02 09:15:00,394.5,394.5,386.0,389.1,133090
2020-07-03 09:15:00,393.0,393.0,383.4,384.2,183399
2020-07-06 09:15:00,390.0,391.95,383.0,384.7,289779
2020-07-07 09:15:00,388.6,399.0,384.35,395.65,321865
2020-07-08 09:15:00,396.0,401.9,391.2,394.25,264947
2020-07-09 09:15:00,394.0,408.75,393.0,406.85,457352
2020-07-10 09:15:00,406.75,412.45,394.05,395.3,266612
2020-07-13 09:15:00,397.95,406.0,393.25,395.35,115712
2020-07-14 09:15:00,394.8,394.8,378.5,382.75,357516
2020-07-15 09:15:00,387.95,393.4,384.0,386.0,115189
2020-07-16 09:15:00,391.95,391.95,380.3,386.4,117218
2020-07-17 09:15:00,386.9,413.8,384.4,410.4,748276
2020-07-20 09:15:00,410.4,429.3,406.5,424.75,1043311
2020-07-21 09:15:00,426.0,432.9,413.0,414.25,349480
2020-07-22 09:15:00,424.0,431.0,402.55,416.65,880345
2020-07-23 09:15:00,416.0,423.0,412.0,416.1,159637
2020-07-24 09:15:00,415.0,417.25,410.0,411.15,119284
2020-07-27 09:15:00,412.05,414.0,398.25,411.1,118927
2020-07-28 09:15:00,415.0,440.0,412.1,437.35,1003681
2020-07-29 09:15:00,441.95,449.8,430.3,435.85,719653
2020-07-30 14:25:53,433.05,443.8,428.0,428.0,273724
