,Open,High,Low,Close,Volume
2020-07-30 09:15:00,433.9,436.75,433.9,436.0,0.0
2020-07-30 09:16:00,435.1,436.3,434.85,435.8,382.0
2020-07-30 09:17:00,435.25,436.8,435.0,436.8,1127.0
2020-07-30 09:18:00,436.25,436.75,435.9,435.95,1140.0
2020-07-30 09:19:00,435.95,436.2,434.3,436.1,1027.0
2020-07-30 09:20:00,436.1,436.1,434.35,434.85,838.0
2020-07-30 09:21:00,434.85,435.8,434.85,435.25,148.0
2020-07-30 09:22:00,435.25,435.25,435.0,435.0,165.0
2020-07-30 09:23:00,434.95,435.15,434.95,435.15,234.0
2020-07-30 09:24:00,434.85,434.85,434.55,434.55,95.0
2020-07-30 09:25:00,434.45,434.45,431.85,431.85,1911.0
2020-07-30 09:26:00,431.2,431.75,430.8,431.1,434.0
2020-07-30 09:27:00,431.65,433.0,431.65,433.0,2929.0
2020-07-30 09:28:00,433.3,433.7,433.15,433.5,144.0
2020-07-30 09:29:00,433.6,433.6,433.15,433.6,632.0
2020-07-30 09:30:00,433.45,433.45,432.5,432.5,745.0
2020-07-30 09:31:00,432.6,432.6,431.6,432.35,765.0
2020-07-30 09:32:00,431.75,432.25,431.65,431.65,331.0
2020-07-30 09:33:00,431.65,432.2,431.5,431.5,340.0
2020-07-30 09:34:00,431.85,431.85,430.05,430.85,1680.0
2020-07-30 09:35:00,430.85,431.0,430.35,430.6,165.0
2020-07-30 09:36:00,430.8,431.0,430.4,431.0,2335.0
2020-07-30 09:37:00,431.0,431.5,430.6,431.0,704.0
2020-07-30 09:38:00,431.0,431.8,431.0,431.15,270.0
2020-07-30 09:39:00,431.35,431.6,431.0,431.2,216.0
2020-07-30 09:40:00,431.0,431.6,431.0,431.6,218.0
2020-07-30 09:41:00,432.0,432.0,431.0,431.75,1211.0
2020-07-30 09:42:00,431.65,432.05,431.65,432.0,328.0
2020-07-30 09:43:00,432.2,432.2,432.0,432.0,383.0
2020-07-30 09:44:00,432.0,432.0,432.0,432.0,23.0
2020-07-30 09:45:00,432.0,432.7,432.0,432.1,204.0
2020-07-30 09:46:00,432.05,432.6,432.0,432.05,75.0
2020-07-30 09:47:00,432.6,432.6,432.6,432.6,56.0
2020-07-30 09:48:00,432.15,432.5,432.15,432.5,8.0
2020-07-30 09:49:00,432.5,432.75,432.5,432.55,1066.0
2020-07-30 09:50:00,432.55,433.0,432.55,433.0,277.0
2020-07-30 09:51:00,433.0,433.0,432.9,432.9,57.0
2020-07-30 09:52:00,432.9,433.15,432.9,433.15,801.0
2020-07-30 09:53:00,432.55,433.1,432.55,433.1,147.0
2020-07-30 09:54:00,433.15,433.8,432.55,433.8,969.0
2020-07-30 09:55:00,434.35,434.9,434.1,434.15,1689.0
2020-07-30 09:56:00,434.1,434.15,433.55,434.0,675.0
2020-07-30 09:57:00,436.35,441.0,436.25,437.0,16072.0
2020-07-30 09:58:00,438.2,438.2,437.25,437.25,455.0
2020-07-30 09:59:00,437.25,437.8,436.25,436.95,973.0
2020-07-30 10:00:00,436.25,436.95,436.25,436.5,592.0
2020-07-30 10:01:00,436.7,438.9,436.5,438.9,2566.0
2020-07-30 10:02:00,438.0,439.7,437.45,439.65,8570.0
2020-07-30 10:03:00,438.9,439.45,438.55,439.3,3354.0
2020-07-30 10:04:00,439.1,439.95,438.9,439.15,4346.0
2020-07-30 10:05:00,439.5,439.8,439.15,439.8,3218.0
2020-07-30 10:06:00,439.8,439.95,439.35,439.55,3378.0
2020-07-30 10:07:00,439.6,440.25,439.2,439.75,6654.0
2020-07-30 10:08:00,439.65,440.15,439.35,440.15,2838.0
2020-07-30 10:09:00,440.15,440.15,439.2,440.0,4356.0
2020-07-30 10:10:00,439.6,439.9,439.25,439.6,5687.0
2020-07-30 10:11:00,439.5,439.9,439.5,439.6,1226.0
2020-07-30 10:12:00,439.55,439.9,439.25,439.9,2975.0
2020-07-30 10:13:00,439.45,440.25,439.3,440.25,2266.0
2020-07-30 10:14:00,440.25,441.65,439.95,441.4,4103.0
2020-07-30 10:15:00,441.6,442.0,441.0,441.4,5421.0
2020-07-30 10:16:00,441.5,442.0,441.15,441.9,2933.0
2020-07-30 10:17:00,441.3,441.9,441.05,441.1,1247.0
2020-07-30 10:18:00,441.5,443.35,441.1,442.5,11921.0
2020-07-30 10:19:00,443.0,443.8,442.5,443.8,5305.0
2020-07-30 10:20:00,443.5,443.75,443.15,443.5,3066.0
2020-07-30 10:21:00,443.5,443.7,443.05,443.7,1996.0
2020-07-30 10:22:00,443.2,443.7,442.05,442.5,3341.0
2020-07-30 10:23:00,442.4,442.4,441.1,441.1,2479.0
2020-07-30 10:24:00,441.1,441.95,441.1,441.1,2115.0
2020-07-30 10:25:00,441.1,441.75,441.1,441.15,1092.0
2020-07-30 10:26:00,441.15,441.5,441.15,441.15,717.0
2020-07-30 10:27:00,441.5,441.5,441.1,441.1,1026.0
2020-07-30 10:28:00,441.5,441.5,441.1,441.1,264.0
2020-07-30 10:29:00,441.3,441.4,440.1,440.3,4061.0
2020-07-30 10:30:00,439.0,440.1,437.0,438.85,13029.0
2020-07-30 10:31:00,439.2,439.2,437.8,439.0,1047.0
2020-07-30 10:32:00,438.75,438.75,438.4,438.75,356.0
2020-07-30 10:33:00,438.75,439.0,438.45,438.45,194.0
2020-07-30 10:34:00,438.9,438.9,438.9,438.9,125.0
2020-07-30 10:35:00,438.9,438.9,438.2,438.85,174.0
2020-07-30 10:36:00,438.8,438.8,438.2,438.6,158.0
2020-07-30 10:37:00,438.6,438.8,438.6,438.6,638.0
2020-07-30 10:38:00,438.6,440.25,438.6,440.05,6358.0
2020-07-30 10:39:00,440.0,442.0,440.0,441.5,4198.0
2020-07-30 10:40:00,441.5,441.95,441.0,441.0,1710.0
2020-07-30 10:41:00,441.0,441.0,440.35,440.6,210.0
2020-07-30 10:42:00,441.0,441.6,440.6,441.6,487.0
2020-07-30 10:43:00,441.0,441.05,441.0,441.05,460.0
2020-07-30 10:44:00,441.0,441.7,441.0,441.5,1197.0
2020-07-30 10:45:00,441.7,441.95,441.5,441.5,568.0
2020-07-30 10:46:00,441.5,442.0,441.5,441.9,567.0
2020-07-30 10:47:00,441.55,441.9,441.55,441.9,1102.0
2020-07-30 10:48:00,441.5,441.9,441.5,441.9,700.0
2020-07-30 10:49:00,441.5,441.5,440.6,440.6,912.0
2020-07-30 10:50:00,441.45,441.45,440.8,441.0,102.0
2020-07-30 10:51:00,441.0,441.4,441.0,441.0,823.0
2020-07-30 10:52:00,440.85,441.0,440.85,441.0,36.0
2020-07-30 10:53:00,441.0,441.4,440.6,440.6,904.0
2020-07-30 10:54:00,440.8,440.8,440.6,440.8,0.0
2020-07-30 10:55:00,440.8,441.0,440.8,440.8,583.0
2020-07-30 10:56:00,440.6,440.6,439.2,439.3,2861.0
2020-07-30 10:57:00,439.85,439.85,439.1,439.3,649.0
2020-07-30 10:58:00,439.25,440.0,439.25,439.25,211.0
2020-07-30 10:59:00,440.0,441.0,440.0,440.9,1133.0
2020-07-30 11:00:00,440.9,440.9,439.65,440.9,1393.0
2020-07-30 11:01:00,440.95,440.95,439.7,440.2,761.0
2020-07-30 11:02:00,440.0,440.8,439.3,440.45,806.0
2020-07-30 11:03:00,439.65,440.15,439.55,439.55,192.0
2020-07-30 11:04:00,439.55,439.95,439.5,439.95,420.0
2020-07-30 11:06:00,439.5,439.55,439.5,439.55,156.0
2020-07-30 11:07:00,439.55,440.0,439.25,439.4,424.0
2020-07-30 11:08:00,440.0,440.0,440.0,440.0,48.0
2020-07-30 11:09:00,439.4,439.4,439.4,439.4,45.0
2020-07-30 11:10:00,440.0,440.45,440.0,440.45,248.0
2020-07-30 11:11:00,440.6,440.6,439.4,439.4,213.0
2020-07-30 11:12:00,439.4,439.4,439.4,439.4,0.0
2020-07-30 11:13:00,439.4,439.4,439.4,439.4,405.0
2020-07-30 11:14:00,439.4,439.4,439.25,439.25,498.0
2020-07-30 11:15:00,439.0,439.0,438.6,438.6,286.0
2020-07-30 11:16:00,438.7,438.8,438.15,438.5,161.0
2020-07-30 11:17:00,438.15,438.2,438.15,438.2,189.0
2020-07-30 11:18:00,438.15,438.5,438.15,438.5,921.0
2020-07-30 11:19:00,438.25,438.3,438.25,438.3,115.0
2020-07-30 11:20:00,438.25,438.25,438.1,438.1,126.0
2020-07-30 11:21:00,438.1,438.1,438.1,438.1,281.0
2020-07-30 11:22:00,438.15,438.85,438.15,438.85,187.0
2020-07-30 11:23:00,438.9,438.9,438.9,438.9,120.0
2020-07-30 11:24:00,438.3,439.0,438.3,439.0,128.0
2020-07-30 11:25:00,439.0,439.0,438.7,438.7,170.0
2020-07-30 11:26:00,438.7,438.7,438.65,438.65,184.0
2020-07-30 11:27:00,438.7,438.7,438.7,438.7,35.0
2020-07-30 11:28:00,438.65,438.7,438.65,438.7,68.0
2020-07-30 11:30:00,438.3,438.3,438.3,438.3,0.0
2020-07-30 11:32:00,438.15,438.3,438.15,438.15,139.0
2020-07-30 11:33:00,438.3,438.3,438.15,438.15,39.0
2020-07-30 11:34:00,438.3,438.3,438.15,438.3,121.0
2020-07-30 11:35:00,438.15,438.4,437.45,438.25,1806.0
2020-07-30 11:36:00,438.25,438.25,437.7,437.7,42.0
2020-07-30 11:37:00,437.7,437.7,437.7,437.7,261.0
2020-07-30 11:38:00,437.7,437.7,437.05,437.05,637.0
2020-07-30 11:39:00,437.55,437.55,437.55,437.55,119.0
2020-07-30 11:40:00,437.0,437.35,436.9,436.9,1638.0
2020-07-30 11:41:00,437.35,437.35,436.3,436.3,2660.0
2020-07-30 11:42:00,436.25,436.95,436.0,436.05,248.0
2020-07-30 11:43:00,436.05,436.6,436.0,436.55,601.0
2020-07-30 11:44:00,436.15,436.6,436.15,436.6,178.0
2020-07-30 11:45:00,436.6,436.6,436.6,436.6,362.0
2020-07-30 11:46:00,436.1,436.7,436.1,436.1,136.0
2020-07-30 11:47:00,436.7,437.0,436.7,437.0,762.0
2020-07-30 11:48:00,437.0,437.6,437.0,437.6,0.0
2020-07-30 11:50:00,437.7,437.7,437.5,437.5,466.0
2020-07-30 11:51:00,436.85,436.85,436.85,436.85,0.0
