,Open,High,Low,Close,Volume
2020-05-07 09:15:00,4.65,4.8,4.65,4.65,3559139
2020-05-08 09:15:00,4.45,4.45,4.45,4.45,406196
2020-05-11 09:15:00,4.25,4.25,4.25,4.25,495279
2020-05-12 09:15:00,4.05,4.05,4.05,4.05,689388
2020-05-13 09:15:00,3.9,4.25,3.9,4.25,2209693
2020-05-14 09:15:00,4.45,4.45,4.05,4.2,6011800
2020-05-15 09:15:00,4.2,4.2,4.1,4.15,1712593
2020-05-18 09:15:00,4.15,4.2,3.95,3.95,2884748
2020-05-19 09:15:00,4.0,4.0,3.8,3.8,2311069
2020-05-20 09:15:00,3.8,3.95,3.75,3.95,3219167
2020-05-21 09:15:00,3.95,4.1,3.85,4.1,2678222
2020-05-22 09:15:00,4.1,4.2,3.95,4.05,2351076
2020-05-26 09:15:00,4.1,4.15,3.95,4.0,1298178
2020-05-27 09:15:00,4.05,4.2,3.95,4.2,4252304
2020-05-28 09:15:00,4.3,4.4,4.25,4.35,2890431
2020-05-29 09:15:00,4.3,4.3,4.15,4.25,3034822
2020-06-01 09:15:00,4.3,4.45,4.3,4.45,2208022
2020-06-02 09:15:00,4.6,4.65,4.5,4.65,1181577
2020-06-03 09:15:00,4.85,4.85,4.85,4.85,434363
2020-06-04 09:15:00,5.05,5.05,4.65,5.05,6274869
2020-06-05 09:15:00,5.3,5.3,5.3,5.3,635674
2020-06-08 09:15:00,5.55,5.55,5.55,5.55,665274
2020-06-09 09:15:00,5.8,5.8,5.8,5.8,1470318
2020-06-10 09:15:00,6.05,6.05,6.05,6.05,631023
2020-06-11 09:15:00,6.35,6.35,5.8,6.15,15106659
2020-06-12 09:15:00,5.9,6.45,5.85,6.45,14749511
2020-06-15 09:15:00,6.7,6.75,6.55,6.75,5918745
2020-06-16 09:15:00,7.05,7.05,6.55,7.05,9645810
2020-06-17 09:15:00,7.0,7.35,6.75,6.8,15602871
2020-06-18 09:15:00,6.8,6.8,6.55,6.6,7568409
2020-06-19 09:15:00,6.65,6.9,6.65,6.9,3763637
2020-06-22 09:15:00,7.2,7.2,7.2,7.2,1256911
2020-06-23 09:15:00,7.55,7.55,7.25,7.55,6280449
2020-06-24 09:15:00,7.9,7.9,7.75,7.85,7502322
2020-06-25 09:15:00,8.15,8.15,7.5,8.05,9029810
2020-06-26 09:15:00,8.3,8.3,7.9,8.0,6436430
2020-06-29 09:15:00,8.0,8.0,7.6,7.7,8673746
2020-06-30 09:15:00,7.6,7.6,7.35,7.35,5927845
2020-07-01 09:15:00,7.0,7.0,7.0,7.0,1213208
2020-07-02 09:15:00,6.65,6.95,6.65,6.7,10134567
2020-07-03 09:15:00,6.5,7.0,6.5,6.9,5323234
2020-07-06 09:15:00,7.15,7.2,6.9,7.2,7652141
2020-07-07 09:15:00,7.3,7.3,6.85,6.85,4635981
2020-07-08 09:15:00,6.65,6.85,6.6,6.65,3546634
2020-07-09 09:15:00,6.55,6.65,6.4,6.45,3544243
2020-07-10 09:15:00,6.45,6.45,6.15,6.15,6114196
2020-07-13 09:15:00,6.2,6.3,5.9,5.95,4398151
2020-07-14 09:15:00,5.8,6.2,5.7,6.2,9083694
2020-07-15 09:15:00,6.15,6.5,6.1,6.25,5287930
2020-07-16 09:15:00,6.4,6.45,6.1,6.15,2035458
2020-07-17 09:15:00,6.0,6.25,6.0,6.15,2914653
2020-07-20 09:15:00,6.25,6.3,6.1,6.1,2318301
2020-07-21 09:15:00,6.15,6.2,6.0,6.05,1720824
2020-07-22 09:15:00,6.05,6.3,5.95,6.1,4334173
2020-07-23 09:15:00,6.15,6.25,6.0,6.0,2093178
2020-07-24 09:15:00,6.0,6.05,5.85,5.95,2181017
2020-07-27 09:15:00,5.9,6.0,5.75,5.8,2162579
2020-07-28 09:15:00,5.8,5.9,5.7,5.85,2323455
2020-07-29 09:15:00,5.85,5.85,5.7,5.75,1319178
2020-07-30 15:00:33,5.7,5.85,5.65,5.65,1906333
